drop,channel,cat,status,close,gold,raised,dist_total,per_unit,roi,months,ann
ClearValue Tax 1,ClearValue Tax,Finance,,2023-05-05,15.0,60120,209350.15,52.23307135728543,3.482204757152362,39.84888304862024,1.0486230450887177
The Shluv Family 1,The Shluv Family,Entertainment,settled,2023-07-01,43,56674,5853.57,4.441251896813354,0.10328492783286869,37.97634691195795,0.03263660764601235
Let's Talk Money 1,"Let's Talk Money! with Joseph Hogue, CFA",Finance,settled,2023-07-14,31,137392,42419.94,9.571286101083034,0.3087511645510656,37.54927726675427,0.09867071337463977
Stock Moe 1,Crypto Moe,Finance,settled,2023-08-22,60,146460,27303.54,11.185391233101187,0.18642318721835313,36.26806833114323,0.061681758901376844
ClearValue Tax 2,ClearValue Tax,Finance,settled,2023-09-07,90,720000,368566.99,46.07087375,0.5118985972222222,35.74244415243101,0.1718624260968137
Violetta Alexis 1,Violetta Alexis,Spirituality,settled,2023-11-08,25,16875,1830.05,2.7111851851851854,0.10844740740740741,33.70565045992115,0.03860981381849687
Savvy Finance 1,Savvy Finance,Finance,settled,2024-01-18,50,51850,30644.46,29.551070395371266,0.5910214079074253,31.373193166885674,0.2260610469952087
Jonathan DesVerney Gospel Music 1,Jonathan DesVerney Gospel Music,Music,,,,0,0,,,,
ClearValue Tax 3,ClearValue Tax,Finance,settled,2024-05-29,136,1081472,287414.93,36.14372862173038,0.2657627104538999,27.036793692509853,0.11795601807363372
Rickey 1,Rickey,Comedy,settled,2024-05-31,40,10440,369.02,1.4138697318007662,0.035346743295019155,26.971090670170828,0.015726502303050664
Thee Mademoiselle 1,Thee Mademoiselle,Social Commentary,settled,2024-06-05,34,17986,6812.53,12.87812854442344,0.3787684866006894,26.806833114323258,0.16955459900183803
The Gabriels 1,The Gabriels,Entertainment,settled,2024-06-14,50,100000,15105.7,7.552849999999999,0.151057,26.511169513797633,0.06837435063197027
James Pelton 1,James Pelton,Finance,settled,2024-06-21,40,32000,3078.22,3.847775,0.096194375,26.281208935611037,0.043922351625
Double Toasted 1,Double Toasted,Entertainment,settled,2024-07-05,66,71082,16479.91,15.301680594243267,0.23184364536732224,25.821287779237842,0.10774535213711893
Let's Talk Money 2,"Let's Talk Money! with Joseph Hogue, CFA",Finance,settled,2024-07-12,47,123610,37634.91,14.309851711026617,0.30446493002184294,25.591327201051246,0.14276630248829114
Daru Strong 1,Daru Strong,Fitness,settled,2024-07-31,66,24948,3419.89,9.047328042328042,0.13708072791406123,24.967148488830485,0.06588532670058986
Hubert Lee 1,Hubert Lee,Comedy,settled,2024-09-13,55,45100,2949.74,3.597243902439024,0.06540443458980044,23.52168199737188,0.03336722327788032
The Shluv Family 2,The Shluv Family,Entertainment,,,,0,0,,,,
Tony Gaskins 1,Tony Gaskins,Self-Help,settled,2024-09-27,100,488300,77822.56,15.937448289985664,0.15937448289985665,23.061760840998684,0.08292921811062627
19XX 1,19XX,Documentary,settled,2024-10-04,80,20000,6547.74,26.190959999999997,0.327387,22.831800262812088,0.17206895447482015
Steve Hofstetter 1,Steve Hofstetter,Comedy,settled,2024-10-18,84,168000,18142.77,9.071385000000001,0.10799267857142858,22.371879106438897,0.05792594071743235
James Pelton 2,James Pelton,Finance,settled,2024-10-20,39,16263,1141.29,2.736906474820144,0.07017708909795241,22.306176084099867,0.03775300015567019
Rossinni & Co 1,Rossinni & Co,Real Estate,settled,2025-01-18,76,22876,1891.53,6.284152823920266,0.08268622136737191,19.349540078843624,0.05127949565547303
Word On The Street 1,Word On The Street,Hip Hop News,settled,2025-03-22,88,20944,5820.7,24.45672268907563,0.27791730328495035,17.279894875164256,0.19299930141430927
Mr. Hand Pay 1,Mr. Hand Pay,Entertainment,settled,2025-04-01,130,1298050,128476.88,12.866988482724087,0.09897683448249298,16.95137976346912,0.07006639166621131
Officially Ronny 1,Officially Ronny,Entertainment,settled,2025-04-12,80,12080,3307.77,21.905761589403973,0.27382201986754967,16.590013140604466,0.1980627869647892
Quick Cuts V2 1,Quick Cuts V2,Entertainment,settled,2025-04-26,112,36512,2276.96,6.984539877300613,0.06236196319018405,16.130091984231274,0.046394252370897004
Ace1Whips 1,Ace1Whips,Automotive,,,,0,0,,,,
Jelle's Marble Runs 1,Jelle's Marble Runs,Entertainment,settled,2025-06-25,120,53160,5762.92,13.008848758465012,0.10840707298720843,14.159001314060447,0.09187688079064384
Moxy Approved 1,Moxy Approved,Entertainment,settled,2025-06-28,124,12896,1848.96,17.77846153846154,0.14337468982630272,14.060446780551905,0.12236426799007445
Mr. Hand Pay 2,Mr. Hand Pay,Entertainment,settled,2025-07-01,138,1282020,96897.19,10.430268030139935,0.07558165239231837,13.961892247043364,0.06496109643733189
RCDriftTok 1,RCDriftTok,Entertainment,settled,2025-08-29,124,51460,1808.33,4.357421686746988,0.03514049747376603,12.02365308804205,0.035071368626276654
The Other Side NDE 1,Only The SAVVY,Spirituality,settled,2025-09-01,110,96140,8653.62,9.901167048054921,0.09001060952777201,11.925098554533507,0.09057596542232661
Let's Talk Money 3,"Let's Talk Money! with Joseph Hogue, CFA",Finance,settled,2025-10-24,85,163455,9481.25,4.930447217888715,0.05800526138692606,10.183968462549277,0.06834890928843984
TheBigPayback 1,TheBigPayback - Slot Machine Videos,Entertainment,settled,2025-12-06,100,90700,4913.41,5.417210584343992,0.05417210584343991,8.771353482260183,0.07411231019659825
Davidsbeenhere 1,Davidsbeenhere,Travel,settled,2026-02-21,118,173224,9305.94,6.339196185286104,0.05372200157022122,6.241787122207621,0.10328196175563374
Tony Gaskins 2,Tony Gaskins,Self-Help,settled,2026-03-07,89,147473,4058.27,2.4491671695835846,0.027518732242512188,5.781865965834428,
19XX 2,19XX,Documentary,settled,2026-05-01,97,18139,258.75,1.3836898395721926,0.01426484370692982,3.9750328515111693,
The Lighter Side of RC 1,The Lighter Side of RC,Radio Controlled Aircraft,settled,2026-05-15,85,34000,223.11,0.557775,0.006562058823529412,3.515111695137976,
Word On The Street 2,Word On The Street,Hip Hop News,settled,2026-05-28,88,22000,173.91,0.69564,0.007905,3.088042049934297,
Naziyah Kahliya 1,Naziyah Kahliya,Teenager Life,settled,2026-05-29,95,14250,188.14,1.2542666666666666,0.01320280701754386,3.055190538764783,
Mr_Organik 1,Mr_Organik,Podcast,,,,0,0,,,,
Sebastine 1,Sebastine,Music,,,,0,0,,,,
Flix Media 1,KickFlix,Entertainment,,,,0,0,,,,
Craftee 1,Craftee,Gaming,open,2026-09-29,146,34164,0,0.0,0.0,-0.9855453350854139,
