date,open,high,low,close,volume
2025-09-02,31.1,31.18,30.21,30.94,8241243
2025-09-03,30.61,31.445,30.28,31.11,6133608
2025-09-04,30.86,31.31,30.58,31.29,5865503
2025-09-05,31.73,32.07,30.99,31.83,5686270
2025-09-08,32.01,32.145,30.835,32.04,6671961
2025-09-09,32.19,32.91,31.255,31.27,6652766
2025-09-10,31.3,32.1,30.76,30.93,6482517
2025-09-11,31.01,32.355,30.71,32.29,6107207
2025-09-12,32.37,33.45,32.37,33.24,8313437
2025-09-15,33.58,34.15,33.4,33.6,5656812
2025-09-16,33.86,34.25,33.115,33.48,5921608
2025-09-17,33.0,34.14,32.73,32.86,6699216
2025-09-18,33.25,33.298,32.645,32.72,4318792
2025-09-19,32.77,32.99,32.28,32.46,6383108
2025-09-22,32.0,32.64,31.79,32.63,4758298
2025-09-23,32.67,32.97,31.03,31.53,7983278
2025-09-24,31.76,32.03,31.105,31.23,7167674
2025-09-25,31.21,31.845,30.81,31.45,5327535
2025-09-26,31.55,32.8299,31.45,32.71,6488943
2025-09-29,33.58,33.92,32.96,33.85,7467915
2025-09-30,33.465,33.465,31.98,32.89,8584168
2025-10-01,33.0,34.33,32.855,33.85,5804254
2025-10-02,34.07,35.045,33.97,34.83,8145898
2025-10-03,35.14,35.25,34.35,34.5,5786885
2025-10-06,34.95,35.49,33.77,33.79,5365897
2025-10-07,34.1,35.865,34.0201,35.53,11291420
2025-10-08,36.48,37.58,36.39,37.06,10564560
2025-10-09,38.08,38.09,36.78,37.0,9032966
2025-10-10,37.06,37.35,35.01,35.02,7317646
2025-10-13,36.41,36.9,35.61,36.25,6299549
2025-10-14,35.44,36.415,35.13,35.75,5867052
2025-10-15,36.3,36.66,35.615,36.46,5311014
2025-10-16,36.85,37.9,36.55,37.13,5977998
2025-10-17,36.58,36.759,35.64,35.97,4397913
2025-10-20,36.51,39.28,36.34,38.96,10907910
2025-10-21,37.96,38.0,36.07,37.23,8781521
2025-10-22,37.38,37.53,35.45,35.65,9566779
2025-10-23,37.685,41.55,37.685,40.14,20278200
2025-10-24,38.48,39.98,37.78,39.42,10623380
2025-10-27,39.74,40.81,39.3417,39.9,7207004
2025-10-28,39.745,39.94,39.09,39.31,6073428
2025-10-29,39.95,40.0,38.7,38.91,6292776
2025-10-30,38.0,38.0,36.3,36.76,10180220
2025-10-31,37.02,37.02,36.42,36.79,4578328
2025-11-03,36.97,37.34,36.595,37.2,5225603
2025-11-04,35.9,36.6727,35.215,35.26,4886109
2025-11-05,35.5,36.26,35.26,35.74,5215141
2025-11-06,36.02,37.5,35.8,36.7,8742045
2025-11-07,36.06,37.58,35.54,37.32,4693758
2025-11-10,38.54,39.17,38.22,38.79,5676473
2025-11-11,38.79,38.875,37.355,37.48,4301533
2025-11-12,38.17,40.38,38.145,40.03,8544680
2025-11-13,40.18,40.25,37.69,38.19,7396132
2025-11-14,36.82,38.145,36.42,37.59,4371664
2025-11-17,37.02,37.04,35.36,35.78,6772240
2025-11-18,35.43,36.87,35.17,36.55,5739871
2025-11-19,36.52,37.16,36.23,36.72,4079299
2025-11-20,37.41,38.28,35.55,35.83,5687481
2025-11-21,35.51,36.965,35.12,36.34,5183018
2025-11-24,37.01,38.835,36.63,38.72,4911601
2025-11-25,38.87,39.76,38.49,39.2,5009117
2025-11-26,39.6,42.16,39.6,41.57,7661971
2025-11-28,42.17,42.17,41.48,41.74,3768964
2025-12-01,41.82,42.73,41.45,41.65,7454908
2025-12-02,41.65,42.229,41.3,41.45,5932400
2025-12-03,42.41,44.96,42.32,44.1,8937510
2025-12-04,43.95,44.46,43.52,44.01,5540460
2025-12-05,44.25,44.8424,43.731,43.77,5135350
2025-12-08,43.99,44.7,43.04,44.46,7234708
2025-12-09,43.645,44.535,43.34,43.47,4859844
2025-12-10,43.78,44.77,42.76,44.64,8209391
2025-12-11,44.5,47.48,44.5,47.24,8980457
2025-12-12,47.1,48.118,45.82,46.14,7533565
2025-12-15,46.66,46.68,45.4,45.49,3853831
2025-12-16,46.0,46.96,45.66,46.56,4552993
2025-12-17,47.2,47.83,46.66,46.84,4564061
2025-12-18,47.25,48.73,47.03,48.18,5807956
2025-12-19,48.66,51.67,48.5401,51.25,9579677
2025-12-22,51.99,53.9871,51.75,53.72,8577162
2025-12-23,54.36,54.36,53.08,53.65,5557757
2025-12-24,54.0,54.0283,53.0,53.63,1884211
2025-12-26,54.42,54.43,53.74,54.25,3152757
2025-12-29,52.5,53.94,52.27,53.77,4210977
2025-12-30,54.73,54.82,53.78,54.38,3457272
2025-12-31,54.39,54.58,52.64,53.14,5678937
2026-01-02,54.12,56.61,54.01,56.54,5897475
2026-01-05,58.07,61.76,57.5,61.44,9786092
2026-01-06,61.73,65.0075,61.73,63.56,12385980
2026-01-07,61.65,63.27,61.01,62.74,10645900
2026-01-08,59.56,61.42,58.47,61.09,12068640
2026-01-09,61.16,63.785,60.646,63.67,7025331
2026-01-12,64.155,66.05,63.52,65.67,8723024
2026-01-13,64.775,66.24,64.4,65.37,6903886
2026-01-14,65.72,66.95,64.44,64.57,10871580
2026-01-15,64.46,64.73,63.66,63.81,11655490
2026-01-16,62.79,63.35,59.95,60.07,12282480
2026-01-20,59.73,62.295,59.59,62.12,8466770
2026-01-21,63.52,64.71,63.045,63.87,6502840
2026-01-22,64.5,65.0,62.385,63.14,8993442
2026-01-23,60.79,62.54,57.51,62.21,11525870
2026-01-26,63.71,63.71,58.315,58.55,10177740
2026-01-27,57.755,60.98,57.5102,59.66,7189691
2026-01-28,60.83,61.07,58.805,60.01,5663858
2026-01-29,63.05,63.5387,59.11,60.64,8028893
2026-01-30,58.35,59.89,55.925,56.81,9187567
2026-02-02,56.8,58.6,56.31,58.21,9852338
2026-02-03,60.23,61.37,59.345,61.35,8386002
2026-02-04,61.8,62.0634,56.97,58.16,10794310
2026-02-05,56.71,57.49,55.3,56.38,7568151
2026-02-06,58.02,60.04,57.82,59.16,5781168
2026-02-09,59.35,62.87,58.67,62.36,6878792
2026-02-10,61.98,63.34,60.74,61.76,6640570
2026-02-11,63.47,64.78,61.459,63.15,7493956
2026-02-12,63.48,63.74,58.95,60.51,8451433
2026-02-13,58.82,60.34,56.72,59.95,8968754
2026-02-17,58.9,59.0,55.04,57.47,8265138
2026-02-18,59.01,61.135,58.25,60.21,4961955
2026-02-19,58.4,59.79,57.255,59.69,4916484
2026-02-20,59.2,61.2899,58.9,60.49,6818413
2026-02-23,60.0,61.02,58.21,59.81,3887904
2026-02-24,59.84,62.66,59.57,61.41,5011342
2026-02-25,62.595,66.22,62.34,64.9,10152490
2026-02-26,63.59,64.105,61.1101,63.47,5249399
2026-02-27,62.65,63.67,61.27,62.08,3991706
2026-03-02,63.0,65.23,62.22,64.08,6904720
2026-03-03,62.15,64.76,57.85,63.84,10630220
2026-03-04,66.46,68.4,60.99,61.55,13991920
2026-03-05,61.12,63.45,58.65,60.38,7391975
2026-03-06,58.26,60.09,56.75,59.65,5624669
2026-03-09,57.84,62.18,56.63,61.16,6902279
2026-03-10,61.54,62.22,60.7144,61.31,3977441
2026-03-11,60.92,66.46,60.7606,66.36,7241468
2026-03-12,66.5,67.5,64.345,65.93,8049918
2026-03-13,67.08,68.03,62.98,63.59,5745065
2026-03-16,64.54,67.7,64.42,66.6,6462422
2026-03-17,66.8,68.16,65.315,65.42,5460597
2026-03-18,64.49,65.76,63.63,64.23,4741963
2026-03-19,59.87,59.87,55.8,58.65,10553540
2026-03-20,57.935,59.79,55.69,56.45,7744608
2026-03-23,57.07,58.1,55.1,56.08,6089734
2026-03-24,55.68,57.35,55.0612,56.68,6450486
2026-03-25,58.39,59.17,57.43,58.7,4045773
2026-03-26,57.32,59.33,57.27,57.6,2933948
2026-03-27,57.63,59.26,57.41,58.41,3328693
2026-03-30,64.0,66.0,62.13,63.22,13009050
2026-03-31,64.87,67.45,64.7,66.33,8416680
2026-04-01,67.58,72.17,66.76,72.06,10651970
2026-04-02,70.78,71.9777,69.75,71.53,5840053
2026-04-06,71.92,72.24,68.92,71.01,4149902
2026-04-07,71.88,73.3794,71.285,72.96,4296081
2026-04-08,71.5,72.3,68.17,71.76,7139174
2026-04-09,73.19,75.6999,72.95,73.27,6138268
2026-04-10,74.22,75.19,72.86,73.03,3186784
2026-04-13,73.0,74.47,72.49,73.31,3293632
2026-04-14,73.83,73.88,71.15,71.84,3829596
2026-04-15,71.82,72.01,70.1701,70.38,3567683
2026-04-16,70.87,72.42,69.76,70.41,6297849
2026-04-17,65.045,67.53,63.03,65.62,10626180
2026-04-20,66.21,67.2083,65.21,66.53,5366687
2026-04-21,66.66,67.16,65.47,67.15,4403443
2026-04-22,68.43,69.375,66.91,68.53,4897992
2026-04-23,67.74,68.23,65.15,65.37,3552953
2026-04-24,65.65,66.4878,64.675,66.01,2426695
2026-04-27,66.33,67.555,65.8,67.36,3658021
2026-04-28,66.28,66.435,63.1,63.17,3806698
2026-04-29,63.84,63.85,61.76,62.46,2762249
2026-04-30,63.56,64.23,62.11,63.79,2799833
2026-05-01,63.57,63.9,62.57,62.63,3034608
2026-05-04,62.57,62.96,61.06,62.46,4657941
2026-05-05,63.5,64.3,62.75,63.06,2774212
2026-05-06,63.545,63.8,61.9,63.26,4059623
2026-05-07,64.88,65.05,62.53,62.64,3682326
2026-05-08,63.88,63.95,62.7,63.18,2794251
2026-05-11,64.09,65.8299,63.79,65.34,6877603
2026-05-12,64.21,68.01,63.252,67.62,5100908
2026-05-13,68.63,69.73,67.21,68.44,6127268
2026-05-14,68.07,68.07,65.84,66.02,3893837
2026-05-15,63.785,64.03,61.77,62.53,3980597
2026-05-18,63.02,63.35,61.51,62.59,3691470
2026-05-19,61.59,64.62,60.91,63.93,4432055
2026-05-20,65.05,65.74,63.62,64.14,4023655
2026-05-21,64.16,66.48,64.015,66.27,3294470
2026-05-22,67.64,72.85,67.32,71.38,6952378
2026-05-26,72.5,75.57,72.36,74.57,5128215
2026-05-27,71.31,73.2,70.67,73.15,3283106
2026-05-28,72.77,75.92,72.3,75.58,3328340
2026-05-29,75.81,77.7199,74.91,77.64,4502775
2026-06-01,77.765,79.606,76.21,77.76,3697861
2026-06-02,78.7,84.38,78.38,83.79,6754315
2026-06-03,82.46,82.89,80.4584,80.86,4240565
2026-06-04,79.14,80.74,77.73,78.02,4768684
2026-06-05,76.61,76.61,71.36,71.89,5738693
2026-06-08,74.98,75.31,73.25,73.44,3423752
2026-06-09,74.54,74.54,69.318,72.41,4386539
2026-06-10,70.23,71.67,65.46,65.55,6535650
2026-06-11,66.33,69.24,65.78,68.98,4640561
2026-06-12,69.67,70.1305,67.89,68.77,3934691
