date,open,high,low,close,volume
2025-09-02,128.42,129.23,126.46,127.59,4195459
2025-09-03,127.42,127.75,124.46,124.9,6267199
2025-09-04,124.65,125.65,123.18,125.37,6194499
2025-09-05,125.37,127.3852,122.82,123.81,4327197
2025-09-08,124.24,126.08,123.06,124.62,4765180
2025-09-09,124.12,124.78,123.6,123.81,3607594
2025-09-10,123.81,124.44,122.63,123.41,4772621
2025-09-11,123.695,124.5,122.65,123.05,5241465
2025-09-12,123.07,123.45,121.84,122.55,5263923
2025-09-15,122.91,122.98,119.76,120.37,7060401
2025-09-16,120.71,121.99,119.765,121.66,5072217
2025-09-17,121.98,124.45,121.52,123.2,4973260
2025-09-18,123.74,125.72,123.6,125.47,4235741
2025-09-19,126.33,127.85,125.19,127.04,9144270
2025-09-22,125.65,126.64,123.35,125.44,5591124
2025-09-23,125.44,126.855,123.05,123.5,5634711
2025-09-24,123.5,125.59,122.08,123.08,4060490
2025-09-25,122.91,122.91,121.1178,121.75,3631968
2025-09-26,122.2,123.91,121.65,123.7,2899605
2025-09-29,124.44,124.58,122.83,122.92,3874669
2025-09-30,122.9,123.08,120.52,121.42,3730456
2025-10-01,120.85,122.61,120.785,122.32,3443702
2025-10-02,122.47,122.5,120.02,121.49,4562181
2025-10-03,121.65,122.25,119.84,120.22,5911349
2025-10-06,120.73,123.1499,120.05,120.35,5474253
2025-10-07,120.49,121.1,119.14,119.85,4415874
2025-10-08,120.235,120.77,118.91,119.99,4407384
2025-10-09,120.46,121.4182,119.56,120.15,3415243
2025-10-10,120.3,120.58,116.32,118.19,5107060
2025-10-13,118.91,119.8,118.25,118.86,3344832
2025-10-14,117.69,124.47,117.69,122.89,6171640
2025-10-15,124.335,125.875,122.69,124.26,5677933
2025-10-16,124.26,126.97,122.045,122.89,5254222
2025-10-17,123.065,126.4,122.805,125.91,4479100
2025-10-20,126.11,128.5,125.79,127.21,3977111
2025-10-21,126.87,129.5,126.675,128.56,3331492
2025-10-22,128.52,128.965,127.31,127.5,3292727
2025-10-23,127.53,128.8,126.74,127.35,3239443
2025-10-24,127.65,129.06,127.35,127.99,3344365
2025-10-27,128.23,129.54,126.38,129.07,3838994
2025-10-28,129.59,130.05,127.67,128.01,4463174
2025-10-29,127.87,128.68,125.465,126.48,5102906
2025-10-30,125.47,128.275,125.26,126.34,4013366
2025-10-31,126.18,127.15,125.26,126.54,3481550
2025-11-03,126.46,127.325,124.6201,126.8,4053762
2025-11-04,125.5,125.99,121.93,122.35,5967308
2025-11-05,122.0,124.09,121.6,122.5,4580421
2025-11-06,122.38,123.39,119.82,120.53,9853439
2025-11-07,125.495,125.76,117.1473,120.88,11755950
2025-11-10,121.94,122.83,119.78,120.2,7481669
2025-11-11,120.28,123.459,120.0,122.53,4425011
2025-11-12,122.66,122.85,120.705,121.69,3713821
2025-11-13,121.505,123.4,121.0,121.19,3715970
2025-11-14,120.92,122.75,119.6042,122.02,4119734
2025-11-17,120.74,121.33,116.7012,117.6,5187054
2025-11-18,116.59,118.54,115.39,115.42,5547169
2025-11-19,115.5,115.91,114.075,114.44,4516081
2025-11-20,114.51,115.14,110.81,111.54,7206680
2025-11-21,112.17,115.69,111.84,114.26,6866157
2025-11-24,114.665,115.05,113.38,114.41,6476412
2025-11-25,114.465,119.24,114.465,118.56,7731122
2025-11-26,117.99,118.04,116.4,116.74,5112234
2025-11-28,116.755,117.79,116.4,116.99,2522283
2025-12-01,116.0,119.6196,115.645,118.8,4713156
2025-12-02,118.65,120.0907,117.37,118.5,6681480
2025-12-03,118.26,120.7225,117.63,120.13,5485468
2025-12-04,120.15,121.0,119.22,120.82,4024055
2025-12-05,120.92,124.81,120.4001,124.32,3962329
2025-12-08,124.215,124.215,120.915,122.01,4030344
2025-12-09,121.61,125.81,121.1538,125.39,3609041
2025-12-10,125.45,128.83,124.46,127.57,4731221
2025-12-11,127.6,129.61,126.97,128.0,5075704
2025-12-12,128.93,130.6,128.19,128.39,3581154
2025-12-15,129.29,132.25,128.3,131.81,5518099
2025-12-16,132.03,133.0485,131.17,132.01,4390926
2025-12-17,133.96,136.82,133.6211,133.78,6158389
2025-12-18,133.3,135.41,132.96,133.99,4257799
2025-12-19,134.15,137.05,133.61,135.28,10530750
2025-12-22,136.09,138.52,135.95,136.95,5568207
2025-12-23,136.6,137.21,135.58,136.49,3464822
2025-12-24,136.01,137.99,135.81,136.78,1457175
2025-12-26,136.73,137.2113,136.15,136.82,1776009
2025-12-29,136.5,137.16,136.16,136.62,2773301
2025-12-30,135.89,137.42,135.89,136.91,2406200
2025-12-31,136.62,137.58,135.565,135.72,2188111
2026-01-02,135.94,136.11,132.34,133.01,3863838
2026-01-05,133.1,137.96,132.635,135.87,4336138
2026-01-06,135.95,138.38,135.945,138.02,3112977
2026-01-07,137.65,139.55,136.83,137.04,3585125
2026-01-08,136.105,138.78,134.55,138.66,3593052
2026-01-09,140.005,141.4,137.91,139.27,4578134
2026-01-12,139.28,140.24,137.015,138.51,3371083
2026-01-13,138.14,140.19,136.5,140.07,4109111
2026-01-14,139.5,139.65,130.15,132.79,7681559
2026-01-15,134.54,135.5,131.93,132.6,4662441
2026-01-16,132.6,132.76,129.85,130.66,5061957
2026-01-20,127.83,132.035,127.83,130.73,4500923
2026-01-21,130.73,134.97,129.7,133.59,4645938
2026-01-22,134.32,137.21,133.51,133.8,3577461
2026-01-23,133.21,134.82,131.71,132.15,4302887
2026-01-26,132.49,134.51,131.18,133.39,3649200
2026-01-27,133.23,133.49,131.01,132.22,2530618
2026-01-28,132.54,134.115,131.51,131.55,2264162
2026-01-29,131.75,132.58,130.1,131.77,4251647
2026-01-30,130.97,131.56,129.06,129.37,3505684
2026-02-02,129.5,132.48,128.39,131.31,3220623
2026-02-03,130.24,131.06,120.1,122.075,6834497
2026-02-04,123.15,125.51,120.2,124.61,5457057
2026-02-05,124.24,125.0,120.79,121.27,4057778
2026-02-06,121.27,122.84,119.76,122.18,5352847
2026-02-09,121.81,122.49,120.25,121.31,4915178
2026-02-10,120.44,121.88,119.35,120.32,5512685
2026-02-11,120.955,122.35,118.1301,119.55,5842371
2026-02-12,119.55,121.48,115.5301,115.96,10090660
2026-02-13,126.465,127.01,119.66,121.35,11008600
2026-02-17,122.08,127.65,122.08,124.23,6695428
2026-02-18,124.18,126.02,122.5001,124.27,4518888
2026-02-19,123.84,126.04,122.67,125.81,6228942
2026-02-20,125.29,128.0,124.08,127.89,6475512
2026-02-23,127.09,128.15,119.94,122.96,6016476
2026-02-24,124.02,127.7,123.77,125.66,4695980
2026-02-25,126.5,132.15,125.8232,132.02,7253347
2026-02-26,132.195,137.48,132.195,136.97,7279628
2026-02-27,134.43,136.97,133.59,135.11,6498546
2026-03-02,129.5,134.455,128.59,133.26,4820022
2026-03-03,131.88,134.3,129.46,133.04,4059636
2026-03-04,133.24,137.935,133.155,135.54,4252523
2026-03-05,135.73,139.0,134.52,135.85,5522165
2026-03-06,133.89,133.9,130.975,133.23,4600495
2026-03-09,131.43,134.3,128.365,134.03,3920479
2026-03-10,132.805,134.58,130.075,132.44,3631402
2026-03-11,132.87,134.4,131.52,133.39,2171821
2026-03-12,132.45,133.24,126.115,127.7,4474216
2026-03-13,127.23,129.47,125.62,126.3,3001002
2026-03-16,127.28,129.235,126.91,128.32,3049270
2026-03-17,129.6,133.54,129.55,131.95,2811963
2026-03-18,131.2,134.0,130.99,131.13,3072008
2026-03-19,129.95,131.4,128.76,130.79,3541679
2026-03-20,130.03,130.71,127.7,128.52,7047906
2026-03-23,130.29,134.03,129.98,132.59,3568357
2026-03-24,132.2,132.2,128.42,130.0,3167629
2026-03-25,130.89,132.935,129.89,131.81,2732193
2026-03-26,131.89,134.83,130.38,131.06,3353316
2026-03-27,129.22,129.915,122.46,122.87,4207196
2026-03-30,123.9,126.06,122.835,123.1,3022691
2026-03-31,125.07,127.055,123.165,126.28,3644160
2026-04-01,126.39,127.5,122.87,125.19,2926264
2026-04-02,122.8,126.18,121.51,124.95,3094935
2026-04-06,124.3,127.245,124.28,126.81,2527902
2026-04-07,126.4,126.82,123.41,124.97,2735296
2026-04-08,130.99,134.26,130.49,131.4,3797224
2026-04-09,130.45,130.96,126.8,129.16,3653657
2026-04-10,128.87,130.535,124.835,128.96,3572699
2026-04-13,127.2,130.65,125.36,130.32,3256972
2026-04-14,130.5,134.66,130.47,133.85,3113508
2026-04-15,134.51,138.05,134.1,137.51,3562351
2026-04-16,138.87,139.95,136.91,137.81,2692580
2026-04-17,139.905,143.3,139.2,141.55,4056791
2026-04-20,141.0,143.87,140.338,143.59,2768678
2026-04-21,143.88,145.77,142.18,142.65,3310401
2026-04-22,146.475,147.25,142.75,144.18,4081778
2026-04-23,143.99,143.99,139.81,141.87,3189333
2026-04-24,140.17,142.9922,138.66,142.82,2705668
2026-04-27,140.97,143.67,140.0,141.06,2252024
2026-04-28,140.93,141.7,138.24,139.04,4225585
2026-04-29,136.25,140.36,135.95,140.28,3486641
2026-04-30,142.0,142.0,138.64,140.36,2857632
2026-05-01,141.32,143.4799,140.82,141.66,2528313
2026-05-04,142.71,143.52,138.5,138.86,3160350
2026-05-05,139.0,140.815,138.2258,139.73,3117989
2026-05-06,141.605,143.9,138.95,139.88,4379791
2026-05-07,140.5,142.19,138.64,140.46,7248337
2026-05-08,138.125,146.97,137.25,141.49,7842947
2026-05-11,141.745,146.29,136.905,137.05,5172812
2026-05-12,137.58,138.5151,134.3,135.48,4419932
2026-05-13,134.69,134.93,131.95,132.97,3440911
2026-05-14,133.0,134.66,132.61,133.67,2656233
2026-05-15,132.905,134.01,131.225,132.85,2800395
2026-05-18,133.5,137.26,132.3501,134.3,3739508
2026-05-19,133.07,135.5,130.01,131.16,3795679
2026-05-20,131.4,136.46,128.2,135.55,6548459
2026-05-21,134.665,135.07,130.15,134.25,4173979
2026-05-22,134.755,136.11,131.7301,132.35,3097906
2026-05-26,132.37,136.08,132.265,132.68,3331674
2026-05-27,132.54,134.575,131.93,132.1,3094887
2026-05-28,131.36,134.69,129.6956,134.5,3934769
2026-05-29,134.5,135.75,132.77,133.31,4207350
2026-06-01,133.31,138.04,132.075,137.87,4354311
2026-06-02,136.24,136.6,131.84,134.35,3499364
2026-06-03,133.22,134.8,131.9101,133.59,3607553
2026-06-04,136.01,137.235,133.19,133.72,3719663
2026-06-05,134.02,135.93,132.635,133.54,4044942
2026-06-08,133.69,136.4,133.3,134.43,3278041
2026-06-09,134.58,136.41,130.615,131.35,3492442
2026-06-10,130.22,132.25,128.39,129.1,3684154
2026-06-11,128.37,130.98,127.23,130.87,3955233
2026-06-12,132.33,132.72,128.825,132.28,2616274
2026-06-15,134.42,140.16,134.3039,138.96,4695230
2026-06-16,139.64,141.54,138.71,141.2,3672481
2026-06-17,140.69,143.8,139.5,140.54,3437959
2026-06-18,141.39,143.62,140.14,142.41,7413230
2026-06-22,140.98,142.57,137.91,139.19,4255749
2026-06-23,139.31,141.225,138.56,138.85,3428889
