date,open,high,low,close,volume
2025-09-02,145.88,148.0,142.9,147.74,5526264
2025-09-03,149.0,149.94,147.1,148.77,3261787
2025-09-04,147.0,148.71,145.88,148.39,2794828
2025-09-05,150.0,152.75,148.68,151.85,3103196
2025-09-08,154.4,155.05,151.93,154.18,3303595
2025-09-09,155.0,155.3,152.1,152.75,2417698
2025-09-10,154.03,156.18,151.9513,152.82,3179654
2025-09-11,152.48,153.82,151.1994,153.73,2552348
2025-09-12,154.52,154.97,151.77,153.25,2280308
2025-09-15,152.0,154.38,151.21,153.76,3091586
2025-09-16,153.43,154.136,150.85,152.4,3378234
2025-09-17,150.21,154.93,149.7,153.2,3778636
2025-09-18,151.77,154.53,150.73,154.38,2847429
2025-09-19,155.5,162.53,154.88,161.19,9138217
2025-09-22,164.64,164.64,160.265,161.19,4859572
2025-09-23,162.83,163.89,161.2,162.39,2995655
2025-09-24,162.1,162.61,157.9,157.93,2820444
2025-09-25,157.93,160.45,156.95,159.9,2709217
2025-09-26,160.78,164.585,160.115,163.42,2480881
2025-09-29,167.49,168.55,165.64,166.77,3973478
2025-09-30,164.98,169.38,164.76,168.56,2474629
2025-10-01,169.59,171.45,169.3301,170.19,2399949
2025-10-02,171.25,171.34,163.86,168.14,3339204
2025-10-03,169.45,170.23,167.82,169.42,1766661
2025-10-06,170.3,172.208,169.22,170.41,2834546
2025-10-07,171.0,171.09,165.46,166.29,2707152
2025-10-08,170.36,170.77,166.34,169.57,3061838
2025-10-09,170.0,170.2,160.15,161.73,3333757
2025-10-10,162.5,164.575,161.01,164.38,2840622
2025-10-13,167.51,172.285,167.51,172.1,2477611
2025-10-14,169.4,173.5,169.03,171.19,2690926
2025-10-15,172.59,179.2,172.29,178.74,2619710
2025-10-16,180.52,187.5,178.98,185.52,3493080
2025-10-17,181.94,182.2,170.43,174.49,4081908
2025-10-20,178.48,179.05,174.95,178.5,2609300
2025-10-21,167.98,168.54,160.275,163.2,5728467
2025-10-22,160.01,164.25,158.28,163.5,3298205
2025-10-23,166.69,166.69,163.46,164.67,1966384
2025-10-24,161.42,164.84,160.0,163.35,2240960
2025-10-27,156.51,160.21,152.0901,155.17,5391842
2025-10-28,151.92,157.1499,150.6752,156.79,3580079
2025-10-29,161.03,161.03,155.87,156.78,3292435
2025-10-30,157.35,163.97,156.1501,162.61,3032306
2025-10-31,163.01,163.01,158.68,160.81,2040882
2025-11-03,160.35,162.63,159.05,162.51,1869570
2025-11-04,157.78,160.386,155.75,155.91,2742807
2025-11-05,158.31,160.61,157.87,159.68,1902978
2025-11-06,160.96,163.29,159.26,159.29,2023736
2025-11-07,160.66,161.46,157.33,161.41,2221337
2025-11-10,165.0,169.12,163.63,167.92,2921163
2025-11-11,168.62,168.62,163.4,167.84,1861680
2025-11-12,168.49,174.67,166.81,173.1,2446526
2025-11-13,173.82,174.45,167.53,168.87,2552476
2025-11-14,162.7,169.217,161.18,168.11,2449941
2025-11-17,166.74,168.91,163.925,164.94,2957479
2025-11-18,166.64,168.226,163.685,166.49,1877861
2025-11-19,169.555,172.59,166.22,167.67,1718883
2025-11-20,168.71,169.61,158.42,158.6,2169528
2025-11-21,157.33,161.05,156.05,160.0,2411205
2025-11-24,161.58,166.49,161.08,166.2,2149773
2025-11-25,166.0,168.11,164.862,165.87,1563749
2025-11-26,167.89,173.88,167.4,173.02,2301535
2025-11-28,175.0,175.253,172.4784,174.43,1319450
2025-12-01,175.9,176.0,170.8,172.01,2599814
2025-12-02,171.01,171.605,164.31,169.77,2174967
2025-12-03,171.2,172.04,168.21,169.18,1172637
2025-12-04,168.3,171.88,167.5,171.43,1396234
2025-12-05,173.0,173.2499,167.48,168.83,2477032
2025-12-08,169.39,170.0,164.55,164.72,2785992
2025-12-09,165.51,167.55,165.16,166.28,1930893
2025-12-10,164.61,165.65,160.2,164.11,3564257
2025-12-11,164.67,172.39,163.7,170.4,2350463
2025-12-12,174.11,174.85,167.31,168.27,2635803
2025-12-15,171.94,172.695,167.6,168.4,2978966
2025-12-16,168.89,170.38,166.0,166.53,2301678
2025-12-17,167.68,168.8,164.67,167.51,2339052
2025-12-18,167.16,170.94,166.18,168.61,2778063
2025-12-19,168.8,176.62,168.65,174.21,6564957
2025-12-22,179.419,181.33,177.31,180.13,3215334
2025-12-23,181.27,182.34,178.3172,181.27,1706722
2025-12-24,183.02,183.98,180.6184,183.21,1151834
2025-12-26,183.02,183.98,180.6184,183.21,1426836
2025-12-29,175.5,175.9999,169.39,171.34,3553669
2025-12-30,174.44,174.505,171.15,171.84,1809902
2025-12-31,170.22,173.11,169.09,169.53,1225711
2026-01-02,170.24,171.0,165.0,170.45,2079923
2026-01-05,173.91,181.65,172.7,175.16,2870360
2026-01-06,176.68,180.75,175.3,180.62,1919307
2026-01-07,176.29,182.4,174.31,182.07,2461669
2026-01-08,178.9,186.53,178.51,186.47,2197717
2026-01-09,187.4,191.8799,186.84,191.14,2581449
2026-01-12,196.53,199.0,194.0201,194.33,3111093
2026-01-13,197.0,200.8,195.53,199.08,2800270
2026-01-14,201.95,201.95,194.18,197.28,3071626
2026-01-15,196.31,201.8762,194.4,200.42,1990015
2026-01-16,199.05,200.215,194.7,197.48,2158265
2026-01-20,206.06,209.58,205.5,209.09,3291223
2026-01-21,213.73,213.8,203.91,205.35,3591127
2026-01-22,206.51,215.25,206.255,213.69,2449890
2026-01-23,215.5,215.95,211.87,214.54,2598091
2026-01-26,220.62,223.4399,215.34,215.41,3811359
2026-01-27,217.0,218.24,209.65,216.16,3101873
2026-01-28,219.15,224.3009,216.6145,222.99,2866799
2026-01-29,224.52,225.0,209.93,215.51,4298601
2026-01-30,202.53,204.62,188.5201,190.5,7153557
2026-02-02,187.83,195.0,187.04,190.82,3724947
2026-02-03,201.145,201.98,191.22,197.35,3558856
2026-02-04,200.77,201.35,190.83,198.54,2958732
2026-02-05,193.79,198.99,188.8,189.45,3999813
2026-02-06,194.59,198.7499,194.59,196.6,2732522
2026-02-09,200.0,210.33,199.88,209.84,2626875
2026-02-10,211.78,212.875,209.545,211.89,2062517
2026-02-11,217.09,218.25,209.76,217.19,1799371
2026-02-12,214.51,218.65,205.15,205.21,3761520
2026-02-13,208.25,217.2199,205.4,216.59,2672936
2026-02-17,210.01,214.4,207.01,212.96,2232986
2026-02-18,215.8,223.23,213.59,220.64,2827479
2026-02-19,219.98,224.76,218.08,224.47,1680071
2026-02-20,224.85,229.09,221.0,228.26,2389912
2026-02-23,230.4,240.8199,230.0,240.49,2688131
2026-02-24,235.8,245.81,234.28,244.14,1824066
2026-02-25,245.61,245.61,239.66,240.55,2155201
2026-02-26,239.09,246.78,236.27,246.4,1612472
2026-02-27,248.71,252.78,247.0704,251.6,2510564
2026-03-02,253.62,255.24,244.16,252.19,2500718
2026-03-03,239.095,239.095,226.88,234.52,3603454
2026-03-04,240.01,241.1,229.0,232.73,1947978
2026-03-05,229.12,229.78,214.89,221.49,5380361
2026-03-06,217.42,224.69,215.01,221.0,2178946
2026-03-09,215.54,225.78,212.445,224.75,2098170
2026-03-10,228.47,231.8,226.5,226.94,1959891
2026-03-11,222.23,224.49,216.68,222.81,1774670
2026-03-12,221.7,222.71,215.81,218.24,1637895
2026-03-13,216.97,216.97,206.65,207.54,2879504
2026-03-16,206.17,212.13,205.45,210.16,2510851
2026-03-17,211.49,214.99,207.9501,209.45,1545407
2026-03-18,202.36,203.6599,194.261,196.09,3172785
2026-03-19,180.01,186.75,178.5,184.78,5781304
2026-03-20,185.28,185.29,175.56,179.13,7621433
2026-03-23,179.71,188.06,178.91,184.04,3783700
2026-03-24,181.17,185.98,178.5701,183.49,2627241
2026-03-25,192.0,193.66,188.29,192.07,4147807
2026-03-26,186.39,196.13,185.21,187.56,3642425
2026-03-27,185.31,194.44,185.31,193.4,3051494
2026-03-30,196.91,198.52,189.37,191.86,2442635
2026-03-31,196.75,203.41,196.41,202.98,3312337
2026-04-01,208.56,213.65,206.01,210.08,3210782
2026-04-02,200.685,211.5,198.3581,208.54,2182881
2026-04-06,208.99,210.85,207.71,208.5,1427732
2026-04-07,207.42,209.76,202.6647,209.62,1416224
2026-04-08,220.35,221.99,213.23,215.59,2929382
2026-04-09,216.64,220.385,213.29,216.44,1387877
2026-04-10,217.8,219.72,215.73,218.75,2081186
2026-04-13,216.27,218.94,214.37,217.38,1318064
2026-04-14,219.25,222.92,217.7785,219.94,1839007
2026-04-15,218.11,220.16,213.72,214.4,1833697
2026-04-16,215.14,217.1,213.38,214.93,1496164
2026-04-17,217.74,224.35,217.74,220.1,2099908
2026-04-20,217.98,218.08,212.02,216.39,2045896
2026-04-21,214.66,216.07,202.73,203.09,2670511
2026-04-22,207.48,207.81,203.29,204.07,2124469
2026-04-23,200.25,202.17,195.8,198.96,2670205
2026-04-24,201.58,201.66,197.69,200.23,2148635
2026-04-27,198.03,200.43,196.6901,198.13,1660824
2026-04-28,193.5,194.74,187.56,189.23,2973723
2026-04-29,186.83,186.99,183.19,183.56,2354572
