date,open,high,low,close,volume
2025-09-02,9.63,9.76,9.62,9.76,17737830
2025-09-03,9.76,9.96,9.74,9.95,19333370
2025-09-04,9.95,10.24,9.94,10.2,37086450
2025-09-05,10.3,10.38,10.27,10.37,27546950
2025-09-08,10.38,10.41,10.31,10.34,23386090
2025-09-09,10.37,10.44,10.3,10.35,28855340
2025-09-10,10.36,10.44,10.23,10.25,26282150
2025-09-11,10.26,10.3151,10.2,10.23,15814970
2025-09-12,10.23,10.24,10.14,10.18,14407310
2025-09-15,10.185,10.23,10.16,10.19,12785710
2025-09-16,10.21,10.23,10.09,10.13,15244060
2025-09-17,10.18,10.31,10.14,10.21,19431950
2025-09-18,10.2,10.2301,10.08,10.1,13952890
2025-09-19,10.12,10.13,9.94,9.97,33504920
2025-09-22,9.98,9.99,9.71,9.72,28970160
2025-09-23,9.75,9.85,9.7208,9.81,21551610
2025-09-24,9.84,9.84,9.73,9.76,18438000
2025-09-25,9.73,9.8,9.66,9.76,19326730
2025-09-26,9.79,9.95,9.77,9.84,23221680
2025-09-29,9.92,9.93,9.77,9.84,21118780
2025-09-30,9.74,9.81,9.68,9.79,18036300
2025-10-01,9.781,9.94,9.74,9.93,27286650
2025-10-02,9.94,10.03,9.84,10.01,17661900
2025-10-03,10.03,10.12,10.02,10.06,14348110
2025-10-06,10.06,10.07,9.86,9.88,20717410
2025-10-07,9.92,10.05,9.895,9.99,17801390
2025-10-08,10.015,10.16,10.015,10.16,17601730
2025-10-09,10.18,10.22,9.98,10.0,17521470
2025-10-10,10.055,10.1,9.895,9.93,22233210
2025-10-13,9.97,10.05,9.86,9.99,16351760
2025-10-14,9.94,10.05,9.84,10.01,19506750
2025-10-15,10.045,10.05,9.95,10.02,15618880
2025-10-16,10.04,10.09,9.89,9.92,21702670
2025-10-17,9.91,9.995,9.86,9.99,17500850
2025-10-20,10.0,10.15,9.96,10.1,25049940
2025-10-21,10.1,10.11,9.92,10.05,20254210
2025-10-22,10.06,10.25,10.06,10.2,26568180
2025-10-23,10.22,10.27,10.08,10.09,19794560
2025-10-24,10.16,10.3,10.15,10.2,24228940
2025-10-27,10.265,10.36,10.245,10.3,26179310
2025-10-28,10.29,10.31,10.16,10.19,23693170
2025-10-29,10.2,10.27,10.04,10.06,29271910
2025-10-30,10.07,10.1,9.96,10.0,30335460
2025-10-31,9.95,10.03,9.85,10.0,21561010
2025-11-03,9.99,10.07,9.88,10.05,22232870
2025-11-04,9.975,10.2,9.95,10.18,28393740
2025-11-05,10.18,10.3,10.18,10.24,20304330
2025-11-06,10.24,10.29,10.2,10.21,19952110
2025-11-07,10.18,10.34,10.17,10.34,20848520
2025-11-10,10.35,10.38,10.22,10.25,19099070
2025-11-11,10.27,10.37,10.27,10.31,23743480
2025-11-12,10.33,10.37,10.15,10.2,23366990
2025-11-13,10.18,10.22,10.11,10.14,21329980
2025-11-14,10.12,10.23,10.045,10.15,18352480
2025-11-17,10.18,10.23,10.07,10.1,18416060
2025-11-18,10.09,10.1599,10.06,10.11,20994690
2025-11-19,10.115,10.1365,10.05,10.08,15635160
2025-11-20,10.11,10.23,10.06,10.07,19881240
2025-11-21,10.09,10.325,10.065,10.28,25257300
2025-11-24,10.295,10.325,10.23,10.3,28355280
2025-11-25,10.32,10.41,10.27,10.4,39553350
2025-11-26,10.415,10.64,10.41,10.56,32234920
2025-11-28,10.48,10.58,10.465,10.49,16884590
2025-12-01,10.41,10.49,10.39,10.46,21370070
2025-12-02,10.47,10.54,10.45,10.46,17951150
2025-12-03,10.5,10.58,10.45,10.46,17112360
2025-12-04,10.47,10.5272,10.44,10.49,16026220
2025-12-05,10.51,10.67,10.465,10.62,23149460
2025-12-08,10.645,10.6499,10.47,10.49,19220580
2025-12-09,10.5,10.58,10.33,10.34,19150350
2025-12-10,10.362,10.42,10.29,10.38,14403920
2025-12-11,10.4,10.43,10.28,10.3,12046540
2025-12-12,10.3,10.43,10.3,10.32,12078660
2025-12-15,10.36,10.4,10.275,10.36,15347060
2025-12-16,10.37,10.4099,10.31,10.33,11534380
2025-12-17,10.365,10.58,10.36,10.44,20159850
2025-12-18,10.47,10.6293,10.465,10.57,21066230
2025-12-19,10.6,10.74,10.58,10.66,23426920
2025-12-22,10.7,10.86,10.675,10.86,16576600
2025-12-23,10.85,10.89,10.74,10.76,13238380
2025-12-24,10.79,10.855,10.78,10.84,5781680
2025-12-26,10.89,10.93,10.81,10.85,10134270
2025-12-29,10.87,10.89,10.76,10.82,16439160
2025-12-30,10.83,10.86,10.8,10.82,14534580
2025-12-31,10.715,10.81,10.695,10.72,15364480
2026-01-02,10.72,11.01,10.65,10.93,23172270
2026-01-05,10.93,11.12,10.91,11.07,26711050
2026-01-06,11.01,11.22,11.0,11.16,21415030
2026-01-07,11.19,11.25,11.03,11.06,16894380
2026-01-08,11.05,11.3,11.04,11.19,16946600
2026-01-09,11.48,11.64,11.35,11.41,38543640
2026-01-12,11.41,11.44,11.31,11.38,20107260
2026-01-13,11.4,11.43,11.27,11.35,19140560
2026-01-14,11.3,11.5899,11.26,11.57,17878160
2026-01-15,11.58,11.72,11.5,11.68,19753700
2026-01-16,11.7,11.93,11.685,11.93,19303270
2026-01-20,11.75,11.8,11.64,11.66,23918990
2026-01-21,11.705,11.72,11.52,11.7,19239850
2026-01-22,11.7,11.82,11.66,11.79,15069300
2026-01-23,11.82,11.89,11.77,11.85,14396450
2026-01-26,11.87,11.89,11.67,11.8,21210440
2026-01-27,11.87,12.18,11.835,12.17,27741820
2026-01-28,12.13,12.19,12.01,12.02,24285030
2026-01-29,12.13,12.13,11.79,11.97,27869590
2026-01-30,11.83,11.84,11.37,11.4,42452570
2026-02-02,11.325,11.4499,11.15,11.17,25155290
2026-02-03,11.27,11.53,11.26,11.49,18656040
2026-02-04,11.48,11.57,11.42,11.51,17040280
2026-02-05,11.41,11.53,11.32,11.4,16429540
2026-02-06,11.448,11.53,11.405,11.44,17098790
2026-02-09,11.41,11.45,11.235,11.34,18726050
2026-02-10,11.34,11.385,11.15,11.22,21882370
2026-02-11,11.255,11.52,11.25,11.43,21785530
2026-02-12,11.48,11.6,11.36,11.38,26996970
2026-02-13,11.405,11.54,11.225,11.36,22885470
2026-02-17,11.4,11.43,11.21,11.3,20643420
2026-02-18,11.295,11.37,11.26,11.31,16550830
2026-02-19,11.31,11.3851,11.26,11.32,16040110
2026-02-20,11.32,11.475,11.24,11.45,43887900
2026-02-23,11.46,11.56,11.165,11.27,24302340
2026-02-24,11.29,11.32,11.16,11.31,27093210
2026-02-25,11.34,11.39,11.12,11.29,21295710
2026-02-26,11.33,11.4,11.25,11.35,23020510
2026-02-27,11.2,11.27,11.14,11.21,26490840
2026-03-02,10.95,11.265,10.83,11.15,24365590
2026-03-03,10.9,11.13,10.8399,11.0,21564650
2026-03-04,11.01,11.1,10.925,10.97,20739770
2026-03-05,10.925,11.04,10.81,10.9,16740790
2026-03-06,10.79,10.81,10.62,10.64,20950230
2026-03-09,10.495,10.565,10.21,10.54,28309820
2026-03-10,10.6,10.82,10.55,10.72,15353410
2026-03-11,10.71,10.755,10.59,10.67,16047060
2026-03-12,10.63,10.63,10.37,10.39,18087070
2026-03-13,10.49,10.57,10.21,10.23,17573150
2026-03-16,10.33,10.5,10.315,10.33,14827190
2026-03-17,10.41,10.58,10.4,10.49,20348790
2026-03-18,10.4,10.495,10.285,10.3,17197070
2026-03-19,10.21,10.3962,10.21,10.29,18420970
2026-03-20,10.285,10.32,9.73,9.75,54083150
2026-03-23,9.945,10.14,9.87,10.01,35661560
2026-03-24,9.94,10.07,9.85,9.94,27163400
2026-03-25,10.06,10.18,10.0107,10.14,19121350
2026-03-26,10.03,10.08,9.82,9.84,19943360
2026-03-27,9.76,9.805,9.63,9.69,25044590
2026-03-30,9.79,9.98,9.72,9.84,22712490
2026-03-31,9.845,10.04,9.79,10.03,22629460
2026-04-01,10.04,10.15,10.0,10.02,17133410
2026-04-02,9.82,10.15,9.81,10.15,12504540
2026-04-06,10.13,10.295,10.11,10.2,13165400
2026-04-07,10.17,10.2299,10.05,10.09,12434160
2026-04-08,10.37,10.44,10.24,10.32,14492930
2026-04-09,10.29,10.51,10.28,10.48,14053930
2026-04-10,10.51,10.55,10.41,10.47,10958090
2026-04-13,10.4,10.53,10.34,10.52,14608830
2026-04-14,10.55,10.64,10.525,10.64,11698280
2026-04-15,10.665,10.76,10.56,10.74,11494300
2026-04-16,10.75,10.75,10.55,10.56,14574850
2026-04-17,10.66,10.92,10.63,10.9,20819480
2026-04-20,10.76,10.82,10.61,10.77,20030160
2026-04-21,10.825,11.12,10.81,10.91,20012410
2026-04-22,11.06,11.0999,10.85,10.91,16771410
2026-04-23,10.9,10.94,10.79,10.86,11045380
2026-04-24,10.905,11.05,10.835,11.02,12332000
2026-04-27,11.02,11.1,11.01,11.1,14372640
2026-04-28,11.07,11.12,11.04,11.08,14814240
2026-04-29,11.105,11.105,10.9138,10.97,24146700
2026-04-30,10.875,11.07,10.83,11.02,16337660
2026-05-01,11.02,11.02,10.92,10.94,11440340
2026-05-04,10.87,10.89,10.625,10.65,18180220
2026-05-05,10.65,10.76,10.63,10.72,10378690
2026-05-06,10.81,10.84,10.715,10.79,14166930
2026-05-07,10.785,10.8,10.65,10.72,11235910
2026-05-08,10.776,10.89,10.745,10.86,13189740
2026-05-11,10.83,10.9,10.785,10.8,11415550
2026-05-12,10.755,10.82,10.705,10.74,12384930
2026-05-13,10.72,10.72,10.62,10.63,13871730
2026-05-14,10.68,10.72,10.55,10.55,11879960
2026-05-15,10.48,10.49,10.32,10.34,18604300
2026-05-18,10.41,10.435,10.28,10.3,16824070
2026-05-19,10.25,10.27,10.11,10.13,16400500
2026-05-20,10.13,10.29,10.09,10.25,21656000
2026-05-21,10.185,10.29,10.09,10.26,15518080
2026-05-22,10.305,10.34,10.18,10.21,11690370
2026-05-26,10.295,10.45,10.25,10.43,15649180
2026-05-27,10.465,10.615,10.445,10.51,14273730
2026-05-28,10.475,10.565,10.44,10.55,16530220
2026-05-29,10.405,10.44,10.355,10.41,14947760
2026-06-01,10.19,10.37,10.12,10.23,14763800
2026-06-02,10.22,10.3299,10.19,10.2,11744160
2026-06-03,10.125,10.23,10.08,10.17,10501420
2026-06-04,10.21,10.41,10.21,10.29,15649290
2026-06-05,10.22,10.29,10.15,10.17,10912670
2026-06-08,10.2,10.27,10.065,10.11,14370010
2026-06-09,10.19,10.32,10.17,10.31,12636040
2026-06-10,10.25,10.3698,10.17,10.18,17007310
2026-06-11,10.25,10.36,10.22,10.3,13632520
2026-06-12,10.335,10.375,10.29,10.31,12412790
2026-06-15,10.46,10.55,10.4001,10.46,13246910
2026-06-16,10.49,10.62,10.48,10.56,11449120
2026-06-17,10.565,10.59,10.23,10.3,16399660
2026-06-18,10.38,10.42,10.32,10.38,19081020
2026-06-22,10.36,10.445,10.349,10.38,11867210
2026-06-23,10.335,10.45,10.3,10.44,12446830
2026-06-24,10.455,10.55,10.45,10.49,11262220
2026-06-25,10.5,10.65,10.46,10.62,12990310
2026-06-26,10.62,10.91,10.59,10.9,33687430
2026-06-29,10.9,11.0,10.785,11.0,25083500
2026-06-30,10.79,11.03,10.78,10.9,21009600
2026-07-01,10.82,10.91,10.762,10.79,14539010
2026-07-02,10.885,11.0,10.81,11.0,16187550
2026-07-06,10.98,11.22,10.97,11.17,21105630
2026-07-07,11.17,11.25,11.055,11.12,14462290
2026-07-08,11.08,11.11,10.9,10.94,12852190
2026-07-09,10.99,11.16,10.91,11.07,13624990
2026-07-10,11.12,11.18,11.06,11.13,12156020
2026-07-13,11.12,11.14,10.95,10.99,15081730
2026-07-14,11.08,11.24,11.0501,11.18,14373460
2026-07-15,11.24,11.44,11.215,11.32,16125010
2026-07-16,11.325,11.45,11.31,11.43,15055600
2026-07-17,11.35,11.4,11.16,11.22,23930130
