date,open,high,low,close,volume
2025-09-02,177.13,180.7,167.5,174.24,5872273
2025-09-03,174.765,179.985,172.5001,176.61,3227676
2025-09-04,178.9,188.05,174.51,187.95,7121114
2025-09-05,194.5,197.37,184.0,191.2,6502946
2025-09-08,194.7,220.69,194.01,216.1,9797759
2025-09-09,213.305,217.92,208.28,214.49,4669694
2025-09-10,225.435,230.88,217.0,230.37,6204624
2025-09-11,233.74,237.82,228.51,232.9,4051927
2025-09-12,233.0,234.7698,226.0,229.5,3698976
2025-09-15,229.0,235.88,226.2,231.29,3254157
2025-09-16,232.89,241.29,231.99,238.79,4370701
2025-09-17,244.225,252.6,236.36,249.38,5925315
2025-09-18,255.0,262.9,244.0501,251.88,6183806
2025-09-19,245.31,249.61,231.18,245.2,22438640
2025-09-22,239.875,243.2,232.0,237.3,6360511
2025-09-23,236.49,236.49,219.25,230.11,6143565
2025-09-24,212.0,213.69,195.68,205.27,13345540
2025-09-25,192.55,205.17,191.66,200.64,6227743
2025-09-26,200.535,201.99,193.25,197.78,3317839
2025-09-29,208.215,209.54,198.29,198.8,4092218
2025-09-30,200.69,205.4,189.28,195.8,5498605
2025-10-01,191.79,195.88,186.1197,194.5,4896079
2025-10-02,200.0,211.6858,198.2,209.6,6604137
2025-10-03,212.5,214.29,198.28,200.74,5188079
2025-10-06,228.56,232.0,217.0,220.81,8726006
2025-10-07,221.11,224.12,205.92,212.1,4777072
2025-10-08,214.74,219.675,211.34,219.36,3672365
2025-10-09,222.0,229.75,219.15,225.43,4635480
2025-10-10,226.17,230.0,205.82,206.21,6984434
2025-10-13,214.465,216.27,196.0,199.53,7648896
2025-10-14,183.84,184.0,160.12,161.55,17592460
2025-10-15,170.57,170.58,158.35,161.465,7563340
2025-10-16,163.96,167.4098,159.8,163.55,6249650
2025-10-17,159.63,160.2652,154.5,159.8,5850354
2025-10-20,155.01,159.75,153.4001,156.31,5762707
2025-10-21,154.5,161.1951,150.33,157.51,4556805
2025-10-22,153.86,158.27,148.51,154.85,5274137
2025-10-23,154.89,166.33,154.89,163.64,5211831
2025-10-24,167.6,170.2,164.335,164.97,4528104
2025-10-27,171.0,174.23,168.0,170.28,3950306
2025-10-28,172.0,174.93,166.7304,168.25,2931104
2025-10-29,171.0,175.4999,169.5001,173.62,3182850
2025-10-30,168.01,175.64,167.42,169.55,3084501
2025-10-31,181.5,201.86,181.0,186.68,9392262
2025-11-03,191.385,198.24,187.5,191.56,6035634
2025-11-04,181.37,193.21,179.31,179.31,8955949
2025-11-05,184.075,191.4,172.72,181.94,9339570
2025-11-06,181.72,184.0,162.38,162.83,6767564
2025-11-07,157.12,165.495,151.61,165.49,6400438
2025-11-10,173.0,176.8,167.55,173.74,4846607
2025-11-11,170.06,174.37,166.54,167.55,3254691
2025-11-12,167.76,167.955,153.95,157.79,5811875
2025-11-13,154.99,155.07,137.91,144.47,7824639
2025-11-14,139.23,151.4,136.6434,144.34,5697380
2025-11-17,145.375,147.49,137.43,141.39,5409946
2025-11-18,138.1,144.05,136.81,139.52,4069808
2025-11-19,139.53,144.71,137.8,142.01,4224906
2025-11-20,154.48,160.7725,137.55,139.29,10310830
2025-11-21,138.6,143.92,131.42,141.8,6831355
2025-11-24,145.73,151.6084,145.0,147.75,13436480
2025-11-25,143.515,145.34,136.54,144.78,4268954
2025-11-26,145.61,156.68,144.0443,154.22,5194214
2025-11-28,157.09,158.42,152.33,157.57,2422156
2025-12-01,155.62,173.204,152.81,165.19,7596023
2025-12-02,172.31,182.53,142.51,142.94,17797300
2025-12-03,150.32,153.6,144.67,152.5,7766128
2025-12-04,150.99,154.0,147.0,152.51,3813669
2025-12-05,154.85,163.12,154.14,161.23,4414063
2025-12-08,162.9,176.65,161.55,175.74,8033311
2025-12-09,164.09,171.71,163.5101,167.08,5018901
2025-12-10,166.57,167.199,162.61,164.315,2947510
2025-12-11,161.63,174.4,153.25,173.7,5541079
2025-12-12,172.49,172.49,146.88,148.85,10324260
2025-12-15,150.5,152.19,143.08,143.66,5503006
2025-12-16,141.55,147.25,140.61,144.94,3551046
2025-12-17,149.77,152.76,140.1,140.24,4513504
2025-12-18,144.99,148.88,143.68,145.88,3374745
2025-12-19,145.96,166.93,145.96,164.4,9627023
2025-12-22,166.92,175.39,166.51,172.62,4824657
2025-12-23,166.75,171.83,164.5501,168.83,2505659
2025-12-24,169.02,172.33,167.5245,169.97,1279986
2025-12-26,172.13,172.88,166.1,167.26,2089530
2025-12-29,163.85,170.61,160.8,170.105,1939526
2025-12-30,170.52,175.9799,167.5,170.84,2401580
2025-12-31,170.5,174.22,166.3,166.36,2438509
2026-01-02,171.685,182.9,171.685,179.56,5658870
2026-01-05,184.98,185.18,162.53,167.11,7579649
2026-01-06,166.51,166.89,151.1,161.01,8028792
2026-01-07,158.0,168.49,153.2001,165.77,5045897
2026-01-08,164.97,167.7999,155.55,156.73,3936021
2026-01-09,158.06,164.5,155.64,162.61,4093695
2026-01-12,160.44,175.8,160.25,172.57,4439129
2026-01-13,175.0,183.5,172.8,180.56,4457103
2026-01-14,176.05,176.05,167.1,172.14,3622807
2026-01-15,176.61,180.66,170.459,174.45,3906835
2026-01-16,179.09,188.0,177.71,182.0,5422777
2026-01-20,173.37,189.8,173.02,183.75,5298287
2026-01-21,184.88,184.88,165.3,176.005,6687290
2026-01-22,180.6,182.01,170.54,176.35,4011429
2026-01-23,177.215,178.0,163.53,169.66,6106393
2026-01-26,168.13,173.52,162.7346,163.25,4026921
2026-01-27,164.36,171.69,160.98,170.93,3385333
2026-01-28,172.48,176.6764,165.3695,167.9,3801170
2026-01-29,166.6,167.295,154.05,160.46,4376582
2026-01-30,158.81,161.17,149.13,150.62,4281170
2026-02-02,148.0,153.6399,146.76,152.44,3132570
2026-02-03,155.78,163.0,150.5,158.52,5289956
2026-02-04,158.5,159.5,141.44,144.67,5743557
2026-02-05,140.01,145.65,137.5,142.82,4476894
2026-02-06,152.425,170.01,151.42,169.85,7290562
2026-02-09,169.58,188.4299,169.0,187.67,7420594
2026-02-10,191.605,192.86,181.01,182.86,8429920
2026-02-11,160.76,162.0,141.6601,143.71,16419390
2026-02-12,146.08,148.8,126.05,126.58,11444100
2026-02-13,128.0,133.29,122.57,129.32,7735830
2026-02-17,126.34,126.6452,117.41,123.69,7105650
2026-02-18,124.56,131.67,122.81,129.58,4355169
2026-02-19,128.7,133.2,127.4,132.62,2904560
2026-02-20,130.31,135.2,128.26,129.68,3644406
2026-02-23,127.23,128.56,123.45,128.24,3023560
2026-02-24,129.69,131.4799,126.5,128.4,2894034
2026-02-25,128.25,129.0,121.74,128.15,5330335
2026-02-26,126.8,127.29,120.96,124.67,3800714
2026-02-27,122.66,124.0,117.5,118.83,5156509
2026-03-02,112.97,121.335,112.13,120.55,4652138
2026-03-03,115.02,115.24,107.08,109.8,5896158
2026-03-04,111.93,116.7099,109.2,113.77,5440146
2026-03-05,119.54,124.19,117.38,120.0,6441232
2026-03-06,116.86,124.45,115.67,119.2,4433968
2026-03-09,115.73,122.34,111.76,122.31,5939855
2026-03-10,122.02,123.0,115.83,116.48,4284947
2026-03-11,116.0,128.15,116.0,124.71,5401657
2026-03-12,123.11,124.3,118.05,119.9,3620717
2026-03-13,121.28,123.15,117.26,120.31,3447084
2026-03-16,123.0,130.1399,122.48,127.48,4610383
2026-03-17,130.0,135.18,124.86,127.57,5941277
2026-03-18,127.06,129.425,123.01,126.34,3844915
2026-03-19,123.225,127.43,119.64,126.16,4170312
2026-03-20,124.39,124.625,114.75,116.04,8694512
2026-03-23,117.5,125.1,117.37,123.87,4051721
2026-03-24,122.54,124.14,118.6,121.76,2677042
2026-03-25,124.66,126.53,119.33,120.33,2733340
2026-03-26,117.17,119.84,113.57,113.605,3102168
2026-03-27,111.0,114.63,110.84,112.47,2873794
2026-03-30,112.71,113.1138,97.89,100.27,5169641
2026-03-31,100.69,110.44,100.1,109.6,5104484
2026-04-01,111.21,111.9999,105.86,106.33,4783082
2026-04-02,101.68,117.31,101.5276,117.14,4496109
2026-04-06,116.85,122.47,116.722,117.99,2726262
2026-04-07,117.28,119.6946,114.8378,118.99,4452254
2026-04-08,128.0,130.0,121.92,125.46,4105854
2026-04-09,125.89,129.68,123.5,129.46,3766929
2026-04-10,134.73,151.38,134.52,149.05,10909520
2026-04-13,152.01,167.3899,150.3,166.795,10035230
2026-04-14,165.475,171.92,158.5,170.6,7658869
2026-04-15,170.89,175.6,165.94,172.09,5064585
2026-04-16,173.0,173.58,161.05,170.81,4529234
2026-04-17,173.78,175.05,167.24,174.05,5165853
2026-04-20,174.395,176.9699,168.2,175.8,4180460
2026-04-21,188.75,196.77,183.5001,191.97,10877850
2026-04-22,199.065,200.21,187.24,194.06,6144170
2026-04-23,190.1,204.49,190.1,197.54,5396477
2026-04-24,203.24,214.2374,202.615,212.84,6661880
2026-04-27,209.66,210.92,193.215,196.64,5422540
2026-04-28,181.195,190.1,179.54,183.31,4965288
2026-04-29,187.45,196.97,181.88,196.85,4959686
2026-04-30,199.68,200.46,184.21,194.74,5151961
2026-05-01,195.98,205.1,192.59,202.68,4343615
2026-05-04,204.04,209.38,199.81,201.25,4155499
2026-05-05,207.43,220.79,207.325,215.69,8142468
2026-05-06,229.75,231.73,202.18,213.91,8552971
2026-05-07,212.56,213.49,192.33,195.65,6551405
2026-05-08,202.0,203.4999,189.69,199.79,4610117
2026-05-11,196.36,208.36,195.88,207.35,5615434
2026-05-12,202.35,214.41,192.6,204.42,5053763
2026-05-13,206.975,224.76,204.55,224.09,6415600
2026-05-14,224.83,230.33,215.8,228.64,4614968
2026-05-15,216.5,239.765,210.42,232.68,5941753
2026-05-18,236.1892,236.6999,210.02,215.58,6161282
2026-05-19,212.96,255.96,210.55,244.26,9430512
2026-05-20,251.41,287.6999,250.44,287.48,10294580
2026-05-21,285.1,298.3568,281.91,297.84,7004344
2026-05-22,300.0,315.81,299.94,306.88,6527347
2026-05-26,315.0,321.99,290.5,318.72,8114865
2026-05-27,323.5,326.9699,305.735,325.33,5140913
2026-05-28,334.08,354.53,326.66,349.17,5591818
2026-05-29,348.0,350.87,329.61,342.85,5985713
2026-06-01,328.12,333.4299,316.0001,320.09,5559149
2026-06-02,324.62,356.39,322.47,355.76,5572653
2026-06-03,363.555,372.37,337.0,363.54,5309510
