date,open,high,low,close,volume
2025-09-02,81.99,82.19,79.1402,79.54,4041594
2025-09-03,79.17,80.85,78.61,80.11,1925998
2025-09-04,79.53,79.745,78.15,79.27,3900531
2025-09-05,82.21,84.89,80.86,81.54,4805519
2025-09-08,82.15,82.66,80.07,82.0,2332692
2025-09-09,75.22,76.0,71.385,72.58,13545170
2025-09-10,73.29,74.73,72.105,73.32,5511299
2025-09-11,71.84,76.14,71.25,75.05,3595608
2025-09-12,74.24,76.34,73.0949,75.98,2508557
2025-09-15,78.09,81.66,77.5,81.04,5011902
2025-09-16,80.77,82.0,79.92,80.94,2255678
2025-09-17,80.89,82.45,78.91,80.16,2616696
2025-09-18,80.95,81.6,79.33,80.93,2218053
2025-09-19,82.1,83.93,81.31,81.84,3672562
2025-09-22,80.44,82.49,79.88,80.38,2537391
2025-09-23,80.86,83.39,79.59,80.12,2249026
2025-09-24,83.5,85.605,81.14,81.58,3532702
2025-09-25,81.71,87.3,80.29,84.83,4456002
2025-09-26,83.91,89.3495,83.4,88.1,4186636
2025-09-29,90.58,91.3099,86.03,86.88,3344095
2025-09-30,85.5,85.564,79.3,81.08,5385642
2025-10-01,81.97,85.58,81.97,84.47,3616433
2025-10-02,85.0,90.094,84.72,87.61,3121684
2025-10-03,87.12,89.1999,85.85,88.22,2570442
2025-10-06,89.6,93.73,88.5,92.03,3402625
2025-10-07,91.9,93.13,89.01,90.53,2238855
2025-10-08,91.955,92.85,89.6901,91.69,2518874
2025-10-09,95.62,99.86,94.4525,96.5,5594888
2025-10-10,95.4,96.16,89.7511,89.86,4302609
2025-10-13,92.03,99.13,92.0,96.34,4161019
2025-10-14,92.65,97.67,91.0,96.24,3624841
2025-10-15,98.04,99.49,95.57,98.16,3313204
2025-10-16,98.54,99.15,94.29,95.29,2606656
2025-10-17,93.43,96.0,91.5,92.74,3547340
2025-10-20,94.0,97.69,94.0,96.14,2927084
2025-10-21,94.5,94.86,90.92,91.34,2486929
2025-10-22,90.8,91.99,88.76,91.27,1984347
2025-10-23,94.5,98.06,93.955,97.36,3455718
2025-10-24,100.17,106.955,99.65,105.64,5109652
2025-10-27,103.77,105.4699,95.69,96.23,4094682
2025-10-28,97.0,97.1499,94.7683,96.68,2509917
2025-10-29,96.8,101.035,96.45,97.8,2278695
2025-10-30,99.0,100.62,96.58,97.89,2366873
2025-10-31,96.9,99.97,96.5,98.23,4022240
2025-11-03,97.54,99.4,95.08,96.53,2737459
2025-11-04,91.71,92.5,88.01,88.45,5264282
2025-11-05,90.39,92.87,89.1,91.96,3369752
2025-11-06,94.0,97.104,91.0,91.26,3772790
2025-11-07,90.17,98.4215,90.01,97.18,4482756
2025-11-10,101.42,104.6,100.0,103.58,3390207
2025-11-11,102.5,103.89,101.18,103.88,2655430
2025-11-12,105.41,110.63,104.94,110.32,4399051
2025-11-13,112.35,119.28,112.02,114.57,7195885
2025-11-14,108.9,117.345,107.63,115.14,4691571
2025-11-17,120.01,125.8495,117.66,117.7,7466634
2025-11-18,116.37,122.42,114.91,121.39,4524125
2025-11-19,123.39,127.07,122.655,125.68,3631732
2025-11-20,121.08,125.85,115.68,116.42,5683154
2025-11-21,113.07,119.32,110.5829,116.82,4858584
2025-11-24,114.48,116.76,113.505,115.88,2844252
2025-11-25,119.71,125.776,117.9245,125.26,3548524
2025-11-26,124.08,127.7,122.1294,126.91,3060151
2025-11-28,127.79,130.56,126.5,129.99,1285312
2025-12-01,128.47,132.9,128.11,128.33,4016975
2025-12-02,130.26,130.26,127.135,128.14,2037088
2025-12-03,124.5,127.05,123.43,126.49,4144959
2025-12-04,125.32,126.49,117.6054,119.14,4241891
2025-12-05,123.81,129.88,122.7,125.19,5265002
2025-12-08,128.28,128.39,124.7204,127.2,3602785
2025-12-09,126.94,131.9,126.55,129.29,2362908
2025-12-10,131.0,134.37,129.73,133.21,2764351
2025-12-11,133.18,135.13,132.01,134.59,2291642
2025-12-12,136.1,136.1,129.8901,132.74,2775351
2025-12-15,132.96,134.35,130.6801,132.22,2080571
2025-12-16,131.92,134.48,130.4,131.07,2349312
2025-12-17,135.2,138.69,134.43,134.71,3105293
2025-12-18,135.4,140.78,133.88,140.48,3387597
2025-12-19,142.51,149.82,142.0,145.88,6845036
2025-12-22,146.9,150.72,143.84,145.38,3573572
2025-12-23,147.98,149.88,146.21,146.7,1736665
2025-12-24,144.0,148.51,143.5199,148.51,1181702
2025-12-26,150.28,152.08,147.74,150.01,1442193
2025-12-29,144.72,146.4499,141.25,144.58,2821961
2025-12-30,145.06,145.4234,141.662,142.01,1660199
2025-12-31,141.27,142.75,140.7,141.44,1742079
2026-01-02,143.77,144.75,141.43,143.93,2992850
2026-01-05,146.28,148.67,145.06,146.13,3112853
2026-01-06,150.85,164.98,150.29,158.15,5627828
2026-01-07,160.0,164.7999,157.21,161.57,4198828
2026-01-08,159.3,162.59,155.34,158.31,3332823
2026-01-09,158.07,162.98,157.0,161.29,2824363
2026-01-12,167.94,169.62,164.5,169.33,3422585
2026-01-13,175.0,177.67,172.75,176.88,3411540
2026-01-14,175.38,179.14,171.68,177.55,2538465
