date,open,high,low,close,volume
2025-09-02,24.97,25.3,24.52,24.56,1420057
2025-09-03,24.34,24.97,24.25,24.8,904893
2025-09-04,24.74,25.13,24.4,25.02,2085655
2025-09-05,25.19,25.9,25.03,25.23,1159280
2025-09-08,25.29,26.07,25.12,25.83,955937
2025-09-09,25.83,25.98,25.405,25.56,924990
2025-09-10,25.56,25.945,24.845,25.19,1693654
2025-09-11,25.3,25.525,24.97,25.3,692407
2025-09-12,25.29,25.392,25.09,25.29,746939
2025-09-15,25.49,25.84,25.02,25.23,1484120
2025-09-16,25.14,25.97,24.88,25.69,1068949
2025-09-17,25.8,26.78,25.74,25.88,879930
2025-09-18,26.34,26.6375,26.21,26.53,1116201
2025-09-19,26.83,26.89,25.135,25.29,2437039
2025-09-22,25.11,25.5913,24.645,25.39,1088097
2025-09-23,25.75,25.985,25.34,25.63,1877569
2025-09-24,25.64,26.42,25.26,25.29,1408712
2025-09-25,24.86,25.49,24.8401,25.32,1059052
2025-09-26,25.32,25.75,25.21,25.68,745627
2025-09-29,25.96,25.96,24.855,25.11,955055
2025-09-30,25.06,25.14,24.56,24.84,1266881
2025-10-01,24.68,24.91,23.51,23.98,1127659
2025-10-02,24.09,24.36,23.79,24.12,577054
2025-10-03,24.24,24.815,24.01,24.59,619983
2025-10-06,24.79,24.79,24.0,24.25,1244620
2025-10-07,24.23,24.23,23.34,23.41,1112562
2025-10-08,23.68,24.09,23.3602,23.9,995807
2025-10-09,23.9,24.045,23.55,23.56,531460
2025-10-10,23.73,24.06,23.1012,23.53,839462
2025-10-13,23.99,23.99,23.11,23.14,513643
2025-10-14,22.89,23.335,22.67,23.29,753278
2025-10-15,23.75,23.99,22.69,23.12,1122274
2025-10-16,23.06,23.28,22.42,22.43,998477
2025-10-17,22.45,22.62,21.93,22.17,861177
2025-10-20,22.48,23.265,22.48,23.2,627316
2025-10-21,23.09,24.03,23.06,23.78,904986
2025-10-22,23.56,23.71,23.0,23.25,554789
2025-10-23,23.4,23.5,23.03,23.37,904800
2025-10-24,23.67,24.085,23.54,23.81,532368
2025-10-27,23.92,24.083,23.545,23.73,1137020
2025-10-28,23.87,24.12,23.34,23.39,890928
2025-10-29,23.22,23.39,22.285,22.59,1024253
2025-10-30,22.3,23.0,21.99,21.99,1108227
2025-10-31,20.37,21.49,19.28,20.29,7045037
2025-11-03,20.54,20.878,19.81,20.2,3028667
2025-11-04,19.83,19.92,19.36,19.51,1532448
2025-11-05,19.47,19.62,18.84,19.09,1695256
2025-11-06,18.99,19.47,18.97,19.08,1489871
2025-11-07,18.88,19.705,18.7113,19.45,1933915
2025-11-10,19.54,19.88,19.15,19.69,1899532
2025-11-11,19.69,20.35,19.615,20.31,2067432
2025-11-12,20.47,20.94,20.3646,20.67,1600936
2025-11-13,20.55,20.84,19.74,20.07,1199563
2025-11-14,19.62,21.8994,19.51,20.48,3331106
2025-11-17,20.14,20.88,19.85,20.4,1808214
2025-11-18,20.32,20.86,20.1451,20.74,1447896
2025-11-19,20.82,21.01,20.57,20.89,1368469
2025-11-20,20.98,21.7099,20.8,20.85,999008
2025-11-21,20.87,21.64,20.76,21.51,1231285
2025-11-24,21.44,21.48,21.17,21.41,1162578
2025-11-25,21.39,21.86,21.34,21.56,1472746
2025-11-26,21.61,21.7391,20.945,20.98,1330301
2025-11-28,21.09,21.35,20.9,21.32,606588
2025-12-01,21.03,21.15,20.61,20.79,1348672
2025-12-02,20.82,20.99,19.78,20.25,2249165
2025-12-03,20.17,21.16,19.9461,21.15,1748919
2025-12-04,20.78,21.3775,20.705,21.27,1335582
2025-12-05,21.27,21.68,21.0171,21.54,1187057
2025-12-08,21.68,21.96,21.0301,21.35,1270618
2025-12-09,21.3,23.4,21.26,22.15,1952384
2025-12-10,22.0,22.55,21.77,22.12,1943434
2025-12-11,22.4,23.0,22.19,22.49,1094072
2025-12-12,22.51,22.64,22.09,22.29,678077
2025-12-15,22.58,22.655,21.66,21.78,1278722
2025-12-16,21.66,22.385,21.66,22.15,910438
2025-12-17,22.07,22.65,21.8,22.32,1123996
2025-12-18,22.53,22.7,22.33,22.44,1003516
2025-12-19,22.37,22.74,22.21,22.73,1177110
2025-12-22,22.74,23.51,22.74,23.3,1028410
2025-12-23,22.97,23.21,22.815,23.08,863225
2025-12-24,23.13,23.135,22.84,23.01,295417
2025-12-26,23.02,23.21,22.86,23.14,690648
2025-12-29,22.59,23.4,22.59,23.4,605506
2025-12-30,22.89,23.49,22.89,23.21,853778
2025-12-31,23.18,23.3,22.845,23.07,819745
2026-01-02,23.11,23.18,22.22,22.68,1091142
2026-01-05,22.59,23.89,22.4229,23.67,1325586
2026-01-06,23.75,24.465,23.08,23.09,1562253
2026-01-07,23.15,23.955,23.03,23.5,733905
2026-01-08,23.13,23.25,22.05,22.18,2167540
2026-01-09,22.35,22.35,21.16,22.18,1349274
2026-01-12,21.93,22.21,21.44,21.96,943046
2026-01-13,21.95,22.135,21.55,21.8,798974
2026-01-14,21.54,21.73,21.13,21.58,1447515
2026-01-15,21.5,21.755,20.56,20.69,1237485
2026-01-16,20.69,20.825,19.75,19.88,1702467
2026-01-20,19.52,20.03,19.36,19.73,1265152
2026-01-21,19.83,20.12,19.45,19.62,1603927
2026-01-22,19.82,21.305,19.64,21.18,3008777
2026-01-23,21.0,21.19,20.435,20.65,1578199
2026-01-26,20.7,21.43,20.25,21.36,1141784
2026-01-27,21.36,21.36,20.615,21.1,1466297
2026-01-28,21.08,23.5,20.76,22.41,3213887
2026-01-29,22.16,22.265,20.75,21.19,3291196
2026-01-30,21.4,21.6451,20.785,21.19,1141154
2026-02-02,21.03,21.43,19.8275,19.98,1931763
2026-02-03,19.61,19.815,17.23,17.525,3733399
2026-02-04,17.41,17.89,16.63,17.83,2981457
2026-02-05,17.74,17.97,16.5712,16.84,1753118
2026-02-06,17.01,17.56,16.23,17.43,2827847
2026-02-09,17.42,17.42,16.65,17.17,1693826
2026-02-10,17.35,17.71,16.92,17.34,1503729
2026-02-11,17.15,17.15,16.41,16.86,1836878
2026-02-12,16.81,17.0,15.88,15.96,2091667
2026-02-13,16.05,16.66,16.04,16.27,2104607
2026-02-17,16.31,16.88,15.725,16.28,3448624
2026-02-18,16.29,16.855,15.97,16.8,2067729
2026-02-19,16.64,16.9,16.38,16.67,1177846
2026-02-20,16.66,17.5899,16.5,17.03,1724105
2026-02-23,16.62,16.62,15.3,15.48,2472626
2026-02-24,15.75,15.96,15.09,15.6,2741276
2026-02-25,15.78,16.63,15.27,16.37,2282309
2026-02-26,15.925,16.08,14.11,15.63,8335025
2026-02-27,14.91,16.9,14.91,16.545,3474866
2026-03-02,16.16,17.25,15.985,17.09,2720367
2026-03-03,16.68,17.53,16.46,16.94,1972639
2026-03-04,16.85,17.035,16.47,16.49,2092407
2026-03-05,16.48,17.21,16.39,16.5,2942844
2026-03-06,16.3,17.2,16.04,17.06,2159007
2026-03-09,16.64,17.63,16.29,17.5,2591941
2026-03-10,17.31,17.995,16.8642,17.96,3854679
2026-03-11,17.7,18.62,17.7,18.57,3617041
2026-03-12,19.21,19.21,18.0,18.07,3282764
2026-03-13,18.33,18.57,17.77,18.0,1289579
2026-03-16,18.4,18.4,17.56,17.61,1351547
2026-03-17,17.73,18.475,17.7,17.72,999638
2026-03-18,17.55,17.73,17.2644,17.41,1035277
2026-03-19,17.51,17.975,16.66,16.93,1460634
2026-03-20,16.76,17.12,16.5,16.82,1242486
2026-03-23,17.04,17.12,16.46,16.96,1324826
2026-03-24,16.56,16.67,15.9,15.92,1412346
2026-03-25,16.16,16.49,15.55,15.87,1471752
2026-03-26,15.7,16.41,15.64,16.2,1151755
2026-03-27,15.98,16.11,15.08,15.25,1436195
2026-03-30,15.275,15.84,15.14,15.6,1063211
2026-03-31,15.47,16.03,15.45,15.67,1533649
2026-04-01,16.0,16.29,15.4601,16.01,1517318
2026-04-02,15.76,16.67,15.44,16.56,1237440
2026-04-06,16.47,16.87,16.34,16.78,803684
2026-04-07,16.65,17.13,16.46,16.89,1295433
2026-04-08,17.5,17.63,16.305,16.47,1456570
2026-04-09,16.25,16.295,15.3324,15.67,2128635
2026-04-10,15.555,16.18,15.4,16.13,1321072
2026-04-13,16.13,16.67,15.95,16.35,1269595
2026-04-14,16.44,16.99,16.11,16.24,753098
2026-04-15,16.46,16.965,16.37,16.84,1649191
2026-04-16,17.09,17.69,17.09,17.4,1687464
2026-04-17,17.82,18.17,17.54,17.83,1876023
2026-04-20,17.7,18.09,17.69,17.75,1159678
2026-04-21,17.75,18.23,17.51,17.55,1243212
2026-04-22,17.81,18.05,17.445,17.5,860326
2026-04-23,17.19,17.33,15.57,15.94,1638556
2026-04-24,15.96,16.28,15.77,16.23,1236260
2026-04-27,16.23,16.51,15.64,15.78,1596214
2026-04-28,15.95,16.33,15.835,16.27,1897529
2026-04-29,16.16,16.63,15.95,16.42,2231297
2026-04-30,15.35,16.2,15.065,15.78,3157505
2026-05-01,16.11,16.525,15.625,16.16,1826437
2026-05-04,16.17,17.315,16.08,17.17,2213771
2026-05-05,17.14,17.236,16.61,16.85,2076776
2026-05-06,16.65,17.03,16.15,16.75,2373746
2026-05-07,17.76,18.13,17.16,17.43,2582356
2026-05-08,17.27,18.16,17.07,17.97,1503884
2026-05-11,18.1,18.1,16.97,17.22,1226914
2026-05-12,17.08,17.4,16.67,16.79,2527732
2026-05-13,16.7,16.79,16.19,16.57,2553894
2026-05-14,16.57,16.7666,16.095,16.62,2815720
2026-05-15,16.9,17.22,16.6,16.61,1193463
2026-05-18,16.53,17.365,16.5,16.99,1703165
2026-05-19,17.0,17.36,16.56,16.76,1557056
2026-05-20,16.7,16.88,16.13,16.84,707333
2026-05-21,16.76,16.9,16.25,16.87,907843
2026-05-22,16.87,17.305,16.6,16.8,852625
2026-05-26,16.69,17.32,16.63,16.8,958884
2026-05-27,16.66,17.05,16.66,16.8,974648
2026-05-28,16.85,18.55,16.75,17.59,1425720
2026-05-29,17.72,18.26,17.58,18.17,1813861
2026-06-01,18.43,19.25,18.08,18.95,2105420
2026-06-02,18.53,18.72,17.6,17.79,1765027
2026-06-03,17.44,17.74,16.31,16.62,2311229
2026-06-04,17.06,17.3,16.17,16.18,1425020
2026-06-05,16.21,16.49,15.595,15.89,1316883
2026-06-08,15.97,16.09,15.49,15.85,1700249
2026-06-09,15.5,15.77,15.21,15.31,2044059
2026-06-10,14.98,15.58,14.77,15.01,2214718
2026-06-11,14.87,15.08,14.61,14.91,1312477
2026-06-12,14.835,15.35,14.51,15.19,1299283
2026-06-15,15.42,15.67,15.18,15.31,856703
2026-06-16,15.33,15.84,15.12,15.55,910318
2026-06-17,15.54,15.91,14.93,15.09,2296787
2026-06-18,15.14,15.21,14.58,14.68,2071522
2026-06-22,14.37,14.62,13.98,14.59,3588617
2026-06-23,14.78,15.09,14.55,15.05,1712229
2026-06-24,15.0,15.97,14.98,15.95,2501246
2026-06-25,15.92,16.55,15.75,15.84,2125263
2026-06-26,16.08,16.59,16.005,16.42,4906873
2026-06-29,16.71,17.24,16.39,17.0,3906979
2026-06-30,16.97,18.14,16.765,18.12,3290127
2026-07-01,18.77,19.3,18.58,18.72,4776600
2026-07-02,18.81,19.48,18.8,19.02,2942849
2026-07-06,18.77,19.16,18.53,18.95,1459981
2026-07-07,19.03,19.24,18.43,18.51,1743072
2026-07-08,18.35,18.53,17.52,17.69,1790779
