date,open,high,low,close,volume
2025-09-02,40.97,40.9775,40.09,40.76,2049816
2025-09-03,40.59,41.08,40.39,40.87,1967117
2025-09-04,41.09,41.59,40.38,41.57,1909494
2025-09-05,41.88,42.46,41.27,41.36,3612323
2025-09-08,41.42,41.48,40.93,41.34,2054446
2025-09-09,41.27,41.97,41.225,41.41,2533280
2025-09-10,41.28,41.78,40.83,41.11,2246644
2025-09-11,41.21,42.12,40.98,42.1,2439676
2025-09-12,41.94,42.365,41.85,42.22,3082379
2025-09-15,42.5,43.115,42.39,43.07,3061360
2025-09-16,43.28,43.425,42.77,43.3,3793562
2025-09-17,43.33,44.71,43.33,43.95,4044357
2025-09-18,44.25,44.755,43.9301,44.58,3068577
2025-09-19,44.79,44.83,44.09,44.21,5339997
2025-09-22,43.85,44.01,43.12,43.48,4897252
2025-09-23,43.59,44.06,42.52,42.68,4737177
2025-09-24,42.69,42.95,41.84,41.97,4120774
2025-09-25,40.17,41.35,39.65,40.83,5659886
2025-09-26,41.0,41.085,40.15,40.16,3245090
2025-09-29,40.5,40.555,39.5,39.86,4214272
2025-09-30,40.03,40.48,38.325,39.2,5802374
2025-10-01,38.88,39.72,38.685,38.75,4041957
2025-10-02,38.68,38.99,38.19,38.85,2958428
2025-10-03,38.81,39.63,38.77,39.63,3789634
2025-10-06,39.9,40.36,38.71,39.79,4195854
2025-10-07,39.56,40.365,39.435,39.92,4488053
2025-10-08,40.11,40.29,39.08,39.08,3291158
2025-10-09,39.08,39.5,38.7901,39.19,2874134
2025-10-10,39.58,39.58,36.94,36.96,3959413
2025-10-13,37.46,38.2,37.46,37.87,2851247
2025-10-14,37.52,40.42,37.51,39.94,5186468
2025-10-15,40.19,40.42,39.3,39.7,2972706
2025-10-16,39.65,39.995,38.31,38.45,5972281
2025-10-17,40.0,41.26,38.7,39.82,8977955
2025-10-20,40.82,40.91,39.79,40.5,4155807
2025-10-21,40.64,41.93,40.56,40.98,2995293
2025-10-22,41.15,41.15,39.97,40.6,3952888
2025-10-23,40.86,41.185,40.53,41.02,2255806
2025-10-24,41.64,42.155,41.2001,41.81,2598731
2025-10-27,42.25,42.41,41.28,41.29,2516497
2025-10-28,41.4,41.485,40.51,40.83,1879572
2025-10-29,40.35,40.83,39.71,39.97,3579415
2025-10-30,39.89,40.12,39.085,39.2,2987256
2025-10-31,38.84,39.04,38.5,38.97,2474121
2025-11-03,38.68,39.82,38.23,39.38,2965514
2025-11-04,38.91,40.25,38.6,39.62,4082098
2025-11-05,39.67,40.27,39.1501,39.95,3384834
2025-11-06,40.02,40.3218,38.56,38.63,4448640
2025-11-07,38.38,39.29,38.06,39.27,2772316
2025-11-10,39.5,39.89,39.015,39.27,2997152
2025-11-11,39.39,39.73,38.85,39.47,1785657
