date,open,high,low,close,volume
2025-09-02,156.72,158.3,156.01,157.57,7683373
2025-09-03,158.05,158.05,154.465,156.25,7335044
2025-09-04,155.94,159.67,155.4,158.24,6245060
2025-09-05,160.26,162.85,158.82,162.75,7046829
2025-09-08,163.805,164.645,161.85,162.05,7933594
2025-09-09,161.92,164.26,161.75,163.5,5315373
2025-09-10,164.3,165.4,162.55,163.42,5690240
2025-09-11,164.0,170.66,164.0,170.15,8999907
2025-09-12,167.91,169.67,167.18,167.8,5170573
2025-09-15,169.11,171.06,168.5313,170.93,5597644
2025-09-16,172.46,174.1,171.58,173.54,6447519
2025-09-17,174.25,179.5486,173.97,178.13,9588307
2025-09-18,188.0,191.55,183.83,189.76,15473650
2025-09-19,190.815,191.85,188.6601,190.1,18903500
2025-09-22,193.185,201.15,192.43,200.52,15475540
2025-09-23,201.23,204.1,198.8,200.87,12417870
2025-09-24,199.08,203.7499,197.4,201.44,6360493
2025-09-25,199.04,200.72,196.2,199.6,6027565
2025-09-26,200.0,205.2,197.3866,203.92,7363317
2025-09-29,206.34,210.5,204.68,204.95,9295427
2025-09-30,204.355,210.27,202.87,204.74,12253830
2025-10-01,204.74,218.44,203.61,217.74,12699240
2025-10-02,225.0,226.41,218.73,223.59,11166000
2025-10-03,219.91,220.5,215.6,217.53,9269817
2025-10-06,222.34,226.49,220.77,223.91,7891854
2025-10-07,223.91,224.83,211.27,211.56,10543320
2025-10-08,210.0,218.65,209.0,217.51,7875462
2025-10-09,217.0,220.86,215.51,220.3,6701398
2025-10-10,220.7,224.4684,209.73,209.95,12829660
2025-10-13,220.35,221.13,217.03,219.48,7853006
2025-10-14,213.9,221.65,213.71,218.19,8260006
2025-10-15,223.955,228.1,220.52,227.58,8033603
2025-10-16,230.595,232.07,224.03,227.72,7742842
2025-10-17,226.47,227.36,222.7,224.99,5272810
2025-10-20,227.145,231.33,226.53,228.13,5494792
2025-10-21,225.92,228.16,225.21,226.0,4557485
2025-10-22,226.0,226.77,216.065,220.56,7498073
2025-10-23,218.39,230.55,218.12,228.47,7001931
2025-10-24,229.0,230.72,226.29,228.75,5346676
2025-10-27,233.0,235.79,231.13,231.33,7671698
2025-10-28,229.68,231.015,227.08,227.64,6118502
2025-10-29,232.9,237.39,232.0,235.75,7784456
2025-10-30,237.78,242.5,232.08,232.55,7317726
2025-10-31,233.735,237.9075,230.45,233.1,6532964
2025-11-03,235.67,239.79,234.0,237.71,6160630
2025-11-04,231.42,236.9699,229.77,230.19,6896422
2025-11-05,230.19,241.91,230.1,240.89,7230832
2025-11-06,240.77,240.77,232.9301,233.53,9278439
2025-11-07,232.265,232.52,223.38,230.07,6892795
2025-11-10,236.23,236.54,232.06,235.08,7673744
2025-11-11,232.57,233.25,227.0,228.67,6237600
2025-11-12,231.23,231.835,228.9,230.73,5955373
2025-11-13,227.39,229.0,219.63,223.23,13465860
2025-11-14,203.75,226.16,203.4,226.01,15254390
2025-11-17,224.2,231.71,223.255,228.71,8713644
2025-11-18,226.48,227.62,219.42,225.12,12167360
2025-11-19,227.29,235.91,226.5,235.13,8870502
2025-11-20,238.785,240.76,218.96,220.23,9263965
2025-11-21,219.2,228.16,215.495,224.005,8596770
2025-11-24,222.86,233.2,222.86,230.91,8806555
2025-11-25,237.55,244.62,233.135,242.46,8330341
2025-11-26,242.83,252.66,242.83,249.97,8791060
2025-11-28,250.795,252.48,247.85,252.25,2916326
2025-12-01,250.23,255.79,248.53,254.75,6842394
2025-12-02,255.625,267.0499,255.625,265.33,9196769
2025-12-03,265.3,269.15,259.7101,268.63,7999577
2025-12-04,268.335,272.7649,266.0,269.44,6348761
2025-12-05,269.79,273.59,267.36,268.0,5373412
2025-12-08,269.495,272.16,266.54,268.16,5338147
2025-12-09,266.07,268.71,264.73,267.14,4062592
2025-12-10,266.77,276.1,265.86,275.15,6244572
2025-12-11,271.22,271.985,262.83,270.11,7061221
2025-12-12,267.26,269.71,257.13,259.21,6739294
2025-12-15,263.43,265.69,259.79,261.27,6405964
2025-12-16,259.79,261.58,255.3,258.84,5859741
2025-12-17,258.16,260.098,246.92,248.27,7855446
2025-12-18,259.09,260.82,252.225,253.5,8741172
