date,open,high,low,close,volume
2025-09-02,223.52,226.17,221.83,225.34,38843880
2025-09-03,225.21,227.1699,224.36,225.99,29223130
2025-09-04,231.185,235.77,230.78,235.68,59391780
2025-09-05,235.19,236.0,231.93,232.33,36721800
2025-09-08,234.94,237.6,233.75,235.84,33947100
2025-09-09,236.355,238.85,235.08,238.24,27033780
2025-09-10,237.515,237.68,229.0962,230.33,60907710
2025-09-11,231.49,231.53,229.3377,229.95,37485600
2025-09-12,230.35,230.79,226.29,228.15,38496220
2025-09-15,230.625,233.73,230.32,231.43,33243330
2025-09-16,232.935,235.9,232.23,234.05,38203910
2025-09-17,233.77,234.3,228.71,231.62,42815230
2025-09-18,232.5,233.48,228.79,231.23,37931740
2025-09-19,232.37,234.16,229.7,231.48,97943170
2025-09-22,230.56,230.565,227.51,227.63,45914510
2025-09-23,227.83,227.86,220.07,220.71,70956190
2025-09-24,224.15,224.56,219.45,220.21,49509030
2025-09-25,220.06,220.67,216.47,218.15,52226330
2025-09-26,219.08,221.05,218.02,219.78,41650100
2025-09-29,220.08,222.6,219.3,222.17,44259180
2025-09-30,222.03,222.24,217.89,219.57,48396370
2025-10-01,217.36,222.15,216.61,220.63,43933830
2025-10-02,221.01,222.81,218.945,222.41,41258590
2025-10-03,223.44,224.2,219.34,219.51,43639030
2025-10-06,221.0,221.73,216.03,220.9,43690880
2025-10-07,220.88,222.89,220.17,221.78,31194680
2025-10-08,222.92,226.73,221.19,225.22,46685990
2025-10-09,224.995,228.21,221.75,227.74,46412120
2025-10-10,226.21,228.25,216.0,216.37,72367510
2025-10-13,217.7,220.68,217.04,220.07,37809650
2025-10-14,215.555,219.32,212.6,216.39,45665580
2025-10-15,216.62,217.71,212.66,215.57,45909470
2025-10-16,215.67,218.59,212.8101,214.47,42414590
2025-10-17,214.56,214.8,211.03,213.04,45986940
2025-10-20,213.88,216.69,213.59,216.48,38882820
2025-10-21,218.43,223.32,217.99,222.03,50494570
2025-10-22,219.3,220.005,216.52,217.95,44308540
2025-10-23,219.0,221.3,218.18,221.09,31540000
2025-10-24,221.97,225.4,221.9,224.21,38685050
2025-10-27,227.66,228.4,225.54,226.97,38267000
2025-10-28,228.215,231.485,226.21,229.25,47100030
2025-10-29,231.672,232.82,227.76,230.3,52036150
2025-10-30,227.06,228.44,222.75,222.86,102252900
2025-10-31,250.1,250.5,243.98,244.22,166340800
2025-11-03,255.36,258.6,252.9,254.0,95997820
2025-11-04,250.38,257.01,248.66,249.32,51546310
2025-11-05,249.03,251.0,246.16,250.2,40610700
2025-11-06,249.155,250.38,242.17,243.04,46004200
2025-11-07,242.9,244.9,238.49,244.41,46374290
2025-11-10,248.34,251.75,245.59,248.4,36476510
2025-11-11,248.41,249.7499,247.23,249.1,23564060
2025-11-12,250.235,250.37,243.75,244.2,31190060
2025-11-13,243.05,243.75,236.5,237.58,41401740
2025-11-14,235.06,238.73,232.89,234.69,38956670
2025-11-17,233.25,234.6,229.19,232.87,59919020
2025-11-18,228.1,230.2,222.42,222.55,60608440
2025-11-19,223.735,223.735,218.52,222.69,58335640
2025-11-20,227.05,227.41,216.74,217.14,50308960
2025-11-21,216.345,222.21,215.18,220.69,68490460
2025-11-24,222.555,227.33,222.27,226.28,54318400
2025-11-25,226.38,230.52,223.8,229.67,39379340
2025-11-26,230.74,231.7474,228.77,229.16,38497920
2025-11-28,231.24,233.285,230.22,233.22,20292330
2025-12-01,233.22,235.797,232.25,233.88,42903950
2025-12-02,235.005,238.97,233.55,234.42,45785360
2025-12-03,233.35,233.38,230.61,232.38,35495060
2025-12-04,232.77,233.5,226.8,229.11,45683220
2025-12-05,230.32,231.24,228.547,229.53,33117380
2025-12-08,229.59,230.83,226.27,226.89,35019170
2025-12-09,226.84,228.57,225.11,227.92,25841740
2025-12-10,228.805,232.42,228.46,231.78,38790740
2025-12-11,230.71,232.11,228.6901,230.28,28249600
2025-12-12,229.87,230.08,225.12,226.19,35639120
2025-12-15,227.93,227.93,221.5,222.54,47286090
2025-12-16,223.035,223.66,221.1304,222.56,39298860
2025-12-17,224.655,225.19,220.99,221.27,44034420
2025-12-18,225.705,229.225,224.41,226.76,50272420
2025-12-19,226.76,229.125,225.58,227.35,85544370
2025-12-22,228.61,229.48,226.71,228.43,32261330
2025-12-23,229.055,232.445,228.73,232.14,29230230
2025-12-24,232.13,232.95,231.33,232.38,11420540
2025-12-26,232.035,232.99,231.18,232.52,15994730
2025-12-29,231.94,232.6,230.77,232.07,19797910
2025-12-30,231.205,232.77,230.2,232.53,21910450
2025-12-31,232.905,232.99,230.12,230.82,24383750
2026-01-02,231.34,235.458,224.7,226.5,51456230
2026-01-05,228.84,234.0,227.18,233.06,49733350
2026-01-06,232.1,243.18,232.07,240.93,53764680
2026-01-07,239.61,245.29,239.52,241.56,42236530
2026-01-08,243.06,246.41,241.88,246.29,39509840
2026-01-09,244.568,247.86,242.24,247.38,34559960
2026-01-12,246.73,248.94,245.96,246.47,35867770
2026-01-13,246.53,247.66,240.25,242.6,38371780
2026-01-14,241.15,241.28,236.22,236.65,41410580
2026-01-15,239.31,240.65,236.63,238.18,43003570
2026-01-16,239.085,239.57,236.41,239.12,45888280
2026-01-20,233.76,235.09,229.34,231.0,47737850
2026-01-21,231.085,232.3,226.88,231.31,47276090
2026-01-22,234.045,235.72,230.9,234.34,31913330
2026-01-23,234.955,240.45,234.57,239.16,33778480
2026-01-26,239.98,240.95,237.54,238.42,32825530
2026-01-27,239.685,244.88,238.08,244.68,38029220
2026-01-28,246.365,247.775,241.53,243.01,40882660
2026-01-29,242.82,243.0,236.742,241.73,47229640
2026-01-30,239.89,243.315,237.64,239.3,46585020
2026-02-02,238.31,245.6299,238.17,242.96,37546100
2026-02-03,244.975,246.35,235.45,238.62,53831300
2026-02-04,238.86,238.86,231.82,232.99,51299950
2026-02-05,224.91,226.31,220.38,222.69,103509200
2026-02-06,202.7,211.44,200.31,210.32,179210900
2026-02-09,208.97,212.81,203.35,208.72,91178440
2026-02-10,208.795,212.6499,206.411,206.96,67175030
2026-02-11,208.06,208.57,202.49,204.08,65545460
2026-02-12,203.96,203.96,197.56,199.6,83975390
2026-02-13,198.88,201.16,197.275,198.79,66321590
2026-02-17,198.125,201.7362,196.0,201.15,69879200
2026-02-18,202.07,206.86,201.51,204.79,51003300
2026-02-19,203.8,205.6396,202.81,204.86,35669610
2026-02-20,204.76,211.17,203.75,210.11,65881610
2026-02-23,208.095,208.43,203.11,205.27,53581510
2026-02-24,205.47,210.36,203.25,208.56,41137160
2026-02-25,210.46,211.59,208.93,210.64,41346380
2026-02-26,210.73,211.05,205.345,207.92,47756770
2026-02-27,206.83,210.33,205.2,210.0,57422780
2026-03-02,204.55,209.73,203.46,208.39,46001010
2026-03-03,203.1,209.178,202.48,208.73,43184920
2026-03-04,210.47,217.54,210.15,216.82,54731100
2026-03-05,215.98,220.47,215.59,218.94,60943450
2026-03-06,214.99,217.32,212.53,213.21,51152720
2026-03-09,210.45,213.82,207.11,213.49,54642930
2026-03-10,214.19,215.65,212.43,214.33,35678830
2026-03-11,215.705,217.0,211.35,212.65,34199300
2026-03-12,210.39,211.71,208.15,209.53,44349500
2026-03-13,209.605,210.56,206.22,207.67,35662140
2026-03-16,208.35,212.724,207.445,211.74,42209320
2026-03-17,212.82,215.7,212.43,215.2,44969940
2026-03-18,213.925,215.1401,208.825,209.87,37846640
2026-03-19,207.06,209.12,206.05,208.76,36440620
2026-03-20,207.4,207.54,204.316,205.37,63694600
2026-03-23,209.79,212.8,209.51,210.14,44277360
2026-03-24,207.95,209.35,206.64,207.24,35351430
2026-03-25,211.56,213.07,209.9,211.71,36388790
2026-03-26,210.61,212.885,207.12,207.54,46745980
2026-03-27,206.455,206.6,199.14,199.34,56009760
2026-03-30,201.48,203.8,199.9802,200.95,46373800
2026-03-31,204.845,210.28,204.14,208.27,58470080
2026-04-01,210.435,213.58,208.19,210.57,45955400
2026-04-02,206.54,212.2125,204.9,209.77,31453040
2026-04-06,209.795,212.95,209.59,212.79,25385500
2026-04-07,211.24,213.97,209.075,213.77,28154560
2026-04-08,223.79,226.1,219.62,221.25,51092700
2026-04-09,225.232,233.8,223.27,233.65,65964170
2026-04-10,235.295,240.43,235.21,238.38,56912840
2026-04-13,237.45,240.0,235.75,239.89,42166150
2026-04-14,241.78,252.18,241.78,249.02,72685030
2026-04-15,249.25,250.44,247.2,248.5,43045160
2026-04-16,248.51,250.0,244.2,249.7,41895710
2026-04-17,254.985,256.18,250.11,250.56,52029290
2026-04-20,249.19,250.18,245.365,248.28,39463110
2026-04-21,255.09,255.09,249.1,249.91,42922400
2026-04-22,252.44,255.94,250.33,255.36,36065070
2026-04-23,255.39,258.79,253.07,255.08,39091390
2026-04-24,259.98,264.5,257.685,263.99,53777350
2026-04-27,263.46,264.15,260.34,261.12,44906840
2026-04-28,258.39,261.03,256.63,259.7,42204450
2026-04-29,257.99,265.91,257.7,263.04,72367910
2026-04-30,273.17,273.88,256.16,265.06,100974900
2026-05-01,265.58,273.315,262.74,268.26,50825230
2026-05-04,268.795,276.1,268.795,272.05,49083730
2026-05-05,276.075,278.56,272.38,273.55,41908530
2026-05-06,272.89,277.8,272.2076,274.99,44551960
2026-05-07,275.02,276.63,270.49,271.17,35892880
2026-05-08,271.63,274.0,269.95,272.68,34732680
2026-05-11,269.835,273.63,268.48,268.99,38176700
2026-05-12,266.71,267.65,262.63,265.82,36776220
2026-05-13,264.43,270.72,263.2,270.13,39670920
2026-05-14,269.15,270.7799,266.63,267.22,31338440
2026-05-15,262.5,264.355,260.8901,264.14,40770340
2026-05-18,263.865,268.85,262.53,264.86,33690790
2026-05-19,262.04,262.25,255.19,259.34,40340700
2026-05-20,260.05,265.58,259.533,265.01,34933150
2026-05-21,263.5,269.4899,261.37,268.46,36591740
2026-05-22,268.655,269.785,266.235,266.32,27535530
2026-05-26,267.94,269.3,262.07,265.29,38028120
2026-05-27,266.15,272.41,265.7001,271.85,40061860
2026-05-28,272.27,274.5,267.44,274.0,40630390
2026-05-29,271.29,274.75,269.64,270.64,54749560
2026-06-01,266.285,266.63,260.7,261.26,53604380
2026-06-02,257.16,261.2025,254.37,256.52,41810980
2026-06-03,254.7,257.09,247.71,250.02,51394190
2026-06-04,253.12,255.83,251.75,253.79,35609770
2026-06-05,254.255,256.38,245.78,246.03,55607840
2026-06-08,246.68,249.42,243.36,245.22,33899530
2026-06-09,247.73,250.43,240.4,244.19,44425360
2026-06-10,243.605,244.065,237.45,238.0,38590240
2026-06-11,237.93,242.14,235.18,241.51,41335400
2026-06-12,243.21,243.36,233.59,238.55,51251140
2026-06-15,245.02,247.805,244.73,246.02,41711580
2026-06-16,248.0,249.51,245.4511,246.0,35187410
2026-06-17,244.9,245.91,236.0,237.5,44780770
2026-06-18,240.12,245.73,236.02,244.39,75624420
2026-06-22,240.08,242.0,232.24,232.79,68388530
2026-06-23,232.55,236.87,232.0,234.11,60492560
2026-06-24,233.845,242.4199,232.95,234.27,70282580
