date,open,high,low,close,volume
2025-09-02,464.0,481.86,452.25,481.73,5279138
2025-09-03,487.69,499.87,485.08,487.35,5052295
2025-09-04,497.8,511.0,490.6575,499.97,6215219
2025-09-05,506.0,507.87,469.8,490.24,8290545
2025-09-08,537.075,555.5,535.7,547.04,16516920
2025-09-09,546.815,559.24,544.9225,558.17,8503532
2025-09-10,562.83,576.01,561.5,567.12,6730296
2025-09-11,568.0,576.44,560.7901,571.31,6133457
2025-09-12,573.055,587.8799,572.11,582.0,6730310
2025-09-15,578.54,595.27,574.227,593.14,6246575
2025-09-16,596.7,605.38,589.28,603.8,8588889
2025-09-17,603.57,613.69,587.23,606.66,8915194
2025-09-18,616.325,632.881,613.78,621.52,9258535
2025-09-19,628.48,653.06,617.56,649.59,73131600
2025-09-22,647.05,657.0,639.5146,643.5,9307081
2025-09-23,641.0,670.189,637.51,651.18,7799930
2025-09-24,652.75,662.4985,635.5,641.92,5991497
2025-09-25,624.87,643.9243,619.49,639.91,6418199
2025-09-26,652.67,671.18,646.47,669.86,6122353
2025-09-29,685.4,745.61,683.5,712.36,11947840
2025-09-30,713.0,720.56,699.22,718.54,6759568
2025-10-01,714.835,727.49,697.506,704.09,6210848
2025-10-02,710.19,710.99,674.4,683.64,6075429
2025-10-03,691.02,694.9999,673.17,682.76,4205773
2025-10-06,684.475,687.0,545.0,587.0,14417710
2025-10-07,595.215,644.47,592.26,631.85,11768730
2025-10-08,631.39,654.98,616.24,629.7,5472905
2025-10-09,615.94,618.99,591.5,600.32,6289311
2025-10-10,599.61,601.83,566.9,569.89,6479078
2025-10-13,590.0,591.32,562.28,590.11,4062397
2025-10-14,576.94,596.77,566.49,590.03,3572657
2025-10-15,603.38,615.38,592.32,602.3,3535565
2025-10-16,612.81,616.28,594.68,605.68,3541934
2025-10-17,600.34,612.74,589.2001,599.31,3298195
2025-10-20,593.31,595.697,553.0,565.94,6529825
2025-10-21,567.69,567.9999,547.129,552.64,4199919
2025-10-22,568.73,571.582,553.24,564.82,4442841
2025-10-23,560.84,591.31,560.84,589.7,3216113
2025-10-24,607.565,627.11,605.5001,620.0,4100373
2025-10-27,634.25,645.7,620.73,643.1,3765138
2025-10-28,643.99,649.6474,620.87,626.82,2545057
2025-10-29,627.41,633.755,617.2,631.2,3014722
2025-10-30,622.95,638.38,619.75,620.62,3560160
2025-10-31,621.56,652.87,621.56,637.33,4312142
2025-11-03,646.985,654.9,620.6,632.14,3255018
2025-11-04,630.175,630.54,607.93,608.68,3704270
2025-11-05,610.0,623.78,589.0,617.05,6042802
2025-11-06,651.47,656.3,607.23,621.36,8418446
2025-11-07,614.0,633.59,576.4101,619.93,6656194
2025-11-10,635.95,675.0,635.41,651.32,4666709
2025-11-11,647.4,647.87,583.0,594.91,7447032
2025-11-12,602.0,603.0,578.0,584.86,4444699
2025-11-13,579.44,580.4279,542.48,556.15,5190940
2025-11-14,534.34,570.9912,529.0,557.7,4173194
2025-11-17,554.445,558.94,532.31,539.27,3908595
