date,open,high,low,close,volume
2025-09-02,22.28,22.405,22.145,22.32,3291067
2025-09-03,22.33,22.365,22.23,22.32,2794471
2025-09-04,22.4,22.41,22.27,22.37,3382593
2025-09-05,22.46,22.47,22.3,22.44,3405252
2025-09-08,22.47,22.51,22.305,22.49,3154920
2025-09-09,22.49,22.49,22.22,22.24,3518626
2025-09-10,22.25,22.42,22.2,22.35,2850709
2025-09-11,22.425,22.49,22.34,22.4,3429276
2025-09-12,22.43,22.5,22.22,22.3,4940135
2025-09-15,21.85,21.85,21.14,21.31,9005641
2025-09-16,21.34,21.34,21.02,21.16,5880221
2025-09-17,21.05,21.39,21.05,21.09,6207602
2025-09-18,21.06,21.45,20.95,21.42,6223838
2025-09-19,21.45,21.64,21.26,21.56,6038864
2025-09-22,21.42,21.46,20.93,20.94,5253200
2025-09-23,20.93,21.075,20.69,20.76,5289108
2025-09-24,20.72,20.76,20.335,20.43,6646271
2025-09-25,20.39,20.65,20.29,20.56,4377240
2025-09-26,20.56,20.7,20.39,20.46,4188656
2025-09-29,20.5,20.55,20.25,20.44,5153570
2025-09-30,20.44,20.54,20.06,20.41,8394489
2025-10-01,20.33,20.34,19.95,20.13,8448872
2025-10-02,20.13,20.43,20.09,20.39,6330556
2025-10-03,20.4,20.4,20.025,20.15,5090952
2025-10-06,20.2,20.38,20.05,20.12,6046105
2025-10-07,20.14,20.14,19.73,19.86,7804458
2025-10-08,19.8,19.9,19.62,19.67,6731759
2025-10-09,19.6,19.66,19.0,19.1,14769650
2025-10-10,19.035,19.24,18.79,18.9,11838640
2025-10-13,18.99,19.5,18.98,19.49,7444199
2025-10-14,19.29,20.0,19.29,19.94,7221837
2025-10-15,20.01,20.21,19.85,20.05,6464952
2025-10-16,20.05,20.095,19.5,19.53,8312311
2025-10-17,19.51,19.63,19.395,19.51,9521530
2025-10-20,19.55,19.63,19.415,19.6,5654631
2025-10-21,19.52,19.955,19.51,19.91,5076829
2025-10-22,19.89,20.01,19.79,19.96,4099276
2025-10-23,19.91,20.13,19.85,19.94,3786819
2025-10-24,20.095,20.23,20.0212,20.08,3792309
2025-10-27,20.1,20.35,20.08,20.32,6749882
2025-10-28,20.5,20.755,20.24,20.57,6596408
2025-10-29,20.5,20.84,20.38,20.61,4438002
2025-10-30,20.61,20.65,20.14,20.15,6408005
2025-10-31,20.15,20.5,20.03,20.35,4612683
2025-11-03,20.3,20.435,20.1,20.41,3253869
2025-11-04,20.35,20.49,20.09,20.27,4948773
2025-11-05,20.265,20.435,19.985,20.38,3189460
2025-11-06,20.29,20.45,19.98,20.0,4868252
2025-11-07,20.0,20.2,19.8511,20.2,3629599
2025-11-10,20.305,20.37,20.07,20.29,3981389
2025-11-11,20.29,20.415,20.23,20.31,2688609
2025-11-12,20.32,20.51,20.3,20.38,2499155
2025-11-13,20.38,20.5346,20.16,20.29,3388052
2025-11-14,20.18,20.32,20.07,20.21,2682092
2025-11-17,20.185,20.245,19.66,19.68,5697736
2025-11-18,19.52,19.645,19.3842,19.52,9235694
2025-11-19,19.6,19.75,19.45,19.53,3464992
2025-11-20,19.63,19.845,19.44,19.52,4539553
2025-11-21,19.525,19.99,19.445,19.84,5038145
2025-11-24,19.86,20.1788,19.75,20.15,4606511
2025-11-25,20.15,20.37,20.13,20.34,5608948
2025-11-26,20.38,20.62,20.37,20.51,3382962
2025-11-28,20.549,20.67,20.549,20.62,1719395
2025-12-01,20.55,20.765,20.51,20.58,3593664
2025-12-02,20.675,20.73,20.535,20.64,3084157
2025-12-03,20.7,20.85,20.62,20.82,3660765
2025-12-04,20.82,20.95,20.7799,20.92,3084517
2025-12-05,20.92,21.09,20.87,21.02,3714653
2025-12-08,21.02,21.13,20.93,21.02,2761208
2025-12-09,21.02,21.06,20.895,21.0,3788837
2025-12-10,20.95,21.07,20.89,21.03,4208546
2025-12-11,21.08,21.1,20.87,20.87,4512029
2025-12-12,20.95,21.07,20.77,20.85,5654140
2025-12-15,20.46,20.54,20.0,20.31,7910624
2025-12-16,20.26,20.36,20.0201,20.14,4887291
2025-12-17,20.14,20.34,20.08,20.19,5400220
2025-12-18,20.23,20.298,20.045,20.14,5372699
2025-12-19,20.14,20.16,19.84,19.94,9059521
2025-12-22,19.99,20.005,19.79,19.91,5849619
2025-12-23,19.905,20.03,19.8744,19.92,4876209
2025-12-24,19.9,20.0262,19.865,20.0,2567779
2025-12-26,19.99,20.26,19.99,20.2,3871721
2025-12-29,20.2,20.38,20.1,20.17,6888987
2025-12-30,20.21,20.39,20.13,20.29,6401301
2025-12-31,20.31,20.41,20.22,20.23,4228303
2026-01-02,20.24,20.57,20.0901,20.44,4377082
2026-01-05,20.46,20.83,20.4501,20.73,4812975
2026-01-06,20.73,20.78,20.47,20.59,4141143
2026-01-07,20.615,20.66,20.15,20.18,5427946
2026-01-08,20.18,20.84,20.13,20.78,4786253
2026-01-09,20.77,20.89,20.62,20.64,3657947
2026-01-12,20.555,20.6701,20.44,20.52,3761704
2026-01-13,20.52,20.595,20.4,20.48,4779770
2026-01-14,20.5,20.89,20.405,20.88,3347175
2026-01-15,20.88,21.0,20.8199,20.99,4320852
2026-01-16,20.96,21.04,20.8301,20.9,4714838
2026-01-20,20.59,20.71,20.49,20.64,6661621
2026-01-21,20.68,20.995,20.66,20.98,5558338
2026-01-22,21.0,21.14,20.87,20.9,4571358
2026-01-23,20.91,20.95,20.69,20.78,3250214
2026-01-26,20.73,20.75,20.24,20.35,7863078
2026-01-27,20.35,20.6,20.27,20.29,6289510
2026-01-28,20.24,20.49,20.17,20.19,4830117
2026-01-29,20.2,20.28,20.06,20.16,4393224
2026-01-30,20.11,20.12,19.87,19.89,6350866
2026-02-02,19.87,19.8867,19.14,19.52,12170310
2026-02-03,19.49,19.52,19.07,19.13,11396730
2026-02-04,19.5,19.595,19.17,19.56,10946670
2026-02-05,19.44,19.5,18.76,18.79,14033690
2026-02-06,19.015,19.41,18.94,19.31,6788755
2026-02-09,19.32,19.48,19.02,19.48,6650750
2026-02-10,19.55,20.03,19.46,19.96,6812190
2026-02-11,20.01,20.11,19.75,19.91,5026156
2026-02-12,19.88,20.015,19.455,19.47,7486291
2026-02-13,19.45,19.57,19.15,19.37,6080655
2026-02-17,19.4,19.64,19.09,19.3,7482248
2026-02-18,19.38,19.4689,19.195,19.41,5834316
2026-02-19,19.25,19.34,18.77,18.95,15079120
2026-02-20,18.925,19.255,18.66,19.15,10807040
2026-02-23,19.0,19.33,18.97,19.05,9739425
2026-02-24,19.06,19.36,18.96,19.18,7324403
2026-02-25,19.2,19.52,19.11,19.51,5365968
2026-02-26,19.51,19.54,19.07,19.28,9573836
2026-02-27,19.145,19.145,18.57,18.62,16399240
2026-03-02,18.48,19.06,18.17,18.98,11465490
2026-03-03,18.69,19.16,18.59,18.95,9904709
2026-03-04,19.09,19.2865,18.84,19.13,7500048
2026-03-05,19.13,19.43,18.98,19.0,7877015
2026-03-06,18.91,18.95,18.61,18.74,10568630
2026-03-09,18.55,18.715,18.31,18.69,11025720
2026-03-10,18.7,18.77,18.4636,18.49,9833168
2026-03-11,18.49,18.7,18.3,18.49,8534023
2026-03-12,18.33,18.5497,18.055,18.07,14262700
2026-03-13,17.68,17.95,17.59,17.86,9239926
2026-03-16,17.85,18.155,17.79,17.94,6936632
2026-03-17,17.955,18.47,17.955,18.44,6860855
2026-03-18,18.35,18.61,18.26,18.28,5907660
2026-03-19,18.12,18.37,17.995,18.19,6979139
2026-03-20,18.19,18.3,17.91,17.96,8280702
2026-03-23,18.085,18.4151,17.975,18.28,6539342
2026-03-24,18.085,18.21,17.89,17.96,7886411
2026-03-25,18.08,18.25,17.815,18.06,7384690
2026-03-26,17.93,18.275,17.8701,17.92,5513733
2026-03-27,17.825,17.89,17.4,17.45,8322717
2026-03-30,17.515,17.83,17.44,17.74,8725570
2026-03-31,18.027,18.15,17.695,18.02,9936603
2026-04-01,18.13,18.145,17.6,17.73,8605426
2026-04-02,17.56,18.11,17.5,18.09,6670451
2026-04-06,18.03,18.345,17.95,18.3,5731562
2026-04-07,18.23,18.3088,17.98,18.05,7138342
2026-04-08,18.37,18.5,18.035,18.17,8240829
2026-04-09,18.07,18.14,17.88,18.01,7266493
2026-04-10,18.04,18.14,17.884,18.09,4841481
2026-04-13,18.035,18.2,17.9,18.19,5680304
2026-04-14,18.22,18.65,18.22,18.63,7570547
