date,open,high,low,close,volume
2025-09-02,133.62,134.89,130.41,132.34,5833676
2025-09-03,133.65,134.1,130.71,131.42,3202139
2025-09-04,131.135,136.115,130.26,135.48,3274910
2025-09-05,138.0,138.82,135.35,138.17,2822396
2025-09-08,138.71,141.15,138.14,139.14,2573149
2025-09-09,139.14,141.7385,139.1,140.8,2083374
2025-09-10,143.3,154.5,142.8,154.14,11219680
2025-09-11,152.85,158.89,152.85,154.7,6342151
2025-09-12,155.24,155.55,149.02,150.64,3605208
2025-09-15,151.25,154.9781,151.025,153.86,2570378
2025-09-16,153.76,155.8,152.3462,153.85,2385321
2025-09-17,153.0,154.6588,150.1,153.37,2500041
2025-09-18,147.21,149.24,142.0,146.54,12215000
2025-09-19,145.805,145.805,142.38,142.91,8770184
2025-09-22,142.15,145.55,141.35,144.48,4705820
2025-09-23,145.41,146.16,140.28,140.99,4823904
2025-09-24,142.15,146.0,141.31,144.3,4545711
2025-09-25,141.5,142.8,138.0,140.65,4312171
2025-09-26,141.0,141.0799,137.62,139.62,3757082
2025-09-29,141.22,142.3,139.34,139.8,2988896
2025-09-30,139.895,141.68,138.49,141.49,2550745
2025-10-01,142.41,151.25,142.36,150.38,7886785
2025-10-02,150.85,152.5,149.41,152.145,3573072
2025-10-03,152.88,154.5468,150.66,152.64,2533633
2025-10-06,155.6,160.54,154.6493,156.22,5095938
2025-10-07,157.0,161.0,154.35,159.345,5179075
2025-10-08,158.5,168.51,156.5,166.77,9048765
2025-10-09,164.51,171.86,161.21,170.66,8685569
2025-10-10,170.6,171.59,153.22,154.81,8383969
2025-10-13,160.805,175.0,157.0,171.94,11188190
2025-10-14,171.595,180.34,167.54,168.16,12821190
2025-10-15,172.06,174.0,167.1,170.67,7692830
2025-10-16,173.58,175.97,168.6264,171.19,4581189
2025-10-17,169.73,169.73,163.61,165.61,4645269
2025-10-20,167.5,173.04,167.415,171.5,3654095
2025-10-21,170.53,173.845,167.06,169.38,4776145
2025-10-22,168.06,170.835,160.8524,165.71,4302283
2025-10-23,164.56,169.29,164.07,166.6,2775737
2025-10-24,170.19,174.4499,169.66,170.68,3665243
2025-10-27,174.485,183.16,174.27,178.62,6552357
2025-10-28,178.01,179.12,172.93,173.09,3335494
2025-10-29,175.27,177.25,169.37,170.39,3098253
2025-10-30,168.62,168.999,165.3001,165.45,2855952
2025-10-31,168.5,171.88,166.935,169.82,3704417
2025-11-03,171.3,173.54,168.36,168.68,2230065
2025-11-04,162.0,166.14,160.4,160.73,3936622
2025-11-05,158.74,164.33,156.33,160.19,6941840
2025-11-06,167.0,167.4799,155.18,158.25,7123713
2025-11-07,154.74,155.23,146.29,152.38,5794581
2025-11-10,158.48,159.315,154.55,154.84,3274225
2025-11-11,153.0,153.0,146.7017,149.74,4075260
2025-11-12,151.07,152.48,146.8471,148.75,2602094
2025-11-13,146.995,147.635,138.38,140.31,6496039
2025-11-14,136.91,143.745,135.1,139.77,3717909
2025-11-17,139.57,143.8,138.19,140.26,2977455
2025-11-18,138.185,139.54,133.24,136.04,3993028
2025-11-19,137.6,138.56,134.92,136.99,3499406
2025-11-20,142.28,143.32,131.85,132.53,4609731
2025-11-21,132.53,133.27,125.17,131.57,6166756
2025-11-24,132.825,136.015,132.55,134.71,3417562
2025-11-25,132.0,132.5,126.92,131.44,4858068
2025-11-26,133.5,134.65,132.36,132.61,2806661
2025-11-28,133.79,135.66,132.7,135.56,1559120
2025-12-01,133.43,136.58,133.0,135.01,2365032
2025-12-02,136.03,139.35,135.74,136.48,2184900
2025-12-03,137.36,139.56,135.8075,139.19,2152046
2025-12-04,139.695,141.3999,138.2179,140.49,2390177
2025-12-05,143.21,144.25,140.49,141.31,2445167
2025-12-08,143.0,143.4139,138.31,139.78,2168104
2025-12-09,139.57,142.22,138.36,141.93,2303389
2025-12-10,141.74,142.8,140.0,141.52,1765750
2025-12-11,137.99,138.26,133.092,136.14,4227495
2025-12-12,135.31,137.0,130.4108,130.89,3965905
2025-12-15,126.38,128.74,123.145,124.37,6924831
2025-12-16,123.5,124.0,117.83,121.1,6198849
2025-12-17,121.575,121.6346,112.63,114.58,8686630
2025-12-18,117.13,118.0646,113.43,113.51,5194927
2025-12-19,114.215,115.21,113.42,114.03,7854513
2025-12-22,117.17,117.21,112.67,113.29,7754264
2025-12-23,112.72,112.9,110.29,112.02,7045304
2025-12-24,112.09,112.32,110.5801,111.55,2160476
2025-12-26,111.465,111.6,110.1,110.27,3054343
2025-12-29,108.73,111.29,108.3801,110.51,3347668
2025-12-30,111.13,112.0,110.39,110.86,3616902
