date,open,high,low,close,volume
2025-09-02,48.17,50.44,47.1015,48.76,6716201
2025-09-03,49.07,49.3999,45.19,45.22,6279304
2025-09-04,45.4,45.72,41.05,41.86,14376240
2025-09-05,42.57,43.12,41.65,42.41,7066799
2025-09-08,36.912,40.94,36.5,40.77,20363970
2025-09-09,39.59,39.67,36.08,36.91,22533590
2025-09-10,38.1,38.1,36.94,37.58,9110316
2025-09-11,37.71,39.05,37.18,38.37,7983457
2025-09-12,38.59,39.21,37.73,38.72,7606551
2025-09-15,40.27,41.51,39.85,40.97,10141310
2025-09-16,41.0,41.6056,39.88,40.43,8576128
2025-09-17,40.28,41.97,39.5,41.19,8383501
2025-09-18,41.93,42.1699,40.15,41.44,9240215
2025-09-19,41.98,46.08,41.87,45.1,20744960
2025-09-22,46.765,48.93,45.22,48.85,13639030
2025-09-23,48.895,56.39,48.61,54.8,25744700
2025-09-24,54.98,56.73,53.111,54.5,11419150
2025-09-25,51.65,51.9799,48.02,49.39,11994290
2025-09-26,50.21,51.48,48.11,49.09,8196313
2025-09-29,49.96,52.38,47.82,48.84,9966819
2025-09-30,48.57,49.72,47.5,49.08,7575630
2025-10-01,53.51,57.195,50.82,56.94,20062030
2025-10-02,58.53,66.83,57.41,66.16,30170760
2025-10-03,65.66,68.8,64.1,67.76,16702100
2025-10-06,69.165,74.77,68.7,72.9,16422990
2025-10-07,67.41,76.0,67.28,74.75,18223690
2025-10-08,84.81,91.4137,79.82,81.2,43321710
2025-10-09,80.705,88.6786,80.61,86.79,19481140
2025-10-10,89.8,90.65,81.93,82.03,19061560
2025-10-13,86.65,92.07,83.0,90.5,13193730
2025-10-14,88.695,99.13,85.3,94.5,17398230
2025-10-15,98.79,99.82,93.14,95.69,14439820
2025-10-16,95.0,102.79,88.93,89.5,17129860
2025-10-17,83.37,87.5,80.85,83.49,14344690
2025-10-20,86.425,89.64,81.7,82.81,9307547
2025-10-21,81.5,82.4676,76.33,78.61,9343784
2025-10-22,72.05,72.7,66.671,71.35,27581540
2025-10-23,71.875,74.26,70.805,71.72,13561250
2025-10-24,74.0,74.26,72.32,73.7,9278012
2025-10-27,76.0,79.85,74.5,79.45,11419350
2025-10-28,80.59,81.29,76.45,77.77,9350941
2025-10-29,83.31,84.0,77.0118,80.06,14772470
2025-10-30,78.23,80.48,74.5,76.68,9093239
2025-10-31,77.85,80.93,77.63,80.25,7889660
2025-11-03,80.36,80.36,71.0,71.145,11835910
2025-11-04,67.81,71.95,67.1,70.05,8470706
2025-11-05,69.77,71.805,68.07,70.38,5786205
2025-11-06,68.815,70.2,65.04,65.28,7899934
2025-11-07,64.205,69.99,61.89,69.19,9078566
2025-11-10,71.31,72.36,67.0,68.7,9248785
2025-11-11,67.87,71.5,66.86,67.89,12464900
2025-11-12,68.195,70.675,64.4,64.49,9075090
2025-11-13,64.045,65.3,59.8703,61.44,9721656
2025-11-14,58.66,64.8399,57.92,61.4,10028310
2025-11-17,60.56,61.98,56.16,56.6,9462473
2025-11-18,55.91,59.3999,54.67,58.22,9242644
2025-11-19,58.91,61.75,57.48,58.01,11245950
2025-11-20,61.38,61.6,50.3,50.7,13503900
2025-11-21,53.005,53.71,49.31,51.37,13380410
2025-11-24,53.0,55.488,51.5,55.0,10180070
2025-11-25,55.235,56.0,52.32,55.51,10159480
2025-11-26,56.405,57.48,55.51,55.52,5989775
2025-11-28,56.67,57.8099,55.8,56.2,4225695
2025-12-01,54.35,54.39,52.2,52.61,6791027
2025-12-02,53.215,57.86,53.08,56.89,8894222
2025-12-03,57.58,61.8799,56.15,61.44,12026550
2025-12-04,62.22,73.85,61.55,72.65,24714900
2025-12-05,71.4,75.14,70.6,73.92,13620150
2025-12-08,74.99,76.79,70.7513,74.0,11465010
2025-12-09,73.28,74.75,69.82,72.84,11159000
2025-12-10,72.75,80.29,70.9,79.05,14564270
2025-12-11,78.325,85.45,76.7433,84.75,14746400
2025-12-12,83.02,84.61,74.51,76.7,19675440
2025-12-15,77.24,77.69,67.525,67.81,16392580
2025-12-16,65.605,68.88,65.25,68.37,10994160
2025-12-17,70.02,70.39,61.4,61.86,12569060
2025-12-18,65.2,67.68,64.01,65.93,12951450
2025-12-19,67.725,76.4422,67.32,75.84,20293430
2025-12-22,79.66,87.03,77.92,86.48,18741390
2025-12-23,82.23,87.75,81.98,85.67,18077390
2025-12-24,89.95,92.95,77.65,78.05,26238160
2025-12-26,77.0,77.4,71.03,71.95,19573170
2025-12-29,70.64,74.89,69.69,71.47,14202040
2025-12-30,72.36,78.35,72.04,74.68,17385300
2025-12-31,75.005,75.5,71.61,72.63,10438020
2026-01-02,74.34,83.76,69.25,83.47,19106740
2026-01-05,82.03,92.45,80.88,90.92,20610010
2026-01-06,90.9,97.94,90.19,97.49,18215470
2026-01-07,91.05,95.3399,83.91,85.73,24433800
2026-01-08,88.625,93.99,86.8501,90.56,14773590
2026-01-09,90.3,101.675,90.15,97.67,24430350
2026-01-12,95.44,101.29,93.51,98.39,13268950
2026-01-13,96.74,98.28,91.63,92.72,11662550
2026-01-14,91.335,95.45,88.75,95.22,11702610
2026-01-15,94.61,104.8,92.05,101.25,17604550
2026-01-16,107.26,120.8,106.3,115.77,33680240
2026-01-20,113.1,119.89,111.03,112.44,18437740
2026-01-21,116.6,120.93,96.93,103.5,25915520
2026-01-22,109.68,120.09,105.8,116.37,19503080
2026-01-23,115.53,119.0,111.25,113.57,11544700
2026-01-26,112.55,113.0,103.75,104.78,11810390
2026-01-27,106.28,112.23,103.27,111.34,10650730
2026-01-28,113.525,124.32,111.6,121.23,18458210
2026-01-29,122.395,123.5965,113.35,122.09,13282210
2026-01-30,120.74,129.89,108.67,111.21,19691770
2026-02-02,109.89,110.67,104.06,104.55,12921830
2026-02-03,108.0,116.68,105.7,115.76,15625110
2026-02-04,114.36,114.64,97.6,103.5,20039860
2026-02-05,98.6,101.25,92.2,93.27,16389270
2026-02-06,97.75,105.2,91.35,101.79,15910050
2026-02-09,100.505,108.34,98.73,102.12,11587300
2026-02-10,100.0,101.37,95.7,96.27,10353700
2026-02-11,100.76,102.85,93.2,96.92,13701650
2026-02-12,87.9,88.0,79.89,82.22,30244190
2026-02-13,82.14,85.0,80.1,82.51,12963290
2026-02-17,80.87,84.82,78.8,83.03,9366187
2026-02-18,83.01,87.25,82.1,84.43,10338460
2026-02-19,82.88,86.72,82.1,86.4,8590786
2026-02-20,85.13,87.0899,79.51,80.2,10209480
2026-02-23,78.252,87.3,77.9,83.9,12971220
2026-02-24,81.565,86.29,80.83,85.82,7553643
2026-02-25,87.0,88.58,82.315,82.36,7512805
2026-02-26,81.9,87.74,81.2101,85.76,9312255
2026-02-27,82.72,83.5,77.17,79.19,24037700
2026-03-02,78.845,86.95,78.14,86.92,13561820
2026-03-03,88.01,97.57,84.01,92.68,21783400
2026-03-04,95.06,106.66,94.8,104.89,20805410
2026-03-05,103.03,103.81,91.051,93.86,15788530
2026-03-06,91.54,100.33,89.47,89.475,13624890
2026-03-09,87.69,91.87,86.55,89.76,10640060
2026-03-10,90.0,92.66,87.35,87.53,11452440
2026-03-11,86.8,93.27,85.5,88.21,10197410
2026-03-12,87.04,90.3599,83.91,87.09,9899828
2026-03-13,89.02,92.45,85.66,86.34,8347595
2026-03-16,88.0,90.35,85.05,89.11,8143298
2026-03-17,89.92,97.4,89.6,95.7,13878520
2026-03-18,94.67,96.45,90.65,90.74,9098231
2026-03-19,88.025,95.5,86.81,94.09,10240980
2026-03-20,94.54,96.99,86.31,89.93,16264210
2026-03-23,90.39,90.9,86.5303,88.42,12890830
2026-03-24,87.25,89.32,82.85,86.98,10141940
2026-03-25,89.59,98.51,88.85,96.06,18075510
2026-03-26,93.55,95.75,87.2,87.86,13366060
2026-03-27,89.44,90.25,78.5201,78.67,14779240
2026-03-30,79.536,79.86,71.85,73.82,13460790
2026-03-31,77.24,83.275,75.93,82.87,15135300
2026-04-01,84.53,88.45,83.075,83.99,12056780
2026-04-02,79.2,92.94,78.912,92.62,16940390
2026-04-06,93.935,99.72,92.7701,94.81,13162250
2026-04-07,93.1,95.66,89.6101,92.57,10175380
2026-04-08,100.66,101.89,93.5862,96.46,11463980
2026-04-09,96.135,98.5,90.61,91.61,9267690
2026-04-10,92.85,98.35,91.7355,94.9,11817970
2026-04-13,93.05,100.51,92.5,98.97,12801290
2026-04-14,102.95,104.15,87.4,88.57,34049650
2026-04-15,88.845,88.845,84.02,86.91,17386400
2026-04-16,87.36,91.095,86.5,90.94,18094160
2026-04-17,89.89,91.77,84.91,85.53,20114500
2026-04-20,74.1,81.095,73.5,81.0,39864510
2026-04-21,82.33,84.89,78.801,80.01,19997370
2026-04-22,84.66,87.78,82.74,84.66,22048750
2026-04-23,82.535,83.43,76.92,78.75,17469120
2026-04-24,79.0,79.6,75.95,76.4,11878590
2026-04-27,76.7,77.8,73.9,77.2,12289490
2026-04-28,75.22,76.61,70.99,71.88,15266220
2026-04-29,71.19,71.23,67.49,69.85,15006030
2026-04-30,72.28,74.36,70.14,73.9,13483220
2026-05-01,74.1,74.61,70.6101,70.89,13437980
2026-05-04,70.45,70.58,68.045,68.43,12543180
2026-05-05,68.85,68.85,63.43,63.87,19843310
2026-05-06,66.27,71.49,65.75,70.68,18680450
2026-05-07,72.38,73.7499,64.91,65.35,19441290
2026-05-08,66.72,75.4,66.11,75.05,22685040
2026-05-11,78.03,84.94,75.9,82.55,39710240
2026-05-12,73.43,79.8669,69.92,72.96,32830770
2026-05-13,72.665,77.675,71.6001,74.81,14987910
2026-05-14,76.7,84.505,74.55,83.01,27216860
2026-05-15,78.95,86.149,77.08,83.67,21746330
2026-05-18,87.82,89.96,81.83,86.83,25080440
2026-05-19,85.38,90.95,78.6579,88.1,21663620
2026-05-20,87.26,92.57,86.49,89.58,20009960
2026-05-21,89.45,97.645,88.85,96.23,24819870
2026-05-22,98.52,107.59,98.41,105.86,30710500
2026-05-26,112.595,127.1,112.46,119.7,48352870
2026-05-27,124.0,131.2,118.04,129.6,36427620
2026-05-28,126.865,133.8599,122.0,133.09,21640070
2026-05-29,113.46,115.5,105.37,113.41,54954390
2026-06-01,108.67,111.28,101.21,105.65,27218670
2026-06-02,109.91,118.74,108.8,118.17,21436030
2026-06-03,113.505,114.34,106.29,107.73,17835670
2026-06-04,103.35,111.57,101.1,107.29,16849000
2026-06-05,103.33,104.49,90.905,93.6,24000690
2026-06-08,97.13,97.13,90.81,92.06,13679270
2026-06-09,97.225,100.94,85.5,88.71,27018660
2026-06-10,88.795,93.1,87.12,87.32,16178410
2026-06-11,87.47,98.1,86.92,97.56,24756350
2026-06-12,97.0,97.7295,81.5,82.41,55156320
2026-06-15,86.03,89.76,83.985,87.57,23998730
2026-06-16,85.7,89.6,82.11,82.25,20234930
2026-06-17,85.87,88.9499,83.192,85.43,30349620
2026-06-18,85.3,85.7,77.12,80.66,31679180
2026-06-22,79.664,79.8,72.59,73.19,28409550
2026-06-23,71.865,77.8,71.66,72.87,21230950
2026-06-24,71.9,72.1,67.06,68.01,21496360
2026-06-25,68.76,68.76,63.72,65.62,22388480
2026-06-26,64.675,73.1999,64.51,71.45,22244810
2026-06-29,76.13,86.95,75.98,86.77,33358040
2026-06-30,81.915,89.87,81.915,88.86,24185470
2026-07-01,86.91,91.815,83.4,86.1,18219280
2026-07-02,87.42,90.6436,81.85,85.13,15993780
2026-07-06,86.285,88.25,80.11,80.64,12128650
2026-07-07,79.075,80.09,74.1,74.21,13093050
2026-07-08,73.76,77.9699,73.2,74.95,9520342
2026-07-09,75.34,75.53,71.77,73.88,10675620
2026-07-10,74.08,74.08,71.3,73.32,7403608
2026-07-13,72.0,72.54,66.73,67.58,13047740
2026-07-14,69.78,72.17,68.64,68.82,9555509
2026-07-15,68.86,70.38,64.59,66.31,15617390
2026-07-16,59.2,61.5,53.33,55.01,53050100
2026-07-17,54.845,61.67,54.4,57.8,30377040
