date,open,high,low,close,volume
2025-09-02,76.25,78.77,75.52,78.36,1799424
2025-09-03,78.39,79.14,74.58,76.51,1786615
2025-09-04,76.26,77.69,75.79,77.16,1359747
2025-09-05,77.51,77.93,75.03,77.63,1820818
2025-09-08,77.93,78.215,76.68,77.5,1714066
2025-09-09,77.52,77.93,74.4502,74.88,1424041
2025-09-10,75.48,77.235,75.365,76.39,2156483
2025-09-11,76.48,76.68,75.25,75.98,1531623
2025-09-12,76.43,76.92,75.57,76.14,1374565
2025-09-15,76.26,77.49,75.615,77.45,1452163
2025-09-16,78.5,79.495,77.43,79.47,1681898
2025-09-17,79.93,80.51,77.26,78.44,1271224
2025-09-18,78.7,81.02,78.32,80.48,1389613
2025-09-19,80.48,80.87,78.82,80.73,3266556
2025-09-22,80.33,80.56,79.08,79.87,1099976
2025-09-23,79.77,80.305,77.72,78.09,1615115
2025-09-24,78.69,78.99,76.98,77.01,1013057
2025-09-25,76.24,77.8,75.0215,77.41,1509694
2025-09-26,78.63,83.49,77.635,82.81,2604734
2025-09-29,83.39,84.61,76.78,79.26,4271268
2025-09-30,79.36,81.64,79.295,81.34,1972959
2025-10-01,80.33,83.1,80.33,83.01,1143071
2025-10-02,83.13,83.86,80.65,82.52,1117741
2025-10-03,83.1,83.1,80.91,81.28,1121799
2025-10-06,82.0,84.91,81.9,83.67,1780361
2025-10-07,83.93,83.93,81.57,83.51,1207777
2025-10-08,83.08,84.18,82.79,83.93,795831
2025-10-09,84.35,84.5999,82.06,82.28,734633
2025-10-10,82.27,82.7035,79.72,80.04,1049063
2025-10-13,81.7,83.23,81.0402,82.98,1048543
2025-10-14,81.8,84.88,80.88,84.78,1138863
2025-10-15,85.87,86.32,82.51,83.32,1515088
2025-10-16,83.82,83.97,80.03,81.22,1098830
2025-10-17,80.26,81.02,79.29,80.33,1347271
2025-10-20,81.8,82.115,79.76,81.41,927360
2025-10-21,81.47,84.46,81.47,84.32,1525864
2025-10-22,84.42,84.8,81.3444,82.16,1194316
2025-10-23,83.16,89.75,83.15,89.55,2890444
2025-10-24,90.0,91.08,89.2,89.25,1666949
2025-10-27,91.37,91.99,90.0,91.71,2363099
2025-10-28,99.4,103.64,97.44,98.53,3803058
2025-10-29,100.0,103.605,98.13,103.0,2414849
2025-10-30,103.28,103.43,100.698,101.18,2261054
2025-10-31,101.51,101.51,97.74,98.97,1880381
2025-11-03,99.07,99.92,97.58,98.61,1530576
2025-11-04,96.07,98.29,94.9671,96.02,1211361
2025-11-05,95.8,97.57,95.02,96.49,1171195
2025-11-06,96.72,97.09,95.52,96.21,1198283
2025-11-07,95.06,97.72,93.8686,97.65,1216934
2025-11-10,98.79,98.995,95.975,98.1,948173
2025-11-11,97.99,98.345,96.04,97.91,863160
2025-11-12,98.09,99.8,97.4,99.08,1312387
2025-11-13,100.98,101.11,97.5082,98.56,1085118
2025-11-14,96.04,100.41,95.2,99.37,1170327
2025-11-17,99.64,101.51,98.215,98.75,1366502
2025-11-18,97.77,99.3,96.51,98.18,1068052
2025-11-19,97.61,100.65,97.36,98.12,1455992
2025-11-20,100.0,100.5,93.9173,94.8,1347268
2025-11-21,94.8,97.16,93.11,96.47,1264261
2025-11-24,96.42,97.69,95.32,97.63,1150652
2025-11-25,97.88,99.37,95.1406,99.29,1373462
2025-11-26,99.37,101.24,98.6901,100.3,1425200
2025-11-28,101.81,101.81,99.94,100.8,402280
2025-12-01,99.51,100.18,98.23,99.14,1112431
2025-12-02,99.92,100.03,98.22,98.66,602438
2025-12-03,99.16,100.65,97.14,98.37,1248128
2025-12-04,98.08,100.46,97.6,100.4,1141727
