date,open,high,low,close,volume
2025-09-02,5.56,5.825,5.42,5.8,18164670
2025-09-03,5.8,5.93,5.64,5.66,18175890
2025-09-04,5.67,5.7288,5.46,5.59,15411760
2025-09-05,5.75,5.82,5.5723,5.73,14602790
2025-09-08,5.76,5.835,5.61,5.76,19898650
2025-09-09,5.71,5.7965,5.615,5.7,33032570
2025-09-10,5.74,5.84,5.41,5.44,18906940
2025-09-11,5.46,5.6265,5.445,5.57,12858430
2025-09-12,5.57,5.75,5.51,5.67,10989160
2025-09-15,5.735,5.93,5.705,5.885,17401220
2025-09-16,5.9,6.15,5.8,6.06,17958130
2025-09-17,6.05,6.09,5.76,5.89,17593820
2025-09-18,6.0,6.11,5.94,5.96,12730300
2025-09-19,5.97,6.19,5.9,6.06,33965450
2025-09-22,5.995,6.07,5.78,5.98,11264700
2025-09-23,5.999,6.42,5.98,6.13,19718990
2025-09-24,6.18,6.19,5.78,5.82,14952650
2025-09-25,5.695,5.7,5.52,5.59,13569670
2025-09-26,5.59,5.6291,5.5,5.505,9895409
2025-09-29,5.56,5.68,5.52,5.54,13994570
2025-09-30,5.515,5.5362,5.35,5.39,12189480
2025-10-01,5.37,5.43,5.185,5.21,17285600
2025-10-02,5.24,5.415,5.18,5.34,14094900
2025-10-03,5.355,5.47,5.3,5.39,11568320
2025-10-06,5.47,5.61,5.425,5.53,18856720
2025-10-07,5.54,5.6,5.28,5.4,13039450
2025-10-08,5.44,5.66,5.3801,5.58,16319220
2025-10-09,5.59,5.5958,5.39,5.46,16714940
2025-10-10,5.49,5.54,5.13,5.16,17611200
2025-10-13,5.26,5.405,5.23,5.37,20790470
2025-10-14,5.28,5.55,5.13,5.42,16145120
2025-10-15,5.52,5.74,5.43,5.49,21374070
2025-10-16,5.52,5.6,5.18,5.23,18931860
2025-10-17,5.21,5.25,5.06,5.12,14300520
2025-10-20,5.24,5.38,5.22,5.32,23978340
2025-10-21,5.3,5.35,5.22,5.25,9713525
2025-10-22,5.15,5.22,4.85,4.93,23017030
2025-10-23,4.975,5.1,4.94,5.07,12571970
2025-10-24,5.17,5.25,5.09,5.15,12223250
2025-10-27,5.28,5.33,5.22,5.27,12671810
2025-10-28,5.29,5.35,5.18,5.2,30270120
2025-10-29,5.18,5.28,4.87,5.1,34954720
2025-10-30,4.96,5.155,4.96,5.1,27498630
2025-10-31,5.11,5.3263,5.07,5.24,14392780
2025-11-03,5.23,5.42,5.0201,5.05,26461320
2025-11-04,4.94,5.02,4.48,4.485,25375520
2025-11-05,4.52,4.54,4.3,4.46,20525780
2025-11-06,4.42,4.4599,4.165,4.23,23741240
2025-11-07,4.12,4.34,4.04,4.32,18508040
2025-11-10,4.52,4.52,4.29,4.36,13445950
2025-11-11,4.31,4.36,4.22,4.26,12760590
2025-11-12,4.29,4.3755,4.16,4.23,12642280
2025-11-13,4.18,4.3,4.105,4.16,18087480
2025-11-14,4.05,4.16,3.99,4.13,14388680
2025-11-17,4.13,4.13,3.77,3.83,16897260
2025-11-18,3.785,3.86,3.685,3.81,22054490
2025-11-19,3.82,3.93,3.77,3.83,15044940
2025-11-20,3.92,4.04,3.75,3.77,23659780
2025-11-21,3.77,3.84,3.6,3.78,15914540
2025-11-24,3.82,3.91,3.7601,3.9,14039760
2025-11-25,3.9,3.95,3.76,3.92,18129970
2025-11-26,4.09,4.155,4.015,4.05,13291150
2025-11-28,4.1,4.24,4.09,4.19,8866779
2025-12-01,4.075,4.12,3.96,3.99,19539250
2025-12-02,4.01,4.15,3.98,3.99,13997580
2025-12-03,3.99,4.54,3.97,4.51,24188390
2025-12-04,4.515,4.67,4.45,4.57,13604320
2025-12-05,4.61,4.645,4.45,4.46,12149290
2025-12-08,4.54,4.66,4.46,4.6,12222680
2025-12-09,4.59,4.69,4.51,4.61,10553050
2025-12-10,4.56,4.69,4.475,4.5,16541730
2025-12-11,4.47,4.645,4.45,4.61,13402800
2025-12-12,4.58,4.63,4.36,4.39,10271070
2025-12-15,4.42,4.475,4.16,4.18,13797460
2025-12-16,4.15,4.195,4.07,4.12,12030590
2025-12-17,4.14,4.23,4.05,4.07,13466780
2025-12-18,4.2,4.3,4.14,4.18,9703396
2025-12-19,4.19,4.27,4.15,4.16,30148200
2025-12-22,4.2,4.3598,4.18,4.22,20301080
2025-12-23,4.17,4.195,4.08,4.09,24681990
2025-12-24,4.08,4.11,4.055,4.1,4212937
2025-12-26,4.07,4.08,3.93,4.0,7672763
2025-12-29,3.95,4.02,3.84,3.87,13084990
2025-12-30,3.87,3.96,3.86,3.88,9893758
2025-12-31,3.86,3.9,3.79,3.84,14045080
2026-01-02,3.86,3.95,3.79,3.87,22506360
2026-01-05,3.95,4.06,3.9,3.99,31046210
2026-01-06,4.04,4.42,3.995,4.4,25066960
2026-01-07,4.52,4.82,4.42,4.59,29072930
2026-01-08,4.53,4.7,4.43,4.67,19160570
2026-01-09,4.72,4.82,4.65,4.79,21578200
2026-01-12,4.77,4.83,4.5901,4.76,15419290
2026-01-13,4.76,4.76,4.48,4.59,13843720
2026-01-14,4.58,4.62,4.4946,4.62,10358170
2026-01-15,4.65,4.6798,4.5429,4.57,11299170
2026-01-16,4.59,4.76,4.565,4.67,12875590
2026-01-20,4.49,4.66,4.43,4.49,13153130
2026-01-21,4.55,4.68,4.47,4.66,15054150
2026-01-22,4.74,5.08,4.71,4.88,21077930
2026-01-23,4.88,4.88,4.5414,4.58,17591030
2026-01-26,4.6,4.6099,4.325,4.42,14959820
2026-01-27,4.44,4.48,4.32,4.36,13429090
2026-01-28,4.385,4.55,4.27,4.5,14526190
2026-01-29,4.44,4.54,4.305,4.51,20198430
2026-01-30,4.43,4.5,4.18,4.2,16351890
2026-02-02,4.17,4.2,4.06,4.07,16375780
2026-02-03,4.12,4.18,3.915,4.12,15167630
2026-02-04,4.12,4.25,3.95,4.17,19784730
2026-02-05,4.06,4.09,3.75,3.78,21607950
2026-02-06,3.94,4.3,3.9,4.28,14135750
2026-02-09,4.25,4.43,4.1806,4.4,13511600
2026-02-10,4.42,4.5,4.36,4.46,9830323
2026-02-11,4.5,4.5,4.27,4.36,19894470
2026-02-12,4.46,4.58,3.98,4.22,23055370
2026-02-13,4.25,4.52,4.18,4.48,19674480
2026-02-17,4.45,4.575,4.34,4.53,12923520
2026-02-18,4.55,4.88,4.49,4.74,26719630
2026-02-19,4.69,4.8966,4.645,4.86,18667140
2026-02-20,4.755,4.93,4.73,4.77,17561940
2026-02-23,4.7,4.84,4.54,4.74,16702960
2026-02-24,4.73,4.89,4.63,4.85,13001750
2026-02-25,4.89,4.97,4.82,4.88,14661220
2026-02-26,4.88,4.88,4.56,4.71,16996380
2026-02-27,4.58,4.92,4.57,4.68,25752370
2026-03-02,4.495,4.77,4.48,4.75,17264890
2026-03-03,4.57,4.78,4.49,4.6,17152130
2026-03-04,4.65,4.705,4.45,4.49,18667770
2026-03-05,4.42,4.5,4.2,4.47,15861080
2026-03-06,4.41,4.525,4.325,4.49,23802160
2026-03-09,4.39,4.66,4.29,4.61,22604840
2026-03-10,4.61,4.65,4.33,4.37,18547770
2026-03-11,4.41,4.48,4.27,4.45,16945350
2026-03-12,4.38,4.42,4.22,4.25,15725820
2026-03-13,4.31,4.39,4.07,4.08,34190650
2026-03-16,4.14,4.31,4.12,4.23,18607600
2026-03-17,4.23,4.41,4.195,4.22,17704200
2026-03-18,4.15,4.2,4.05,4.06,16757970
2026-03-19,3.99,4.2,3.97,4.18,15744570
2026-03-20,4.16,4.245,4.09,4.13,30992720
2026-03-23,4.21,4.49,4.09,4.38,22890850
2026-03-24,4.31,4.395,4.2,4.22,16722350
2026-03-25,4.35,4.43,4.25,4.32,12264520
2026-03-26,4.26,4.44,4.21,4.22,13593160
2026-03-27,4.143,4.205,4.1,4.12,17995960
2026-03-30,4.18,4.18,3.82,3.88,20773570
2026-03-31,3.99,4.16,3.885,4.12,19246240
2026-04-01,4.17,4.25,4.12,4.18,18239630
2026-04-02,3.99,4.2599,3.99,4.15,12291550
2026-04-06,4.15,4.37,4.15,4.2,12612760
2026-04-07,4.15,4.17,3.95,4.09,13823010
2026-04-08,4.35,4.42,4.15,4.23,16288320
2026-04-09,4.19,4.23,4.015,4.03,12434500
2026-04-10,4.055,4.165,4.0,4.15,14229970
