date,open,high,low,close,volume
2025-09-02,289.34,298.71,287.17,298.24,19693020
2025-09-03,302.29,304.45,296.4,302.39,18529390
2025-09-04,305.06,308.78,302.2501,306.1,31220800
2025-09-05,355.78,356.34,331.42,334.89,78401550
2025-09-08,342.75,354.1656,341.2501,345.65,43535640
2025-09-09,349.545,350.98,335.83,336.67,26972320
2025-09-10,351.52,372.97,350.55,369.57,51086830
2025-09-11,371.18,374.23,358.7604,359.63,29430950
2025-09-12,362.91,364.385,357.16,359.87,31949800
2025-09-15,359.87,365.5,356.34,364.09,21792190
2025-09-16,365.425,365.69,356.99,360.0,21306510
2025-09-17,358.85,359.93,341.5,346.17,45197130
2025-09-18,350.0,350.7,343.79,345.35,24663890
2025-09-19,344.65,346.27,336.43,344.94,41240070
2025-09-22,342.425,346.67,337.94,338.79,28660030
2025-09-23,340.24,345.215,337.0216,338.94,21944080
2025-09-24,339.755,340.0799,333.81,339.31,19677300
2025-09-25,332.99,338.062,327.3,336.1,21678190
2025-09-26,337.43,339.08,330.5801,334.53,15464700
2025-09-29,336.0,341.05,327.55,327.9,21336000
2025-09-30,330.12,331.05,324.61,329.91,20109460
2025-10-01,328.145,337.95,324.5,333.39,21122690
2025-10-02,347.61,347.61,335.25,338.18,19917620
2025-10-03,341.5,344.4,335.74,338.37,14749070
2025-10-06,335.92,344.13,334.56,335.49,18465730
2025-10-07,337.025,338.11,326.58,336.41,18086710
2025-10-08,333.82,346.54,332.62,345.5,21478340
2025-10-09,345.75,347.31,340.4,345.02,17643740
2025-10-10,345.39,350.6,324.05,324.63,28941010
2025-10-13,352.77,359.38,343.5201,356.7,45984260
2025-10-14,350.125,350.67,339.6532,344.13,22078000
2025-10-15,354.47,359.4,347.5,351.33,23918540
2025-10-16,356.8,363.24,349.485,354.15,20317220
2025-10-17,349.61,350.97,340.78,349.33,20937940
2025-10-20,353.8,356.59,347.84,349.24,15640230
2025-10-21,350.0,351.1,341.31,342.66,16092580
2025-10-22,347.3,348.01,335.51,340.3,19268830
2025-10-23,340.4,346.57,340.4,344.29,12859160
2025-10-24,352.51,358.3,350.875,354.13,16143740
2025-10-27,361.54,362.75,355.08,362.05,20065770
2025-10-28,362.62,374.06,362.53,372.97,21056050
2025-10-29,373.19,386.48,373.19,385.98,24975210
2025-10-30,386.4,386.4,370.06,376.47,24295270
2025-10-31,378.27,378.82,365.1,369.63,21598440
2025-11-03,372.0,374.85,361.98,362.55,17198920
2025-11-04,358.52,368.95,351.0,351.94,24047460
2025-11-05,350.89,364.8699,350.0913,358.98,17087640
2025-11-06,360.11,363.5,352.71,355.59,19896860
2025-11-07,354.185,354.5,337.27,349.43,21903220
2025-11-10,357.9,360.0,354.61,358.39,16408960
2025-11-11,358.97,361.885,349.67,351.96,16446800
2025-11-12,358.035,358.87,351.68,355.22,12190450
2025-11-13,351.58,353.55,334.16,339.98,22616620
2025-11-14,331.47,344.74,329.06,342.46,18500850
2025-11-17,339.815,352.2,337.52,342.65,14799570
2025-11-18,343.2,347.97,335.51,340.5,21726810
2025-11-19,340.705,359.69,337.8,354.42,21851880
2025-11-20,366.0,376.08,345.18,346.82,28866960
2025-11-21,345.155,348.6,331.8,340.2,30280340
2025-11-24,347.73,382.0,347.66,377.96,47262430
2025-11-25,384.93,388.13,371.75,385.03,33507570
2025-11-26,385.55,399.87,383.26,397.57,28693010
2025-11-28,399.35,403.0,397.16,402.96,13365500
2025-12-01,394.85,395.42,385.1,386.08,23251970
2025-12-02,388.31,393.5,379.79,381.57,22206950
2025-12-03,380.0,382.3,370.65,380.61,21336370
2025-12-04,380.68,383.89,376.53,381.03,15845860
2025-12-05,386.165,393.53,385.1452,390.24,24779920
2025-12-08,402.48,407.285,397.4,401.1,30410550
2025-12-09,398.745,406.93,395.51,406.29,24545960
2025-12-10,402.2,414.61,399.56,412.97,31530980
2025-12-11,404.825,409.3,394.19,406.37,45681620
2025-12-12,379.96,382.0,355.15,359.93,95588460
2025-12-15,361.89,362.0,337.51,339.81,65894900
2025-12-16,336.02,347.4999,335.06,341.3,58061050
2025-12-17,346.61,346.61,321.42,326.02,73300900
2025-12-18,336.0,336.025,323.63,329.88,54501920
2025-12-19,333.335,343.45,332.5775,340.36,159095200
2025-12-22,346.03,346.24,337.22,341.45,28739580
2025-12-23,340.81,350.11,338.54,349.32,28232580
2025-12-24,350.685,352.86,347.14,350.22,11424400
2025-12-26,351.06,353.25,347.75,352.13,15028130
2025-12-29,348.72,350.33,344.69,349.39,21946860
2025-12-30,349.97,352.68,349.3,349.85,16633610
