date,open,high,low,close,volume
2025-09-02,121.41,124.605,121.29,123.47,902709
2025-09-03,123.52,124.475,120.72,122.0,576608
2025-09-04,121.81,124.52,121.75,124.41,470745
2025-09-05,124.29,125.25,122.56,125.17,506671
2025-09-08,124.26,129.43,124.1971,129.29,751543
2025-09-09,129.31,130.0,123.54,125.68,809279
2025-09-10,128.08,128.08,123.96,124.12,478648
2025-09-11,123.69,124.51,122.03,122.96,564824
2025-09-12,122.65,123.0383,117.75,118.42,700789
2025-09-15,117.98,118.834,116.3425,116.775,444621
2025-09-16,116.19,117.3295,112.9,114.1,735825
2025-09-17,114.48,118.432,113.85,116.62,592095
2025-09-18,116.37,118.77,115.56,118.63,517702
2025-09-19,118.71,119.21,115.76,115.95,616608
2025-09-22,116.64,117.79,114.91,117.49,526015
2025-09-23,117.5,119.35,116.5,118.19,432571
2025-09-24,117.93,119.04,116.6775,118.77,332695
2025-09-25,118.49,118.99,115.305,116.01,424290
2025-09-26,116.15,117.8357,115.72,116.76,344999
2025-09-29,117.56,119.68,116.1756,117.62,358965
2025-09-30,118.48,121.47,117.5,121.45,402098
2025-10-01,122.49,124.53,118.1,118.57,526973
2025-10-02,118.14,120.8,117.597,119.94,452742
2025-10-03,120.09,122.14,119.72,120.3,322318
2025-10-06,120.64,120.9146,119.17,119.94,543684
2025-10-07,119.81,120.785,117.5,118.64,402305
2025-10-08,119.15,120.0275,117.3,118.71,344722
2025-10-09,118.71,124.125,118.71,122.52,648338
2025-10-10,122.52,122.98,120.42,121.71,339765
2025-10-13,122.04,122.265,119.2,121.15,571799
2025-10-14,120.65,124.385,120.12,123.52,292015
2025-10-15,123.42,130.35,123.42,129.58,686604
2025-10-16,129.91,130.8099,124.02,125.0,495705
2025-10-17,124.18,128.225,124.18,127.94,346606
2025-10-20,129.71,134.36,126.3,131.6,814640
2025-10-21,131.25,131.8,128.48,131.39,342014
2025-10-22,130.51,131.745,127.49,129.72,395848
2025-10-23,130.2,130.4,126.8,127.06,294252
2025-10-24,127.28,130.6299,127.1749,129.55,530569
2025-10-27,130.2,134.99,130.2,134.68,454852
2025-10-28,133.55,136.23,132.61,133.51,515326
2025-10-29,133.1,134.91,129.4,133.33,406691
2025-10-30,132.66,136.24,131.0108,133.15,405250
2025-10-31,132.21,135.72,132.0,134.99,508233
2025-11-03,123.9,137.8499,123.5,135.75,1238888
2025-11-04,134.01,136.1,131.51,134.93,725848
2025-11-05,134.66,135.8,131.49,135.69,577471
2025-11-06,135.66,141.36,133.01,139.41,572925
2025-11-07,139.5,139.5,134.49,138.15,459009
2025-11-10,138.97,140.38,136.94,137.8,530613
2025-11-11,137.21,142.19,137.0,139.61,551832
2025-11-12,140.35,144.15,139.65,140.86,677452
2025-11-13,140.23,140.895,136.4,137.4,507352
2025-11-14,137.03,141.99,136.0,139.69,401439
2025-11-17,139.53,146.68,138.9,145.56,877074
2025-11-18,145.38,149.46,143.68,147.48,798786
2025-11-19,146.98,149.235,144.51,146.77,492280
2025-11-20,148.78,149.5,142.91,143.31,821306
2025-11-21,143.9,149.765,142.51,149.44,531766
2025-11-24,148.86,151.385,148.02,151.2,542877
2025-11-25,152.13,152.94,150.0,150.36,359541
2025-11-26,150.01,152.0,147.9727,150.98,541258
2025-11-28,151.77,152.76,150.064,151.5,189517
2025-12-01,150.0,151.58,148.55,149.03,504997
2025-12-02,149.24,149.25,141.69,142.09,785282
2025-12-03,142.89,148.715,142.62,147.81,616863
2025-12-04,147.63,149.93,147.5,148.04,358673
2025-12-05,148.0,151.6336,147.6,149.22,492343
2025-12-08,150.77,151.51,147.47,147.56,631396
2025-12-09,146.99,148.54,144.0,145.22,440003
2025-12-10,145.12,149.87,144.97,149.26,406310
2025-12-11,149.75,150.0,146.34,148.75,276799
2025-12-12,148.67,148.8525,144.13,148.17,554080
2025-12-15,148.36,149.13,145.1,146.24,364590
2025-12-16,146.76,148.21,145.07,146.87,303813
2025-12-17,146.84,148.87,145.71,148.0,421912
2025-12-18,148.19,149.0,145.88,147.0,392566
2025-12-19,147.18,154.49,147.18,152.65,975307
2025-12-22,152.65,156.3852,152.65,154.7,606846
2025-12-23,155.36,158.5646,152.41,154.19,469884
