date,open,high,low,close,volume
2025-09-02,134.47,138.83,133.06,138.55,41625380
2025-09-03,136.7,137.77,135.58,136.45,16470530
2025-09-04,133.16,134.25,130.06,130.92,24730940
2025-09-05,135.03,135.61,132.7,135.58,19202470
2025-09-08,139.88,141.22,138.7685,141.2,20095290
2025-09-09,145.4,148.0,144.65,147.1,32792260
2025-09-10,145.42,145.92,143.23,143.93,21079910
2025-09-11,148.12,156.8486,147.86,155.44,50089160
2025-09-12,154.07,155.46,152.06,155.06,20903290
2025-09-15,159.09,159.7,156.73,158.04,23567200
2025-09-16,158.36,163.0,157.59,162.21,26017690
2025-09-17,166.0,167.32,163.26,166.17,29344350
2025-09-18,162.5,164.79,161.3,162.48,19529560
2025-09-19,164.69,166.25,162.61,162.81,18183220
2025-09-22,163.76,167.435,163.0301,164.25,18667750
2025-09-23,165.01,167.83,162.8,163.08,18278590
2025-09-24,175.98,180.16,175.0,176.44,52642310
2025-09-25,173.4,175.77,170.435,175.47,20712240
2025-09-26,172.17,172.76,169.7,171.91,15971140
2025-09-29,178.08,181.344,177.59,179.9,21576310
2025-09-30,181.66,182.15,177.1,178.73,18681540
2025-10-01,179.98,183.08,178.87,182.78,14966890
2025-10-02,188.58,192.67,188.3,189.34,23687830
2025-10-03,190.72,191.07,187.1351,188.03,13990880
2025-10-06,186.5,189.61,186.31,187.22,10973540
2025-10-07,187.405,188.66,180.44,181.33,16942160
2025-10-08,180.79,182.09,177.3,181.12,15883670
2025-10-09,178.52,178.78,172.3,173.68,21211550
2025-10-10,170.03,172.93,157.25,159.01,50296820
2025-10-13,167.78,168.79,165.03,166.81,25703060
2025-10-14,160.05,166.5,160.0,162.86,18583210
2025-10-15,168.07,168.1,164.6,165.91,15337380
2025-10-16,166.52,168.3,164.46,165.09,10979710
2025-10-17,161.76,169.1,161.15,167.05,17765730
2025-10-20,167.29,174.97,165.79,173.47,20120470
2025-10-21,170.52,170.94,166.42,166.67,15662510
2025-10-22,167.0,169.67,163.58,165.86,15016540
2025-10-23,168.97,173.24,168.3166,171.9,12792120
2025-10-24,174.4,176.44,173.3623,174.7,11840990
2025-10-27,179.74,180.0,177.6204,179.45,12580850
2025-10-28,177.48,179.38,175.24,176.72,11906930
2025-10-29,180.295,182.5,178.09,179.97,12068930
2025-10-30,174.32,176.3803,173.78,173.93,10756270
2025-10-31,170.53,171.45,168.12,170.43,13181440
2025-11-03,168.31,168.94,165.58,167.69,9702276
2025-11-04,162.6,166.5,162.2,164.3,9693135
2025-11-05,164.4,166.88,163.6,164.82,8631419
2025-11-06,169.0,170.55,165.52,167.61,12438910
2025-11-07,162.96,166.38,161.2162,166.34,11581220
2025-11-10,167.62,168.0,163.64,165.89,9348727
2025-11-11,164.59,165.58,160.16,160.8,11354390
2025-11-12,160.98,161.19,156.2,157.91,13920800
2025-11-13,164.0,164.0,158.5,159.84,17212990
2025-11-14,156.94,162.62,151.78,153.8,33991000
2025-11-17,157.98,161.025,156.9,157.71,16911370
2025-11-18,157.31,161.28,156.7,159.72,12438920
2025-11-19,159.325,160.97,158.0408,158.89,7949937
2025-11-20,159.0,161.39,153.0,153.28,13466890
2025-11-21,151.98,155.88,148.64,152.93,16240770
2025-11-24,160.0,161.5,158.7,160.73,21796580
2025-11-25,165.2,166.37,156.15,157.01,27097480
2025-11-26,159.095,161.46,150.0,157.6,21453060
2025-11-28,156.16,158.69,155.68,157.3,7185491
2025-12-01,160.5,164.8499,159.41,164.26,15321150
2025-12-02,161.2,161.73,159.12,161.13,9878480
2025-12-03,157.4,158.4549,156.53,158.08,6967995
2025-12-04,158.27,158.8,156.41,157.44,6666349
2025-12-05,159.15,159.49,157.68,158.32,6277149
2025-12-08,157.57,158.74,156.4129,158.13,7342015
2025-12-09,154.44,156.6,154.3,155.96,6458051
2025-12-10,159.64,160.7399,157.5,158.82,10928550
2025-12-11,155.15,157.05,153.36,156.9,8171243
2025-12-12,157.765,158.95,153.8,155.68,6708382
2025-12-15,153.18,153.205,149.58,150.09,11233110
2025-12-16,148.95,149.97,147.51,149.29,9051912
2025-12-17,150.6,151.39,146.75,147.09,8271036
2025-12-18,148.65,149.2,147.116,147.32,6597386
2025-12-19,149.01,151.47,148.88,149.79,9004211
2025-12-22,150.405,151.82,149.12,150.96,6779097
2025-12-23,150.575,151.3,149.27,151.23,5373306
2025-12-24,150.5,150.79,149.9182,150.06,3274182
2025-12-26,150.29,152.9799,150.06,152.24,6037198
2025-12-29,147.72,148.75,147.21,148.49,8900020
2025-12-30,148.84,149.1,147.35,147.36,6832251
2025-12-31,146.69,147.37,145.64,146.58,6116035
2026-01-02,152.62,156.65,151.8014,155.74,15778330
2026-01-05,155.775,156.55,152.17,156.26,14743960
2026-01-06,155.22,155.84,150.86,150.9,12998110
2026-01-07,148.38,148.38,146.61,146.75,12613210
2026-01-08,146.095,155.29,145.27,154.47,20981680
2026-01-09,151.33,151.57,148.52,150.96,11437940
2026-01-12,157.47,167.69,157.47,166.31,35379010
2026-01-13,165.5,170.68,164.91,167.01,18850360
2026-01-14,171.57,172.8,169.845,169.9,17475060
2026-01-15,169.645,173.3,167.34,170.93,12606970
2026-01-16,169.78,169.85,163.495,165.4,18598280
2026-01-20,161.83,166.1746,161.68,162.39,9885048
2026-01-21,167.575,169.865,165.66,168.67,11713730
2026-01-22,176.43,181.1,174.77,177.18,32031060
2026-01-23,175.435,175.61,171.94,173.23,13064060
2026-01-26,169.79,172.99,168.68,171.37,10166150
2026-01-27,174.05,176.4599,172.2207,172.72,8931278
2026-01-28,176.25,177.8699,174.5625,175.66,9001486
2026-01-29,178.34,180.75,171.6,174.25,12062510
2026-01-30,172.7,174.0,169.47,169.56,10846080
2026-02-02,167.98,169.56,167.34,168.39,6551750
2026-02-03,163.88,165.35,160.61,163.65,10066590
2026-02-04,162.33,162.85,156.78,159.14,11851370
2026-02-05,161.14,161.4699,156.71,157.76,10936670
2026-02-06,160.46,162.86,159.5,162.51,10972060
2026-02-09,161.89,165.03,160.89,163.0,7260483
2026-02-10,163.74,168.255,162.3,166.51,10989980
2026-02-11,164.09,165.2,161.38,164.32,8756875
2026-02-12,163.12,163.37,156.96,158.73,11457820
2026-02-13,152.855,158.11,152.855,155.73,16045580
2026-02-17,156.375,158.13,153.46,155.43,6803612
2026-02-18,156.88,157.5,155.57,155.77,4506642
2026-02-19,155.225,155.5,153.15,154.27,6582473
2026-02-20,150.85,155.49,150.43,154.45,8758715
2026-02-23,155.5,156.33,152.57,152.78,6751014
2026-02-24,152.1,153.73,150.9,153.11,6655157
2026-02-25,152.8,153.55,150.9614,152.28,5813403
2026-02-26,148.355,149.06,145.6,148.05,10256410
2026-02-27,145.46,146.4,143.33,144.11,9780307
2026-03-02,139.19,143.0,139.055,142.56,9428263
2026-03-03,136.38,137.08,133.4,135.59,18476770
2026-03-04,134.985,135.117,132.72,133.27,14293900
2026-03-05,129.7,131.6346,128.6,130.35,18612930
2026-03-06,129.3,132.43,128.8,130.79,10956990
2026-03-09,130.24,132.91,128.55,132.64,10072450
2026-03-10,135.71,139.22,134.56,136.85,15264290
2026-03-11,135.57,136.74,134.82,136.29,6685065
2026-03-12,135.38,136.0,133.45,134.2,7591786
2026-03-13,136.07,137.2,134.7,135.21,6438401
2026-03-16,138.8,138.8,136.5,136.71,9972344
2026-03-17,137.875,138.22,135.97,136.57,10005700
2026-03-18,138.445,139.16,134.37,134.43,17158600
2026-03-19,123.02,126.92,121.16,124.9,33440470
2026-03-20,125.715,126.48,122.09,122.41,15479260
2026-03-23,123.24,127.27,123.1,126.06,15583920
2026-03-24,124.36,125.75,123.92,125.48,8516233
2026-03-25,129.48,130.65,128.34,129.87,12843020
2026-03-26,126.72,127.05,124.59,125.41,9239994
2026-03-27,123.97,124.44,122.2301,122.69,8104989
2026-03-30,123.28,123.78,121.55,121.98,7226650
2026-03-31,121.99,125.78,121.38,125.46,9486079
2026-04-01,125.48,126.39,123.12,123.73,10297420
2026-04-02,120.27,122.8479,120.14,122.05,8830234
2026-04-06,122.05,123.65,121.7,122.31,3987630
2026-04-07,121.15,121.98,117.93,119.72,10879160
2026-04-08,128.11,129.34,124.86,125.32,17638080
2026-04-09,124.52,127.78,123.96,127.68,10014560
2026-04-10,129.135,129.76,127.05,127.33,9356300
2026-04-13,125.99,128.09,125.55,128.01,5550175
2026-04-14,128.47,132.88,128.47,131.35,11718520
2026-04-15,132.7,133.6,131.37,133.28,8749496
2026-04-16,137.8,140.9,135.735,138.59,17122240
2026-04-17,141.15,143.78,139.88,141.01,12886520
2026-04-20,140.465,140.93,138.8725,140.17,7823286
2026-04-21,139.25,139.25,134.46,135.38,11388170
2026-04-22,136.91,137.33,135.38,136.42,9258281
2026-04-23,133.78,133.9,129.615,131.7,10749900
2026-04-24,133.68,136.2,133.0,135.82,9046794
2026-04-27,133.0,133.405,132.0904,132.52,6462056
2026-04-28,129.5,130.92,128.95,130.85,6088113
2026-04-29,131.95,132.03,129.96,130.43,6386040
2026-04-30,130.15,132.64,129.35,131.88,7416640
2026-05-01,131.755,133.15,131.36,131.5,6199254
2026-05-04,133.98,136.115,133.26,133.27,8317188
2026-05-05,134.625,134.72,132.17,132.26,6919340
2026-05-06,137.305,142.2,136.74,141.44,16958930
2026-05-07,143.765,143.95,140.44,141.0,10698820
2026-05-08,142.05,143.8,139.37,140.06,10062040
2026-05-11,137.66,138.85,136.22,137.3,9859181
2026-05-12,136.49,136.97,133.82,134.78,16128950
2026-05-13,132.06,146.87,130.33,145.81,40214630
2026-05-14,140.98,143.98,138.61,141.12,19422030
2026-05-15,135.88,135.88,131.95,132.59,17985110
2026-05-18,133.945,134.88,132.57,133.26,10379390
2026-05-19,135.345,136.78,134.79,135.64,11084230
2026-05-20,135.86,135.89,132.73,134.47,7035407
2026-05-21,129.55,131.755,128.09,131.47,12621450
2026-05-22,126.925,130.75,126.925,130.0,11868360
2026-05-26,130.1,130.24,129.075,129.47,5598986
2026-05-27,126.32,129.0,126.25,127.76,8272827
2026-05-28,124.72,126.57,123.54,126.16,11541350
2026-05-29,124.39,125.04,123.43,124.22,12504290
2026-06-01,124.2,126.35,123.99,125.4,9297825
2026-06-02,132.25,134.09,130.52,130.82,15355110
2026-06-03,128.76,128.89,126.83,127.21,8646189
2026-06-04,126.62,128.17,125.94,125.95,6928094
2026-06-05,125.01,125.23,120.46,121.06,12891390
2026-06-08,121.76,122.3595,119.61,120.07,9493315
2026-06-09,121.3,122.42,118.37,119.7,11871010
2026-06-10,116.0,118.18,115.37,115.38,10880860
2026-06-11,110.875,112.82,109.66,112.69,16403570
2026-06-12,112.57,112.82,110.97,112.82,8157874
2026-06-15,112.66,113.82,112.11,112.55,10426110
2026-06-16,109.33,111.25,109.05,110.97,14128120
2026-06-17,109.51,110.58,107.38,107.44,13280670
2026-06-18,106.485,107.37,105.51,107.1,14602990
2026-06-22,105.092,106.53,103.91,104.97,13220750
2026-06-23,102.38,103.54,101.83,102.6,11335710
2026-06-24,101.25,101.67,99.1,99.8,15334290
2026-06-25,97.675,98.1,94.71,95.07,20248160
2026-06-26,92.0,95.72,91.99,94.81,18307560
2026-06-29,96.14,97.47,94.4,95.51,21078870
2026-06-30,94.99,96.96,94.36,95.98,11816050
2026-07-01,95.6,99.46,95.53,97.99,11888580
2026-07-02,96.89,97.95,95.19,96.14,11764190
2026-07-06,97.41,98.03,96.37,97.91,8948126
2026-07-07,97.8,99.74,97.39,98.14,10204160
2026-07-08,107.6,109.82,105.65,108.98,38869290
2026-07-09,109.12,112.17,108.85,111.14,14110620
2026-07-10,113.24,115.58,112.01,112.33,16162160
2026-07-13,112.855,114.2,111.82,112.35,9559939
2026-07-14,112.95,113.35,111.23,112.32,8272264
2026-07-15,117.4,121.22,117.15,117.69,20233330
2026-07-16,118.475,119.935,117.415,117.49,9653547
2026-07-17,114.65,115.93,113.94,114.97,11282130
