date,open,high,low,close,volume
2025-09-02,59.44,59.5389,58.47,59.13,3147655
2025-09-03,59.04,59.24,57.98,58.51,1296779
2025-09-04,57.69,59.13,57.52,59.01,2509511
2025-09-05,59.5,59.88,57.8924,58.27,3914861
2025-09-08,58.24,58.475,56.1,56.91,3841158
2025-09-09,56.75,57.13,56.13,56.13,1549197
2025-09-10,56.31,57.205,55.29,55.68,3040956
2025-09-11,55.51,57.22,55.46,56.73,2245660
2025-09-12,56.72,56.86,56.36,56.57,1694842
2025-09-15,56.8,57.91,56.702,57.84,2186259
2025-09-16,57.71,58.74,57.52,58.52,3301989
2025-09-17,58.73,59.74,58.14,58.68,2198270
2025-09-18,59.04,60.505,58.9,59.87,1724037
2025-09-19,60.47,60.68,58.98,60.02,2086237
2025-09-22,59.5,61.61,59.09,61.46,1819420
2025-09-23,61.66,62.57,60.935,61.22,1357930
2025-09-24,61.15,61.535,59.09,59.11,1719740
2025-09-25,58.62,58.72,57.57,58.01,1978615
2025-09-26,58.22,58.985,57.98,58.09,1727508
2025-09-29,58.36,58.89,58.16,58.29,1096157
2025-09-30,58.35,58.42,56.24,56.94,2197093
2025-10-01,56.6,57.21,55.7,55.76,1613109
2025-10-02,56.03,56.875,55.78,56.79,1789733
2025-10-03,56.94,57.9543,56.86,57.8,1394674
2025-10-06,58.17,58.27,56.59,57.78,1222939
2025-10-07,58.11,58.75,57.724,57.96,1402569
2025-10-08,58.55,58.935,57.6075,58.39,1064315
2025-10-09,58.43,58.77,58.02,58.77,1393144
2025-10-10,59.18,59.33,55.04,55.06,2617675
2025-10-13,56.06,57.3297,55.915,56.96,1348696
2025-10-14,56.25,57.16,55.74,56.54,2421552
2025-10-15,57.42,57.56,55.955,56.24,1259073
2025-10-16,56.4,56.42,54.0599,54.16,2251337
2025-10-17,54.17,54.77,53.615,54.2,2312548
2025-10-20,54.64,55.055,54.33,54.6,859678
2025-10-21,54.47,55.065,54.424,54.66,2326148
2025-10-22,54.52,54.75,53.71,53.99,1427029
2025-10-23,54.0,54.23,53.22,53.77,1722766
2025-10-24,54.54,54.84,54.04,54.36,1191066
2025-10-27,54.93,55.57,54.465,54.58,1821733
2025-10-28,56.21,56.365,54.96,55.13,2088146
2025-10-29,55.12,55.425,54.16,54.51,1743534
2025-10-30,54.09,54.415,53.42,53.67,2085530
2025-10-31,53.47,54.325,53.35,54.06,1727256
2025-11-03,54.17,54.91,53.51,54.36,3122797
2025-11-04,53.96,54.8,53.6,53.89,3777660
2025-11-05,53.85,54.56,53.3,53.98,2351411
2025-11-06,53.62,53.84,52.83,53.27,3334849
2025-11-07,53.53,54.63,52.1001,53.03,5247735
2025-11-10,53.64,53.82,52.28,53.51,2851444
2025-11-11,53.5,54.34,53.17,54.08,2084660
2025-11-12,54.28,55.18,54.12,54.68,3666303
2025-11-13,54.21,54.78,51.43,51.87,3962117
2025-11-14,51.32,51.91,51.05,51.56,3994442
2025-11-17,51.39,51.665,49.2,49.41,4643087
2025-11-18,48.87,50.11,48.6801,49.88,3817766
2025-11-19,49.98,50.68,49.775,50.65,3328510
2025-11-20,51.7,52.09,50.04,50.17,2121390
2025-11-21,50.45,50.9,49.66,50.47,3852247
2025-11-24,50.53,50.99,50.03,50.79,1991051
2025-11-25,50.9,51.475,50.38,51.31,3167164
2025-11-26,51.53,52.33,51.53,52.07,2447374
2025-11-28,51.78,52.95,51.78,52.74,1419592
2025-12-01,52.08,52.485,51.75,51.89,2710386
2025-12-02,52.15,52.745,51.86,52.21,1893612
2025-12-03,52.47,53.225,52.0104,53.07,3805573
2025-12-04,53.09,53.62,52.9,52.92,3755468
2025-12-05,53.01,54.15,52.76,53.26,4424112
2025-12-08,53.24,53.35,52.19,53.19,2910817
2025-12-09,53.28,54.8,53.16,54.45,2266821
2025-12-10,54.35,55.93,53.9,55.66,1988329
2025-12-11,55.6,55.78,54.54,54.59,1867365
2025-12-12,54.71,54.98,52.79,53.79,2187455
2025-12-15,54.08,54.23,53.19,53.21,1256637
2025-12-16,53.26,53.81,52.79,53.16,1332533
2025-12-17,53.16,53.44,51.65,51.7,2053117
2025-12-18,52.39,53.435,52.1475,52.3,1855454
2025-12-19,52.37,52.74,52.09,52.19,2235256
2025-12-22,52.56,53.43,52.33,53.27,941942
2025-12-23,53.2,53.48,52.95,53.13,1157125
2025-12-24,53.11,53.76,52.81,53.48,820626
2025-12-26,53.37,53.515,53.2,53.37,672737
2025-12-29,53.3,53.64,53.12,53.32,1442633
2025-12-30,53.31,53.6,52.645,52.7,1133915
2025-12-31,52.71,52.83,52.355,52.39,724379
2026-01-02,52.39,53.47,52.01,53.45,1236037
