date,open,high,low,close,volume
2025-09-02,24.41,24.6,23.8,24.17,14048960
2025-09-03,23.99,24.28,23.36,23.54,7474922
2025-09-04,23.54,23.73,23.115,23.58,5967769
2025-09-05,23.78,24.585,23.605,24.42,7373651
2025-09-08,24.25,24.36,23.785,24.09,5637438
2025-09-09,24.09,24.58,24.02,24.45,4552165
2025-09-10,24.42,24.63,23.97,23.98,4466997
2025-09-11,23.94,24.52,23.9,24.49,4029174
2025-09-12,24.32,24.415,23.9107,23.99,5749946
2025-09-15,24.01,24.1701,23.58,23.8,7038107
2025-09-16,23.85,24.0875,23.7739,23.87,5747102
2025-09-17,23.93,24.11,23.1,23.2,5187509
2025-09-18,23.47,23.81,23.345,23.69,3610170
2025-09-19,23.71,23.75,23.02,23.02,13671890
2025-09-22,23.0,23.06,22.8,22.81,4954563
2025-09-23,22.81,23.16,22.745,22.86,4805544
2025-09-24,22.73,22.905,22.52,22.56,5869922
2025-09-25,22.34,22.43,21.59,21.71,7394205
2025-09-26,21.75,22.05,21.68,21.98,10542530
2025-09-29,22.0,22.59,21.795,22.38,6710199
2025-09-30,22.35,22.855,22.0793,22.77,6033719
2025-10-01,22.95,23.45,22.755,23.36,6333203
2025-10-02,23.19,23.63,23.01,23.23,4734382
2025-10-03,23.37,24.265,23.26,23.86,6547585
2025-10-06,23.9,23.9196,23.11,23.15,6328584
2025-10-07,23.27,23.28,22.88,22.9,4806940
2025-10-08,22.71,22.915,22.55,22.75,4836765
2025-10-09,22.94,23.035,22.425,22.51,5581390
2025-10-10,22.65,22.83,21.63,21.95,5515384
2025-10-13,22.04,22.39,21.945,22.11,4315780
2025-10-14,21.99,22.869,21.88,22.82,6023489
2025-10-15,22.77,23.295,22.605,22.75,4611890
2025-10-16,22.59,23.315,22.54,22.97,5414902
2025-10-17,22.93,23.09,22.57,23.09,3953021
2025-10-20,23.24,23.6,23.11,23.13,4500717
2025-10-21,23.03,23.14,22.575,22.75,6574549
2025-10-22,22.89,23.485,22.845,22.93,4732104
2025-10-23,22.97,23.11,22.53,22.99,5681539
2025-10-24,23.24,23.28,22.94,23.02,3719599
2025-10-27,23.26,23.345,23.01,23.17,6408741
2025-10-28,23.04,23.21,22.77,22.86,5722763
2025-10-29,22.74,22.9165,22.34,22.42,7770286
2025-10-30,18.94,19.805,18.42,19.16,24018280
2025-10-31,18.81,18.95,18.44,18.47,11557710
2025-11-03,18.3,18.4,18.045,18.21,11396790
2025-11-04,18.18,18.32,17.74,17.94,11712550
2025-11-05,17.87,18.08,17.465,17.95,11329630
2025-11-06,17.94,18.1625,17.51,17.98,10346310
2025-11-07,17.95,18.115,17.78,18.0,7414147
2025-11-10,17.98,18.0,17.57,17.75,7893232
2025-11-11,17.83,18.305,17.7,18.25,12070310
2025-11-12,18.3,18.9155,18.27,18.7,12362530
2025-11-13,18.63,18.92,18.52,18.7,9828784
2025-11-14,18.6,18.69,18.305,18.47,7472615
2025-11-17,18.38,18.47,17.75,17.77,7790690
2025-11-18,17.69,18.215,17.4,18.15,9780720
2025-11-19,18.14,18.17,17.535,17.69,7690538
2025-11-20,17.66,17.86,17.4,17.42,8313653
2025-11-21,17.58,18.61,17.555,18.31,8278763
2025-11-24,18.31,18.46,18.105,18.18,8506134
2025-11-25,18.34,18.715,18.2,18.66,7340175
2025-11-26,18.59,18.95,18.53,18.91,7170001
2025-11-28,18.72,18.8399,18.61,18.74,3766196
2025-12-01,18.62,19.195,18.54,19.08,9635110
2025-12-02,18.99,18.99,18.595,18.84,8457549
2025-12-03,19.0,19.165,18.86,18.89,6094340
2025-12-04,18.84,18.93,18.33,18.48,7934062
2025-12-05,18.64,18.81,18.46,18.54,8572236
2025-12-08,18.65,18.68,18.11,18.16,9194792
2025-12-09,18.1,18.3,18.01,18.16,6331024
2025-12-10,18.2,18.385,17.92,18.26,11642840
2025-12-11,18.38,18.91,18.25,18.9,8940732
2025-12-12,19.0,19.34,18.92,19.15,10800320
2025-12-15,19.25,19.82,19.12,19.53,9150247
2025-12-16,19.54,19.57,18.815,19.05,8966090
2025-12-17,19.0,19.41,18.97,19.29,8587527
2025-12-18,19.31,19.43,19.025,19.07,7948809
2025-12-19,19.06,19.305,18.94,18.96,15926980
2025-12-22,18.85,19.22,18.84,18.98,8131450
2025-12-23,18.98,18.985,18.65,18.93,5030559
2025-12-24,18.97,19.14,18.915,19.11,2312692
2025-12-26,19.08,19.39,19.03,19.38,3814552
2025-12-29,19.37,19.47,19.095,19.25,6447889
2025-12-30,19.27,19.485,19.24,19.3,4435377
2025-12-31,19.21,19.355,19.04,19.11,5064702
2026-01-02,19.3,19.635,19.165,19.5,6113167
2026-01-05,19.59,20.335,19.535,19.89,12216250
2026-01-06,20.02,20.62,19.99,20.55,7682987
2026-01-07,20.72,20.8096,20.23,20.4,10850820
2026-01-08,20.28,20.81,20.08,20.69,15302050
2026-01-09,20.9,21.25,20.61,21.07,11530210
2026-01-12,21.03,21.03,19.8,20.15,11066810
2026-01-13,20.27,20.47,19.4,19.65,9384017
2026-01-14,19.61,20.0187,19.355,19.84,8110569
2026-01-15,19.89,20.455,19.765,20.37,8914300
2026-01-16,20.2,20.41,20.055,20.11,7638857
2026-01-20,19.94,19.94,19.36,19.38,11486190
2026-01-21,19.57,20.005,19.52,19.71,10132810
2026-01-22,19.97,20.445,19.8,20.07,9629429
2026-01-23,19.88,20.015,19.43,19.84,7414848
2026-01-26,19.87,19.925,19.6,19.65,5744675
