date,open,high,low,close,volume
2025-09-02,4.95,5.08,4.81,5.02,43589340
2025-09-03,5.005,5.03,4.85,4.9,30724820
2025-09-04,4.91,4.98,4.75,4.93,40958480
2025-09-05,5.0,5.06,4.73,4.98,45189850
2025-09-08,4.99,5.05,4.85,4.87,33041610
2025-09-09,4.88,4.9,4.73,4.8,37191260
2025-09-10,4.87,4.92,4.65,4.73,49355950
2025-09-11,4.73,5.09,4.695,4.87,61593010
2025-09-12,5.19,5.38,4.97,5.06,118700900
2025-09-15,5.18,5.33,5.02,5.09,92017730
2025-09-16,5.34,6.0,5.33,5.94,213075000
2025-09-17,5.81,6.17,5.61,6.02,148128300
2025-09-18,6.24,6.43,6.02,6.28,121507900
2025-09-19,6.31,6.94,6.275,6.85,156953000
2025-09-22,6.78,7.21,6.31,7.08,134586600
2025-09-23,7.37,8.48,7.21,7.99,233582300
2025-09-24,8.04,8.14,7.54,7.59,133640900
2025-09-25,7.09,7.36,6.77,7.14,100998900
2025-09-26,7.16,7.19,6.56,6.73,70832700
2025-09-29,6.87,6.985,6.435,6.46,73588310
2025-09-30,6.4,6.69,6.33,6.52,67859990
2025-10-01,6.55,7.06,6.39,6.98,91122290
2025-10-02,7.12,7.36,6.96,7.27,94542250
2025-10-03,7.33,7.37,6.9,7.19,87622300
2025-10-06,7.24,7.87,7.22,7.69,130405900
2025-10-07,7.75,7.8,7.12,7.44,94517230
2025-10-08,7.535,7.77,7.09,7.29,120253600
2025-10-09,7.29,7.56,7.11,7.49,153455400
2025-10-10,7.56,8.8,7.2,7.22,236911500
2025-10-13,7.6,9.195,7.55,8.81,211830100
2025-10-14,8.87,9.39,8.41,8.91,176513600
2025-10-15,9.11,9.27,8.0,8.52,132033500
2025-10-16,8.6,8.68,7.65,7.7,96101550
2025-10-17,7.5,7.73,7.1,7.42,127409400
2025-10-20,7.64,7.83,7.34,7.46,163795100
2025-10-21,7.37,7.5,6.915,7.08,128256600
2025-10-22,6.81,7.0,6.4,6.61,148112600
2025-10-23,6.7,6.9,6.56,6.78,114363500
2025-10-24,7.102,7.33,7.02,7.05,293442700
2025-10-27,7.19,7.32,6.87,7.1,352543700
2025-10-28,7.05,7.27,6.75,6.78,357605500
2025-10-29,6.8,7.07,6.61,6.9,124260400
2025-10-30,6.69,6.93,6.55,6.74,90211900
2025-10-31,6.78,6.945,6.61,6.92,86741600
2025-11-03,6.9,6.92,6.225,6.3,90997280
2025-11-04,5.9,6.1399,5.7,5.73,54605880
2025-11-05,5.84,6.21,5.745,6.13,67767690
2025-11-06,6.06,6.08,5.5735,5.66,65576280
2025-11-07,5.44,5.7199,5.29,5.68,78567610
2025-11-10,5.94,5.96,5.58,5.71,86376880
2025-11-11,6.96,6.99,6.01,6.06,157695800
2025-11-12,6.4,7.4,6.32,7.17,187273600
2025-11-13,7.0,7.05,6.14,6.34,97606480
2025-11-14,6.1,6.6,6.02,6.06,90751720
2025-11-17,5.96,6.035,5.38,5.57,84912570
2025-11-18,5.53,6.21,5.43,5.98,107586700
2025-11-19,5.9,6.1091,5.71,5.84,90458760
2025-11-20,6.15,6.49,5.49,5.51,96223390
2025-11-21,5.55,5.67,5.03,5.4,97370340
2025-11-24,5.54,6.275,5.5,6.27,99676760
2025-11-25,6.13,6.215,5.9,6.19,85030020
2025-11-26,6.27,6.3019,5.99,6.02,87739710
2025-11-28,6.07,6.44,6.04,6.34,71670210
2025-12-01,6.14,6.23,5.98,6.05,73024100
2025-12-02,6.09,6.16,5.78,5.79,59959700
2025-12-03,5.8,6.12,5.62,6.1,80147860
2025-12-04,6.1,7.18,6.0452,7.02,170692800
2025-12-05,6.84,7.04,6.54,6.82,113407600
2025-12-08,7.0,7.01,6.41,6.56,103316900
2025-12-09,6.435,6.72,6.35,6.71,94922280
2025-12-10,6.62,7.0,6.47,6.61,102914600
2025-12-11,6.485,6.85,6.31,6.74,105809900
2025-12-12,6.67,6.97,6.17,6.38,163294800
2025-12-15,6.38,6.41,5.78,5.97,127669500
2025-12-16,5.955,6.115,5.813,5.86,101691900
2025-12-17,5.89,5.98,5.42,5.44,133777500
2025-12-18,5.67,5.79,5.52,5.63,191603400
2025-12-19,5.74,6.34,5.7,6.26,217907200
2025-12-22,6.35,6.55,6.17,6.39,78148720
2025-12-23,6.25,6.455,6.07,6.12,52899610
2025-12-24,6.09,6.1173,5.96,6.03,28149790
2025-12-26,6.05,6.05,5.69,5.73,41128310
2025-12-29,5.625,5.86,5.59,5.67,43509200
2025-12-30,5.69,5.7,5.4444,5.5,42260140
