date,open,high,low,close,volume
2025-09-02,50.0,52.1191,48.87,51.35,10226500
2025-09-03,51.885,53.35,50.05,52.45,7663283
2025-09-04,52.75,55.25,52.75,54.91,9831926
2025-09-05,56.44,57.33,54.37,57.07,9229242
2025-09-08,57.48,58.7489,53.32,53.44,8561081
2025-09-09,54.0,55.8,52.0,55.0,10151280
2025-09-10,60.13,65.63,60.0,62.96,21923950
2025-09-11,64.11,68.7405,63.85,67.29,12241440
2025-09-12,66.015,67.26,62.6201,67.26,13499560
2025-09-15,68.0,68.5499,63.94,67.02,11143560
2025-09-16,71.85,73.42,69.9366,73.29,14054640
2025-09-17,73.75,80.7107,72.35,79.67,16355520
2025-09-18,80.5,84.02,77.61,80.97,15379830
2025-09-19,84.0,85.4,81.605,84.93,16593580
2025-09-22,83.73,86.89,81.0,86.27,10907750
2025-09-23,82.0,86.0,75.6,77.38,22135770
2025-09-24,69.28,69.57,64.272,69.18,33315670
2025-09-25,63.0,69.4892,61.37,68.69,17712780
2025-09-26,67.25,71.46,66.62,70.32,9355488
2025-09-29,72.91,75.55,71.92,73.6,10757900
2025-09-30,72.6,85.67,70.89,84.57,25107880
2025-10-01,82.67,91.23,82.67,90.19,20299800
2025-10-02,89.14,92.16,85.03,88.0,15349230
2025-10-03,88.96,93.8,86.5,90.29,14071010
2025-10-06,92.99,95.695,86.27,86.97,12271430
2025-10-07,88.83,92.34,83.47,86.06,10816910
2025-10-08,88.15,90.0,85.5,87.58,7972917
2025-10-09,87.71,89.44,85.08,86.65,8237133
2025-10-10,86.1,92.73,85.11,86.87,13482610
2025-10-13,105.99,115.21,102.339,109.91,28744790
2025-10-14,107.58,116.88,101.55,114.06,14160850
2025-10-15,120.81,125.745,115.93,116.58,16734880
2025-10-16,119.44,122.9,112.72,115.09,13381980
2025-10-17,112.4,114.21,106.35,111.5,10327220
2025-10-20,116.14,119.6,108.2062,109.06,8369791
2025-10-21,108.35,108.92,98.46,104.38,9655146
2025-10-22,100.68,103.62,88.23,94.37,16244400
