date,open,high,low,close,volume
2025-09-02,33.3,33.62,32.79,33.08,1002279
2025-09-03,32.98,33.16,32.76,32.96,1000548
2025-09-04,32.99,33.71,32.81,33.62,986063
2025-09-05,33.87,33.91,32.825,33.21,1125473
2025-09-08,33.27,33.41,32.84,33.39,799041
2025-09-09,33.62,34.05,33.565,33.92,702298
2025-09-10,34.1,34.1928,33.71,33.71,490224
2025-09-11,33.68,34.285,33.655,33.88,754511
2025-09-12,33.71,34.05,33.54,33.95,554920
2025-09-15,34.17,34.52,34.07,34.48,550907
2025-09-16,34.64,34.85,34.23,34.24,826548
2025-09-17,34.3,34.49,33.78,33.93,551569
2025-09-18,34.01,35.04,34.01,34.64,858890
2025-09-19,34.82,34.87,33.735,33.76,1044932
2025-09-22,33.92,34.31,33.45,34.18,857689
2025-09-23,34.25,34.42,33.99,34.15,647102
2025-09-24,34.15,34.58,33.95,34.38,699931
2025-09-25,34.24,34.34,33.46,34.0,1153693
2025-09-26,34.1,34.67,33.96,34.56,851909
2025-09-29,34.64,35.08,34.26,34.78,884463
2025-09-30,34.71,35.07,34.195,34.42,826926
2025-10-01,34.39,35.92,34.39,35.78,1407322
2025-10-02,35.97,36.12,35.49,35.72,1081664
2025-10-03,35.76,36.08,35.465,35.84,794451
2025-10-06,36.32,38.15,36.16,38.07,1556309
2025-10-07,38.0,38.63,37.955,38.09,909238
2025-10-08,38.46,39.2,38.26,38.76,1566233
2025-10-09,38.92,39.11,37.88,38.1,986441
2025-10-10,38.23,38.6846,37.41,37.62,1045415
2025-10-13,38.08,39.63,38.034,39.63,1109010
2025-10-14,38.8,39.74,38.59,39.25,1180282
2025-10-15,39.89,40.83,39.59,40.64,1245868
2025-10-16,40.98,41.73,40.675,40.83,989073
2025-10-17,40.51,40.76,39.715,39.96,792746
2025-10-20,40.42,40.52,39.98,40.41,609012
2025-10-21,40.4,40.5,39.2,39.45,696422
2025-10-22,39.41,39.88,38.7151,39.14,810827
2025-10-23,39.28,39.66,38.95,39.59,682325
2025-10-24,40.13,40.705,40.0,40.6,646779
2025-10-27,40.77,41.145,40.53,40.89,921966
2025-10-28,43.045,44.7099,42.525,43.39,2176005
2025-10-29,43.7,43.99,42.58,42.66,1308858
2025-10-30,42.59,43.12,41.97,42.18,1485908
2025-10-31,42.3,43.68,41.93,43.26,2110853
2025-11-03,43.42,44.3792,42.91,44.0,1060005
2025-11-04,43.15,44.26,42.97,43.76,1551379
2025-11-05,43.71,44.53,41.91,42.91,1417237
2025-11-06,43.41,44.41,42.87,44.4,1643289
2025-11-07,43.74,44.54,42.98,44.43,1896135
2025-11-10,44.97,45.1,44.02,44.18,850601
2025-11-11,42.68,43.11,41.8,42.6,1767514
2025-11-12,42.66,42.7,41.695,42.03,984119
2025-11-13,41.93,42.41,41.52,41.92,1569978
2025-11-14,41.0,42.29,40.6172,42.24,1081134
2025-11-17,42.24,43.005,42.06,42.59,1153313
2025-11-18,42.42,42.99,41.82,42.45,1018628
2025-11-19,42.38,42.97,41.61,41.98,1984335
2025-11-20,42.5,43.01,41.41,41.53,1343469
2025-11-21,41.59,41.665,40.79,41.26,1296850
2025-11-24,41.57,41.74,40.17,40.71,2127081
2025-11-25,40.88,41.87,40.26,41.52,1942125
2025-11-26,41.93,41.955,41.15,41.15,999177
2025-11-28,41.22,41.61,41.0,41.49,617417
2025-12-01,41.05,41.37,40.305,40.57,904937
2025-12-02,40.67,41.12,40.17,40.41,657908
2025-12-03,40.42,40.56,39.18,39.52,935510
2025-12-04,39.51,40.38,39.4,40.06,906231
2025-12-05,40.3,40.65,39.63,39.71,690013
2025-12-08,40.2,40.29,39.0176,39.28,1045777
2025-12-09,39.32,39.8,39.09,39.23,682478
2025-12-10,39.2,39.74,38.97,39.43,1095613
2025-12-11,39.52,39.82,38.96,39.09,816083
2025-12-12,39.01,39.2985,38.3501,38.75,975552
2025-12-15,38.86,38.93,38.545,38.61,638159
2025-12-16,38.54,39.35,38.51,38.81,1042997
2025-12-17,38.94,39.1,36.81,37.23,1234985
2025-12-18,37.56,38.145,37.39,37.62,1059859
2025-12-19,37.75,38.32,37.75,38.13,1414203
2025-12-22,38.31,39.07,38.0674,38.71,907840
2025-12-23,38.74,39.05,38.56,38.84,863652
2025-12-24,39.0,39.22,38.89,39.13,344092
2025-12-26,39.0,39.17,38.8,39.02,661954
2025-12-29,38.89,39.255,38.745,38.95,626991
2025-12-30,38.93,39.21,38.205,38.23,859189
2025-12-31,38.26,38.56,38.17,38.34,522314
2026-01-02,38.8,40.03,38.66,39.89,818113
2026-01-05,40.24,40.345,38.79,39.68,1292455
2026-01-06,39.83,40.1,39.21,39.9,939999
2026-01-07,39.99,40.74,38.65,38.83,939240
2026-01-08,38.8,39.37,37.73,37.8,737019
2026-01-09,38.27,38.56,37.84,38.01,646012
2026-01-12,38.01,38.9,38.01,38.74,962834
2026-01-13,38.28,39.29,38.15,39.27,1205826
2026-01-14,39.3,39.62,38.73,38.76,961104
2026-01-15,39.35,39.47,38.77,38.79,794084
2026-01-16,38.65,39.78,38.5,39.49,1017136
2026-01-20,39.0,39.3,38.29,38.53,907702
2026-01-21,38.91,39.3,38.59,39.28,531841
2026-01-22,39.99,40.605,39.37,39.38,881728
2026-01-23,39.63,40.06,39.11,39.79,956089
2026-01-26,39.81,39.98,39.21,39.32,1088699
2026-01-27,39.47,40.66,39.18,40.26,912199
2026-01-28,40.55,40.835,39.65,40.63,865100
2026-01-29,40.5,40.815,39.24,39.32,1186688
2026-01-30,40.11,42.48,39.605,41.64,2251084
2026-02-02,42.09,42.22,40.55,40.99,1276757
2026-02-03,41.18,42.65,41.18,42.01,1092154
2026-02-04,42.66,42.66,41.0,41.67,1014127
2026-02-05,41.32,42.14,40.345,40.76,1330791
2026-02-06,41.41,42.24,41.28,41.95,723426
2026-02-09,41.91,43.03,41.5701,42.88,561834
2026-02-10,43.1,43.15,42.58,42.92,646860
2026-02-11,43.25,43.39,41.82,43.25,576739
2026-02-12,43.49,44.2,42.67,43.07,939897
2026-02-13,43.04,44.38,42.7,43.84,956042
2026-02-17,44.21,45.18,43.78,44.35,1693013
2026-02-18,44.38,44.535,42.45,42.93,1457968
2026-02-19,42.96,43.2437,42.05,42.46,822762
2026-02-20,42.4,43.18,42.2,42.83,616187
2026-02-23,42.93,43.85,42.85,43.09,729308
2026-02-24,43.06,43.59,42.57,43.46,1219274
2026-02-25,43.56,44.08,43.1601,43.77,1958744
2026-02-26,43.46,44.12,42.86,44.04,653491
2026-02-27,43.46,44.3,42.1,42.73,1177783
2026-03-02,41.77,43.56,41.7522,43.14,914512
2026-03-03,41.84,42.02,40.3801,41.51,1510090
2026-03-04,41.93,41.99,40.75,40.88,737333
2026-03-05,40.48,40.79,39.8,40.19,1214964
2026-03-06,39.94,40.57,38.7,40.1,1230521
2026-03-09,39.8,40.72,39.25,40.51,1567545
2026-03-10,40.54,41.32,40.08,41.26,1420557
2026-03-11,41.3,41.62,40.64,41.19,1394029
2026-03-12,40.61,41.285,40.5,40.64,1458866
2026-03-13,41.17,42.09,38.89,39.22,2266048
2026-03-16,39.98,40.915,39.75,40.5,1011974
2026-03-17,41.0,41.66,40.48,41.01,904797
2026-03-18,40.5,41.44,40.0,40.22,1633961
2026-03-19,39.94,40.56,39.435,40.37,1612059
2026-03-20,40.5,40.74,38.22,38.58,2451761
