date,open,high,low,close,volume
2025-09-02,45.27,46.79,44.46,46.73,6091930
2025-09-03,46.6,47.86,45.74,46.12,3922651
2025-09-04,46.0,47.465,45.46,46.69,4223363
2025-09-05,50.11,52.3,48.38,51.54,8304663
2025-09-08,51.17,51.51,49.9,50.2,4791422
2025-09-09,50.64,51.23,50.31,50.92,3647648
2025-09-10,53.71,54.39,52.0,52.93,7721948
2025-09-11,54.21,54.97,51.6,51.72,4941607
2025-09-12,52.14,52.279,50.95,51.07,1970044
2025-09-15,51.21,52.535,51.04,51.58,2895248
2025-09-16,51.31,51.65,50.1629,51.37,2956003
2025-09-17,51.65,52.89,51.25,51.94,3552970
2025-09-18,53.08,53.16,52.19,52.59,3631818
2025-09-19,53.5,54.16,52.05,52.34,5556312
2025-09-22,52.16,53.8,51.55,53.38,3917446
2025-09-23,53.17,54.529,53.035,53.48,4474349
2025-09-24,53.48,54.425,52.19,52.19,3357211
2025-09-25,51.65,53.99,51.115,53.19,3767339
2025-09-26,53.13,54.32,53.0,54.18,3244829
2025-09-29,54.2,55.37,54.05,54.53,3646504
2025-09-30,54.32,54.35,51.895,52.97,3900749
2025-10-01,53.23,55.18,53.065,53.74,3238719
2025-10-02,54.0,54.63,53.82,54.42,2130578
2025-10-03,54.57,55.09,53.325,53.34,2100920
2025-10-06,54.05,55.56,53.14,53.35,2733761
2025-10-07,53.57,53.94,50.28,52.77,3133177
2025-10-08,53.13,53.92,52.12,52.13,1837365
2025-10-09,52.01,52.15,50.96,51.07,1913585
2025-10-10,51.33,51.8,48.989,49.34,2877658
2025-10-13,50.11,50.39,49.35,49.6,2273273
2025-10-14,48.88,50.46,48.55,49.9,1956136
2025-10-15,50.3,50.53,48.64,49.26,2545411
2025-10-16,50.93,52.0,48.89,49.65,3984249
2025-10-17,49.47,51.205,49.47,51.08,3046902
2025-10-20,51.61,52.8,51.3137,52.52,1994624
2025-10-21,52.63,53.92,52.05,52.97,2375009
2025-10-22,52.38,52.79,50.695,50.71,2025967
2025-10-23,51.64,52.05,50.65,50.77,2569490
2025-10-24,51.6,52.06,50.89,51.21,2939524
2025-10-27,51.89,52.38,50.23,50.8,1745197
2025-10-28,50.9,51.2,50.08,50.37,1434398
2025-10-29,50.12,50.37,48.95,49.14,2344310
2025-10-30,49.0,49.95,48.65,48.99,1566638
2025-10-31,48.85,49.8,48.12,49.66,2055966
2025-11-03,49.5,49.89,47.7,49.2,2730086
2025-11-04,48.22,48.61,47.08,47.11,2114095
2025-11-05,47.15,47.38,46.13,46.52,2135937
2025-11-06,47.01,47.01,44.32,44.37,4562597
2025-11-07,44.46,46.3,42.97,45.59,4956133
2025-11-10,46.28,48.18,46.19,47.19,2360605
2025-11-11,46.99,47.56,46.42,46.57,1858750
2025-11-12,52.34,54.0,51.65,51.92,6285975
2025-11-13,51.4,52.01,50.04,50.11,2570845
2025-11-14,49.5,51.04,49.16,50.35,2431479
2025-11-17,50.15,50.43,48.76,49.63,2183299
2025-11-18,49.35,49.8524,48.28,48.5,2901507
2025-11-19,48.07,49.18,47.39,48.52,2009908
2025-11-20,49.04,50.26,46.8,47.04,3057595
2025-11-21,47.0,48.68,46.715,48.19,2556061
2025-11-24,48.18,49.56,48.0,49.35,2446140
2025-11-25,49.5,49.775,49.06,49.49,1437055
2025-11-26,49.74,50.215,48.94,49.54,1831498
2025-11-28,49.58,50.35,49.58,50.15,864256
2025-12-01,49.62,51.48,49.43,50.67,2337297
2025-12-02,51.44,51.55,50.08,50.25,1695351
2025-12-03,50.02,51.97,49.5101,51.76,1616220
2025-12-04,53.08,53.5,51.89,52.67,2191116
2025-12-05,52.33,54.03,52.16,53.45,2134503
2025-12-08,53.82,55.12,53.73,54.48,2870940
2025-12-09,54.04,54.8,53.88,54.25,1355181
2025-12-10,53.84,55.98,53.84,55.59,2400129
2025-12-11,55.32,56.05,54.44,54.96,2713922
2025-12-12,54.84,55.36,53.92,54.55,2199513
2025-12-15,54.92,55.0,53.5,54.17,2107947
2025-12-16,53.98,54.535,53.06,54.21,1915067
2025-12-17,53.82,55.11,52.31,53.27,3076499
2025-12-18,53.89,55.455,53.75,54.93,3298873
2025-12-19,55.2,55.98,54.8,55.98,3940993
2025-12-22,56.14,57.21,55.97,56.13,5400735
2025-12-23,55.85,56.19,54.83,55.17,1656358
2025-12-24,55.0,55.28,54.76,55.23,799179
2025-12-26,55.16,55.36,54.79,55.23,823306
2025-12-29,54.78,55.49,54.42,55.22,1785702
2025-12-30,55.0,55.27,54.705,55.14,1046612
2025-12-31,54.99,55.15,54.47,54.54,1175946
2026-01-02,55.0,55.05,50.47,50.56,3604179
2026-01-05,50.27,54.35,50.26,53.67,2651666
2026-01-06,54.0,55.46,53.92,55.33,2340467
2026-01-07,55.55,56.435,54.61,56.31,1827125
2026-01-08,55.55,55.775,54.3281,54.55,3084029
2026-01-09,54.79,55.24,53.81,54.48,1614756
2026-01-12,54.01,54.3,53.28,53.7,1678914
2026-01-13,53.52,53.72,50.95,51.26,3084613
2026-01-14,51.26,51.56,49.77,50.31,2134597
2026-01-15,50.33,50.585,47.99,48.25,3520108
2026-01-16,48.5,48.5,46.5,46.6,2931794
2026-01-20,45.2,47.03,44.79,45.0,2609915
2026-01-21,45.05,45.2018,43.74,44.39,3287064
2026-01-22,45.19,46.81,43.46,46.79,3605966
2026-01-23,46.75,48.729,46.75,48.45,3194195
2026-01-26,48.57,49.39,47.0,49.35,2753713
2026-01-27,49.38,49.6,46.32,47.06,2648555
2026-01-28,48.05,48.46,46.21,46.55,1507590
2026-01-29,45.49,45.7,42.59,43.39,4105372
2026-01-30,43.19,43.69,42.67,43.17,2202047
2026-02-02,43.05,43.565,41.12,41.63,3441553
2026-02-03,41.0,41.05,36.74,37.06,5750995
2026-02-04,36.58,38.055,35.56,37.23,4030797
2026-02-05,36.45,37.54,35.4575,35.68,5123701
2026-02-06,41.14,52.35,40.3,48.94,23457130
