date,open,high,low,close,volume
2025-09-02,31.09,31.44,30.75,31.44,564113
2025-09-03,31.43,31.56,30.56,30.64,843417
2025-09-04,30.63,30.755,30.09,30.46,425309
2025-09-05,30.61,30.85,30.29,30.51,345076
2025-09-08,30.62,31.11,30.46,31.08,530966
2025-09-09,30.97,31.2,30.52,30.57,757169
2025-09-10,30.57,30.8448,30.52,30.59,465859
2025-09-11,30.63,31.07,30.51,31.0,590575
2025-09-12,30.96,30.98,30.57,30.66,409431
2025-09-15,30.66,30.94,30.53,30.83,553495
2025-09-16,30.75,31.2,30.6,31.12,457068
2025-09-17,31.24,31.3728,30.69,30.73,573386
2025-09-18,30.88,31.2,30.75,31.07,435189
2025-09-19,31.3,31.3,30.849,30.91,865800
2025-09-22,30.93,31.37,30.72,31.22,1246968
2025-09-23,31.22,31.6473,31.165,31.53,360433
2025-09-24,31.57,31.67,31.19,31.19,500895
2025-09-25,31.22,31.75,30.98,31.53,1075071
2025-09-26,31.97,33.13,31.865,33.12,1249811
2025-09-29,33.07,33.38,32.8,33.11,593793
2025-09-30,33.26,33.44,32.735,32.89,442731
2025-10-01,32.95,33.46,32.83,33.19,522785
2025-10-02,33.37,33.54,32.815,33.41,339256
2025-10-03,33.4,34.32,33.4,34.17,502097
2025-10-06,34.26,34.6,34.0,34.35,500236
2025-10-07,34.21,34.77,34.06,34.62,503687
2025-10-08,34.6,34.71,34.4425,34.59,327983
2025-10-09,34.05,34.6,33.9,34.0,603875
2025-10-10,33.77,34.74,33.73,34.38,717629
2025-10-13,35.21,35.21,34.41,34.69,486659
2025-10-14,34.25,35.01,34.0423,34.86,604667
2025-10-15,35.0,35.31,34.48,34.55,651144
2025-10-16,34.71,34.78,33.84,33.97,665280
2025-10-17,34.0,34.46,33.86,34.3,717281
2025-10-20,34.5,34.945,34.39,34.83,419505
2025-10-21,34.57,34.8799,34.48,34.67,312889
2025-10-22,34.74,34.76,34.24,34.26,463453
2025-10-23,34.26,34.48,33.98,34.35,383141
2025-10-24,34.38,34.475,34.11,34.15,293778
2025-10-27,34.15,34.52,33.94,34.24,385161
2025-10-28,34.32,35.01,34.25,34.65,452183
2025-10-29,34.23,34.4923,33.93,34.31,586234
2025-10-30,34.18,34.355,33.815,34.02,290025
2025-10-31,33.85,34.45,33.61,34.17,477011
2025-11-03,34.13,34.48,33.93,34.25,530080
2025-11-04,34.18,34.23,33.74,34.09,319468
2025-11-05,33.93,34.72,33.87,34.62,481785
2025-11-06,34.62,34.625,34.08,34.34,556570
2025-11-07,35.0,35.28,34.29,35.22,586854
2025-11-10,35.11,36.1,35.11,35.78,522252
2025-11-11,35.75,35.9289,35.62,35.76,393324
2025-11-12,35.67,35.98,35.655,35.77,651069
2025-11-13,35.67,35.78,35.34,35.62,360889
2025-11-14,35.46,35.49,35.04,35.4,267598
2025-11-17,35.52,35.64,35.04,35.26,470234
2025-11-18,35.07,35.25,34.789,34.97,851537
2025-11-19,35.08,35.15,34.63,34.94,537813
2025-11-20,35.23,35.635,34.7165,35.04,997891
2025-11-21,35.0,35.6,34.95,35.21,722851
2025-11-24,35.24,35.54,34.94,35.29,543403
2025-11-25,35.25,35.95,35.24,35.8,814605
2025-11-26,35.95,36.18,35.7186,36.09,380055
2025-11-28,35.9,36.2733,35.6523,36.09,195227
2025-12-01,35.7,35.83,35.445,35.6,449819
2025-12-02,35.7,36.18,35.32,36.02,577566
2025-12-03,36.3,36.58,36.05,36.41,597630
2025-12-04,36.17,36.2818,35.78,35.83,583042
2025-12-05,35.85,36.09,35.58,35.6,616000
2025-12-08,35.47,35.64,35.02,35.21,1334199
2025-12-09,35.17,35.57,34.905,34.93,849761
2025-12-10,34.93,35.625,34.78,35.29,1109281
2025-12-11,35.5,35.69,34.935,35.1,1175711
2025-12-12,35.1,35.2999,34.63,34.75,831870
2025-12-15,34.9,34.955,34.05,34.09,1143432
2025-12-16,34.13,34.15,33.46,33.84,867746
2025-12-17,34.17,34.19,33.73,34.1,699086
2025-12-18,34.41,35.23,34.2707,34.55,992261
2025-12-19,34.72,35.24,34.54,34.87,935461
2025-12-22,35.0,35.28,34.57,34.96,420774
2025-12-23,35.0,35.12,34.81,34.93,323724
2025-12-24,34.96,35.21,34.87,35.05,218744
2025-12-26,35.03,35.17,34.83,35.15,138331
2025-12-29,34.87,35.18,34.78,34.79,261319
2025-12-30,34.71,35.15,34.71,34.84,404898
2025-12-31,34.97,35.0,34.61,34.74,298708
2026-01-02,34.99,34.99,34.11,34.3,508760
2026-01-05,34.3,34.74,33.93,34.53,738289
2026-01-06,34.21,34.76,33.93,34.43,565067
2026-01-07,34.53,34.53,33.3,33.41,423635
2026-01-08,33.41,33.995,33.21,33.64,575699
2026-01-09,33.82,33.95,33.41,33.64,413697
2026-01-12,33.45,34.39,33.45,34.2,330278
2026-01-13,34.19,34.61,34.19,34.54,348839
2026-01-14,34.5,34.92,34.44,34.81,728668
2026-01-15,34.99,35.335,34.65,34.83,507900
2026-01-16,34.98,35.325,34.64,35.15,785622
2026-01-20,34.8,34.94,34.04,34.29,720707
2026-01-21,34.57,34.825,34.2,34.56,401325
2026-01-22,34.72,35.08,34.56,34.69,374436
2026-01-23,34.7,35.3,34.5,35.25,442296
2026-01-26,34.76,35.35,34.76,35.14,387383
2026-01-27,35.37,35.6,35.09,35.38,437406
2026-01-28,35.3,35.765,35.05,35.32,703859
2026-01-29,35.53,36.52,35.04,36.35,1339279
2026-01-30,36.41,36.81,36.0,36.15,471589
2026-02-02,35.975,36.77,35.86,36.62,809878
2026-02-03,36.7,36.925,36.44,36.7,566528
2026-02-04,36.36,37.1,36.36,36.77,676414
2026-02-05,36.77,37.215,36.34,37.03,932924
2026-02-06,37.26,38.08,37.26,38.04,1114024
2026-02-09,37.43,38.61,37.43,38.38,1194073
2026-02-10,38.57,39.07,38.39,39.0,1053895
2026-02-11,39.4,39.71,38.7,39.18,1018478
2026-02-12,39.41,39.85,38.5,38.6,725535
2026-02-13,38.6,38.895,38.4705,38.75,551353
2026-02-17,38.41,39.12,38.26,38.69,732844
2026-02-18,38.74,38.8088,38.06,38.27,776808
2026-02-19,38.1,38.18,37.64,38.1,634636
2026-02-20,38.15,38.785,37.92,38.53,651383
2026-02-23,38.5,39.18,38.45,38.7,823583
2026-02-24,38.86,39.48,38.8,39.15,920320
2026-02-25,39.06,39.66,39.05,39.44,590677
2026-02-26,39.37,40.18,39.325,40.08,557581
2026-02-27,39.14,39.67,38.765,39.04,944802
2026-03-02,38.59,40.32,38.36,39.68,1388465
2026-03-03,38.98,39.43,38.33,39.31,1230962
2026-03-04,39.55,39.6589,38.8,38.94,1317179
2026-03-05,38.69,38.82,37.78,38.01,1408176
2026-03-06,37.51,37.87,37.08,37.6,876317
2026-03-09,37.16,37.2,36.78,36.89,1004444
2026-03-10,37.12,38.23,36.8,37.99,1022637
2026-03-11,37.85,39.1,37.85,38.89,1207158
2026-03-12,38.09,38.53,37.74,37.87,1578727
2026-03-13,38.05,38.36,37.5301,37.75,825761
2026-03-16,38.1,38.77,37.78,37.92,858332
2026-03-17,38.2,38.26,36.56,36.64,1100977
2026-03-18,36.56,36.56,35.64,35.76,1134065
2026-03-19,35.51,36.64,35.03,36.41,1477408
2026-03-20,36.79,36.97,36.06,36.47,1704278
2026-03-23,36.94,37.11,35.51,35.56,1677131
2026-03-24,35.5,35.65,34.8801,35.52,1714993
2026-03-25,35.92,36.1054,35.02,35.57,920180
2026-03-26,35.35,35.915,35.245,35.67,516285
2026-03-27,35.64,35.7,34.74,34.86,1043365
2026-03-30,35.19,35.61,34.84,35.21,670789
2026-03-31,35.38,36.26,35.34,36.12,1167343
2026-04-01,36.44,36.525,36.05,36.35,1266358
2026-04-02,35.66,36.52,35.53,36.51,766498
2026-04-06,37.0,37.0,36.08,36.22,884928
2026-04-07,36.0,36.18,35.68,35.74,1028201
2026-04-08,36.47,36.85,36.34,36.71,974317
2026-04-09,36.5,36.81,35.92,36.69,1074125
2026-04-10,36.63,37.15,36.51,36.56,527000
2026-04-13,36.3,36.87,36.25,36.7,1110956
2026-04-14,36.82,37.27,36.71,37.23,938880
2026-04-15,37.0,37.29,36.8901,37.02,831916
2026-04-16,37.04,37.2,36.25,36.25,564527
2026-04-17,36.5,36.84,36.26,36.56,683477
2026-04-20,36.39,37.19,36.39,36.72,930772
2026-04-21,36.69,36.8602,36.01,36.12,762129
2026-04-22,36.5,36.595,35.9,36.01,537821
2026-04-23,36.18,36.2728,35.77,35.87,495653
2026-04-24,35.75,36.3495,35.6,36.22,441133
2026-04-27,36.5,36.7,35.89,36.09,526352
2026-04-28,35.94,36.11,35.3201,35.36,504392
2026-04-29,36.0,36.39,33.48,34.82,4892982
2026-04-30,35.06,36.22,34.97,35.85,877241
2026-05-01,36.02,36.39,35.34,36.18,612178
2026-05-04,36.27,36.27,35.135,35.73,990218
2026-05-05,35.61,36.535,35.61,36.28,587443
2026-05-06,36.745,37.3,36.51,37.13,1356034
2026-05-07,37.01,37.55,36.63,36.97,1191844
2026-05-08,36.96,37.07,36.33,36.77,783725
2026-05-11,37.01,37.52,36.96,37.44,935094
2026-05-12,37.47,38.2,37.45,38.07,809246
2026-05-13,38.22,38.385,37.83,38.31,740405
2026-05-14,38.4,38.95,38.36,38.36,674146
2026-05-15,38.0,38.74,37.9324,38.61,681374
2026-05-18,38.0,38.74,37.9324,38.61,393064
2026-05-19,38.45,38.73,38.17,38.42,801829
2026-05-20,38.54,39.36,38.341,39.19,630434
2026-05-21,39.5,40.165,39.13,39.75,880608
2026-05-22,40.02,40.1199,39.58,39.64,466235
2026-05-26,39.76,40.1,38.685,38.81,1153770
2026-05-27,38.73,39.0,38.2,38.74,700299
2026-05-28,38.78,39.73,38.41,39.56,791309
2026-05-29,39.0,39.23,38.585,39.04,809086
2026-06-01,38.69,39.62,38.54,38.88,1045933
2026-06-02,38.69,39.33,38.69,38.81,616591
2026-06-03,38.98,39.5,38.44,38.82,775503
2026-06-04,38.92,39.41,38.58,39.03,626860
2026-06-05,39.25,39.49,38.7,38.8,583024
2026-06-08,38.8,39.42,38.44,38.67,853830
2026-06-09,38.83,39.105,38.52,38.67,619904
2026-06-10,38.39,39.35,38.39,38.99,670672
2026-06-11,38.69,39.41,38.36,38.37,1107208
2026-06-12,38.45,38.77,38.13,38.28,333087
2026-06-15,38.3,38.58,37.945,38.1,479305
2026-06-16,38.49,38.525,37.98,38.09,662186
2026-06-17,38.0,38.255,37.22,37.37,773821
2026-06-18,37.42,37.877,37.34,37.57,725779
2026-06-22,37.38,37.38,36.19,36.25,746691
2026-06-23,36.1,36.83,35.84,36.77,952412
2026-06-24,36.83,37.02,36.34,36.55,355290
2026-06-25,36.65,37.24,36.37,36.39,941738
2026-06-26,36.76,37.185,36.4,36.6,749478
2026-06-29,36.41,36.675,35.88,36.45,698117
2026-06-30,36.22,36.55,36.08,36.49,604456
2026-07-01,36.8,36.85,35.91,36.0,436884
2026-07-02,36.22,37.01,35.84,37.01,783224
2026-07-06,36.69,37.52,36.69,37.31,1393659
2026-07-07,37.2,37.66,36.85,36.86,988539
2026-07-08,36.85,37.42,36.41,37.36,734220
2026-07-09,37.42,37.66,37.16,37.29,664260
2026-07-10,36.68,37.94,36.68,37.65,645291
2026-07-13,37.31,38.03,37.16,37.61,571643
2026-07-14,37.68,38.27,37.68,38.15,711736
2026-07-15,38.045,39.04,38.045,38.73,518438
2026-07-16,38.28,39.255,38.28,39.16,505528
2026-07-17,39.43,39.62,38.97,39.26,1055513
