date,open,high,low,close,volume
2025-09-02,223.0928,223.0928,218.2788,220.222,6114975
2025-09-03,220.9944,223.8768,219.4,223.318,4745775
2025-09-04,222.8,223.94,218.1578,223.4344,5509250
2025-09-05,223.7628,226.1002,218.2,220.232,5060650
2025-09-08,221.1396,225.54,220.399,222.788,5353425
2025-09-09,221.872,224.1772,220.7,222.8732,3971950
2025-09-10,222.56,222.56,215.008,218.9924,6241850
2025-09-11,218.9924,221.4798,216.4,219.92,4495750
2025-09-12,218.44,220.8,217.5077,218.3328,3220375
2025-09-15,220.0,222.4,216.96,222.3932,4128925
2025-09-16,223.0632,223.0632,217.202,219.0004,4308025
2025-09-17,219.7536,222.2958,218.1984,222.148,5288475
2025-09-18,222.28,223.5098,216.4316,217.7152,5871550
2025-09-19,217.9184,218.6265,216.0,217.7776,10514825
2025-09-22,216.0,219.094,214.8,218.2852,5360800
2025-09-23,217.0,220.7032,216.9564,220.3608,4478950
2025-09-24,221.1228,221.1228,217.1398,221.024,3807950
2025-09-25,220.9196,223.2876,218.16,223.0292,6131275
2025-09-26,223.138,223.4648,219.2776,221.92,4057025
2025-09-29,222.8664,223.442,217.9212,218.1924,5933250
2025-09-30,217.08,218.3242,214.0376,215.9708,4937025
2025-10-01,214.08,215.0092,210.0001,214.0224,8106100
2025-10-02,213.0156,217.2384,212.04,216.982,5213525
2025-10-03,217.9788,218.6328,214.8052,216.722,6739775
2025-10-06,214.7216,224.9956,210.403,216.7948,8849325
2025-10-07,216.8888,216.8888,207.52,209.68,6617525
2025-10-08,208.92,209.5292,204.4,205.2492,7228800
2025-10-09,203.3116,208.4332,201.5508,207.6772,5562675
2025-10-10,207.7684,209.599,205.234,206.5972,4925925
2025-10-13,208.1536,210.5314,206.778,210.154,5118975
2025-10-14,208.3872,212.7306,207.8402,211.2056,5178400
2025-10-15,211.6792,211.6792,202.52,203.2344,6875950
2025-10-16,202.3876,203.5076,197.2324,198.0924,7644100
2025-10-17,197.956,203.345,196.942,202.8008,7307450
2025-10-20,204.232,206.92,203.217,205.6752,7478250
2025-10-21,205.6,212.3956,204.36,211.44,7614375
2025-10-22,213.1184,213.1184,208.2664,209.2236,4894925
2025-10-23,210.32,210.32,203.22,203.7388,7768675
2025-10-24,205.2,207.043,203.2,205.8464,5640275
2025-10-27,209.3916,210.5376,208.1132,210.176,5374625
2025-10-28,209.6232,211.0,204.8228,204.8228,10187725
2025-10-29,208.0004,208.8,197.1255,203.0344,11542700
2025-10-30,202.5356,211.1903,202.2,203.2084,8148825
2025-10-31,202.6068,204.3932,201.1808,203.1096,4431300
2025-11-03,202.544,203.4092,199.3316,201.222,5674975
2025-11-04,199.94,203.2,198.1416,199.6704,5674025
2025-11-05,199.2404,199.5596,195.4796,196.446,6376075
2025-11-06,195.2,197.2,194.216,195.962,7331675
2025-11-07,196.698,200.5768,196.202,197.6,6790050
2025-11-10,198.2424,201.3428,197.7308,198.336,6581525
2025-11-11,198.92,202.8752,198.336,202.026,5091075
2025-11-12,202.2,207.3236,200.7292,207.0232,6046825
2025-11-13,208.374,209.4335,202.524,203.0244,7344225
2025-11-14,203.266,205.1548,200.8204,201.9204,5137750
2025-11-17,201.2,203.5614,190.92,192.1604,10439950
2025-11-18,191.9276,194.4966,190.2048,191.3204,8141275
2025-11-19,190.806,191.5394,186.5016,187.6308,8657950
2025-11-20,186.92,188.3,182.8448,183.324,9045125
2025-11-21,184.02,191.9864,184.02,190.72,11917525
2025-11-24,193.3356,196.0,192.45,195.0148,10055900
2025-11-25,195.3004,198.0908,194.6804,196.2496,8381450
2025-11-26,195.9852,198.0,195.5744,196.474,7092350
2025-11-28,196.1868,198.0992,195.406,196.5876,3332225
2025-12-01,196.48,197.846,195.4068,195.6724,6166000
2025-12-02,196.2,207.0488,196.1202,205.4028,10837300
2025-12-03,203.7188,206.6848,201.6863,201.8884,5129675
2025-12-04,202.6,203.2636,200.7952,201.088,4660700
2025-12-05,201.4244,207.9808,200.774,207.8816,7596275
2025-12-08,207.544,208.378,204.7868,207.0956,7599275
2025-12-09,206.1596,209.1476,200.0876,207.8304,8492875
2025-12-10,206.94,214.6234,202.5874,211.088,11447125
2025-12-11,211.0568,214.392,209.6012,211.1872,6175875
2025-12-12,212.3568,214.3212,211.4836,212.0656,5044750
2025-12-15,214.3156,219.4,213.8592,218.308,9159850
2025-12-16,217.0,220.806,216.7552,217.4772,5720075
2025-12-17,217.0104,218.0584,213.3672,213.6392,4463125
2025-12-18,213.5536,217.0706,213.3096,213.8188,4871025
2025-12-19,213.6124,217.4,213.1024,215.7496,11569175
2025-12-22,217.5232,218.8004,215.6,216.2796,3374300
2025-12-23,215.8308,217.6528,215.6912,217.5708,3017025
2025-12-24,216.7608,219.0808,216.6786,217.8604,1319425
2025-12-26,217.4512,219.48,216.6,217.6056,1740350
2025-12-29,217.7356,218.48,216.1516,217.6532,2622475
2025-12-30,216.5296,218.2116,216.5296,217.086,3387125
2025-12-31,216.6004,217.5564,214.1156,214.2132,2822950
2026-01-02,214.2716,214.3424,210.0528,212.928,4248975
2026-01-05,211.728,217.808,211.2614,214.6948,4462850
2026-01-06,214.012,214.7226,210.8406,213.9356,5365475
2026-01-07,212.8564,218.9556,212.8564,217.8288,4516325
2026-01-08,217.64,218.2796,214.32,217.8,4020675
2026-01-09,216.6024,220.7536,215.72,219.6844,5123825
2026-01-12,218.1678,218.1678,214.4328,215.6608,4475575
2026-01-13,214.6772,216.7106,210.7206,212.5884,4728925
2026-01-14,210.501,211.212,202.2996,207.4808,6203225
2026-01-15,207.646,209.1004,205.726,207.7224,4741600
2026-01-16,207.7224,209.12,204.1424,204.6364,9328750
2026-01-20,200.4828,202.2962,198.0976,201.08,7165975
2026-01-21,200.3892,207.1552,200.0684,206.5444,6822625
2026-01-22,208.3164,209.9444,204.7629,206.036,5564800
2026-01-23,202.6896,205.1932,202.6896,203.94,5192200
2026-01-26,204.5532,206.48,203.4908,204.2912,4518875
2026-01-27,204.2912,206.438,203.5316,206.1364,3913900
2026-01-28,206.4572,208.4944,202.72,203.4088,5017125
2026-01-29,204.2408,205.9104,202.0004,204.5328,6109075
2026-01-30,203.3822,204.0172,198.1924,200.0736,6772775
2026-02-02,201.4,205.2624,199.2,204.89,5406675
2026-02-03,202.3824,204.6,184.6076,185.7856,15853150
2026-02-04,182.16,185.3152,174.5,184.2852,15349600
2026-02-05,185.9712,187.8814,177.2688,177.7368,9673875
2026-02-06,177.7508,180.9576,174.7668,178.2868,13299100
2026-02-09,176.7474,177.5512,168.7692,169.482,16942900
2026-02-10,168.7808,175.2,167.0352,171.2456,14336900
2026-02-11,170.143,175.1118,167.9792,172.4976,16719550
2026-02-12,171.0984,175.4004,165.594,166.364,17071750
2026-02-13,166.16,167.68,162.864,165.624,15561900
2026-02-17,165.2476,166.7244,160.8216,165.606,12258525
2026-02-18,164.2504,171.7732,164.0,170.7996,16901400
2026-02-19,163.5548,165.6614,154.8404,160.298,22663550
2026-02-20,160.4988,163.1988,157.9414,163.0716,20140250
2026-02-23,162.0752,162.4,150.618,154.8332,19448425
2026-02-24,155.6,163.32,155.2,162.7424,20130150
2026-02-25,163.08,167.18,161.9136,166.52,18738800
2026-02-26,167.18,171.684,166.524,170.0104,18878775
2026-02-27,167.748,169.71,166.4,169.574,23009900
2026-03-02,162.0,168.7828,161.12,167.1912,13576325
2026-03-03,164.602,167.763,162.9352,166.1548,10960375
2026-03-04,165.841,172.9096,165.18,170.1432,10469850
2026-03-05,180.444,185.3636,178.888,184.5312,20321475
2026-03-06,180.72,183.3904,178.1706,182.0172,9557025
2026-03-09,178.4684,179.5568,173.6,177.6276,12966050
2026-03-10,176.5,177.276,171.3812,174.8708,9619500
2026-03-11,175.101,177.3812,171.0344,172.8968,6422275
2026-03-12,170.9764,173.9268,168.5336,168.7084,6462825
2026-03-13,170.2148,172.8,169.4076,169.6504,5727150
2026-03-16,170.6202,173.5692,170.0776,171.7208,5047825
2026-03-17,175.096,179.0132,174.16,177.6932,8277375
2026-03-18,176.08,179.0949,175.1612,175.2556,6447225
2026-03-19,175.1816,177.4688,170.4044,171.7716,5988475
2026-03-20,171.7352,173.1676,170.3336,172.9616,11939800
2026-03-23,176.3096,177.7024,174.7208,175.8716,8346100
2026-03-24,174.5964,175.6916,170.6,171.626,8587025
2026-03-25,171.9376,174.9956,167.2856,169.51,6238775
2026-03-26,169.1256,171.0,167.3684,168.5504,8121875
2026-03-27,167.96,168.1872,161.2116,162.4856,8977925
2026-03-30,162.6,166.5429,162.0,164.7004,10225800
2026-03-31,165.48,169.6,162.6206,168.4128,9462925
2026-04-01,168.6732,170.006,162.0488,167.3824,8808750
2026-04-02,165.7596,168.1096,162.6204,167.7724,5855050
2026-04-06,166.25,176.83,166.25,176.19,8190509
2026-04-07,174.416,175.88,169.71,173.41,9117794
2026-04-08,181.07,186.65,180.09,181.0,8876847
2026-04-09,180.03,180.98,173.82,176.6,7232477
2026-04-10,177.15,179.41,171.55,173.46,5118347
2026-04-13,170.71,177.76,170.59,177.25,5825279
2026-04-14,178.26,182.55,178.0,181.12,5523047
2026-04-15,183.33,186.6,182.3325,185.69,5933394
2026-04-16,186.57,188.17,184.14,184.56,5853017
2026-04-17,188.555,192.76,188.0,192.01,7881216
2026-04-20,190.6,192.91,189.09,192.03,5372205
2026-04-21,191.45,193.92,189.165,190.86,4282724
2026-04-22,190.56,191.01,177.9,179.4,9374741
2026-04-23,178.905,180.5,174.53,176.75,6009850
2026-04-24,176.64,182.09,176.2,180.25,6320557
2026-04-27,178.29,181.47,177.11,177.52,5734262
2026-04-28,177.985,178.94,173.0,173.38,10931240
2026-04-29,164.54,176.83,164.23,173.98,12303610
2026-04-30,174.375,175.94,167.2,168.36,8644791
2026-05-01,169.03,171.58,168.15,169.63,5444251
2026-05-04,170.0,170.86,165.21,165.58,5568223
2026-05-05,165.25,169.08,164.05,167.63,8002065
2026-05-06,173.23,175.52,168.215,168.32,9043478
2026-05-07,168.245,173.72,167.55,171.28,8120929
2026-05-08,169.2,170.56,165.62,165.93,8860999
2026-05-11,164.095,165.31,156.07,157.8,10544280
2026-05-12,158.43,161.19,157.86,160.56,6892531
2026-05-13,158.2,158.94,154.77,155.03,6829752
2026-05-14,154.93,158.19,153.97,154.48,5678554
2026-05-15,154.94,156.65,153.05,154.13,6776964
2026-05-18,155.64,156.83,153.12,155.07,6976284
2026-05-19,153.365,160.91,153.365,154.54,8389793
