date,open,high,low,close,volume
2025-09-02,181.6,182.5,178.21,180.95,312417
2025-09-03,180.0,182.4199,179.895,181.76,222856
2025-09-04,182.41,183.25,179.97,183.25,242993
2025-09-05,184.0,185.0399,180.72,182.83,270026
2025-09-08,183.35,183.82,181.12,182.71,255165
2025-09-09,183.26,183.26,174.25,179.44,461937
2025-09-10,179.42,181.65,175.02,177.48,379664
2025-09-11,177.37,181.955,176.525,181.29,323444
2025-09-12,179.75,180.18,175.92,177.8,315285
2025-09-15,177.46,180.675,177.46,179.76,369369
2025-09-16,180.06,180.88,176.27,177.25,448152
2025-09-17,177.96,178.405,171.38,172.67,790790
2025-09-18,174.4,178.54,172.36,178.34,628851
2025-09-19,180.08,181.595,176.64,177.08,912937
2025-09-22,176.31,178.98,175.385,177.23,263413
2025-09-23,177.24,177.705,173.64,175.43,392000
2025-09-24,174.14,174.3,171.425,172.32,345964
2025-09-25,171.44,177.07,170.8,174.96,366892
2025-09-26,174.96,178.125,174.2,176.39,306972
2025-09-29,176.69,177.29,175.19,177.03,238943
2025-09-30,177.23,178.62,174.88,178.58,281690
2025-10-01,176.72,178.41,175.53,176.67,239111
2025-10-02,177.92,180.99,177.28,179.75,286319
2025-10-03,180.49,183.65,178.995,181.01,272803
2025-10-06,182.52,185.08,179.9,180.94,341352
2025-10-07,182.01,184.68,177.87,178.86,361023
2025-10-08,179.21,181.0,177.0,179.23,197655
2025-10-09,179.27,179.655,172.67,173.62,400284
2025-10-10,174.22,176.27,171.9,172.92,490317
2025-10-13,174.56,177.54,173.0,177.22,291511
2025-10-14,176.28,180.63,175.001,178.98,332720
2025-10-15,180.5,182.2875,179.17,180.24,335712
2025-10-16,181.32,181.82,177.89,177.89,418719
2025-10-17,177.83,180.745,177.3,179.94,296260
2025-10-20,182.34,188.23,182.34,187.41,577987
2025-10-21,189.49,204.0,176.04,177.35,1209665
2025-10-22,182.58,193.06,182.16,182.6,825071
2025-10-23,182.5,188.19,181.45,186.62,520473
2025-10-24,189.01,189.01,186.095,187.29,206236
2025-10-27,188.4,189.23,182.41,183.17,373767
2025-10-28,182.5,185.77,180.0,185.5,254828
2025-10-29,185.52,186.525,181.99,183.0,210692
2025-10-30,183.26,185.625,180.175,181.13,239175
2025-10-31,180.36,182.72,180.0,180.45,433248
2025-11-03,180.0,182.68,176.89,181.93,316769
2025-11-04,179.59,183.63,177.0,183.08,240126
2025-11-05,184.76,187.235,183.105,186.19,190620
2025-11-06,186.62,188.6699,184.575,186.74,330864
2025-11-07,185.0,188.47,182.43,187.87,234874
2025-11-10,192.0,192.28,186.995,187.5,353952
2025-11-11,186.49,188.09,184.77,185.51,262624
2025-11-12,184.33,187.05,184.33,185.82,289294
2025-11-13,184.02,186.365,177.29,177.8,348033
2025-11-14,175.1,177.705,173.1,175.9,310119
2025-11-17,175.5,176.68,173.77,174.59,261898
2025-11-18,174.06,174.265,170.17,172.04,266814
2025-11-19,172.38,173.84,168.7,169.05,185327
2025-11-20,171.72,174.19,167.02,168.16,312992
