date,open,high,low,close,volume
2025-09-02,43.45,44.36,42.7413,44.2133,4869807
2025-09-03,44.14,44.1467,43.0733,43.56,2970483
2025-09-04,43.36,44.5,43.3333,44.3733,3039129
2025-09-05,44.7133,45.1067,43.5112,44.34,1794442
2025-09-08,44.4933,44.9233,43.7933,44.4133,2825385
2025-09-09,44.2333,44.6667,44.0933,44.1267,2252595
2025-09-10,44.2733,45.2867,44.2,44.7,3188815
2025-09-11,44.7733,46.42,44.6567,45.9067,5987976
2025-09-12,45.74,45.8533,45.1133,45.2,3846325
2025-09-15,45.34,46.2867,45.32,46.28,3375603
2025-09-16,46.28,46.6533,46.0633,46.5067,3313377
2025-09-17,46.5,47.06,45.7367,46.2333,4556064
2025-09-18,46.7667,47.3267,46.52,47.1667,2885902
2025-09-19,47.3333,48.0267,47.0533,47.8733,4003996
2025-09-22,47.8667,48.6867,47.2133,48.4867,4326642
2025-09-23,48.7933,49.4667,47.7133,47.7133,6718756
2025-09-24,47.4867,47.79,46.44,46.4533,7942515
2025-09-25,46.1867,46.3133,45.2933,45.64,3867816
2025-09-26,45.7733,46.0533,45.54,45.6133,2752342
2025-09-29,45.8667,46.4067,45.7667,46.0933,2575254
2025-09-30,46.0867,46.4,45.0273,45.72,3492738
2025-10-01,45.5067,45.94,45.2467,45.2533,5391318
2025-10-02,45.3533,45.6467,45.0267,45.44,3792562
2025-10-03,45.84,46.1267,45.4933,45.8067,2302372
2025-10-06,46.24,46.24,44.9533,45.3867,3056619
2025-10-07,45.6933,45.8533,44.8533,45.1333,2344479
2025-10-08,45.34,45.54,44.74,45.36,2491185
2025-10-09,45.3933,45.7533,44.7467,44.9933,2562591
2025-10-10,45.41,45.47,43.0,43.03,3138987
2025-10-13,44.2,45.0,43.805,44.8,2748559
2025-10-14,44.27,45.58,43.915,45.34,2788876
2025-10-15,46.0,46.25,44.98,45.31,2542742
2025-10-16,45.44,45.475,43.78,44.02,4511715
2025-10-17,43.69,44.569,43.69,44.46,5092293
2025-10-20,44.67,45.31,44.64,45.12,2491755
2025-10-21,45.24,45.5,45.01,45.2,2987742
2025-10-22,44.91,45.254,44.585,45.1,2576562
2025-10-23,44.96,45.52,44.76,45.5,2913539
2025-10-24,45.91,46.56,45.66,46.19,2620111
2025-10-27,46.74,47.21,46.62,46.75,2055537
2025-10-28,46.8,48.8,46.8,47.48,3359912
2025-10-29,47.39,47.56,46.3,46.55,2953564
2025-10-30,46.755,46.755,45.61,45.76,3173290
2025-10-31,45.6,46.105,45.27,46.05,2880696
2025-11-03,46.01,46.15,45.26,45.99,2765214
2025-11-04,45.15,45.965,45.15,45.54,2928270
2025-11-05,45.59,45.99,45.35,45.9,2012443
2025-11-06,45.89,46.04,44.83,45.66,2625774
2025-11-07,44.92,45.84,44.65,45.81,3713457
2025-11-10,46.33,46.45,45.625,46.09,2608890
2025-11-11,46.1,46.6125,45.8,46.16,1854933
2025-11-12,46.36,47.1,46.2,46.89,3067360
2025-11-13,46.68,46.755,42.99,43.78,12391010
2025-11-14,43.27,44.12,43.2,44.05,10364430
2025-11-17,43.83,43.88,42.51,43.0,8851183
2025-11-18,42.0,43.52,42.0,43.43,6250022
2025-11-19,43.56,43.76,42.885,43.73,5966308
2025-11-20,44.34,44.75,43.495,43.7,6537212
2025-11-21,44.17,45.0,43.35,44.72,5435100
2025-11-24,44.82,45.35,44.2844,45.11,3485204
2025-11-25,45.0,46.285,44.88,46.04,3164889
2025-11-26,46.25,46.83,46.06,46.59,2395269
2025-11-28,46.67,47.1,46.57,47.0,930241
2025-12-01,46.55,46.98,46.16,46.38,5196852
2025-12-02,46.55,46.7,46.22,46.33,5330292
2025-12-03,46.25,47.01,46.09,46.52,4788638
2025-12-04,46.64,46.77,46.14,46.72,4211365
2025-12-05,46.72,47.25,46.49,46.71,4534265
2025-12-08,46.74,46.74,45.775,46.44,3708317
