date,open,high,low,close,volume
2025-09-02,99.97,102.5,98.96,100.62,784419
2025-09-03,100.44,101.155,99.58,100.42,530371
2025-09-04,100.5,104.57,99.81,103.5,786470
2025-09-05,112.94,114.89,110.24,112.46,2052692
2025-09-08,110.0,111.33,102.25,102.66,2075144
2025-09-09,103.82,104.4,102.05,102.09,913547
2025-09-10,101.84,101.85,99.9,101.0,915949
2025-09-11,101.26,104.48,100.66,104.31,770680
2025-09-12,101.6,102.13,90.12,96.74,5153816
2025-09-15,98.0,98.67,96.16,97.88,1410484
2025-09-16,98.11,100.84,97.925,99.26,1171268
2025-09-17,99.06,100.18,96.85,98.15,1034031
2025-09-18,99.0,99.49,95.34,96.31,1596533
2025-09-19,96.885,97.84,96.04,96.22,2158142
2025-09-22,96.36,99.54,95.94,98.72,741550
2025-09-23,98.44,98.95,97.87,98.27,566909
2025-09-24,97.98,99.98,97.96,99.75,661290
2025-09-25,98.28,99.2896,97.62,98.08,591727
2025-09-26,98.5,98.58,96.93,98.08,570490
2025-09-29,98.35,99.08,97.53,98.1,620520
2025-09-30,97.26,99.34,96.08,98.62,733850
2025-10-01,99.25,102.88,98.8,102.21,1056279
2025-10-02,101.91,104.75,101.8,104.51,568886
2025-10-03,104.55,106.5169,104.26,105.49,535705
2025-10-06,104.57,105.905,104.45,105.16,441490
2025-10-07,105.12,107.33,104.985,106.06,704314
2025-10-08,106.65,108.09,105.885,106.28,604370
2025-10-09,106.23,106.92,104.02,104.48,655606
2025-10-10,104.72,104.85,101.175,102.06,855435
2025-10-13,102.0,109.74,101.25,102.3,1421210
2025-10-14,101.455,103.13,101.0,102.61,441399
2025-10-15,102.01,104.5,101.995,104.34,448682
2025-10-16,104.66,106.74,103.74,105.08,495497
2025-10-17,103.1,105.58,103.1,105.14,487922
2025-10-20,104.07,108.05,103.21,107.95,886490
2025-10-21,107.2,107.6,106.22,106.89,554564
2025-10-22,105.37,107.05,105.0,106.23,797440
2025-10-23,105.18,106.07,103.06,104.75,719226
2025-10-24,105.84,106.64,104.52,105.66,361159
2025-10-27,106.05,106.89,104.75,106.05,341089
2025-10-28,105.15,106.8,104.79,105.03,358324
2025-10-29,104.5,106.19,103.23,103.35,578038
2025-10-30,101.9,107.32,101.9,104.67,516275
2025-10-31,104.03,104.735,102.34,103.91,557858
2025-11-03,104.8,109.02,101.66,103.955,879873
2025-11-04,104.38,105.03,102.59,104.83,820687
2025-11-05,103.11,105.205,103.04,103.43,534696
2025-11-06,103.49,103.87,101.99,103.35,412003
2025-11-07,102.18,103.22,100.085,103.14,506430
2025-11-10,104.32,107.0,104.05,105.07,607901
2025-11-11,105.37,109.96,105.37,108.65,1304405
2025-11-12,108.94,113.39,107.65,111.7,1121014
2025-11-13,105.5,106.75,103.245,103.88,2285949
2025-11-14,102.755,105.0,101.52,103.09,1285662
2025-11-17,103.24,103.91,102.02,102.67,785606
2025-11-18,102.38,103.51,101.19,102.53,903878
2025-11-19,102.92,103.08,101.175,101.43,594667
2025-11-20,102.23,102.43,96.875,96.97,1179678
2025-11-21,97.52,99.15,95.45,95.59,1314835
2025-11-24,95.4,98.07,94.0,96.54,1460248
2025-11-25,96.7,99.81,96.65,99.71,1212314
2025-11-26,99.645,102.9,98.72,102.7,1046218
2025-11-28,102.3,104.05,102.1,103.15,822271
2025-12-01,101.0,101.84,97.15,97.39,1760864
2025-12-02,97.05,97.5,95.61,96.11,2097817
2025-12-03,96.56,98.2,96.2,96.73,3483598
2025-12-04,97.08,98.11,95.59,96.0,1609431
2025-12-05,96.41,96.69,95.21,96.25,1270288
2025-12-08,99.0,99.56,96.13,97.28,1569953
