date,open,high,low,close,volume
2025-09-02,160.04,160.775,157.42,160.03,712525
2025-09-03,161.74,161.9,159.0,160.95,1015200
2025-09-04,161.4,164.17,161.02,163.79,1112355
2025-09-05,165.5,166.75,158.56,163.64,1467941
2025-09-08,163.64,165.72,162.98,163.75,856917
2025-09-09,163.0,163.99,159.87,162.23,773350
2025-09-10,164.745,166.22,163.79,166.13,784431
2025-09-11,166.88,171.8499,166.252,170.1,1095652
2025-09-12,170.0,171.5,168.32,168.33,688916
2025-09-15,170.03,174.94,168.5616,174.3,1181041
2025-09-16,175.0,179.07,172.71,176.65,1866990
2025-09-17,176.0,177.24,167.91,168.38,1797753
2025-09-18,169.0,174.66,168.0,174.03,1184859
2025-09-19,174.14,176.0595,172.07,174.5,2477379
2025-09-22,174.51,178.725,172.25,178.19,1046463
2025-09-23,177.51,182.0,177.04,178.02,1088140
2025-09-24,178.65,179.755,174.92,175.02,612890
2025-09-25,172.23,177.652,170.88,176.21,854046
2025-09-26,177.66,180.98,177.5,180.62,879820
2025-09-29,183.45,184.99,181.04,181.96,1081103
2025-09-30,182.0,185.39,181.78,184.37,948702
2025-10-01,184.0,188.4,182.1,187.18,1311829
2025-10-02,188.24,190.0126,183.2201,185.7,985373
2025-10-03,186.43,188.81,183.7116,186.64,1127623
2025-10-06,188.37,193.2532,188.0,191.38,1299525
2025-10-07,192.03,195.6,189.57,191.39,1356741
2025-10-08,193.0,197.52,191.99,197.01,817851
2025-10-09,197.57,199.72,194.17,195.6,1000873
2025-10-10,195.6,198.2399,189.89,190.08,1063237
2025-10-13,194.19,199.78,193.05,197.37,902990
2025-10-14,195.04,204.96,193.25,202.46,1514423
2025-10-15,213.4,214.0,201.17,203.82,2535469
2025-10-16,207.01,214.72,205.0,209.01,2113761
2025-10-17,206.0,209.59,196.98,203.12,1877390
2025-10-20,206.0,208.78,202.85,207.72,1004135
2025-10-21,206.0,207.72,200.009,205.24,1422020
2025-10-22,205.0,206.425,190.5,191.17,2111258
2025-10-23,191.0,200.43,191.0,199.92,1046363
2025-10-24,202.0,203.58,200.78,203.28,804070
2025-10-27,205.08,207.135,202.37,204.03,698676
2025-10-28,213.3,214.0,206.505,207.62,1246456
2025-10-29,207.6,215.62,205.5081,213.69,1241766
2025-10-30,213.58,218.5,211.82,213.8,1075602
2025-10-31,215.0,216.74,211.47,213.61,1087052
2025-11-03,214.02,216.93,211.3847,215.86,1496391
2025-11-04,204.29,207.0,195.36,200.39,2342883
2025-11-05,195.7,202.0,194.96,198.12,2236661
2025-11-06,197.97,198.0,190.4,193.93,2992677
2025-11-07,189.35,193.62,185.0,193.55,1462840
2025-11-10,197.5,199.17,193.295,198.79,1178681
2025-11-11,197.735,198.5,191.5101,195.65,847139
2025-11-12,196.37,200.0,194.41,196.77,1233215
2025-11-13,195.46,195.5,176.565,177.88,2190231
2025-11-14,175.0,182.8799,172.4088,178.31,1868275
2025-11-17,179.44,181.0088,173.27,176.18,1383179
2025-11-18,175.0,177.775,171.74,175.91,1223412
2025-11-19,176.18,181.22,174.645,179.81,1000576
2025-11-20,185.0,187.035,175.03,175.28,1131510
