date,open,high,low,close,volume
2025-09-02,2.49,2.49,2.36,2.37,1990667
2025-09-03,2.39,2.43,2.31,2.32,1547771
2025-09-04,2.31,2.38,2.29,2.35,1228932
2025-09-05,2.35,2.47,2.35,2.46,1592751
2025-09-08,2.47,2.5591,2.4,2.53,2069911
2025-09-09,2.5,2.6,2.47,2.58,1227923
2025-09-10,2.57,2.585,2.48,2.49,1199824
2025-09-11,2.51,2.62,2.495,2.6,2340605
2025-09-12,2.6,2.69,2.53,2.68,1684950
2025-09-15,2.61,2.82,2.59,2.8,3262023
2025-09-16,2.81,2.83,2.7,2.71,1857729
2025-09-17,2.7,2.835,2.621,2.73,3122625
2025-09-18,2.76,2.93,2.735,2.77,3905248
2025-09-19,2.8,2.92,2.77,2.83,2134197
2025-09-22,2.83,2.84,2.715,2.84,1708840
2025-09-23,2.84,2.98,2.83,2.85,2292153
2025-09-24,2.82,2.99,2.76,2.9,2181314
2025-09-25,2.84,2.89,2.73,2.83,2471476
2025-09-26,2.83,2.89,2.78,2.85,1256683
2025-09-29,1.27,2.22,1.23,1.82,65310360
2025-09-30,1.81,1.93,1.66,1.89,13954140
2025-10-01,1.965,2.43,1.95,2.31,20833950
2025-10-02,2.34,2.49,2.3,2.33,9679945
2025-10-03,2.35,2.65,2.35,2.57,9492537
2025-10-06,2.6,2.63,2.285,2.35,8276706
2025-10-07,2.39,2.39,2.11,2.18,6539164
2025-10-08,2.2,2.22,2.04,2.08,6829300
2025-10-09,2.06,2.07,1.95,1.97,8919795
2025-10-10,2.01,2.28,1.995,2.01,14533470
2025-10-13,0.848,1.12,0.845,1.035,128357700
2025-10-14,0.9188,0.9256,0.77,0.7808,113067200
2025-10-15,0.7867,0.818,0.651,0.6701,120425700
2025-10-16,0.693,0.693,0.5001,0.52,174262400
2025-10-17,0.6079,0.753,0.55,0.6456,438222600
2025-10-20,1.02,1.53,0.8812,1.47,1202829000
2025-10-21,2.31,3.86,1.93,3.62,2071569000
2025-10-22,6.17,7.69,2.62,3.58,2227938000
2025-10-23,2.95,3.7283,2.77,2.84,802209200
2025-10-24,3.315,3.35,2.08,2.185,803375300
2025-10-27,2.0,2.23,1.8,1.81,364020700
2025-10-28,1.92,2.36,1.82,1.975,478425600
2025-10-29,2.07,2.08,1.77,1.845,227981500
2025-10-30,1.755,1.77,1.6,1.65,147658000
2025-10-31,1.655,1.7101,1.55,1.655,103373900
2025-11-03,1.505,1.54,1.35,1.39,156997900
2025-11-04,1.275,1.52,1.275,1.33,166175300
2025-11-05,1.37,1.38,1.23,1.27,94676860
2025-11-06,1.29,1.56,1.19,1.19,190986500
2025-11-07,1.18,1.42,1.13,1.39,143987700
2025-11-10,1.41,1.46,1.29,1.34,125430400
2025-11-11,1.25,1.34,1.18,1.22,82885170
2025-11-12,1.21,1.29,1.11,1.115,84409010
2025-11-13,1.105,1.11,1.0,1.01,85509240
2025-11-14,0.9363,1.23,0.9363,1.08,129603600
2025-11-17,1.12,1.13,1.0,1.04,61645170
2025-11-18,1.03,1.07,1.0,1.0,42674040
2025-11-19,1.0,1.03,0.9521,0.9757,56581200
2025-11-20,1.01,1.02,0.88,0.88,102902500
2025-11-21,0.8759,0.905,0.81,0.8624,74410440
2025-11-24,0.8819,0.94,0.8155,0.8625,89057800
2025-11-25,0.8682,0.884,0.825,0.8571,53104830
2025-11-26,0.8675,1.05,0.8641,1.02,172661300
2025-11-28,1.02,1.07,0.9637,0.9818,68571410
2025-12-01,0.9547,1.48,0.9316,1.34,270280300
2025-12-02,1.395,1.42,1.23,1.29,233171400
2025-12-03,1.23,1.27,1.15,1.25,77682490
2025-12-04,1.255,1.37,1.24,1.24,59989650
2025-12-05,1.25,1.42,1.21,1.22,101323700
2025-12-08,1.23,1.23,1.13,1.14,63586990
2025-12-09,1.1,1.3,1.0975,1.26,70045070
2025-12-10,1.245,1.32,1.2,1.23,54100720
2025-12-11,1.225,1.24,1.17,1.18,38198670
2025-12-12,1.17,1.21,1.09,1.09,41276780
2025-12-15,1.105,1.135,1.03,1.04,55077710
2025-12-16,1.02,1.12,1.02,1.1,46350580
2025-12-17,1.1,1.13,1.03,1.05,42384400
2025-12-18,1.05,1.14,1.03,1.04,43522620
2025-12-19,1.04,1.26,1.03,1.11,172579000
2025-12-22,1.12,1.14,1.06,1.07,43606270
2025-12-23,1.07,1.07,0.96,1.01,68199670
2025-12-24,0.998,1.0,0.98,0.9865,30993120
2025-12-26,0.9833,0.9864,0.9,0.9,59587990
2025-12-29,0.8878,0.9699,0.861,0.862,64899110
2025-12-30,0.8991,0.9279,0.8468,0.8468,53519320
2025-12-31,0.85,0.8601,0.8121,0.82,50584830
2026-01-02,0.85,0.9028,0.84,0.8814,43051100
2026-01-05,0.8922,0.958,0.8566,0.8904,72141270
2026-01-06,0.89,0.9575,0.88,0.934,54938530
2026-01-07,0.9408,1.09,0.8979,1.04,109323300
2026-01-08,1.01,1.08,0.9666,1.03,63542440
2026-01-09,1.03,1.06,0.9647,0.9751,63007780
2026-01-12,0.9752,1.02,0.95,0.9826,43663970
2026-01-13,0.98,0.98,0.9415,0.947,35359840
2026-01-14,0.9354,0.9874,0.9001,0.9619,46106610
2026-01-15,0.9798,1.11,0.9796,1.04,86188840
2026-01-16,1.035,1.04,0.975,0.9854,50788030
2026-01-20,0.9415,0.97,0.921,0.926,38315820
2026-01-21,0.9354,0.9753,0.902,0.9359,31633730
2026-01-22,0.9377,1.02,0.9311,0.9341,48253290
2026-01-23,0.94,0.9543,0.91,0.9151,35520350
2026-01-26,0.9167,0.9167,0.88,0.8828,36061360
2026-01-27,0.891,0.891,0.8501,0.8501,31775330
2026-01-28,0.8645,0.91,0.83,0.83,51553060
2026-01-29,0.835,0.837,0.7704,0.7761,39456410
2026-01-30,0.7793,0.8023,0.751,0.7632,44856940
2026-02-02,0.7643,0.7643,0.7263,0.7332,25456100
2026-02-03,0.7574,0.7788,0.722,0.7554,23306190
2026-02-04,0.7466,0.7669,0.7111,0.7123,31136350
2026-02-05,0.6956,0.7185,0.6633,0.6661,26572000
2026-02-06,0.689,0.7426,0.6835,0.7289,31003950
2026-02-09,0.75,0.77,0.7112,0.7698,24066770
2026-02-10,0.7672,0.82,0.75,0.75,37692000
2026-02-11,0.7586,0.7587,0.7,0.7089,28114240
2026-02-12,0.71,0.7191,0.69,0.6915,19950770
2026-02-13,0.7037,0.7399,0.6979,0.7108,14377250
2026-02-17,0.721,0.7345,0.6815,0.6994,15814120
2026-02-18,0.74,0.7426,0.692,0.7129,21349890
2026-02-19,0.705,0.818,0.6975,0.79,49897580
2026-02-20,0.75,0.7699,0.725,0.725,23569550
2026-02-23,0.7177,0.7201,0.691,0.691,19645510
2026-02-24,0.701,0.75,0.7,0.7237,22043450
2026-02-25,0.7444,0.8,0.7332,0.7967,39708880
2026-02-26,0.7852,0.82,0.75,0.82,35309620
2026-02-27,0.7905,1.05,0.79,0.9456,148107200
2026-03-02,0.8373,0.8921,0.78,0.825,45098920
2026-03-03,0.8222,0.8498,0.766,0.7943,31546110
2026-03-04,0.8085,0.8297,0.79,0.79,22968400
2026-03-05,0.7901,0.825,0.77,0.7774,31980640
2026-03-06,0.762,0.793,0.75,0.7928,19020530
2026-03-09,0.7729,0.82,0.7379,0.7629,28926480
2026-03-10,0.7612,0.789,0.7408,0.7559,19780510
2026-03-11,0.75,0.7984,0.75,0.7899,25699250
2026-03-12,0.7787,0.7913,0.7315,0.7315,25897370
2026-03-13,0.7432,0.792,0.74,0.7604,27062850
2026-03-16,0.76,0.8082,0.7521,0.8082,26491850
2026-03-17,0.765,0.7774,0.74,0.7486,27682420
2026-03-18,0.75,0.75,0.7,0.7,32320930
2026-03-19,0.7,0.7167,0.69,0.7109,18318520
2026-03-20,0.71,0.7125,0.6908,0.6956,18658450
2026-03-23,0.7061,0.7359,0.6887,0.72,35880880
2026-03-24,0.7112,0.725,0.683,0.6868,17262690
2026-03-25,0.6994,0.707,0.6694,0.6958,26573890
2026-03-26,0.68,0.6847,0.65,0.65,15340650
2026-03-27,0.65,0.6619,0.635,0.6371,18862070
2026-03-30,0.6371,0.655,0.6,0.6096,26059930
2026-03-31,0.6203,0.7292,0.6168,0.7016,62144870
2026-04-01,0.6315,0.6649,0.601,0.6204,58566270
2026-04-02,0.6017,0.61,0.5809,0.5944,47540170
2026-04-06,0.6,0.6396,0.59,0.59,30768700
2026-04-07,0.597,0.5999,0.5726,0.58,18918910
2026-04-08,0.6099,0.62,0.5921,0.6022,21939730
2026-04-09,0.5897,0.6097,0.5842,0.6,17857730
2026-04-10,0.6,0.615,0.5853,0.5966,15562590
2026-04-13,0.598,0.677,0.5887,0.66,56660430
2026-04-14,0.6631,0.7702,0.6558,0.7198,55196920
2026-04-15,0.7222,0.768,0.7138,0.7511,37798090
2026-04-16,0.7797,0.8199,0.77,0.782,48491060
2026-04-17,0.9076,0.97,0.8226,0.8226,197859100
2026-04-20,0.8315,1.17,0.78,1.16,220171100
2026-04-21,1.38,1.4,1.01,1.045,397441100
2026-04-22,1.045,1.26,1.04,1.1,134265800
2026-04-23,1.1,1.1,0.95,0.9501,99830160
2026-04-24,0.95,1.03,0.8629,0.8734,117986000
2026-04-27,0.8649,0.958,0.85,0.9094,78224770
2026-04-28,0.9,0.9373,0.8596,0.8596,46478870
2026-04-29,0.8634,0.89,0.8153,0.8153,36855980
2026-04-30,0.8209,1.05,0.8209,0.9841,169040200
2026-05-01,1.085,1.0999,0.9309,0.9487,113736000
2026-05-04,0.937,1.02,0.9278,0.939,59119730
2026-05-05,0.9473,0.9592,0.9143,0.9186,41076640
2026-05-06,0.93,1.05,0.92,1.04,106782600
2026-05-07,0.925,0.93,0.88,0.8928,89479270
2026-05-08,0.8941,0.899,0.8155,0.8331,77804550
2026-05-11,0.821,0.8496,0.7815,0.8086,51819610
2026-05-12,0.7982,0.8061,0.7674,0.7948,43585600
2026-05-13,0.7858,0.794,0.7646,0.7804,34030720
2026-05-14,0.7838,0.8099,0.756,0.8044,36587470
2026-05-15,0.78,0.8354,0.78,0.8043,38840820
2026-05-18,0.795,0.7976,0.7444,0.7621,30852920
2026-05-19,0.7519,0.7573,0.7235,0.7573,25654890
2026-05-20,0.7548,0.79,0.7319,0.7866,22957480
2026-05-21,0.7744,0.7886,0.7462,0.7885,25964360
2026-05-22,0.7826,0.8148,0.7571,0.7659,30014600
2026-05-26,0.781,0.7919,0.7505,0.7684,37030580
2026-05-27,0.7572,0.79,0.745,0.789,28855680
2026-05-28,0.78,0.844,0.7629,0.8203,46708760
2026-05-29,0.8246,0.8294,0.7846,0.7885,34711870
2026-06-01,0.7874,0.7889,0.762,0.7757,28952980
2026-06-02,0.7791,0.7795,0.7524,0.7645,29756740
2026-06-03,0.7595,0.7595,0.714,0.7402,34374370
2026-06-04,0.7308,0.7976,0.726,0.786,34224360
2026-06-05,0.778,0.778,0.7,0.7094,47328940
2026-06-08,0.722,0.7774,0.7093,0.7552,62141010
2026-06-09,0.7528,0.7535,0.684,0.6904,55463390
2026-06-10,0.6894,0.7048,0.6605,0.6823,42029040
2026-06-11,0.6899,0.712,0.6726,0.7038,25680200
