date,open,high,low,close,volume
2025-09-02,19.07,19.23,18.73,18.77,10793020
2025-09-03,18.65,19.23,18.605,19.2,9417962
2025-09-04,19.22,19.295,18.87,18.94,9507730
2025-09-05,18.98,19.375,18.9,19.28,8234593
2025-09-08,19.4,19.505,19.135,19.46,9343306
2025-09-09,19.42,19.55,19.31,19.42,7833827
2025-09-10,19.28,19.43,19.03,19.36,8977980
2025-09-11,19.4,19.59,19.27,19.44,8060772
2025-09-12,19.37,19.42,19.17,19.17,5349974
2025-09-15,19.21,19.335,18.67,18.67,9688606
2025-09-16,18.74,19.055,18.65,18.94,9307267
2025-09-17,18.92,19.235,18.835,18.89,8078017
2025-09-18,18.85,18.89,18.665,18.75,11558170
2025-09-19,18.81,18.9,18.45,18.54,20476660
2025-09-22,18.5,18.625,18.3,18.32,9705817
2025-09-23,18.4,18.48,18.12,18.2,10960190
2025-09-24,18.22,18.6351,18.185,18.53,10592590
2025-09-25,18.57,18.635,18.065,18.08,11014660
2025-09-26,18.17,18.3553,18.12,18.18,11979240
2025-09-29,18.2,18.21,17.885,18.04,12165370
2025-09-30,18.0,18.375,17.9,18.31,22230700
2025-10-01,18.835,19.36,18.43,19.3,23515930
2025-10-02,19.09,19.24,18.835,19.18,11204120
2025-10-03,19.175,19.33,18.99,19.11,7714623
2025-10-06,19.11,19.15,18.66,18.72,11397270
2025-10-07,18.77,19.08,18.65,18.91,13204440
2025-10-08,18.88,18.97,18.66,18.71,8467448
2025-10-09,18.8,18.8,18.45,18.5,7238406
2025-10-10,18.66,18.695,18.3112,18.58,14977180
2025-10-13,18.52,18.54,17.935,18.19,12938720
2025-10-14,18.15,18.52,18.07,18.5,16330610
2025-10-15,18.5,18.68,18.265,18.34,13431850
2025-10-16,18.49,18.69,18.17,18.27,14701800
2025-10-17,18.35,18.63,18.305,18.56,8973990
2025-10-20,18.57,18.63,18.47,18.5,7299973
2025-10-21,18.62,18.67,18.43,18.62,7466330
2025-10-22,18.65,18.985,18.51,18.78,9936299
2025-10-23,18.86,18.86,18.44,18.47,8562579
2025-10-24,18.51,18.61,18.26,18.29,7146809
2025-10-27,18.3,18.51,18.27,18.5,8998603
2025-10-28,18.39,18.41,18.05,18.08,14629170
2025-10-29,18.0,18.04,17.35,17.38,20897530
2025-10-30,16.97,17.48,16.9409,17.42,15512730
2025-10-31,17.26,17.32,17.09,17.19,12966380
2025-11-03,17.17,17.44,17.01,17.29,12535210
2025-11-04,17.33,17.37,17.05,17.11,9363548
2025-11-05,17.08,17.22,17.0035,17.09,10988400
2025-11-06,17.0,17.165,16.6,16.7,10641550
2025-11-07,16.74,17.29,16.69,17.14,10833070
2025-11-10,17.27,17.29,16.905,16.98,9212476
2025-11-11,17.12,17.365,17.07,17.3,9691431
2025-11-12,17.37,17.495,17.25,17.34,8059844
2025-11-13,17.37,17.655,17.32,17.43,9838661
2025-11-14,17.5,17.66,17.25,17.45,8036576
2025-11-17,17.42,17.475,17.1,17.12,10891120
2025-11-18,17.13,17.43,17.06,17.38,9522017
2025-11-19,17.35,17.58,17.24,17.4,10219230
2025-11-20,17.35,17.505,17.2701,17.38,8232405
2025-11-21,17.6,18.03,17.53,17.77,14288290
2025-11-24,17.73,17.795,17.51,17.52,12973300
