date,open,high,low,close,volume
2025-09-02,413.91,417.205,410.515,416.05,2329944
2025-09-03,418.13,418.13,411.37,415.12,1496741
2025-09-04,415.81,420.79,414.2875,420.22,1634609
2025-09-05,420.835,424.8999,417.91,423.08,1843342
2025-09-08,422.65,423.91,416.78,422.78,1876960
2025-09-09,423.16,423.55,416.44,418.09,1710703
2025-09-10,419.82,426.5,419.5,422.91,2221280
2025-09-11,423.92,435.79,423.32,431.38,2738072
2025-09-12,429.06,432.61,427.75,431.52,2341766
2025-09-15,433.83,438.75,430.61,435.94,2255875
2025-09-16,436.13,440.8,434.28,440.67,2366493
2025-09-17,445.0,452.34,443.0,450.66,4512193
2025-09-18,450.96,467.71,448.865,466.96,4331863
2025-09-19,470.26,472.12,462.71,466.54,5069345
2025-09-22,467.31,473.24,459.6116,472.1,3179951
2025-09-23,473.26,485.3375,468.19,471.26,3856637
2025-09-24,472.7,476.52,468.6261,469.79,2776892
2025-09-25,464.71,468.0,459.575,463.72,2979229
2025-09-26,465.48,468.45,462.38,465.76,2329149
2025-09-29,468.08,472.49,467.46,471.61,2892237
2025-09-30,471.62,477.44,470.24,477.15,2315264
2025-10-01,474.01,483.93,471.14,480.82,2964858
2025-10-02,486.86,495.98,484.19,490.57,2648753
2025-10-03,493.25,504.48,492.525,497.85,2996868
2025-10-06,500.42,505.589,493.04,495.38,2629156
2025-10-07,497.93,498.376,483.545,486.71,2135728
2025-10-08,490.99,509.4799,489.34,502.12,3959416
2025-10-09,504.06,506.53,497.14,500.36,3114119
2025-10-10,503.115,511.5,491.3,491.3,3889116
2025-10-13,502.15,506.38,495.45,504.76,2618593
2025-10-14,500.58,531.56,499.01,527.47,5459830
2025-10-15,534.2,538.449,527.2109,534.05,3447104
2025-10-16,538.06,544.9899,534.7,540.96,3463082
2025-10-17,537.375,542.21,526.97,527.08,2814681
2025-10-20,529.56,534.2,526.94,531.18,2170839
2025-10-21,525.07,533.38,522.04,524.65,2259080
2025-10-22,525.73,525.8,510.21,513.91,4149408
2025-10-23,518.33,522.89,513.01,520.5,2619367
2025-10-24,522.86,527.23,521.0201,522.73,2392328
2025-10-27,527.05,529.472,521.43,527.07,2493765
2025-10-28,525.96,530.29,521.6744,524.47,2775399
2025-10-29,558.18,596.21,558.0,585.49,6948546
2025-10-30,577.885,593.77,575.77,583.15,2574806
2025-10-31,584.03,587.05,571.3501,577.26,2974760
2025-11-03,575.93,576.22,565.39,570.59,2439751
