date,open,high,low,close,volume
2025-09-02,30.7,31.2,30.5406,31.16,15255620
2025-09-03,31.22,31.75,30.995,31.33,12020540
2025-09-04,31.41,31.915,31.18,31.76,10765880
2025-09-05,32.0,32.24,31.3599,31.57,12091680
2025-09-08,31.7,32.09,31.5,31.56,20390270
2025-09-09,31.46,32.07,31.0802,31.57,13089300
2025-09-10,31.57,31.875,30.5608,31.36,19089830
2025-09-11,31.51,32.8,31.49,32.47,22241380
2025-09-12,32.4,32.42,31.51,31.51,13004140
2025-09-15,31.52,31.54,30.71,31.24,25356670
2025-09-16,31.245,31.245,30.55,31.2,19976930
2025-09-17,31.39,31.58,30.755,31.19,18048250
2025-09-18,31.36,31.59,31.04,31.45,15543790
2025-09-19,31.61,31.72,30.28,30.52,33360020
2025-09-22,30.57,30.89,30.3628,30.71,17155200
2025-09-23,31.31,31.6665,30.6,30.71,21772550
2025-09-24,30.71,30.8495,30.18,30.37,15228910
2025-09-25,30.07,30.73,29.92,30.48,24816930
2025-09-26,30.55,30.75,30.235,30.62,22456430
2025-09-29,32.21,32.5,28.82,29.4,102357500
2025-09-30,29.78,30.15,28.59,28.91,38967510
2025-10-01,28.88,29.105,28.32,28.36,29096880
2025-10-02,28.5,29.0,28.34,28.85,20948970
2025-10-03,29.0,29.24,28.47,28.57,23869120
2025-10-06,28.66,29.1467,28.02,29.09,21702860
2025-10-07,29.015,29.03,27.94,28.71,24053610
2025-10-08,28.79,29.26,28.47,28.92,15208910
2025-10-09,29.165,29.23,28.31,28.45,13514360
2025-10-10,28.4,28.79,27.6101,27.69,17265740
2025-10-13,28.21,28.52,27.865,28.09,13933520
2025-10-14,27.64,29.27,27.47,28.96,18603420
2025-10-15,29.13,29.4,28.725,28.84,13077130
2025-10-16,28.95,29.12,28.025,28.21,18101240
2025-10-17,27.98,28.57,27.715,28.31,16897380
2025-10-20,28.45,29.06,28.41,28.86,15392310
2025-10-21,28.99,30.0165,28.81,29.97,19411360
2025-10-22,30.0,30.37,29.63,30.0,19819600
2025-10-23,29.76,30.1,29.245,29.44,19081420
2025-10-24,29.89,30.15,29.37,29.4,19776060
2025-10-27,29.7,29.89,29.05,29.42,19687490
