date,open,high,low,close,volume
2025-09-02,13.79,13.79,12.9201,13.66,20969260
2025-09-03,13.8,14.13,13.63,13.97,19051360
2025-09-04,13.76,14.32,13.74,14.1,20113310
2025-09-05,14.31,14.75,14.27,14.67,17728670
2025-09-08,14.88,14.93,14.47,14.56,16211200
2025-09-09,14.55,14.57,14.145,14.33,11653940
2025-09-10,14.505,14.98,14.42,14.94,12853750
2025-09-11,14.66,15.495,14.45,15.37,13279360
2025-09-12,15.46,15.75,15.32,15.53,12344930
2025-09-15,15.37,16.93,15.2004,16.93,21117710
2025-09-16,17.15,17.15,16.27,16.27,18268910
2025-09-17,15.95,16.73,15.75,16.0,18565200
2025-09-18,16.02,16.29,15.48,16.28,12196470
2025-09-19,16.28,17.48,16.225,17.42,47560220
2025-09-22,18.15,18.31,17.158,17.87,20722290
2025-09-23,18.085,18.435,17.92,18.03,20261560
2025-09-24,18.06,18.525,17.41,17.42,15624570
2025-09-25,17.41,18.305,17.41,18.2,11471980
2025-09-26,18.22,18.83,18.1545,18.44,13874080
2025-09-29,19.1,19.17,18.45,18.73,16558060
2025-09-30,18.075,19.12,17.9503,18.76,15689510
2025-10-01,18.84,19.32,18.54,18.88,14241200
2025-10-02,19.22,19.37,17.86,18.8,13664080
2025-10-03,18.965,19.49,18.62,18.73,10851790
2025-10-06,19.14,19.69,18.935,19.34,11732320
2025-10-07,19.33,19.37,18.61,18.82,11047390
2025-10-08,19.37,21.04,19.17,21.01,19240000
2025-10-09,21.68,21.8,19.53,20.05,27965020
2025-10-10,20.49,20.8,19.2,19.56,15956900
2025-10-13,20.84,21.48,20.6835,21.18,12839170
2025-10-14,20.7,21.56,20.64,20.99,12913120
2025-10-15,21.585,22.75,21.545,22.28,13502240
2025-10-16,22.67,23.615,22.16,23.1,19068400
2025-10-17,22.355,22.91,20.635,21.05,19931340
2025-10-20,22.06,22.34,21.32,22.03,9855379
2025-10-21,18.985,19.2071,18.02,18.48,23598470
2025-10-22,17.625,19.225,17.5,18.98,17277390
2025-10-23,19.43,19.6215,18.86,18.98,12990350
2025-10-24,18.385,19.25,18.3,18.65,11134500
2025-10-27,17.845,18.41,16.82,17.68,16392430
2025-10-28,17.34,18.43,17.2,18.28,13754960
2025-10-29,19.0,19.0,17.75,18.25,14498470
2025-10-30,16.62,18.13,16.33,17.7,15840340
2025-10-31,17.63,17.66,17.0311,17.17,14422020
2025-11-03,15.94,16.07,14.865,15.14,35020030
2025-11-04,14.49,14.66,13.775,13.82,30309710
2025-11-05,14.195,14.385,13.86,14.19,20536990
2025-11-06,14.45,14.985,14.4,14.44,22011910
2025-11-07,14.34,14.7799,14.25,14.69,16237670
2025-11-10,15.27,15.57,14.811,14.87,24382590
2025-11-11,15.1,15.4,14.68,15.21,16391670
2025-11-12,15.35,16.025,15.03,15.63,23229720
2025-11-13,15.92,15.95,14.82,15.11,22537990
2025-11-14,14.31,15.04,14.04,14.81,14153770
2025-11-17,14.65,15.065,14.285,14.46,14693870
2025-11-18,14.52,14.73,14.05,14.38,15555260
2025-11-19,14.85,15.17,14.21,14.7,16940060
2025-11-20,14.81,15.075,13.79,13.86,16857570
2025-11-21,13.86,14.11,13.55,13.99,20177870
2025-11-24,14.14,14.905,14.0,14.88,11655800
2025-11-25,14.85,15.32,14.715,15.07,16463980
2025-11-26,15.26,16.2,15.18,16.19,17274740
2025-11-28,16.695,17.29,16.36,17.27,17178740
2025-12-01,17.64,17.88,16.9351,16.96,20728530
2025-12-02,16.895,17.12,15.98,16.55,14230880
2025-12-03,16.69,16.76,16.14,16.15,12243510
2025-12-04,15.95,16.12,15.65,16.1,11347950
2025-12-05,16.425,16.81,15.725,15.86,13664580
2025-12-08,15.91,15.945,15.235,15.31,12258040
2025-12-09,15.45,16.26,15.35,16.07,14339980
2025-12-10,15.9,16.21,15.38,15.97,14847490
2025-12-11,16.19,18.04,16.02,17.48,28344360
2025-12-12,18.1,18.18,16.62,17.25,23870090
2025-12-15,17.85,17.94,16.57,16.91,17167990
2025-12-16,16.84,17.18,16.3,16.89,15000310
