date,open,high,low,close,volume
2025-09-02,62.325,62.325,59.6317,61.41,7005028
2025-09-03,61.62,61.835,60.62,61.1,4397101
2025-09-04,61.465,62.64,60.5601,60.76,4748059
2025-09-05,61.19,61.19,57.7,58.37,5981442
2025-09-08,58.57,58.57,54.55,55.64,9721772
2025-09-09,55.765,56.64,55.45,56.04,4931157
2025-09-10,55.35,56.63,55.0,56.22,3339017
2025-09-11,57.795,58.91,56.925,57.92,5884625
2025-09-12,57.74,58.3,57.26,57.82,3094327
2025-09-15,57.08,57.845,56.03,56.07,4819757
2025-09-16,55.75,55.94,53.53,55.27,6636505
2025-09-17,55.27,57.29,55.195,56.34,4954845
2025-09-18,55.911,56.705,55.105,55.19,4471806
2025-09-19,55.84,55.84,53.76,54.73,6079868
2025-09-22,54.035,54.07,51.0542,51.34,10602250
2025-09-23,51.28,52.4493,50.8,51.01,5935442
2025-09-24,51.34,52.915,51.1001,51.88,5742474
2025-09-25,51.55,52.3999,51.1569,51.805,4855266
2025-09-26,51.9,54.61,51.861,54.39,5831499
2025-09-29,55.525,57.01,54.81,56.9,6533558
2025-09-30,58.66,58.8952,57.065,57.49,6381799
2025-10-01,57.18,58.01,56.2,57.5,5524812
2025-10-02,57.3376,59.15,57.3376,58.9,5037054
2025-10-03,59.23,60.76,58.53,58.7,4499285
2025-10-06,59.175,59.82,58.53,59.11,3973557
2025-10-07,59.16,61.215,58.72,61.06,4953255
2025-10-08,62.1,62.94,61.11,62.91,5034088
2025-10-09,63.03,64.33,62.35,64.26,4129848
2025-10-10,64.58,64.81,60.63,60.7,5708953
2025-10-13,60.88,63.1121,60.17,61.14,3657712
2025-10-14,60.635,63.21,59.56,61.86,3446824
2025-10-15,62.0,63.45,61.31,63.1,3589291
2025-10-16,63.29,66.74,63.15,64.29,6479682
2025-10-17,63.392,64.91,63.27,64.86,2990395
2025-10-20,65.5,66.0,64.03,64.45,3249201
2025-10-21,65.0,65.5,63.2,63.4,2771283
2025-10-22,63.26,64.06,60.85,61.6,4641681
2025-10-23,62.04,63.53,61.73,61.95,3206009
2025-10-24,63.3,63.79,62.7,63.35,2317492
2025-10-27,63.965,64.14,61.55,62.22,3313656
2025-10-28,62.0,62.5,61.0314,61.9,2894138
2025-10-29,61.345,62.55,60.0,61.38,3486046
2025-10-30,60.42,61.156,60.01,60.13,2586372
2025-10-31,60.71,60.82,59.15,60.23,3043143
2025-11-03,59.79,60.06,57.5,59.25,4771411
2025-11-04,58.205,59.9,56.87,59.56,4116076
2025-11-05,59.35,61.49,58.79,59.92,6614747
2025-11-06,47.6,49.1275,42.875,45.06,38903370
2025-11-07,45.705,46.23,40.43,41.52,23711290
2025-11-10,44.245,45.35,43.56,44.56,12644790
2025-11-11,44.765,44.8372,43.17,43.73,8091209
2025-11-12,44.26,46.53,43.51,44.91,11290650
2025-11-13,45.27,45.8674,43.89,44.01,7806152
2025-11-14,43.065,44.11,42.39,42.79,5751562
2025-11-17,42.69,42.69,39.7,40.16,9746356
2025-11-18,40.29,41.98,40.2,40.64,5986188
2025-11-19,40.77,41.645,40.03,41.2,5576245
2025-11-20,42.04,42.59,39.155,39.21,6929440
2025-11-21,39.32,40.09,38.84,38.99,7108677
2025-11-24,38.71,38.8,37.45,37.92,11276970
2025-11-25,37.92,40.655,37.84,40.4,8352103
2025-11-26,40.54,41.86,40.39,40.78,5327177
2025-11-28,41.02,41.12,40.5,40.94,2569460
2025-12-01,40.65,43.275,40.3701,42.62,7966717
2025-12-02,42.92,42.92,40.66,40.83,5837305
2025-12-03,41.0,42.78,40.65,42.0,6279692
2025-12-04,41.96,42.94,41.41,42.66,4891285
2025-12-05,42.7,42.99,41.85,42.06,4306985
2025-12-08,42.08,44.82,41.96,44.3,6445938
2025-12-09,44.5,45.23,43.0,43.21,8261090
2025-12-10,43.23,44.52,43.0327,44.28,4417715
2025-12-11,43.9,44.2,43.28,43.95,3262003
2025-12-12,44.21,44.71,43.24,43.84,3775477
2025-12-15,44.74,45.56,43.58,43.805,5931774
2025-12-16,43.29,43.805,42.7501,43.15,5072022
2025-12-17,41.99,42.1339,40.3332,40.83,8202464
2025-12-18,41.97,42.24,41.04,41.67,5398936
2025-12-19,41.07,42.93,41.0414,42.8,6726096
2025-12-22,42.59,44.725,42.59,44.36,4272591
2025-12-23,44.36,45.45,44.17,44.61,3104910
2025-12-24,44.61,44.91,44.15,44.72,1231237
2025-12-26,44.8,46.18,44.78,45.59,3564279
2025-12-29,45.59,47.0799,45.5,46.44,3964928
2025-12-30,46.505,46.75,46.06,46.14,2540275
2025-12-31,45.995,46.145,45.46,45.74,2898410
2026-01-02,46.43,48.54,45.77,47.75,4314719
2026-01-05,48.37,48.78,47.79,48.09,4016833
2026-01-06,48.88,49.11,47.88,48.69,3316997
2026-01-07,49.68,51.72,48.681,51.34,6040517
2026-01-08,51.31,52.25,50.25,51.28,4969822
2026-01-09,51.57,53.26,50.8155,52.9,7446885
2026-01-12,52.72,54.28,52.23,53.09,4366058
2026-01-13,53.16,53.76,52.14,52.61,2840913
2026-01-14,52.61,54.2,51.9726,53.13,4078151
2026-01-15,53.64,54.24,52.855,53.53,3812975
2026-01-16,53.61,54.8693,53.45,54.39,3211607
2026-01-20,55.0,57.85,54.4,56.69,6682244
2026-01-21,56.52,57.1,54.82,56.44,4490432
2026-01-22,56.9,57.176,54.71,55.24,3009770
2026-01-23,55.37,55.98,55.0,55.94,2862783
2026-01-26,56.14,57.3,54.386,54.54,3970612
2026-01-27,54.74,55.71,54.16,55.51,2836539
2026-01-28,55.74,56.12,53.48,53.91,2889636
2026-01-29,54.305,54.54,52.9,53.37,2915748
2026-01-30,53.18,54.0,52.3,52.48,2753130
2026-02-02,52.08,52.47,50.52,51.32,5145640
2026-02-03,51.925,52.23,49.815,50.36,3786929
2026-02-04,50.05,50.26,47.26,49.3,5454894
2026-02-05,48.875,49.6574,47.59,47.97,2775387
2026-02-06,48.32,50.84,48.04,50.57,4260046
2026-02-09,49.575,49.69,47.51,47.8,5095966
2026-02-10,47.77,48.23,46.21,46.35,3441516
2026-02-11,46.41,46.475,43.81,44.35,5677387
2026-02-12,44.46,45.24,43.55,44.39,4130845
2026-02-13,43.8,45.79,43.7022,44.68,5888307
2026-02-17,44.61,44.69,42.85,43.91,5552020
2026-02-18,43.63,44.56,43.1202,43.43,3786381
2026-02-19,43.07,44.255,42.6284,44.13,4496246
2026-02-20,47.15,48.495,46.71,48.32,8568406
2026-02-23,48.56,50.27,48.54,49.22,4535157
2026-02-24,48.82,51.35,48.82,50.72,4796105
2026-02-25,50.64,50.8945,49.6528,50.61,5638262
2026-02-26,58.67,59.3095,53.0501,54.12,15333950
2026-02-27,55.17,55.4642,52.26,53.61,8742362
2026-03-02,52.27,52.42,49.15,49.25,8567650
2026-03-03,48.535,48.84,47.05,47.11,6643605
2026-03-04,47.38,47.72,45.55,45.57,9122648
2026-03-05,45.0,46.68,43.62,43.69,5441346
2026-03-06,43.11,44.13,41.855,42.92,7822452
2026-03-09,42.345,43.35,40.94,43.31,6460743
2026-03-10,43.475,46.13,43.32,45.03,7847168
2026-03-11,45.1,46.13,44.655,45.72,4997990
2026-03-12,44.9,45.4889,43.195,43.68,4134329
2026-03-13,43.86,44.8,43.7201,44.57,3924039
2026-03-16,45.278,46.28,43.59,43.61,3821515
2026-03-17,42.86,44.34,42.85,43.96,2849549
2026-03-18,43.44,43.8328,41.3,41.5,5527545
2026-03-19,41.0,43.2,40.83,42.96,4985408
2026-03-20,42.67,42.9,41.225,41.51,7611934
2026-03-23,42.5,42.6,39.54,39.65,10297840
2026-03-24,39.075,39.075,35.58,37.045,17534980
2026-03-25,37.255,37.526,35.5501,35.93,8844579
2026-03-26,35.64,36.35,35.2,35.59,5553010
2026-03-27,35.535,35.5838,33.91,33.94,7371939
2026-03-30,34.415,34.71,33.21,33.81,6974235
2026-03-31,34.005,35.8,33.95,35.48,5741787
2026-04-01,35.89,35.89,34.13,34.33,6011843
2026-04-02,33.555,34.1699,33.09,34.08,5181576
2026-04-06,34.5,36.16,34.5,36.13,6857438
2026-04-07,35.55,35.725,34.03,34.48,5207348
2026-04-08,36.425,37.4,35.67,36.02,7399111
2026-04-09,35.55,36.9,35.02,36.38,4382563
2026-04-10,36.16,36.22,34.52,34.86,4423853
2026-04-13,34.23,34.39,33.33,33.66,7511052
2026-04-14,34.0,35.175,34.0,34.51,6423405
2026-04-15,35.13,35.6299,34.44,35.28,5483910
2026-04-16,35.64,36.4588,34.58,34.85,6433459
2026-04-17,35.7,36.225,34.45,35.25,16043780
2026-04-20,34.04,34.45,33.06,33.78,9562955
2026-04-21,33.75,33.94,32.3,32.69,7742620
2026-04-22,32.69,33.555,32.68,33.26,4759835
2026-04-23,33.12,33.975,32.9,33.93,5348146
2026-04-24,34.16,35.165,33.82,34.59,5573117
2026-04-27,34.46,34.465,33.02,33.14,8664400
2026-04-28,32.91,33.25,32.42,32.62,5036077
2026-04-29,32.317,33.145,32.01,32.66,4686580
2026-04-30,32.4,33.67,32.095,33.57,5604327
2026-05-01,33.72,34.27,33.26,33.73,5654811
2026-05-04,33.57,34.49,33.3,33.57,6671796
2026-05-05,33.38,34.055,32.715,33.52,5392075
2026-05-06,33.93,34.55,31.8,32.8,17295510
2026-05-07,33.41,35.75,32.32,34.26,24486320
2026-05-08,34.9,35.6,32.08,32.29,13636550
2026-05-11,31.085,31.19,28.77,30.64,20371250
2026-05-12,30.31,30.31,28.95,29.61,10383640
2026-05-13,29.525,29.84,27.66,27.86,15583160
2026-05-14,27.965,29.7098,27.8,29.01,8807268
2026-05-15,29.01,30.4262,28.935,30.16,9162583
2026-05-18,30.56,30.865,28.59,29.33,16259660
2026-05-19,29.71,30.1399,29.07,29.13,5516105
2026-05-20,29.3,29.53,28.46,28.63,9675874
2026-05-21,28.51,29.76,28.38,29.7,5594647
2026-05-22,29.7,30.34,29.24,30.12,7638719
2026-05-26,30.31,30.48,29.13,29.67,9631322
2026-05-27,30.79,32.95,30.771,31.65,11389610
2026-05-28,31.39,33.44,30.935,33.22,10387630
2026-05-29,33.4,33.49,32.57,33.27,10062330
2026-06-01,32.8,32.9101,30.61,30.88,11303240
2026-06-02,30.97,31.3189,30.1,30.54,8439300
2026-06-03,30.5,30.65,29.46,30.01,7501375
2026-06-04,30.16,30.3,27.47,27.75,18435060
