date,open,high,low,close,volume
2025-09-02,86.59,87.505,86.0,87.43,3436264
2025-09-03,86.75,87.61,84.73,84.77,2138342
2025-09-04,83.8,84.31,81.72,84.18,3726206
2025-09-05,84.0,84.675,83.28,84.48,2333014
2025-09-08,85.19,85.19,83.53,84.5,1839946
2025-09-09,84.97,85.385,84.37,84.66,2293984
2025-09-10,84.53,87.31,84.53,86.9,2313235
2025-09-11,87.23,87.39,85.88,86.13,1778220
2025-09-12,86.21,86.63,85.28,85.63,1403134
2025-09-15,85.84,86.1,85.04,85.35,2287230
2025-09-16,85.97,86.27,84.65,84.96,2600948
2025-09-17,84.81,85.4,84.075,84.19,2269908
2025-09-18,84.52,84.795,83.14,84.1,2793935
2025-09-19,84.33,85.665,83.42,85.09,6496330
2025-09-22,85.03,86.29,84.43,85.64,2498879
2025-09-23,86.17,87.38,85.75,87.14,3112181
2025-09-24,87.66,92.88,87.23,91.65,4843220
2025-09-25,91.74,93.08,88.08,89.71,4369468
2025-09-26,89.84,92.2899,88.94,92.13,2161435
2025-09-29,92.15,92.46,89.32,90.51,2229217
2025-09-30,90.35,90.37,89.33,89.7,2709950
2025-10-01,89.67,90.33,86.34,86.43,2308242
2025-10-02,86.75,90.0,86.72,89.84,2759772
2025-10-03,90.43,91.79,89.69,90.09,1535748
2025-10-06,90.68,92.37,90.52,92.06,3067729
2025-10-07,91.86,92.225,91.01,91.97,1841783
2025-10-08,92.5,92.51,89.98,90.69,1762183
2025-10-09,91.53,91.63,88.55,88.61,1538269
2025-10-10,87.23,88.78,86.5137,87.34,1999150
2025-10-13,87.56,88.53,87.54,88.21,1163273
2025-10-14,88.03,88.415,85.4226,86.73,1669123
2025-10-15,86.99,87.61,85.22,85.44,1578718
2025-10-16,85.99,87.475,82.35,83.02,2873952
2025-10-17,82.47,84.045,82.28,83.51,2160567
2025-10-20,83.78,84.54,83.44,83.93,1659879
2025-10-21,84.5,85.01,83.26,83.29,2617586
2025-10-22,83.5,86.82,83.42,85.93,3078326
2025-10-23,86.86,87.67,85.81,86.93,1985839
2025-10-24,87.16,87.64,86.3,86.47,1458709
2025-10-27,87.27,87.87,85.77,86.39,1617625
2025-10-28,85.79,87.135,85.6,86.1,1467648
2025-10-29,85.69,85.89,83.745,84.15,1648556
2025-10-30,84.03,84.45,82.601,82.81,2144669
2025-10-31,82.56,84.01,82.28,83.29,1861800
2025-11-03,83.22,84.87,82.655,84.41,2851733
2025-11-04,83.88,85.33,83.12,84.55,2694750
2025-11-05,85.05,86.9,84.84,85.05,3655774
2025-11-06,83.17,83.3299,80.1001,81.45,4175877
2025-11-07,81.84,82.08,80.09,82.03,2892023
2025-11-10,82.8,83.685,81.8001,82.85,2580664
2025-11-11,83.16,84.25,82.88,83.68,1743616
2025-11-12,82.96,85.39,82.96,84.75,2617957
2025-11-13,85.09,85.31,84.24,84.33,1644225
2025-11-14,83.68,85.5,83.68,85.04,1978261
2025-11-17,84.54,84.595,80.4,80.69,2595808
2025-11-18,81.0,81.48,80.5,81.13,1989371
2025-11-19,80.4,80.4,76.78,78.72,2908354
2025-11-20,78.86,79.65,77.27,77.79,3949644
2025-11-21,78.3,79.175,77.59,78.54,2270121
2025-11-24,77.8,78.24,76.48,77.66,3571335
2025-11-25,77.86,79.15,77.67,77.68,3314950
