date,open,high,low,close,volume
2025-09-02,8.96,9.06,8.735,8.82,259859
2025-09-03,8.79,8.88,8.615,8.65,149922
2025-09-04,8.67,8.715,8.5,8.69,141986
2025-09-05,8.72,9.025,8.66,9.005,176227
2025-09-08,9.01,9.57,9.0,9.53,610799
2025-09-09,8.83,8.83,8.15,8.45,1620282
2025-09-10,8.37,8.54,8.2102,8.26,356209
2025-09-11,8.345,8.81,8.3312,8.72,444629
2025-09-12,8.73,8.73,8.52,8.52,232714
2025-09-15,8.52,8.5379,8.37,8.46,282541
2025-09-16,8.45,8.45,8.27,8.34,252501
2025-09-17,8.36,8.42,8.1707,8.33,243097
2025-09-18,8.34,8.53,8.31,8.53,355029
2025-09-19,8.58,8.62,8.37,8.39,299270
2025-09-22,8.32,8.75,8.275,8.64,217642
2025-09-23,8.68,8.68,8.42,8.43,145925
2025-09-24,8.46,8.55,8.32,8.43,168909
2025-09-25,8.47,8.49,8.25,8.38,228871
2025-09-26,8.41,8.41,8.25,8.35,161768
2025-09-29,8.38,8.39,8.2,8.21,238485
2025-09-30,8.18,8.43,8.0908,8.4,272620
2025-10-01,8.36,8.36,8.15,8.2,272437
2025-10-02,8.2,8.29,8.13,8.25,207995
2025-10-03,8.63,8.6599,8.4,8.44,306268
2025-10-06,8.46,8.61,8.34,8.56,380858
2025-10-07,8.58,8.63,8.3,8.45,255005
2025-10-08,8.48,8.66,8.355,8.53,289418
2025-10-09,8.56,8.6,8.35,8.39,217890
2025-10-10,8.41,8.59,8.1,8.1,364415
2025-10-13,8.28,8.5,8.04,8.15,298078
2025-10-14,8.06,8.22,8.0,8.21,356843
2025-10-15,8.25,8.28,8.04,8.12,243299
2025-10-16,8.14,8.21,7.95,8.0,273993
2025-10-17,7.84,8.04,7.82,7.95,242711
2025-10-20,7.97,8.09,7.95,8.05,149753
2025-10-21,8.02,8.18,7.96,8.13,235721
2025-10-22,8.15,8.2,8.05,8.18,263736
2025-10-23,8.22,8.31,8.185,8.28,174679
2025-10-24,8.32,8.44,8.29,8.38,287314
2025-10-27,8.49,8.565,8.36,8.47,285398
2025-10-28,8.45,8.59,8.44,8.5,413033
2025-10-29,8.5,8.51,8.385,8.45,278780
2025-10-30,8.36,8.515,8.31,8.37,345161
2025-10-31,8.37,8.425,8.29,8.35,331949
2025-11-03,8.3,8.985,8.3,8.97,457987
2025-11-04,8.78,8.87,8.24,8.44,344245
2025-11-05,8.41,8.599,8.41,8.55,222576
2025-11-06,8.55,8.55,8.34,8.37,322740
2025-11-07,8.29,8.435,8.18,8.43,149752
2025-11-10,8.47,8.67,8.375,8.47,152377
2025-11-11,8.47,8.59,8.41,8.54,125038
2025-11-12,8.48,8.72,8.48,8.59,134397
2025-11-13,8.53,8.67,8.49,8.65,292360
2025-11-14,8.45,8.56,8.395,8.47,238221
2025-11-17,8.44,8.55,8.29,8.35,273913
2025-11-18,8.31,8.47,8.24,8.4,310069
2025-11-19,8.46,8.49,8.01,8.03,252850
2025-11-20,8.13,8.24,7.92,7.98,178767
2025-11-21,7.97,8.11,7.87,8.02,219103
2025-11-24,8.06,8.13,8.01,8.09,160909
2025-11-25,8.13,8.28,8.06,8.26,193187
2025-11-26,8.24,8.34,8.2,8.31,196689
2025-11-28,8.31,8.45,8.275,8.4,126613
2025-12-01,8.29,8.37,8.15,8.15,280360
2025-12-02,8.22,8.455,8.2,8.36,203150
2025-12-03,8.33,8.545,8.3,8.53,248317
2025-12-04,8.55,8.7468,8.46,8.57,258910
2025-12-05,8.75,8.84,8.575,8.65,258411
2025-12-08,8.7,9.03,8.64,8.97,585051
2025-12-09,9.38,9.97,9.07,9.72,766519
2025-12-10,9.71,9.72,9.33,9.7,402889
2025-12-11,9.56,9.94,9.56,9.87,327564
2025-12-12,9.88,9.95,9.78,9.86,178441
2025-12-15,9.85,9.85,9.5,9.51,282645
2025-12-16,9.44,9.6,9.295,9.48,258791
2025-12-17,9.49,9.6,9.37,9.39,263863
2025-12-18,9.42,9.59,9.4102,9.53,172053
2025-12-19,9.52,9.52,9.41,9.46,406737
2025-12-22,9.46,9.86,9.46,9.64,227588
2025-12-23,9.63,9.76,9.495,9.54,162525
2025-12-24,9.51,9.64,9.45,9.54,233594
2025-12-26,9.56,9.6,9.3,9.31,166004
2025-12-29,9.27,9.37,9.1691,9.3,154561
2025-12-30,9.28,9.36,9.27,9.3,197666
2025-12-31,9.31,9.43,9.215,9.4,306039
2026-01-02,9.47,9.47,8.85,8.9,262598
2026-01-05,8.92,9.24,8.92,9.08,272008
2026-01-06,9.11,9.355,9.08,9.35,204328
2026-01-07,9.35,9.56,9.335,9.54,186542
2026-01-08,9.46,9.62,9.43,9.56,207126
