date,open,high,low,close,volume
2025-09-02,103.08,103.275,101.85,102.065,463166
2025-09-03,101.33,102.33,100.79,101.59,472257
2025-09-04,101.51,102.05,100.46,101.945,415202
2025-09-05,102.02,103.54,101.49,102.38,537963
2025-09-08,102.13,103.0,99.39,99.99,619928
2025-09-09,100.06,100.31,97.1,97.69,506234
2025-09-10,97.21,97.865,96.04,96.57,545482
2025-09-11,96.75,98.88,96.4,98.82,446978
2025-09-12,98.77,99.65,96.25,96.32,480174
2025-09-15,96.86,97.55,95.67,95.98,447986
2025-09-16,96.0,97.495,95.43,96.07,523909
2025-09-17,96.1,97.95,95.48,96.1,577688
2025-09-18,96.28,97.38,96.0,96.39,583977
2025-09-19,96.95,97.9428,94.86,95.3,1958818
2025-09-22,95.38,95.93,93.04,95.83,607667
2025-09-23,95.83,97.2146,95.5,96.78,521365
2025-09-24,96.8,98.21,96.5,98.01,830012
2025-09-25,97.87,98.32,95.43,96.23,557562
2025-09-26,96.74,97.46,96.42,96.94,508236
2025-09-29,97.25,98.41,96.4895,98.28,476122
2025-09-30,98.0,98.165,95.845,97.01,639398
2025-10-01,96.36,97.3,95.9,96.61,519116
2025-10-02,96.44,97.025,95.47,96.02,470777
2025-10-03,95.95,97.54,95.75,95.98,463564
2025-10-06,96.14,96.14,92.985,93.38,635976
2025-10-07,93.21,94.76,90.5,91.51,581138
2025-10-08,91.7,93.225,91.35,92.56,621268
2025-10-09,92.53,92.89,90.8395,91.1,344805
2025-10-10,91.1,91.255,88.945,90.02,614562
2025-10-13,90.59,91.045,87.956,88.0,662785
2025-10-14,87.51,89.595,87.13,88.42,763541
2025-10-15,88.605,88.605,86.66,86.85,693705
2025-10-16,86.72,87.67,86.19,86.75,632991
2025-10-17,86.36,90.59,86.1101,90.53,889682
2025-10-20,90.84,95.76,90.715,95.68,1290823
2025-10-21,95.12,97.87,95.12,96.61,1272234
2025-10-22,96.34,98.8,95.95,96.22,1272468
2025-10-23,101.49,108.085,100.495,103.68,1778517
2025-10-24,103.38,103.68,100.49,101.0,973631
2025-10-27,101.44,103.46,100.0625,103.11,810839
2025-10-28,102.44,103.0,99.02,99.6,910359
2025-10-29,99.16,102.055,98.14,100.64,1128511
2025-10-30,99.97,102.04,99.49,100.4,741503
2025-10-31,99.79,100.33,98.47,99.2,743234
2025-11-03,98.95,98.95,96.875,98.61,757458
2025-11-04,98.12,99.72,97.23,99.01,545662
2025-11-05,98.83,99.94,98.49,99.0,553086
2025-11-06,99.36,100.83,95.7749,96.57,574952
2025-11-07,94.93,97.65,92.76,97.43,508312
2025-11-10,97.75,100.58,97.725,99.87,702640
2025-11-11,100.02,101.74,98.945,99.43,406588
2025-11-12,99.84,101.21,99.2858,99.61,356135
2025-11-13,99.06,101.63,98.92,99.82,426534
2025-11-14,99.29,99.665,97.44,99.29,494690
2025-11-17,99.1,101.23,98.046,99.84,686396
2025-11-18,100.42,104.92,99.21,104.56,834353
2025-11-19,104.47,104.71,102.56,102.72,676810
2025-11-20,103.01,104.71,100.9025,104.385,1174641
2025-11-21,104.77,107.72,103.61,106.19,597382
2025-11-24,105.99,106.245,104.47,106.19,552719
2025-11-25,106.48,108.2,106.435,107.69,663908
2025-11-26,107.61,110.6,107.52,108.33,845381
2025-11-28,109.13,109.79,108.03,109.09,403009
2025-12-01,108.89,111.3,108.35,110.83,837370
2025-12-02,110.95,111.71,109.29,110.99,1114630
2025-12-03,111.5,113.0,111.035,111.615,854559
2025-12-04,111.7,113.36,110.74,113.27,825547
2025-12-05,112.9,114.406,112.37,112.49,678746
2025-12-08,112.47,113.83,112.24,113.33,599458
2025-12-09,113.655,114.86,112.66,114.0,527038
2025-12-10,114.29,116.8,113.64,115.17,829499
2025-12-11,115.32,117.53,113.269,115.72,648498
2025-12-12,116.89,118.14,116.15,116.76,999747
2025-12-15,117.04,118.16,115.73,117.59,613933
2025-12-16,117.93,118.35,116.57,116.89,706961
2025-12-17,116.87,117.86,116.5,117.37,612415
2025-12-18,117.17,117.99,116.43,116.57,879208
2025-12-19,116.1,117.0,114.54,114.76,1202171
2025-12-22,114.45,115.84,114.0,114.61,669967
2025-12-23,114.21,114.645,113.32,113.92,587905
2025-12-24,114.05,114.97,113.68,114.02,330317
2025-12-26,114.13,115.25,113.78,114.51,425357
2025-12-29,114.86,115.52,114.25,114.51,467324
2025-12-30,114.5,115.465,114.03,114.64,425407
2025-12-31,114.52,115.37,113.55,113.78,411179
2026-01-02,113.31,113.76,109.52,111.95,682980
2026-01-05,112.02,116.0,111.885,114.44,767056
2026-01-06,114.26,116.035,113.1,113.27,618942
2026-01-07,112.88,113.54,108.39,109.28,1033115
2026-01-08,109.11,113.3,108.85,111.52,1016365
2026-01-09,111.65,112.0,106.59,108.24,874328
2026-01-12,108.11,108.21,105.185,106.07,673291
2026-01-13,105.85,107.04,105.47,105.48,573924
2026-01-14,106.19,110.12,106.115,108.08,738294
2026-01-15,108.08,112.325,106.76,107.49,811204
2026-01-16,107.18,107.18,104.2,106.88,1105218
2026-01-20,106.03,109.305,103.65,103.78,662357
