date,open,high,low,close,volume
2025-09-02,40.73,40.77,39.38,39.44,6424690
2025-09-03,39.68,40.75,39.31,40.75,4766883
2025-09-04,41.15,41.45,40.51,41.16,4904277
2025-09-05,41.9,42.4,41.23,42.33,7039115
2025-09-08,43.35,43.5,41.47,41.62,7238216
2025-09-09,41.5,42.24,41.11,42.1,11458380
2025-09-10,37.11,37.34,34.43,35.11,36659720
2025-09-11,35.91,36.38,35.4101,36.02,14110830
2025-09-12,35.62,36.16,34.64,34.66,13570370
2025-09-15,34.69,37.025,34.6816,36.95,16760530
2025-09-16,37.1,38.28,36.95,38.18,10396780
2025-09-17,38.5,38.69,37.87,38.2,8150332
2025-09-18,38.08,38.945,37.76,38.42,7976955
2025-09-19,38.38,38.622,37.9707,38.49,9114335
2025-09-22,38.49,39.03,37.54,37.56,6478052
2025-09-23,37.77,39.26,37.51,38.26,7679619
2025-09-24,38.12,38.4286,37.2501,37.4,5949609
2025-09-25,37.56,38.38,36.92,37.95,6712123
2025-09-26,38.12,39.74,38.0448,39.66,7198732
2025-09-29,39.66,40.29,39.45,39.94,7902251
2025-09-30,40.15,40.55,39.56,40.45,5794269
2025-10-01,40.45,40.5,38.78,39.54,4948111
2025-10-02,39.42,39.555,38.135,39.25,5936993
2025-10-03,38.8,39.0,37.51,37.53,8022182
2025-10-06,37.58,38.48,37.2,37.59,6572746
2025-10-07,37.68,37.96,36.86,37.63,3687255
2025-10-08,37.76,38.42,37.59,38.25,5767572
2025-10-09,38.27,39.3898,37.98,39.12,4807741
2025-10-10,38.89,39.7,38.36,39.03,12806860
2025-10-13,39.06,39.7,38.35,38.56,5091453
2025-10-14,38.72,38.77,37.77,38.31,5539883
2025-10-15,38.59,38.59,37.56,37.96,6184180
2025-10-16,38.23,38.95,37.785,38.11,5327500
2025-10-17,38.01,38.25,36.64,37.44,4844232
2025-10-20,37.6,37.87,37.24,37.46,4587390
2025-10-21,37.42,37.42,36.48,36.98,5012276
2025-10-22,36.76,36.95,36.12,36.2,4706236
2025-10-23,36.25,36.69,35.95,36.23,4354473
2025-10-24,36.42,36.47,35.02,35.11,6966944
2025-10-27,35.13,35.4,34.53,34.61,6577556
2025-10-28,34.5,34.615,33.94,34.16,6367053
2025-10-29,33.86,34.1,33.4,33.58,5605516
2025-10-30,33.43,34.65,33.02,34.47,10141520
2025-10-31,34.59,34.97,33.61,33.72,7524718
2025-11-03,33.47,33.6,32.4234,32.92,9159265
2025-11-04,32.65,33.96,31.755,33.79,14726220
2025-11-05,33.62,33.63,32.39,33.07,9426936
2025-11-06,33.31,33.635,32.78,32.82,5545160
2025-11-07,32.97,33.97,32.805,33.7,6448382
2025-11-10,33.75,33.95,33.05,33.81,7272230
