date,open,high,low,close,volume
2025-09-02,7.421,8.78,7.22,8.32,62445610
2025-09-03,8.695,8.73,8.0,8.11,44183380
2025-09-04,7.98,8.07,7.33,7.4,28128760
2025-09-05,7.78,7.86,7.0832,7.52,27484540
2025-09-08,7.39,7.84,7.1699,7.72,28362470
2025-09-09,8.172,9.36,7.9,9.22,68754310
2025-09-10,9.555,10.43,9.25,10.25,69412220
2025-09-11,10.15,10.675,9.875,9.97,39869050
2025-09-12,9.935,10.93,9.85,10.85,32737480
2025-09-15,10.87,11.32,10.47,10.85,42604910
2025-09-16,11.07,11.64,10.49,11.51,30631030
2025-09-17,11.3,12.66,11.199,12.38,34005130
2025-09-18,12.64,12.69,11.42,11.85,36659680
2025-09-19,11.76,12.82,11.715,12.28,39415060
2025-09-22,12.51,14.2,12.09,13.96,43838340
2025-09-23,14.34,14.7343,13.45,14.15,54417440
2025-09-24,14.805,15.54,13.87,14.14,46323280
2025-09-25,13.59,13.6,11.41,11.66,155920100
2025-09-26,11.495,12.35,11.01,11.47,94631670
2025-09-29,11.865,12.67,11.405,12.65,61311220
2025-09-30,12.72,12.76,12.14,12.59,47248720
2025-10-01,12.88,13.7,12.41,12.6,61878660
2025-10-02,13.08,14.4401,13.02,13.81,57091260
2025-10-03,14.47,15.78,14.28,14.7,67183500
2025-10-06,15.54,16.12,15.13,15.34,46610700
2025-10-07,15.38,15.93,14.33,15.75,49970620
2025-10-08,15.814,18.09,15.22,17.6,67518840
2025-10-09,17.98,18.1825,16.96,17.99,50785960
2025-10-10,18.78,20.2,16.81,16.97,73426730
2025-10-13,17.85,20.6,17.66,20.34,59302820
2025-10-14,19.89,21.48,18.88,20.89,60582310
2025-10-15,21.51,22.0,19.75,21.03,64445550
2025-10-16,21.11,21.16,18.51,18.72,50099580
2025-10-17,17.51,18.84,16.66,18.76,52918880
2025-10-20,20.0,20.99,19.16,19.91,37770670
2025-10-21,19.37,19.64,17.47,18.075,34788560
2025-10-22,17.09,18.2399,15.04,16.11,63765670
2025-10-23,16.11,17.65,15.98,17.255,34793040
2025-10-24,18.27,20.865,18.18,20.66,47036250
2025-10-27,20.91,21.1099,19.65,20.54,41321290
2025-10-28,20.535,21.9,19.77,19.96,37356480
2025-10-29,20.255,20.55,18.64,19.59,32941070
2025-10-30,18.7,20.05,18.3,19.07,38479370
2025-10-31,20.03,20.27,18.58,18.65,44117830
2025-11-03,22.94,25.11,21.02,22.76,135849900
2025-11-04,21.0,24.48,20.1,22.51,66095110
2025-11-05,22.87,25.52,22.685,24.71,59167010
2025-11-06,24.06,24.4251,21.38,21.71,53559870
2025-11-07,20.825,21.34,19.4914,20.69,45581040
2025-11-10,21.868,22.1201,19.55,19.65,40693060
2025-11-11,19.01,19.28,18.02,18.67,34972400
2025-11-12,18.7,18.9499,16.96,17.38,35266800
2025-11-13,16.645,17.05,14.75,14.93,57680510
2025-11-14,13.94,15.76,13.55,14.36,56948160
2025-11-17,14.079,14.94,13.58,14.35,43610200
2025-11-18,14.175,15.1,13.61,14.58,45069380
2025-11-19,14.9,15.7,14.26,14.62,40607350
2025-11-20,16.8,17.555,14.3,14.56,84186760
2025-11-21,14.2,14.97,13.09,14.15,56373200
2025-11-24,14.975,16.87,14.8201,16.71,44269910
2025-11-25,16.2,17.68,15.92,17.52,37852660
2025-11-26,18.5,19.65,17.585,19.15,57090390
2025-11-28,19.55,21.16,19.46,20.35,34179440
2025-12-01,19.33,20.36,19.0,19.69,35731630
2025-12-02,19.83,20.12,17.61,17.64,36130040
2025-12-03,17.56,18.765,16.96,18.63,31538750
2025-12-04,18.155,20.08,18.02,19.83,30608570
2025-12-05,19.38,19.62,18.51,19.28,25022540
2025-12-08,19.89,20.28,18.95,19.48,28045080
