date,open,high,low,close,volume
2025-09-02,187.8,200.64,183.66,200.63,3182370
2025-09-03,202.245,212.3,199.78,211.87,3827006
2025-09-04,211.2,221.59,210.615,221.34,3861633
2025-09-05,242.84,257.4,234.08,242.68,7696736
2025-09-08,246.52,254.7,244.15,244.33,4783486
2025-09-09,244.12,250.1499,239.02,244.08,3151211
2025-09-10,252.6,254.0,242.16,253.03,3692037
2025-09-11,251.4,252.1283,242.5682,245.74,3175567
2025-09-12,245.45,246.99,237.73,241.77,2140387
2025-09-15,241.12,250.7,238.13,248.99,2747256
2025-09-16,249.0,258.16,248.23,254.39,2520978
2025-09-17,253.03,254.29,239.8001,247.66,3272281
2025-09-18,253.01,256.47,246.14,252.04,2743022
2025-09-19,252.16,255.24,242.7825,252.93,3756412
2025-09-22,252.63,257.0,249.28,254.79,2212585
2025-09-23,256.33,261.83,252.0,257.64,2545589
2025-09-24,255.9,256.075,239.78,240.46,3413406
2025-09-25,227.24,247.58,227.0,244.64,3831348
2025-09-26,245.25,250.0,237.935,243.79,2145285
2025-09-29,246.89,251.445,245.12,245.95,1900274
2025-09-30,247.55,250.3,239.59,246.38,1899099
2025-10-01,241.46,252.3,238.67,251.69,2093421
2025-10-02,257.03,257.58,246.49,250.91,1731397
2025-10-03,245.99,249.0,231.44,233.67,3695861
2025-10-06,240.45,244.58,233.82,235.34,3081738
2025-10-07,237.22,243.09,230.24,237.79,1863830
2025-10-08,238.94,254.99,238.64,254.88,3187216
2025-10-09,254.4,260.585,248.1606,259.78,1490489
2025-10-10,262.05,263.9,243.71,243.72,2815634
2025-10-13,263.76,270.15,250.83,261.06,3289799
2025-10-14,247.9,255.79,238.23,247.75,3236847
2025-10-15,253.19,271.6999,253.19,269.96,2802564
2025-10-16,290.37,296.8504,276.3701,279.86,4806718
2025-10-17,272.46,286.43,271.14,276.46,2367708
2025-10-20,284.01,287.0,268.6736,273.5,2316967
2025-10-21,272.42,274.7,261.48,264.69,1833990
2025-10-22,273.51,279.695,262.0,270.89,3146761
2025-10-23,270.0,284.39,269.93,282.73,1950690
2025-10-24,295.01,300.75,292.0,296.62,2865748
2025-10-27,306.69,314.2899,301.69,301.82,5348170
2025-10-28,346.01,355.5,314.56,326.45,7721738
2025-10-29,340.0,349.9,332.1249,337.77,4002670
2025-10-30,332.41,348.92,329.24,340.13,2788426
2025-10-31,349.01,360.9899,333.25,344.48,2799068
2025-11-03,346.26,350.41,333.64,349.01,1865875
2025-11-04,331.665,348.6789,330.2,335.79,2064711
2025-11-05,335.0,363.4,332.71,352.61,2762849
2025-11-06,353.0,361.769,332.8,340.76,2579955
2025-11-07,329.82,331.0,303.495,322.1,4986181
2025-11-10,340.68,346.2,335.0,344.61,2310940
2025-11-11,340.5,340.5,327.69,331.86,1845617
2025-11-12,336.36,338.58,329.0,334.57,1653298
2025-11-13,327.44,327.44,283.0,292.75,6005198
2025-11-14,277.6,311.235,275.77,310.88,4941831
2025-11-17,306.9,324.8,304.08,309.37,3016891
2025-11-18,304.47,312.87,297.5,299.92,3095225
2025-11-19,301.68,328.4959,301.68,312.48,3295670
2025-11-20,330.5,330.5,278.852,282.28,4564057
2025-11-21,278.23,284.55,263.081,280.06,5335029
2025-11-24,284.3,324.0199,282.68,322.54,5153915
2025-11-25,323.57,331.2,316.5,327.75,3196298
2025-11-26,322.05,336.31,315.0,332.24,2588967
2025-11-28,333.125,344.78,331.0,344.41,1528244
2025-12-01,336.29,337.0,316.725,318.37,3141975
2025-12-02,321.92,335.0,303.23,304.29,3611786
2025-12-03,305.0,314.79,297.35,308.41,2026271
2025-12-04,307.0,326.0,304.0001,322.79,1932482
2025-12-05,324.41,327.95,320.62,325.09,1395690
2025-12-08,335.0,343.0,332.15,340.76,2489400
2025-12-09,337.15,344.75,332.3815,342.03,1355966
2025-12-10,342.0,353.375,333.79,348.66,1749996
2025-12-11,341.53,351.83,327.0,351.41,2890387
2025-12-12,342.285,342.285,304.01,306.5,4856290
2025-12-15,311.0,311.6,299.0,302.98,2553665
2025-12-16,297.57,305.4,286.25,288.87,2893634
2025-12-17,293.29,296.3,266.0,275.83,5056801
2025-12-18,289.59,291.9043,266.06,270.92,3234673
2025-12-19,275.35,293.87,274.45,292.29,3770427
2025-12-22,301.62,306.86,293.6,306.86,1961012
2025-12-23,302.3,309.74,301.7,303.46,1199981
2025-12-24,304.01,312.61,302.15,308.59,649016
2025-12-26,311.61,311.61,302.25,303.56,998932
2025-12-29,296.0,308.53,293.08,303.22,1541086
2025-12-30,303.25,306.94,299.1,299.4,1120511
2025-12-31,299.4,304.01,295.28,295.61,1165287
2026-01-02,298.1,312.7999,297.455,302.4,2083345
2026-01-05,307.34,310.53,286.84,293.24,2729978
2026-01-06,286.74,305.75,272.6835,305.0,3074268
2026-01-07,299.555,311.2,296.56,305.87,1689662
2026-01-08,310.55,312.3,281.2201,288.6,3048034
2026-01-09,293.45,305.34,289.0,302.3,2225781
2026-01-12,299.8,315.69,297.2,314.7,1598919
2026-01-13,317.02,333.78,313.09,328.56,2567414
2026-01-14,325.69,327.0,304.54,310.04,2649174
