date,open,high,low,close,volume
2025-09-02,41.81,42.17,41.47,41.75,20801570
2025-09-03,42.0,42.26,41.645,41.79,11987760
2025-09-04,41.72,41.795,41.035,41.41,18998870
2025-09-05,41.49,41.975,40.73,41.06,22015520
2025-09-08,41.0,41.02,39.23,39.65,35121770
2025-09-09,39.56,39.84,39.25,39.46,17916520
2025-09-10,39.37,39.49,38.5,38.71,24959180
2025-09-11,38.71,39.1,38.3,38.96,25071540
2025-09-12,38.99,38.99,38.34,38.63,22319660
2025-09-15,38.7,39.04,38.415,38.58,19221280
2025-09-16,39.0,39.48,38.9,39.3,23534090
2025-09-17,39.485,40.2472,39.37,39.67,22952970
2025-09-18,39.73,40.33,39.4,39.81,23592530
2025-09-19,40.03,40.035,38.98,39.32,36441940
2025-09-22,39.19,40.22,39.09,40.13,27428030
2025-09-23,40.23,40.38,39.48,39.68,21692560
2025-09-24,39.65,39.71,38.99,39.55,21056160
2025-09-25,39.36,39.5,38.82,39.33,16684150
2025-09-26,39.33,40.09,39.21,40.08,14898250
2025-09-29,40.28,40.38,39.6,39.9,22483130
2025-09-30,39.86,39.9356,38.845,39.19,19388890
2025-10-01,39.21,39.72,38.7647,38.97,16240540
2025-10-02,39.03,40.38,39.0,40.27,20073410
2025-10-03,40.27,41.955,40.17,41.76,30057370
2025-10-06,41.91,42.025,41.18,41.63,17182520
2025-10-07,41.5,41.8887,40.65,40.95,15614950
2025-10-08,41.0,41.105,40.26,40.98,15236370
2025-10-09,41.04,41.66,40.865,40.89,15623120
2025-10-10,41.08,41.4,39.81,39.82,15268980
2025-10-13,40.12,41.06,40.085,40.9,13235780
2025-10-14,40.3,42.605,40.06,42.1,20564470
2025-10-15,42.35,42.815,41.735,41.77,15218840
2025-10-16,41.82,42.175,41.47,41.76,12209620
2025-10-17,41.665,42.3,41.49,41.86,9933391
2025-10-20,41.82,42.335,41.3201,41.63,15121600
2025-10-21,41.59,42.74,41.575,42.36,12065930
2025-10-22,42.24,42.38,41.428,41.61,10182400
2025-10-23,41.645,42.055,41.1,41.8,11440970
2025-10-24,42.18,42.19,41.04,41.19,12195020
2025-10-27,41.4,41.52,40.95,41.06,13615720
2025-10-28,41.0,41.0,40.23,40.26,12383420
2025-10-29,39.99,40.65,39.585,39.76,30048440
2025-10-30,31.27,34.13,31.01,32.53,110050500
2025-10-31,32.51,32.51,31.205,31.69,50225040
2025-11-03,31.65,32.13,31.29,31.51,33594380
2025-11-04,31.44,32.06,31.37,31.74,34627230
2025-11-05,31.69,32.29,31.419,31.97,32380690
2025-11-06,31.56,32.0,30.48,30.56,31448220
2025-11-07,30.385,30.71,30.02,30.59,33734940
2025-11-10,30.9,31.12,30.3201,30.48,30288980
2025-11-11,30.41,30.49,29.75,29.81,36971760
2025-11-12,30.18,31.36,30.0,31.32,31813350
2025-11-13,31.4,31.925,31.19,31.38,22758960
2025-11-14,31.22,31.795,31.01,31.57,18557440
2025-11-17,31.6,31.6,30.25,30.53,21919840
2025-11-18,30.46,31.02,30.2732,30.76,21086130
2025-11-19,30.862,31.25,30.5,31.0,17756030
2025-11-20,30.93,31.785,30.31,30.35,21402580
2025-11-21,30.57,32.0,30.56,31.63,21759040
2025-11-24,31.73,31.926,31.01,31.19,25032640
2025-11-25,31.48,33.41,31.3,33.4,28601190
2025-11-26,33.48,34.24,33.28,34.03,23495640
2025-11-28,34.01,34.8,34.0,34.52,13042400
2025-12-01,34.21,35.135,34.0527,34.24,20127300
2025-12-02,34.37,34.5,33.76,34.14,14710810
2025-12-03,34.165,34.59,33.89,33.93,23058270
