date,open,high,low,close,volume
2025-09-02,96.3,96.74,96.07,96.63,1086422
2025-09-03,96.89,97.3,96.34,96.58,1373332
2025-09-04,96.83,96.89,95.75,96.74,2797085
2025-09-05,96.49,97.89,96.245,96.55,3265021
2025-09-08,96.36,96.45,94.74,95.25,2631307
2025-09-09,95.25,95.49,93.14,93.24,1758309
2025-09-10,93.41,94.22,92.31,92.41,1591300
2025-09-11,92.91,94.0,91.07,93.93,2664703
2025-09-12,94.0,94.26,93.19,93.42,1233356
2025-09-15,93.75,95.35,93.56,95.34,1696662
2025-09-16,95.49,96.1199,94.88,95.64,1348392
2025-09-17,95.64,96.43,94.17,94.66,1206029
2025-09-18,94.76,94.98,93.29,93.51,3173339
2025-09-19,93.52,94.02,92.93,93.32,1691231
2025-09-22,92.9,93.04,92.0,92.01,1889372
2025-09-23,92.32,92.7,91.91,92.23,1286113
2025-09-24,91.94,92.33,91.43,92.15,1370747
2025-09-25,91.63,93.34,91.57,92.4,2061027
2025-09-26,92.68,93.025,91.73,92.88,1060282
2025-09-29,93.15,94.9299,93.11,93.9,1524261
2025-09-30,93.66,94.33,92.93,94.3,1329117
2025-10-01,94.28,94.77,93.8641,94.46,988501
2025-10-02,94.25,94.61,93.82,94.47,1290351
2025-10-03,94.36,96.4,94.355,96.38,1534643
2025-10-06,96.33,96.74,95.64,96.61,1217095
2025-10-07,96.91,96.97,95.6543,96.94,1393212
2025-10-08,96.91,96.91,95.63,96.36,1474355
2025-10-09,96.57,96.79,95.35,95.48,1269535
2025-10-10,96.46,97.29,94.21,94.45,1653316
2025-10-13,95.01,96.295,94.47,96.13,1067106
2025-10-14,94.7,96.09,94.7,95.85,1442265
2025-10-15,96.09,97.294,95.86,97.13,1369097
2025-10-16,97.44,97.55,94.59,94.66,2479243
2025-10-17,94.66,96.36,94.125,95.68,1593085
2025-10-20,96.16,96.22,94.99,95.36,990678
2025-10-21,95.24,96.16,94.91,94.99,1109429
2025-10-22,95.0,97.57,95.0,96.11,1423440
2025-10-23,96.86,96.86,95.635,95.96,1232573
2025-10-24,96.02,96.02,94.77,95.32,939237
2025-10-27,95.72,95.77,94.41,94.77,975932
2025-10-28,95.48,95.48,94.32,94.73,713065
2025-10-29,94.56,94.74,92.71,93.17,1194926
2025-10-30,93.03,94.05,92.71,93.3,1438613
2025-10-31,96.965,99.55,95.56,95.91,3564256
2025-11-03,95.52,95.82,94.1408,95.62,1813852
2025-11-04,95.38,95.82,93.62,95.76,1329174
2025-11-05,95.535,96.51,95.35,96.02,1431438
2025-11-06,96.04,96.18,94.37,94.54,1118065
2025-11-07,94.54,95.05,93.41,95.03,2003213
2025-11-10,95.25,95.36,94.465,94.51,1343315
2025-11-11,94.6,96.035,94.6,95.96,955746
2025-11-12,96.03,98.04,95.86,97.87,1070822
2025-11-13,97.455,98.18,96.555,96.61,925281
2025-11-14,96.38,96.84,95.135,96.15,1056894
2025-11-17,95.74,96.54,94.995,95.48,1076653
2025-11-18,94.5,95.01,93.65,93.96,1723468
2025-11-19,93.96,93.96,92.89,93.56,1254560
2025-11-20,93.79,94.335,92.02,92.02,1524185
2025-11-21,92.74,93.43,92.3048,92.99,1740967
2025-11-24,93.0,93.0,90.74,90.91,1968448
2025-11-25,91.46,92.68,91.41,92.67,1278694
2025-11-26,92.46,94.32,92.46,94.01,1443062
2025-11-28,95.3,96.179,94.87,95.89,635654
2025-12-01,95.735,97.03,95.1401,95.55,1300654
2025-12-02,95.82,96.44,94.6,96.0,1129827
2025-12-03,96.49,99.14,96.44,98.63,1244467
2025-12-04,98.535,99.28,98.065,98.56,1332440
2025-12-05,98.91,99.0,97.91,98.16,944133
2025-12-08,98.5,99.82,98.19,98.25,6232572
2025-12-09,97.69,98.79,97.04,97.71,1562568
2025-12-10,97.635,98.58,96.83,98.3,1876054
2025-12-11,98.74,99.17,97.67,97.96,1463157
2025-12-12,98.11,98.58,97.52,97.89,1513954
2025-12-15,98.1,98.79,97.77,98.35,1502113
2025-12-16,98.48,98.7,96.915,96.92,1372030
2025-12-17,96.89,97.88,96.43,97.37,1375583
2025-12-18,97.735,100.24,97.68,99.58,2004459
2025-12-19,99.56,99.84,98.01,98.2,1085604
2025-12-22,98.68,99.0,97.87,98.2,1204355
2025-12-23,98.5,98.76,97.98,98.75,963715
2025-12-24,98.81,98.9199,98.14,98.69,291127
2025-12-26,98.81,98.9199,98.14,98.69,417402
2025-12-29,98.69,99.785,98.485,99.44,661701
2025-12-30,99.24,100.215,99.01,99.31,884655
2025-12-31,99.29,99.85,98.83,98.85,615694
2026-01-02,98.92,100.66,98.85,100.3,865704
2026-01-05,99.8,100.38,98.44,99.33,1136548
2026-01-06,99.4,100.82,98.82,100.6,1157903
2026-01-07,101.0,101.8499,96.62,96.67,1005684
2026-01-08,96.39,99.49,96.39,99.47,1151448
2026-01-09,99.46,100.1825,98.52,98.95,946960
2026-01-12,98.89,99.645,98.26,98.95,988332
2026-01-13,98.95,99.07,96.9601,97.36,1151616
2026-01-14,97.57,98.14,97.3203,97.65,1508500
2026-01-15,97.75,99.38,97.3,99.23,1092407
2026-01-16,99.0,100.12,98.48,100.11,1704123
2026-01-20,100.26,100.87,97.12,97.19,1779157
2026-01-21,98.08,100.08,97.95,99.38,1144795
2026-01-22,99.56,100.39,99.56,100.02,796061
2026-01-23,100.2,100.8151,99.77,99.85,1064121
2026-01-26,100.01,100.52,99.415,99.89,700754
2026-01-27,100.115,100.96,99.74,100.48,1580837
2026-01-28,100.36,100.66,98.4,98.54,1679104
2026-01-29,99.04,101.11,98.78,101.03,2712428
2026-01-30,101.44,101.72,96.14,96.22,3019461
2026-02-02,95.11,95.79,94.06,95.68,2538291
2026-02-03,95.88,97.22,95.14,96.53,2833023
2026-02-04,97.01,100.13,96.515,99.01,2533888
2026-02-05,98.615,100.48,98.53,100.0,1768972
2026-02-06,100.0,101.45,100.0,101.43,1421414
2026-02-09,101.54,103.48,100.9,103.39,1648351
2026-02-10,103.25,107.33,103.24,106.07,2332816
2026-02-11,106.41,107.09,105.745,106.32,1551683
2026-02-12,106.56,107.76,105.26,107.3,2892698
2026-02-13,107.38,107.77,105.73,107.6,2203770
2026-02-17,107.31,109.9,107.08,108.47,2872236
2026-02-18,108.4,108.48,106.7906,107.88,3395845
2026-02-19,107.22,109.73,106.89,109.43,1718807
2026-02-20,109.44,110.93,109.195,110.46,1705826
2026-02-23,110.63,111.47,109.71,110.09,1588894
2026-02-24,110.0,111.33,109.5374,111.3,1208880
2026-02-25,111.01,111.3,108.79,109.02,1857146
2026-02-26,109.34,110.5,109.09,110.25,1556577
2026-02-27,110.005,112.48,109.895,112.19,1311589
2026-03-02,111.2,113.085,110.61,113.01,1120566
2026-03-03,111.61,112.15,108.87,111.18,1869984
2026-03-04,111.3,111.58,109.89,110.79,1199985
2026-03-05,109.85,110.35,108.14,109.67,1538714
2026-03-06,108.47,108.69,105.67,106.78,1919041
2026-03-09,105.36,108.41,103.84,107.96,6696785
2026-03-10,106.79,107.77,105.98,106.42,1081300
2026-03-11,106.17,106.94,106.03,106.21,1058878
2026-03-12,105.5,106.495,103.23,103.85,1423082
2026-03-13,104.28,105.26,103.46,105.02,1689953
2026-03-16,105.91,107.0,104.93,106.22,1732574
2026-03-17,106.82,106.82,101.86,101.99,3209135
2026-03-18,101.98,102.67,100.105,100.33,2724253
2026-03-19,99.9,100.37,98.41,99.1,1557801
2026-03-20,98.93,100.22,97.98,98.41,2168865
2026-03-23,99.91,101.48,99.56,100.69,1753086
2026-03-24,99.72,102.19,99.215,100.97,1093324
2026-03-25,102.03,102.34,100.575,101.89,2161441
2026-03-26,101.29,102.64,100.74,101.59,892480
2026-03-27,101.22,101.83,100.75,101.43,946107
2026-03-30,101.86,102.75,101.22,101.33,1414447
2026-03-31,102.5,103.005,100.37,102.77,1269984
2026-04-01,103.28,104.29,102.665,103.25,1539054
2026-04-02,102.61,104.71,102.55,104.18,1057526
2026-04-06,103.56,105.4,103.505,105.08,986423
2026-04-07,104.89,106.445,104.695,105.91,1351882
2026-04-08,107.48,109.58,107.16,107.66,1715350
2026-04-09,108.39,110.53,108.39,110.14,2048616
2026-04-10,110.52,111.51,109.48,110.09,1597555
2026-04-13,109.41,111.04,109.41,110.95,993373
2026-04-14,110.7,112.06,110.57,111.96,961108
2026-04-15,111.59,111.77,109.87,109.94,969919
2026-04-16,109.88,110.63,108.73,108.96,1340513
2026-04-17,109.41,111.24,109.41,110.29,1285449
2026-04-20,110.4,111.52,109.86,111.2,935762
2026-04-21,111.44,112.055,110.12,110.17,1199280
2026-04-22,110.22,111.27,109.28,109.41,963014
2026-04-23,110.175,114.09,109.73,114.05,1563738
2026-04-24,114.0,115.15,113.725,114.6,1243365
2026-04-27,114.71,115.8,114.71,114.95,1414520
2026-04-28,115.13,115.56,114.54,114.89,1846837
2026-04-29,113.8,113.8,107.0,108.08,3044968
2026-04-30,108.2,112.6,108.0,112.13,3057422
2026-05-01,112.1,113.31,111.8,111.96,1516645
2026-05-04,110.9,111.7,109.015,109.38,1204245
2026-05-05,109.61,110.55,108.9,109.99,968962
2026-05-06,110.55,113.0,110.52,112.19,872191
2026-05-07,112.88,112.92,110.84,110.84,1121016
2026-05-08,110.85,111.65,110.14,111.64,925356
2026-05-11,111.04,111.78,110.195,110.6,1210980
2026-05-12,110.58,111.92,109.32,111.91,1296524
2026-05-13,111.45,113.79,111.45,111.87,1166047
2026-05-14,112.56,113.49,111.941,112.44,1320918
2026-05-15,111.98,111.98,110.77,111.79,875174
2026-05-18,112.15,113.0,111.73,112.63,496030
2026-05-19,112.25,113.6038,111.74,113.2,774455
2026-05-20,113.22,115.56,113.085,114.8,1423323
2026-05-21,114.09,115.345,113.59,114.17,1094874
2026-05-22,114.35,115.1,113.86,114.24,843896
2026-05-26,115.13,116.75,114.24,116.39,1340296
2026-05-27,116.6,118.76,116.17,118.61,1635519
2026-05-28,117.72,119.25,116.48,118.8,1624020
2026-05-29,118.46,119.868,118.14,118.55,1492865
2026-06-01,118.16,120.01,117.64,119.42,1341843
2026-06-02,119.16,121.7,119.06,121.23,1511949
2026-06-03,120.85,122.48,119.12,119.45,1266253
2026-06-04,120.41,121.46,118.72,119.5,948656
2026-06-05,119.375,120.78,119.14,120.38,1397215
2026-06-08,120.37,121.9,119.95,120.81,5908523
2026-06-09,120.59,121.45,119.28,120.31,2390938
2026-06-10,120.37,120.495,118.93,119.18,1322999
2026-06-11,119.39,119.52,117.515,118.27,1985447
2026-06-12,118.325,119.65,117.88,118.98,1821721
2026-06-15,119.55,119.85,116.77,117.54,1728625
2026-06-16,118.0,118.43,117.04,117.67,1323841
2026-06-17,117.29,117.94,113.37,113.96,1427787
2026-06-18,113.72,115.168,112.5,113.43,1611982
2026-06-22,113.29,115.08,113.16,114.13,1484113
2026-06-23,114.87,115.525,113.88,114.9,2102418
2026-06-24,115.5,117.34,115.21,115.91,1991872
2026-06-25,117.9,120.58,117.9,120.36,2170393
2026-06-26,120.67,120.86,119.62,120.56,1499924
2026-06-29,120.44,121.09,119.3,120.34,1367865
2026-06-30,119.88,120.335,118.965,119.24,1609687
2026-07-01,119.23,121.6,119.145,119.82,872350
2026-07-02,120.7,122.07,119.47,121.56,1225593
2026-07-06,121.09,122.25,120.93,121.66,1067016
2026-07-07,122.04,123.0,121.52,122.78,1739512
2026-07-08,122.95,122.99,121.075,122.68,1005160
2026-07-09,123.0,125.04,122.53,124.34,1345525
2026-07-10,124.9,125.26,123.95,124.4,1332512
2026-07-13,125.53,126.12,124.77,125.31,1641247
2026-07-14,124.37,125.86,124.37,124.79,1231192
2026-07-15,124.65,124.915,123.16,124.0,2354837
2026-07-16,124.72,128.24,124.675,128.22,1439821
2026-07-17,128.91,129.525,127.89,129.03,1572296
