date,open,high,low,close,volume
2025-09-02,37.65,38.155,37.575,37.94,4305168
2025-09-03,37.88,38.015,37.385,37.62,4851936
2025-09-04,37.83,37.88,36.605,37.46,8438179
2025-09-05,37.67,37.84,37.42,37.78,5087096
2025-09-08,37.64,37.735,37.125,37.32,3969488
2025-09-09,37.27,37.835,37.25,37.54,4616429
2025-09-10,37.59,37.86,37.46,37.79,3530751
2025-09-11,37.88,38.27,37.67,38.24,4668135
2025-09-12,38.15,38.625,38.15,38.24,4280853
2025-09-15,38.34,38.555,38.22,38.29,3695780
2025-09-16,38.17,38.49,37.59,37.65,4281171
2025-09-17,37.86,38.275,37.73,38.05,4726464
2025-09-18,37.67,38.345,37.67,38.07,4597373
2025-09-19,38.18,38.29,37.87,38.02,6883430
2025-09-22,38.11,38.395,37.99,38.17,4002862
2025-09-23,38.09,38.8,38.025,38.8,4762489
2025-09-24,39.0,39.115,38.62,39.01,7797966
2025-09-25,39.19,39.2,38.22,38.31,9051926
2025-09-26,38.45,38.9,38.4,38.81,5463425
2025-09-29,38.84,40.5,38.23,39.13,6528139
2025-09-30,39.15,39.43,38.145,38.8,13642790
2025-10-01,38.93,38.93,38.13,38.17,6650293
2025-10-02,38.1,38.48,38.02,38.29,6407109
2025-10-03,38.43,39.12,38.32,38.86,6228031
2025-10-06,38.93,39.51,38.77,39.46,5405527
2025-10-07,39.6,39.675,39.22,39.43,4389473
2025-10-08,39.63,39.73,39.38,39.56,3598930
2025-10-09,39.79,39.8,39.045,39.11,4121012
2025-10-10,39.39,39.65,39.14,39.24,3087906
2025-10-13,39.11,39.515,38.94,39.19,4274964
2025-10-14,39.3,39.66,39.14,39.49,4604751
2025-10-15,39.52,40.105,39.51,39.86,5295956
2025-10-16,39.85,40.17,39.54,39.67,5385214
2025-10-17,39.76,39.89,39.455,39.64,3476582
2025-10-20,39.79,40.26,39.79,40.22,4227530
2025-10-21,40.29,40.29,39.715,40.03,4157344
2025-10-22,40.0,40.185,39.73,40.05,4319961
2025-10-23,40.49,40.49,39.31,39.6,6901683
2025-10-24,39.7,39.89,39.37,39.53,5426833
2025-10-27,39.65,39.74,39.15,39.74,5025013
2025-10-28,39.75,39.9,39.41,39.52,5436638
2025-10-29,39.52,39.635,38.885,38.95,5074517
2025-10-30,39.04,39.39,38.875,38.91,3346261
2025-10-31,38.68,38.7673,38.24,38.24,5805859
2025-11-03,38.12,38.485,37.81,38.42,6962847
