date,open,high,low,close,volume
2025-09-02,31.52,32.015,31.52,32.0,6571473
2025-09-03,31.64,31.81,31.06,31.23,6804105
2025-09-04,31.11,31.45,30.94,31.36,5277368
2025-09-05,31.01,31.11,30.3,30.36,8467033
2025-09-08,30.68,30.87,30.19,30.29,8356686
2025-09-09,30.455,31.08,30.4,30.89,7324489
2025-09-10,31.0,31.41,30.915,31.2,5066766
2025-09-11,30.91,31.405,30.87,31.22,4621984
2025-09-12,31.4,31.59,31.155,31.19,4754414
2025-09-15,31.34,32.18,31.19,32.03,6404690
2025-09-16,32.11,32.99,31.985,32.93,6740334
2025-09-17,32.77,33.24,32.65,32.76,10860280
2025-09-18,32.86,32.86,32.21,32.53,15620010
2025-09-19,32.37,32.38,31.315,31.58,6934507
2025-09-22,31.33,32.645,31.19,32.11,8137596
2025-09-23,32.55,32.93,32.1,32.14,7289470
2025-09-24,32.45,33.04,32.325,32.78,10611930
2025-09-25,32.61,32.885,32.455,32.47,9465405
2025-09-26,32.57,33.0755,32.37,32.69,11172720
2025-09-29,32.535,32.57,32.255,32.31,7134192
2025-09-30,32.02,32.335,31.755,31.96,9003107
2025-10-01,31.87,32.05,31.56,31.76,5135248
2025-10-02,31.75,31.96,31.435,31.44,5247416
2025-10-03,31.71,32.015,31.575,31.83,7027110
2025-10-06,32.09,32.59,31.86,32.45,5476012
2025-10-07,32.45,32.905,32.315,32.76,6878820
2025-10-08,32.92,33.02,32.095,32.63,9887368
2025-10-09,32.83,33.245,32.635,32.71,5627805
2025-10-10,32.42,32.8,31.395,31.4,15837280
2025-10-13,31.76,31.88,31.305,31.6,4034571
2025-10-14,31.16,31.425,30.92,30.93,5755525
2025-10-15,31.25,31.42,30.67,30.86,6929986
2025-10-16,30.94,30.97,30.17,30.21,6762315
2025-10-17,30.18,30.265,29.94,30.13,5834548
2025-10-20,30.12,30.37,29.945,30.1,4898420
2025-10-21,30.13,30.14,29.68,29.91,4169527
2025-10-22,30.05,30.505,29.98,30.35,4564366
2025-10-23,31.18,31.5299,31.02,31.24,6558490
2025-10-24,31.25,31.31,30.985,31.27,3801913
2025-10-27,31.58,31.6,31.355,31.5,3359962
2025-10-28,31.32,31.455,31.06,31.33,3626956
2025-10-29,31.42,32.325,31.38,32.15,8035674
2025-10-30,32.07,32.19,31.66,31.94,4020029
2025-10-31,32.03,32.265,31.755,32.02,3867228
2025-11-03,31.92,32.095,31.64,31.97,4469106
2025-11-04,31.56,31.65,31.04,31.37,5612865
2025-11-05,31.29,32.185,31.25,31.88,5808190
2025-11-06,32.0,32.17,31.295,31.49,7038327
2025-11-07,31.67,31.9092,30.91,31.66,8389767
2025-11-10,31.9,32.005,31.49,31.99,6084081
2025-11-11,32.15,32.65,32.09,32.39,9810029
2025-11-12,32.24,32.5,32.0003,32.44,7636796
2025-11-13,32.61,32.805,32.165,32.55,5284235
2025-11-14,32.64,33.575,32.335,33.57,8418781
2025-11-17,33.44,33.96,33.235,33.33,10878570
2025-11-18,33.11,34.21,33.0,34.05,9135198
2025-11-19,33.37,34.09,33.27,34.0,11352500
2025-11-20,34.16,34.965,33.9101,33.97,13091080
2025-11-21,33.78,33.91,33.1,33.43,9696986
2025-11-24,33.295,33.295,32.68,32.93,7262270
2025-11-25,32.71,33.245,32.42,33.24,5426653
2025-11-26,33.3,33.6,33.15,33.32,6419828
2025-11-28,33.4,33.95,33.26,33.77,2531888
2025-12-01,33.95,34.36,33.855,34.05,6073943
2025-12-02,34.0,34.06,33.36,33.55,5121285
2025-12-03,33.71,34.3,33.67,34.13,4903682
2025-12-04,34.33,35.085,34.33,34.46,5714836
2025-12-05,34.61,35.12,34.52,34.66,4383916
2025-12-08,34.57,35.11,33.97,34.07,4176844
2025-12-09,33.97,34.505,33.59,33.73,5549370
2025-12-10,33.63,33.82,32.98,33.72,4787300
2025-12-11,33.69,33.69,33.07,33.14,22361640
2025-12-12,32.8,33.08,32.5845,32.99,13624200
2025-12-15,32.98,33.02,32.23,32.42,8824465
2025-12-16,32.19,32.29,31.25,31.25,7263891
2025-12-17,31.38,31.89,31.26,31.86,9768236
2025-12-18,31.84,31.97,31.47,31.49,6078589
2025-12-19,31.73,32.15,31.7,31.9,8675880
2025-12-22,32.37,32.58,32.13,32.33,7244371
2025-12-23,32.48,32.925,32.21,32.83,6294302
2025-12-24,32.88,33.22,32.77,32.97,2817039
2025-12-26,32.84,33.1,32.61,32.79,2116587
2025-12-29,33.015,33.435,33.01,33.18,7676210
2025-12-30,33.44,34.06,33.4,33.91,4630094
2025-12-31,34.1,34.13,33.72,33.85,5312520
2026-01-02,33.695,34.455,33.1,34.32,6767222
2026-01-05,32.82,33.01,31.245,32.23,24621930
2026-01-06,31.99,32.37,31.315,31.59,14486040
2026-01-07,31.2,31.46,30.125,30.59,15601750
2026-01-08,30.77,31.8,30.66,31.55,10899830
2026-01-09,31.71,32.14,31.62,32.08,8539046
2026-01-12,32.28,32.39,31.905,32.3,5948062
2026-01-13,32.5,33.25,32.41,33.15,13255600
2026-01-14,33.3,34.945,33.3,34.62,15429950
2026-01-15,33.8,34.3,33.43,34.1,9761355
2026-01-16,34.24,34.545,34.16,34.35,6680489
2026-01-20,34.48,34.88,34.1,34.43,7990878
2026-01-21,35.0,36.1099,34.8,35.97,11637290
2026-01-22,35.73,36.05,35.34,35.49,5964602
2026-01-23,36.21,36.28,35.6932,36.14,5803283
2026-01-26,36.4,36.42,35.635,36.05,5727289
2026-01-27,36.27,36.765,36.1,36.67,6165699
2026-01-28,36.9,37.11,36.41,37.1,9200873
2026-01-29,37.95,38.32,37.36,37.87,12315460
2026-01-30,37.54,37.95,36.32,37.21,9345443
2026-02-02,36.11,36.91,35.7989,36.5,8389567
2026-02-03,36.85,37.58,36.59,37.48,13243250
2026-02-04,37.51,38.73,37.51,38.53,13006610
