date,open,high,low,close,volume
2025-09-02,223.4,223.85,219.24,223.27,3471208
2025-09-03,223.25,223.97,218.59,221.33,3019114
2025-09-04,222.28,226.745,221.46,226.32,2626456
2025-09-05,226.25,227.48,220.13,221.53,3841376
2025-09-08,222.06,222.5,218.59,220.1,3820113
2025-09-09,219.76,222.76,218.16,222.48,3346715
2025-09-10,221.98,224.12,220.775,223.43,2667882
2025-09-11,221.63,226.28,220.64,224.35,2107285
2025-09-12,225.235,225.325,221.855,223.76,2154241
2025-09-15,225.07,230.5,224.82,226.53,2744837
2025-09-16,227.79,227.79,222.32,224.41,3255305
2025-09-17,224.86,229.205,223.495,225.61,2850595
2025-09-18,227.37,230.125,225.34,229.74,2296045
2025-09-19,229.97,229.97,226.48,228.32,4825503
2025-09-22,226.0,227.37,224.4801,225.41,2567072
2025-09-23,225.51,228.72,222.66,223.02,3131870
2025-09-24,224.01,225.64,223.08,224.34,2432010
2025-09-25,223.05,223.69,219.66,222.46,3083627
2025-09-26,223.53,225.43,222.085,224.05,2402707
2025-09-29,226.23,226.23,221.18,223.6,3195831
2025-09-30,223.31,224.11,208.72,212.58,9877055
2025-10-01,213.31,216.87,211.7,213.48,5092577
2025-10-02,211.99,214.76,210.295,213.78,3155590
2025-10-03,212.9,216.5,212.81,214.4,2499750
2025-10-06,215.49,217.21,211.485,213.85,2903852
2025-10-07,214.05,214.95,211.13,213.69,2227468
2025-10-08,214.1,215.76,211.53,211.92,2409825
2025-10-09,212.43,213.72,210.235,210.74,2756869
2025-10-10,211.48,212.4438,202.02,202.49,4641204
2025-10-13,205.25,207.795,204.3,207.61,3036499
2025-10-14,206.12,216.73,206.12,214.2,3998116
2025-10-15,216.55,218.0,213.26,215.1,2774972
2025-10-16,214.475,216.25,200.6,203.15,7841851
2025-10-17,204.375,212.1999,204.375,211.34,4621825
2025-10-20,212.53,215.72,212.03,214.87,3780020
2025-10-21,214.5,218.59,214.11,217.05,5354142
2025-10-22,227.01,228.42,220.08,220.38,7675589
2025-10-23,222.0,222.67,218.6,220.04,4353207
2025-10-24,224.03,227.62,222.845,225.01,3263621
