date,open,high,low,close,volume
2025-09-02,13.99,14.21,13.46,14.0,11076780
2025-09-03,14.04,14.07,13.45,13.58,9229641
2025-09-04,13.52,13.7,13.35,13.62,6942689
2025-09-05,13.865,13.91,13.135,13.62,9312069
2025-09-08,13.6,14.08,13.6,13.93,7181781
2025-09-09,14.61,14.835,14.37,14.53,20720080
2025-09-10,15.27,16.13,15.21,15.99,41048900
2025-09-11,16.025,16.15,15.53,15.55,12421130
2025-09-12,15.65,15.88,15.18,15.86,9761776
2025-09-15,16.27,16.7,16.0,16.32,20119200
2025-09-16,16.295,16.55,16.035,16.18,6321307
2025-09-17,16.2,16.58,15.89,16.27,7873742
2025-09-18,16.3,16.7899,16.22,16.75,12212130
2025-09-19,16.83,17.1,16.535,16.62,13950510
2025-09-22,16.435,17.29,16.025,17.17,12695340
2025-09-23,17.35,17.445,16.72,17.0,10150030
2025-09-24,17.193,17.24,16.68,17.01,5699111
2025-09-25,16.645,17.68,16.4744,16.84,12317820
2025-09-26,16.91,16.99,16.2,16.85,8732744
2025-09-29,17.05,17.415,16.85,17.33,14776890
2025-09-30,17.985,18.45,17.67,17.94,18947080
2025-10-01,18.0,18.16,17.6,17.97,6938870
2025-10-02,17.96,18.17,17.6817,18.1,7009603
2025-10-03,18.02,18.445,17.725,17.82,8105759
2025-10-06,17.995,18.45,17.74,17.91,10116920
2025-10-07,17.96,18.275,16.4125,17.1,17747890
2025-10-08,17.15,17.8,16.855,17.53,20261030
2025-10-09,17.5,18.195,17.19,18.04,30208120
2025-10-10,18.3,19.31,18.0239,18.52,37314720
2025-10-13,19.0,19.4,18.37,19.21,19706160
2025-10-14,19.08,19.2756,18.075,18.94,12659620
2025-10-15,19.44,20.18,19.25,19.94,18581630
2025-10-16,19.9,20.36,19.1,19.67,23007440
2025-10-17,18.66,19.3075,18.27,19.0,19677360
2025-10-20,19.36,19.5,18.63,18.81,11550060
2025-10-21,19.48,19.69,18.44,19.23,24440220
2025-10-22,19.5,19.6,16.975,17.8,23223940
2025-10-23,17.87,18.18,16.91,18.06,15611220
2025-10-24,18.67,19.49,18.3629,19.34,16565880
2025-10-27,19.5,19.94,18.88,19.87,13198670
2025-10-28,20.02,21.02,19.875,20.09,22181410
2025-10-29,20.59,20.955,20.02,20.77,16787090
2025-10-30,20.445,22.12,19.93,20.74,45963230
2025-10-31,21.975,22.3,20.89,21.54,21253130
2025-11-03,22.835,23.63,21.8,22.9,28980510
2025-11-04,21.87,22.785,21.38,21.74,12758000
2025-11-05,22.07,22.49,21.305,21.8,15189050
2025-11-06,21.87,21.87,19.05,20.59,17600460
2025-11-07,19.565,20.535,19.12,20.19,14127860
