date,open,high,low,close,volume
2025-09-02,938.66,944.5126,936.58,938.82,1793947
2025-09-03,939.0,950.09,936.5,949.78,1670458
2025-09-04,953.4,959.5,951.11,955.9,1471872
2025-09-05,958.71,969.55,956.2226,963.48,1928459
2025-09-08,963.73,972.34,958.5863,971.85,1737032
2025-09-09,970.0,979.87,963.11,979.25,1496835
2025-09-10,976.39,981.0,953.96,956.29,2277534
2025-09-11,957.8,965.16,954.28,964.32,1532027
2025-09-12,960.29,969.57,960.0,967.9,1461618
2025-09-15,967.82,969.74,959.706,960.1,2199423
2025-09-16,959.1,959.5768,950.8,952.07,2012649
2025-09-17,953.49,963.98,953.49,963.03,1556773
2025-09-18,957.37,962.5373,950.67,952.36,1860898
2025-09-19,955.0,957.439,943.79,951.16,4606020
2025-09-22,947.375,949.9999,939.61,943.26,2794337
2025-09-23,942.76,944.99,933.5,943.6,3258514
2025-09-24,944.275,953.6599,943.11,945.27,2149803
2025-09-25,952.45,953.0,935.6201,943.31,2991526
2025-09-26,925.55,927.63,905.0501,915.95,4812869
2025-09-29,916.34,917.22,903.29,916.87,4107021
2025-09-30,916.25,930.505,913.37,925.63,3096697
2025-10-01,923.0,924.0,911.17,917.34,2642054
2025-10-02,912.56,918.51,910.01,916.77,2063842
2025-10-03,915.59,918.101,911.2,915.38,2319199
2025-10-06,915.5,915.7799,904.251,910.94,2503975
2025-10-07,908.73,917.64,903.88,914.8,2601836
2025-10-08,912.535,916.3795,910.96,914.8,2376942
2025-10-09,932.31,943.7699,927.2801,942.89,3742871
2025-10-10,944.42,945.45,929.0,930.01,3142539
2025-10-13,929.0,935.98,923.0,935.56,2169648
2025-10-14,940.26,947.42,935.9501,946.51,1925863
2025-10-15,946.0,964.0,945.2601,954.99,2009832
2025-10-16,955.54,957.9,921.16,925.62,2721426
2025-10-17,929.58,938.8194,928.15,936.33,2502164
2025-10-20,936.185,939.8,931.5,936.11,1523704
2025-10-21,936.11,943.37,935.0,937.5,1448215
2025-10-22,940.0,952.9999,932.5,944.68,2372365
2025-10-23,945.47,945.47,934.49,942.05,1974780
2025-10-24,940.0,943.0,930.15,932.14,1639373
2025-10-27,930.21,933.2,925.1201,929.85,1967623
2025-10-28,926.87,930.72,920.2,924.16,2090768
2025-10-29,919.0,919.88,909.3,912.42,2449556
2025-10-30,912.69,923.0,910.37,920.18,2677064
2025-10-31,916.21,920.0,909.68,911.45,2456261
2025-11-03,912.4,929.1899,908.38,928.04,3206606
2025-11-04,933.21,941.17,928.965,940.74,2554542
2025-11-05,940.0,945.28,927.44,935.03,2974784
2025-11-06,924.36,925.0,908.3,923.58,3247658
2025-11-07,929.53,937.0,920.79,922.74,2584010
2025-11-10,919.0,922.0,909.07,915.56,2612726
2025-11-11,916.5,918.89,913.0,913.86,1663441
2025-11-12,915.465,918.1,911.67,914.0,1829740
2025-11-13,916.35,926.75,911.72,925.08,2430607
2025-11-14,927.125,928.89,915.1,922.98,1739059
2025-11-17,922.02,924.9,908.81,912.59,2481947
2025-11-18,912.59,918.91,894.17,895.08,2984688
2025-11-19,895.0,895.0,873.9704,890.6,3462344
2025-11-20,893.5,904.57,891.0,893.29,2648257
2025-11-21,894.515,905.32,892.13,899.01,2870059
2025-11-24,899.0,901.3599,881.32,886.12,3661191
2025-11-25,886.66,895.72,885.13,894.33,2534731
2025-11-26,896.02,912.0,895.62,908.26,1936171
2025-11-28,905.015,914.2,903.0,913.59,1092608
2025-12-01,913.2,918.58,906.21,911.96,2149426
2025-12-02,911.96,923.0,905.0,922.03,2160592
2025-12-03,920.81,926.32,916.02,922.26,1886769
2025-12-04,907.025,907.96,888.08,895.855,3787830
2025-12-05,897.25,905.89,893.0,894.68,2359794
2025-12-08,893.5,894.0,882.9,887.52,2407918
2025-12-09,886.85,889.02,881.51,888.44,1899463
2025-12-10,887.82,889.58,871.09,874.41,3318294
2025-12-11,875.86,886.0,872.5501,884.48,3041582
2025-12-12,883.3,888.6199,867.12,884.47,4808873
2025-12-15,882.11,887.49,851.4,860.56,4771436
2025-12-16,857.435,863.59,844.06,860.39,3843318
2025-12-17,858.5,868.58,858.23,862.65,2363703
2025-12-18,860.295,863.15,852.51,857.59,2467502
2025-12-19,856.57,858.45,849.32,855.62,10097640
2025-12-22,854.0,855.5,847.31,850.0,2373318
2025-12-23,849.1,854.98,846.8,854.79,1903349
2025-12-24,858.6,876.0,858.352,871.86,1822151
2025-12-26,870.64,877.59,869.0,873.35,1324051
2025-12-29,873.29,874.5,865.69,867.84,1792476
2025-12-30,864.0,867.82,861.43,865.65,1680756
2025-12-31,864.58,868.0,861.34,862.34,1489954
2026-01-02,861.14,863.1,852.5,854.5,2373388
2026-01-05,863.95,878.77,860.845,875.74,2805557
2026-01-06,875.95,894.0799,871.3,889.1,2742339
2026-01-07,892.0,893.595,879.62,882.58,2680115
2026-01-08,901.13,931.67,896.0,915.31,5207158
2026-01-09,915.97,929.8499,911.33,924.88,2895418
2026-01-12,920.4,944.825,917.0,943.08,3246406
2026-01-13,938.02,942.9,929.5975,941.93,2222092
2026-01-14,938.33,955.6109,938.29,950.98,2894879
2026-01-15,954.54,958.28,950.0001,956.75,2185919
2026-01-16,962.0,964.98,951.0001,963.61,3862947
2026-01-20,958.38,969.9,954.13,964.26,3209921
2026-01-21,959.6,989.6358,959.6,982.86,4073664
2026-01-22,977.89,984.0,971.5601,976.17,2074413
2026-01-23,971.44,984.85,971.01,983.25,1680580
2026-01-26,986.43,993.0,976.35,977.67,2458693
2026-01-27,977.68,978.0,961.71,970.28,2077931
2026-01-28,969.51,970.1,955.61,960.78,2474811
2026-01-29,957.99,960.3,948.51,952.89,1824966
2026-01-30,948.83,951.12,930.3,940.25,2396325
2026-02-02,944.23,970.32,931.27,968.36,2451253
2026-02-03,964.35,990.6548,964.28,977.92,2960736
2026-02-04,983.31,994.5999,975.19,978.35,2631498
2026-02-05,995.5,1000.95,987.33,989.29,2988847
2026-02-06,988.15,1001.365,983.5001,1001.16,2358563
2026-02-09,1001.32,1009.62,992.68,997.59,1861683
2026-02-10,996.01,997.45,969.0,971.23,1781509
2026-02-11,973.285,989.565,967.1201,978.14,1769375
2026-02-12,978.745,1009.21,978.14,998.86,2970368
2026-02-13,1000.0,1022.88,993.76,1018.48,2661568
2026-02-17,1022.34,1028.44,1010.4801,1012.05,1732204
2026-02-18,1010.0,1016.0,993.5,996.08,1926753
2026-02-19,992.31,1007.86,984.11,987.82,1749967
2026-02-20,983.13,987.37,977.81,985.27,1662183
2026-02-23,981.8,991.305,978.06,986.02,1489290
2026-02-24,986.38,998.88,985.04,998.43,1671134
2026-02-25,997.675,1002.5,991.44,994.76,1554568
2026-02-26,996.915,1005.5199,983.53,986.74,1804376
2026-02-27,990.53,1014.19,989.58,1010.79,3935004
2026-03-02,1010.91,1020.82,1002.49,1002.77,1986902
2026-03-03,1002.54,1015.75,1000.63,1007.77,1947502
2026-03-04,1005.0,1014.0,997.0,1006.74,1806638
2026-03-05,996.5,999.25,978.81,982.57,2774284
2026-03-06,967.005,1002.5,960.46,998.1,2708851
