date,open,high,low,close,volume
2025-09-02,32.025,32.42,31.175,31.46,9540532
2025-09-03,32.745,33.77,32.25,33.73,15284050
2025-09-04,33.74,33.74,32.605,32.66,7058317
2025-09-05,32.76,34.06,32.695,34.03,9020433
2025-09-08,33.97,34.06,33.3384,33.9,7571490
2025-09-09,33.64,33.96,33.475,33.74,4992850
2025-09-10,33.55,33.645,32.74,33.49,5710762
2025-09-11,33.66,34.08,33.375,33.76,6555750
2025-09-12,33.6,33.73,33.11,33.23,4240236
2025-09-15,33.23,33.33,32.69,32.87,4386840
2025-09-16,32.96,33.715,32.82,33.56,4849521
2025-09-17,33.61,34.0,32.86,32.93,5299470
2025-09-18,32.81,33.82,32.74,33.57,4886821
2025-09-19,33.78,33.785,33.36,33.43,14260080
2025-09-22,33.34,33.5,32.925,33.24,5079351
2025-09-23,33.24,33.84,33.16,33.75,4543255
2025-09-24,33.77,34.175,33.4,33.73,4408314
2025-09-25,33.74,33.81,32.19,32.21,4559542
2025-09-26,32.2,32.72,31.97,32.08,5362976
2025-09-29,32.08,32.1,30.75,30.87,6681372
2025-09-30,30.99,31.865,30.95,31.58,7301419
2025-10-01,31.78,32.22,31.42,31.99,5263564
2025-10-02,31.47,31.85,31.25,31.6,5301879
2025-10-03,31.63,32.085,31.57,31.95,5079640
2025-10-06,31.61,31.7486,30.96,31.29,6572779
2025-10-07,31.35,31.465,30.815,31.11,4948610
2025-10-08,31.05,31.05,30.47,30.49,6036677
2025-10-09,30.5,30.6,29.82,29.89,4733870
2025-10-10,29.91,30.52,29.8995,30.39,5602619
2025-10-13,30.28,30.57,29.75,29.8,5409835
2025-10-14,29.83,30.38,29.69,30.34,5615785
2025-10-15,30.09,30.39,29.892,30.15,4554136
2025-10-16,30.15,30.98,30.15,30.71,4792572
2025-10-17,30.9,31.08,30.6101,30.86,4298137
2025-10-20,30.98,31.14,30.76,31.02,3715002
2025-10-21,31.03,31.235,30.89,31.07,3437548
2025-10-22,31.07,31.73,31.01,31.38,6226637
2025-10-23,31.22,31.41,30.855,31.05,5678626
2025-10-24,31.25,31.28,30.79,30.93,3789059
2025-10-27,30.94,31.42,30.9,31.39,5205409
2025-10-28,31.25,31.465,30.85,30.94,4761648
2025-10-29,30.79,30.85,29.93,29.98,5530438
2025-10-30,30.05,30.5563,29.96,30.29,4448617
2025-10-31,30.09,30.34,29.73,30.13,7219321
2025-11-03,29.965,30.05,29.63,29.91,4828787
2025-11-04,29.96,30.3,29.61,29.79,3708724
2025-11-05,29.85,30.28,29.81,30.1,3412537
2025-11-06,30.04,30.59,30.0,30.06,4383623
