date,open,high,low,close,volume
2025-09-02,28.27,28.455,27.94,28.41,7372907
2025-09-03,28.38,28.395,28.1,28.33,5926794
2025-09-04,28.255,28.845,28.18,28.73,7598999
2025-09-05,28.755,28.985,28.445,28.91,8167705
2025-09-08,29.88,31.7863,29.81,31.5,46911550
2025-09-09,31.0,32.38,30.97,32.33,22365900
2025-09-10,32.39,32.89,31.915,32.12,20161590
2025-09-11,32.01,32.785,32.0,32.45,19148790
2025-09-12,32.52,32.81,32.32,32.41,11309530
2025-09-15,32.58,33.555,32.43,33.5,18453800
2025-09-16,33.59,33.71,33.0851,33.31,17158840
2025-09-17,33.41,33.62,33.12,33.53,9100182
2025-09-18,33.675,34.075,33.41,33.42,10379930
2025-09-19,33.5,33.58,32.74,32.86,111561900
2025-09-22,32.97,33.15,32.2501,32.32,9380763
2025-09-23,32.31,32.52,31.995,32.24,7133223
2025-09-24,32.17,32.29,31.87,32.04,6456195
2025-09-25,31.875,31.91,31.33,31.85,6099376
2025-09-26,31.82,32.29,31.56,32.19,6570933
2025-09-29,32.36,32.86,32.19,32.83,11196810
2025-09-30,32.84,32.88,32.16,32.2,11159780
2025-10-01,32.45,32.7,32.12,32.43,9207907
2025-10-02,32.415,32.63,31.215,32.56,9760431
2025-10-03,32.6,32.957,32.15,32.36,5379407
2025-10-06,32.41,32.745,32.31,32.43,5244147
2025-10-07,32.65,32.65,31.955,32.37,4637813
2025-10-08,32.47,32.55,32.09,32.15,3749706
2025-10-09,32.21,32.49,31.805,32.47,5686749
2025-10-10,32.46,32.7,31.22,31.23,6991878
2025-10-13,31.615,31.86,31.47,31.78,5648706
2025-10-14,31.34,31.915,30.985,31.76,5171317
2025-10-15,32.015,32.28,31.495,31.55,7675440
2025-10-16,31.95,32.0866,31.33,31.5,4908831
2025-10-17,31.17,31.61,30.91,31.21,5244501
2025-10-20,31.25,31.89,31.24,31.69,4572602
2025-10-21,31.66,31.6744,31.26,31.43,4072583
2025-10-22,31.52,31.6299,30.91,31.13,6452745
2025-10-23,31.025,31.2,30.83,31.16,6356242
2025-10-24,31.46,31.495,31.095,31.15,5105602
2025-10-27,31.5,31.9773,31.16,31.74,8721208
2025-10-28,31.76,32.2,31.455,31.92,6405639
2025-10-29,31.98,32.35,31.4,32.07,9063073
2025-10-30,31.51,32.12,31.39,31.95,6420301
2025-10-31,32.05,32.31,31.825,31.97,5793813
2025-11-03,32.01,32.315,31.685,31.98,11128420
