date,open,high,low,close,volume
2025-09-02,50.99,53.4,50.83,52.66,1494809
2025-09-03,52.6,55.1476,52.3101,52.98,1640163
2025-09-04,52.82,52.9878,51.655,52.74,2061901
2025-09-05,52.55,54.94,52.1544,54.86,2736468
2025-09-08,55.0,55.59,54.0,54.1,1500102
2025-09-09,54.01,54.32,52.0001,53.69,1850676
2025-09-10,53.67,53.9299,51.6301,51.81,1160064
2025-09-11,51.94,56.0,51.85,55.89,2204908
2025-09-12,56.1,56.49,55.1,56.26,2000727
2025-09-15,57.25,58.6,55.68,57.84,2326536
2025-09-16,57.92,62.08,56.53,61.19,4625329
2025-09-17,61.25,61.7539,57.8,59.07,2768291
2025-09-18,60.72,63.1,60.55,62.94,2792466
2025-09-19,63.18,64.1784,62.27,62.32,5234673
2025-09-22,62.35,64.19,60.5,62.1,2385811
2025-09-23,61.63,63.63,60.31,60.76,2355824
2025-09-24,61.13,63.4982,60.3034,61.05,2165981
2025-09-25,58.98,61.16,58.4,60.32,1781110
2025-09-26,60.35,61.69,58.49,61.67,1957222
2025-09-29,62.15,64.2,61.56,63.77,2116938
2025-09-30,63.815,66.29,62.62,64.81,2576343
2025-10-01,64.75,66.7,64.66,66.16,1956630
2025-10-02,67.26,72.95,66.57,72.82,4280524
2025-10-03,73.88,73.95,67.71,67.74,3679342
2025-10-06,68.01,71.64,67.38,70.19,2477827
2025-10-07,70.305,71.15,68.26,70.62,1543848
2025-10-08,71.19,78.48,70.77,76.78,5868198
2025-10-09,77.8,78.38,73.55,74.92,2676759
2025-10-10,77.33,78.0,70.3,73.07,3840649
2025-10-13,75.12,75.16,67.9022,68.29,3193443
2025-10-14,67.495,71.31,64.8,69.38,2521720
2025-10-15,70.01,73.09,69.8,71.82,2366334
2025-10-16,70.0,71.515,67.82,68.43,2580655
2025-10-17,67.55,69.565,67.0,69.15,2006969
2025-10-20,71.13,74.43,70.8007,73.97,2688416
2025-10-21,73.79,75.06,71.0,72.32,1865205
2025-10-22,70.1,70.735,64.8,66.52,3193011
2025-10-23,66.61,67.49,65.45,67.21,1553012
2025-10-24,68.205,68.71,66.85,67.61,1342612
2025-10-27,67.125,67.73,64.1032,65.72,3004765
2025-10-28,65.66,65.71,63.59,64.17,1855622
2025-10-29,64.3,65.05,61.71,62.56,1771940
2025-10-30,61.81,62.77,60.91,61.1,1545039
2025-10-31,61.19,65.98,60.5332,63.99,3020777
2025-11-03,63.02,64.7362,60.53,61.97,1922535
2025-11-04,59.965,60.64,56.0,56.41,3280643
2025-11-05,56.5,57.23,54.91,56.99,2083556
2025-11-06,56.51,58.75,54.57,56.61,2745943
2025-11-07,53.61,55.22,52.42,55.12,2936609
2025-11-10,58.06,58.48,53.83,54.58,2349631
2025-11-11,54.18,56.15,52.82,55.21,2116003
2025-11-12,55.31,55.6899,52.05,52.19,2760506
2025-11-13,51.7,51.78,50.27,51.11,2919602
2025-11-14,49.58,54.77,49.11,52.53,4266817
2025-11-17,51.36,55.77,51.22,55.32,4451365
2025-11-18,54.55,54.9945,52.07,53.47,2436838
2025-11-19,53.83,53.83,50.56,50.73,1736906
2025-11-20,51.61,53.2,48.24,49.29,2370436
2025-11-21,48.48,51.45,48.02,50.23,2753748
2025-11-24,50.4,51.51,49.3141,51.25,2488792
2025-11-25,50.89,53.8899,49.96,53.57,2359109
2025-11-26,53.63,53.78,52.3,53.3,2084305
2025-11-28,52.84,54.0,51.5,53.47,1406810
2025-12-01,52.3,53.46,51.0,52.17,2287576
2025-12-02,52.43,53.03,51.2,51.58,1416528
2025-12-03,51.49,56.01,51.1601,55.99,1948883
2025-12-04,55.99,59.77,54.93,58.18,3111106
2025-12-05,58.175,58.76,56.01,56.88,1660255
2025-12-08,58.12,58.76,56.6788,57.36,1309474
2025-12-09,57.0,58.0,55.65,57.04,2169160
2025-12-10,56.34,58.47,54.4101,57.59,1570928
2025-12-11,56.85,59.245,56.61,58.09,1348891
2025-12-12,57.95,58.5,55.52,56.68,1402459
2025-12-15,57.12,58.35,55.65,56.25,1565200
2025-12-16,55.68,57.5839,55.29,55.97,1144669
2025-12-17,55.74,58.0,54.6,54.74,1175613
2025-12-18,54.9,57.03,54.7701,54.84,1335412
2025-12-19,55.35,56.68,55.0,55.86,3283623
2025-12-22,56.02,59.18,54.5,57.91,2103057
2025-12-23,57.1,57.24,55.81,56.46,1343291
2025-12-24,56.45,56.8256,55.21,56.71,652969
2025-12-26,56.48,56.54,53.76,55.08,1410636
2025-12-29,54.585,55.4075,53.8,53.97,1279779
2025-12-30,54.06,54.12,52.98,53.19,1363787
2025-12-31,53.13,53.46,52.35,52.44,1383494
2026-01-02,52.72,54.269,52.1,53.77,1373189
2026-01-05,53.82,55.5204,53.7301,55.15,1936990
2026-01-06,55.13,60.73,54.9,58.19,2863487
2026-01-07,58.72,59.89,57.3,57.99,1900352
2026-01-08,57.745,57.745,56.0301,56.4,1511734
2026-01-09,56.96,57.37,53.68,53.84,2100794
2026-01-12,54.0,55.7,53.3701,55.3,1951241
2026-01-13,55.69,56.64,54.12,56.18,1540970
2026-01-14,55.985,57.99,55.3,56.89,1770546
2026-01-15,56.92,57.31,54.04,54.21,1507105
2026-01-16,54.15,54.752,53.1,53.51,1409225
2026-01-20,52.02,53.46,51.0,52.61,1808760
2026-01-21,52.14,54.805,51.8,54.73,1570918
2026-01-22,54.53,60.86,54.22,60.81,3428010
2026-01-23,60.7,60.7,55.0516,55.52,2393076
2026-01-26,54.77,55.71,53.7201,54.65,1352002
2026-01-27,55.5,56.69,53.57,54.26,1357181
2026-01-28,54.3,54.63,53.07,53.69,1218538
2026-01-29,53.03,54.085,52.6724,53.35,1567943
2026-01-30,52.12,53.84,49.73,49.96,2243455
2026-02-02,49.5,51.92,49.1,51.31,1714783
2026-02-03,51.23,53.0,50.6111,52.0,1386440
2026-02-04,51.89,52.3699,48.82,50.17,1856918
2026-02-05,48.855,49.6321,45.53,45.88,2627305
2026-02-06,47.22,48.99,46.27,48.74,1669534
2026-02-09,48.52,49.83,47.37,49.7,1409264
2026-02-10,49.36,50.63,48.69,48.83,1312936
2026-02-11,49.3,49.3,46.48,48.32,1337321
2026-02-12,48.659,49.0,47.39,48.93,1532605
2026-02-13,49.74,54.096,49.62,53.07,2465665
2026-02-17,53.0,54.44,51.92,53.17,1688059
2026-02-18,52.88,54.035,52.5859,53.52,1233156
2026-02-19,52.01,54.7,52.0,54.64,984185
2026-02-20,54.035,55.05,52.92,53.46,1297665
2026-02-23,52.21,54.83,52.02,53.98,1280714
2026-02-24,54.04,57.3,54.01,56.77,1690103
2026-02-25,57.57,58.5,55.14,55.2,1223077
2026-02-26,54.87,61.76,53.75,61.74,3663336
2026-02-27,59.5,61.49,58.5,60.14,1690620
2026-03-02,58.04,60.9999,57.25,60.77,1332751
2026-03-03,58.01,59.37,56.41,58.06,1470493
2026-03-04,58.82,60.6,57.75,60.0,1173963
2026-03-05,58.63,59.8208,56.55,57.33,1542507
2026-03-06,55.108,57.0427,54.8,56.5,1167922
2026-03-09,55.59,59.06,55.0,58.78,1261684
2026-03-10,53.94,55.395,50.665,52.8,9434588
2026-03-11,52.12,52.12,49.845,49.93,6326420
2026-03-12,49.35,49.5,48.2,48.87,3289995
2026-03-13,49.7,50.0699,47.5323,48.75,1972820
2026-03-16,49.5,50.09,47.72,48.42,2258134
2026-03-17,48.9,50.19,48.54,50.09,1874072
2026-03-18,49.29,49.5,47.55,47.69,1476142
2026-03-19,46.9,48.2,46.32,46.95,2235904
2026-03-20,46.49,47.6599,45.88,46.24,2561311
2026-03-23,46.66,47.92,46.4,46.88,1443348
2026-03-24,46.18,46.96,45.12,46.43,1185746
2026-03-25,47.25,48.305,47.05,47.09,1081181
2026-03-26,46.43,48.8,46.4,47.55,1263112
2026-03-27,47.235,47.83,45.35,45.75,1594437
2026-03-30,45.89,45.96,44.12,44.34,1617614
2026-03-31,44.99,47.6,44.914,47.57,2167721
2026-04-01,47.89,49.95,47.89,48.81,1310055
2026-04-02,47.1,49.95,47.1,49.51,1727877
2026-04-06,49.7,50.77,49.055,49.15,1145482
2026-04-07,49.12,49.76,47.87,49.7,1319473
2026-04-08,52.0,52.61,50.1923,51.76,1723539
2026-04-09,51.27,52.27,51.1,51.72,1100109
2026-04-10,51.75,52.2196,49.5,51.22,871733
2026-04-13,51.09,55.09,51.05,54.83,1843791
2026-04-14,55.55,57.77,55.35,56.86,2103920
2026-04-15,57.15,59.39,55.76,56.76,1982306
2026-04-16,56.84,57.24,54.57,55.72,1713551
