date,open,high,low,close,volume
2025-09-02,104.2773,104.505,101.9238,103.375,15051024
2025-09-03,103.2463,103.62,101.07,103.3,12145996
2025-09-04,103.3,103.8725,100.665,103.115,11053604
2025-09-05,103.5175,104.5279,101.765,104.4075,8677312
2025-09-08,104.75,107.2113,104.105,107.015,10183300
2025-09-09,107.0425,107.7518,105.1575,105.8775,8507252
2025-09-10,106.8913,108.4517,105.5425,106.2175,9115332
2025-09-11,107.0625,109.565,106.775,108.345,9647776
2025-09-12,108.8475,110.75,108.75,109.025,11058820
2025-09-15,110.3938,112.2175,109.1875,111.1925,11517432
2025-09-16,111.2,112.08,108.7,111.245,11632172
2025-09-17,111.25,113.5,108.585,111.375,15491280
2025-09-18,117.2313,126.055,115.53,125.6575,40481800
2025-09-19,124.75,126.799,123.9525,125.6375,28371284
2025-09-22,124.0,125.075,121.5825,123.285,15501468
2025-09-23,123.285,123.765,120.275,121.025,10938188
2025-09-24,120.5975,121.74,118.62,119.0825,8872960
2025-09-25,119.225,120.3875,117.25,118.2725,10859080
2025-09-26,118.025,120.925,117.5725,120.355,9438900
2025-09-29,121.605,122.625,120.6625,122.1125,8791540
2025-09-30,121.605,122.7202,119.8135,122.595,9152656
2025-10-01,121.9375,125.2092,121.34,124.99,10049508
2025-10-02,125.3063,125.5675,123.0863,124.2,10355272
2025-10-03,124.96,125.4675,121.575,122.47,7933860
2025-10-06,123.8775,125.875,123.595,123.9875,7797488
2025-10-07,124.25,124.4639,119.13,121.155,11430156
2025-10-08,122.9425,127.5,122.5825,127.4875,14470188
2025-10-09,127.4875,127.865,125.475,127.2825,8815164
2025-10-10,127.25,129.3525,123.3217,123.415,12570448
2025-10-13,125.2875,127.795,124.375,127.1525,9362272
2025-10-14,125.0238,125.135,121.8975,122.235,11074044
2025-10-15,123.5,123.875,121.195,122.255,6923276
2025-10-16,122.4325,124.5775,118.847,120.5575,8696012
2025-10-17,119.5038,121.5,118.855,121.1625,7707280
2025-10-20,121.6325,126.1113,121.6125,125.9025,11280336
2025-10-21,125.31,126.9,124.5875,125.9875,5763536
2025-10-22,125.67,126.34,122.9175,125.0275,6728108
2025-10-23,124.995,130.6075,124.995,130.495,12589148
2025-10-24,132.2,133.88,130.4675,131.83,10201812
2025-10-27,133.135,133.585,131.31,132.425,7728620
2025-10-28,134.2025,138.41,133.995,136.735,13469708
2025-10-29,135.25,137.25,133.325,136.375,7122592
2025-10-30,135.7775,137.495,133.5263,134.67,7819492
2025-10-31,135.6025,137.375,134.325,135.7525,7493924
2025-11-03,137.33,138.9525,136.275,137.98,7641972
2025-11-04,134.9475,137.37,132.775,133.48,10020240
2025-11-05,132.97,133.7975,131.5,133.535,6584648
2025-11-06,131.67,135.0,129.275,133.13,12399616
2025-11-07,131.665,135.565,129.775,134.9525,9708556
2025-11-10,136.955,139.745,136.0625,139.3825,8658192
2025-11-11,138.805,139.625,137.8025,139.1825,5423056
2025-11-12,140.275,141.725,136.25,136.465,7965900
2025-11-13,135.2475,135.9625,131.535,132.445,9624076
2025-11-14,130.6175,136.01,127.2625,134.3875,7769188
2025-11-17,134.25,135.1675,131.645,132.445,5581088
2025-11-18,131.205,132.8325,128.25,128.4175,10291868
2025-11-19,128.3425,131.495,127.3228,130.1475,6087700
2025-11-20,133.14,134.83,125.0325,125.3275,9932208
2025-11-21,124.4775,125.25,119.3875,122.6675,12254836
2025-11-24,124.54,127.2975,123.5075,126.705,10596720
2025-11-25,125.925,128.4275,123.2525,128.085,6608904
2025-11-26,128.25,128.75,124.25,125.385,8855292
2025-11-28,126.3425,127.6725,125.485,127.29,4075632
2025-12-01,125.8037,126.685,123.7525,126.0325,8234360
2025-12-02,128.3675,130.25,126.75,129.1375,20221052
2025-12-03,124.4975,131.25,121.575,131.0425,22315020
2025-12-04,130.9775,131.3175,127.565,128.28,9909020
2025-12-05,129.035,131.7225,127.08,128.0075,10517792
2025-12-08,128.25,130.075,127.225,128.7975,6642160
2025-12-09,128.0575,132.4741,127.9324,129.495,8143344
2025-12-10,129.0,130.4025,126.135,129.885,9437012
2025-12-11,129.1675,132.0475,128.1275,129.4125,8005824
2025-12-12,129.1025,129.3589,124.69,126.195,10710684
