date,open,high,low,close,volume
2025-09-02,207.54,208.7,205.08,205.51,2451638
2025-09-03,204.59,205.71,203.5001,205.61,2298853
2025-09-04,206.08,207.07,205.15,206.84,1369548
2025-09-05,207.06,207.68,203.25,204.5,1413775
2025-09-08,204.36,204.59,201.19,202.78,2668536
2025-09-09,201.76,202.74,200.05,202.07,1889768
2025-09-10,201.18,203.36,199.96,201.4,2003683
2025-09-11,201.4,205.07,201.12,204.5,1977856
2025-09-12,204.42,205.23,201.8,202.37,1371359
2025-09-15,202.37,202.985,199.43,199.71,1698123
2025-09-16,198.95,200.18,198.01,199.29,1983856
2025-09-17,199.76,202.9,199.57,199.98,2054147
2025-09-18,199.925,201.105,199.4,199.51,1914838
2025-09-19,200.34,200.67,198.85,200.13,4117926
2025-09-22,199.91,203.32,199.56,202.59,2784871
2025-09-23,201.56,202.48,199.49,200.59,2992251
2025-09-24,197.0349,202.2999,192.5,200.04,3362544
2025-09-25,200.12,203.59,199.295,202.05,2066221
2025-09-26,202.75,204.73,201.535,204.24,1792368
2025-09-29,205.7,205.7,203.04,203.91,1809365
2025-09-30,202.6,205.925,201.75,205.26,1822738
2025-10-01,204.07,204.74,202.5,203.64,1288527
2025-10-02,201.99,203.47,201.44,202.91,1713322
2025-10-03,202.88,203.562,201.78,202.61,1566859
2025-10-06,202.45,202.71,198.36,199.04,1565154
2025-10-07,199.04,199.695,197.01,199.17,1826478
2025-10-08,199.39,199.39,197.55,198.81,1507728
2025-10-09,198.4,198.86,191.37,191.75,2600735
2025-10-10,191.21,192.06,187.29,187.96,3428216
2025-10-13,187.47,189.44,186.945,187.94,2094800
2025-10-14,186.97,189.475,185.52,188.23,2702481
2025-10-15,188.33,189.57,186.975,187.45,1506775
2025-10-16,187.98,187.98,183.95,184.36,1593886
2025-10-17,184.93,189.4,184.875,188.1,2511652
2025-10-20,188.26,193.81,188.1863,192.33,3569281
2025-10-21,192.29,197.62,191.59,196.49,3360187
2025-10-22,196.56,197.0,193.3,193.54,1322597
2025-10-23,194.0,195.73,192.185,192.34,1842323
2025-10-24,192.76,192.95,190.57,190.83,1309149
2025-10-27,190.61,191.25,188.22,188.68,2021944
2025-10-28,188.11,190.61,187.1575,189.89,1812753
2025-10-29,186.85,187.595,182.645,183.9,2327511
2025-10-30,184.21,186.86,183.4,183.98,1975740
2025-10-31,183.98,184.8,182.7,183.27,2362687
2025-11-03,183.0,183.225,180.39,182.04,2437235
2025-11-04,184.13,184.36,181.13,184.11,1771202
2025-11-05,182.72,186.44,182.72,185.81,2179939
2025-11-06,185.69,186.815,184.07,184.89,2945779
2025-11-07,186.1,186.76,184.19,185.07,2526782
2025-11-10,183.56,185.55,182.44,185.25,2700924
2025-11-11,185.64,187.235,184.84,185.76,1642626
2025-11-12,185.58,186.52,184.73,185.28,1865312
2025-11-13,185.28,189.685,184.78,187.91,2323846
2025-11-14,188.22,189.04,186.09,186.72,3416974
2025-11-17,186.02,186.87,183.31,183.76,2429937
2025-11-18,184.39,185.83,182.85,183.91,1840068
2025-11-19,183.52,184.4,180.885,183.47,2532581
2025-11-20,184.46,184.515,182.0,183.2,4148417
2025-11-21,183.62,186.95,183.51,185.8,1997181
2025-11-24,184.2,184.695,181.4,182.16,4125628
2025-11-25,182.14,184.44,181.79,183.67,2282800
2025-11-26,183.12,185.68,182.85,184.6,1779887
2025-11-28,184.86,186.36,184.306,186.02,738749
2025-12-01,185.125,187.045,184.87,185.43,1598572
2025-12-02,185.24,185.775,183.64,184.19,1588364
2025-12-03,184.19,185.21,183.35,184.71,1515304
2025-12-04,185.45,186.5483,183.28,184.03,1226978
2025-12-05,184.12,186.98,183.8002,186.75,1709170
2025-12-08,186.14,186.14,182.82,182.98,1792182
2025-12-09,183.17,184.3,182.75,183.15,1268971
2025-12-10,183.15,186.1,182.69,185.54,1490318
2025-12-11,185.73,189.12,185.62,188.83,1451710
2025-12-12,188.91,189.29,186.31,187.53,2842367
2025-12-15,189.48,190.82,187.53,188.45,3705255
2025-12-16,189.16,189.32,186.67,187.62,2215807
2025-12-17,186.98,189.56,186.77,187.37,2531891
2025-12-18,192.075,196.045,186.52,189.89,3081195
2025-12-19,189.6,189.6,186.86,187.57,7257446
2025-12-22,186.61,193.31,186.3772,191.99,1773650
2025-12-23,191.99,192.79,189.86,190.66,1380481
2025-12-24,190.19,191.54,190.19,191.18,598723
2025-12-26,190.75,191.86,190.295,191.14,604654
2025-12-29,191.57,192.22,190.2,191.04,960996
2025-12-30,190.25,191.3199,189.68,190.35,792033
2025-12-31,190.26,190.62,188.035,188.07,969685
2026-01-02,187.58,187.59,184.46,184.88,1372304
2026-01-05,184.15,187.2475,183.1389,185.46,1394046
2026-01-06,184.86,188.16,184.255,187.38,1484834
2026-01-07,187.86,189.19,186.1401,186.7,1760785
2026-01-08,185.88,190.32,185.715,190.26,1642569
2026-01-09,189.655,194.47,189.655,193.12,1814500
2026-01-12,192.505,194.73,192.17,193.03,1601293
2026-01-13,193.345,194.27,190.04,192.72,1649152
2026-01-14,194.54,195.665,192.02,194.23,1745483
2026-01-15,195.41,197.22,194.1,195.58,1830551
2026-01-16,196.13,196.13,193.68,195.42,2712074
2026-01-20,193.54,194.78,192.6513,193.74,2582401
2026-01-21,193.7,197.47,192.89,195.41,2125156
2026-01-22,195.78,196.47,192.45,193.07,1810952
2026-01-23,193.07,195.05,192.44,192.96,1404174
2026-01-26,192.74,194.8167,192.53,193.89,1581571
