date,open,high,low,close,volume
2025-09-02,167.68,171.12,167.0,170.26,3265635
2025-09-03,169.86,173.84,169.41,172.17,3183045
2025-09-04,173.83,177.5,173.07,176.69,3386862
2025-09-05,180.445,183.62,179.61,181.8,3750416
2025-09-08,180.75,184.545,180.03,184.04,3665765
2025-09-09,182.02,183.0799,176.21,177.88,3839513
2025-09-10,178.78,178.925,174.3,176.13,3758680
2025-09-11,176.99,181.47,176.99,181.01,2216675
2025-09-12,178.61,180.64,177.3,177.87,2369735
2025-09-15,177.0,177.05,170.1601,172.09,5746718
2025-09-16,172.55,172.8242,168.02,171.69,3133486
2025-09-17,172.58,177.58,168.56,169.98,3540025
2025-09-18,169.6,170.65,167.0,169.61,2950648
2025-09-19,167.0,170.02,164.76,168.3,8261126
2025-09-22,167.15,167.15,162.82,164.23,4036406
2025-09-23,165.05,166.35,162.85,166.27,3420365
2025-09-24,165.31,168.83,164.49,167.45,2978702
2025-09-25,165.29,168.9368,164.0,165.0,2440472
2025-09-26,165.86,168.38,165.0,167.2,2174333
2025-09-29,168.335,170.566,166.56,169.83,1913037
2025-09-30,168.925,170.12,166.805,169.47,1794267
2025-10-01,169.89,172.53,169.78,172.44,2160142
2025-10-02,171.5,172.265,169.195,171.47,1926108
2025-10-03,172.03,176.22,171.68,174.95,2096269
2025-10-06,175.8,176.045,170.87,171.53,1981304
2025-10-07,167.03,167.29,160.75,161.16,6069214
2025-10-08,161.0,161.0,155.74,158.66,5034738
2025-10-09,157.88,157.88,150.88,151.39,6579029
2025-10-10,152.3,153.29,149.69,151.58,3631161
2025-10-13,151.48,153.38,150.795,152.59,3022433
2025-10-14,152.06,158.56,151.815,156.74,3244825
2025-10-15,156.06,158.5,154.97,155.24,2541752
2025-10-16,155.95,156.0,151.5,152.92,3474622
2025-10-17,152.9,154.195,151.38,153.69,3675749
2025-10-20,154.57,155.325,153.3,153.76,3086613
2025-10-21,150.5,159.53,149.48,158.63,4191302
2025-10-22,158.0,161.345,157.12,158.21,3155148
2025-10-23,157.79,159.71,156.5,158.55,1876181
2025-10-24,160.76,161.579,157.93,157.95,2234604
2025-10-27,158.25,161.05,157.94,158.86,2904779
2025-10-28,148.0,157.99,147.0,153.75,4768707
2025-10-29,151.06,154.06,147.32,148.29,5517308
2025-10-30,148.0,151.23,147.02,149.29,2569227
2025-10-31,147.78,150.35,147.0,149.08,2991890
2025-11-03,148.59,148.62,144.215,145.06,4226172
2025-11-04,144.93,146.97,144.01,145.59,2197835
2025-11-05,145.17,146.65,143.83,145.27,2181150
2025-11-06,145.96,145.96,144.39,145.22,2163428
2025-11-07,144.24,145.74,142.2975,144.77,2942287
2025-11-10,144.18,145.18,142.34,144.57,2745188
2025-11-11,145.76,147.455,144.97,146.99,2004899
2025-11-12,146.5,148.22,145.671,146.03,2081955
2025-11-13,143.95,146.115,143.1243,143.4,2561025
2025-11-14,143.92,146.23,142.06,142.43,2584756
2025-11-17,141.69,141.7999,137.51,137.76,2992089
2025-11-18,136.39,139.63,134.74,138.45,2707250
2025-11-19,139.09,139.15,136.39,137.53,2694974
2025-11-20,137.84,139.62,136.725,137.32,2336126
2025-11-21,138.7,148.14,138.545,146.71,5410324
2025-11-24,146.02,147.06,143.25,146.08,4556764
2025-11-25,147.74,155.18,147.0,154.53,4592217
2025-11-26,153.93,157.4694,153.69,156.76,2571337
2025-11-28,156.48,159.08,156.375,159.01,2130162
2025-12-01,156.59,159.78,156.23,157.37,2576861
2025-12-02,158.25,159.84,156.11,158.46,3027282
2025-12-03,159.0,165.17,159.0,165.0,4044086
2025-12-04,164.5,165.97,159.9,160.73,3442049
2025-12-05,161.09,162.1,158.52,158.62,2167409
2025-12-08,157.86,158.0,152.06,152.43,3229245
2025-12-09,150.56,152.0,148.77,149.35,3916007
2025-12-10,150.37,155.545,150.21,155.27,3776042
2025-12-11,156.3,158.0,154.8,155.2,1669629
2025-12-12,156.1,157.21,154.69,156.45,2477296
2025-12-15,157.29,158.2,154.98,156.47,2401323
2025-12-16,156.88,156.88,153.446,155.12,2871446
2025-12-17,152.0,153.26,150.145,152.0,4082351
2025-12-18,156.23,156.35,151.205,151.4,3849843
2025-12-19,149.48,149.88,146.09,147.18,6879641
2025-12-22,146.43,147.34,144.73,145.38,2486470
2025-12-23,145.67,145.94,143.29,144.47,2968144
2025-12-24,144.47,147.2,143.73,146.63,996970
2025-12-26,146.32,146.74,145.055,146.32,1143972
2025-12-29,146.05,146.55,144.76,145.96,1447507
2025-12-30,145.43,145.9,144.46,145.53,1302252
2025-12-31,144.75,145.4,143.98,144.03,1403166
2026-01-02,144.34,146.125,143.1801,145.72,1985177
2026-01-05,144.45,148.51,143.93,146.48,2328834
2026-01-06,142.98,144.87,140.3801,144.5,4933461
2026-01-07,144.49,145.82,138.34,139.31,5130193
2026-01-08,138.54,146.22,137.7,145.9,4410402
2026-01-09,150.0,157.63,149.7,157.28,7314201
2026-01-12,156.51,160.59,155.03,159.71,4367098
2026-01-13,160.46,161.75,159.15,160.85,2820933
2026-01-14,158.55,161.36,157.475,159.3,3087158
2026-01-15,160.4,161.54,158.045,161.0,2398516
2026-01-16,159.84,161.925,153.93,155.96,5280178
2026-01-20,150.13,157.43,148.59,153.19,4883457
2026-01-21,153.53,160.57,153.205,158.11,5053354
2026-01-22,160.87,161.4218,155.5,155.74,3996301
2026-01-23,155.81,156.4635,150.22,150.51,2976927
2026-01-26,150.5,151.205,148.6,150.0,2374272
2026-01-27,148.59,149.35,147.46,148.59,3131279
2026-01-28,148.89,153.35,148.356,150.17,2959849
2026-01-29,150.03,153.91,148.4,150.42,3248573
2026-01-30,148.47,149.58,145.94,148.84,2336426
2026-02-02,149.25,150.62,146.64,149.77,1820467
2026-02-03,149.01,159.69,149.01,153.83,3696114
2026-02-04,155.28,160.97,155.07,158.22,4003692
2026-02-05,157.75,160.0,156.4,158.13,2476924
2026-02-06,157.43,161.255,151.5601,156.27,4551522
2026-02-09,156.8,158.0,153.3,153.5,3053229
2026-02-10,155.12,162.6,154.565,162.28,3262160
2026-02-11,160.75,164.0,160.17,163.85,4179165
2026-02-12,164.9,168.2,164.11,164.59,4462142
2026-02-13,165.0,168.89,164.675,167.78,2635120
2026-02-17,168.0,169.17,162.74,166.29,2258252
2026-02-18,166.94,168.56,165.85,167.25,2809028
2026-02-19,166.78,167.415,163.26,163.78,2223841
2026-02-20,163.935,166.663,162.04,164.12,1646658
2026-02-23,164.31,165.48,160.48,164.25,1651019
2026-02-24,164.0,167.0,163.73,163.95,2232872
2026-02-25,164.08,164.12,153.32,157.46,3142848
2026-02-26,158.01,159.07,156.155,158.97,1734017
2026-02-27,158.8,163.18,158.11,160.39,3264576
2026-03-02,156.88,156.88,153.14,154.4,2397531
2026-03-03,150.0,155.035,148.53,152.61,2764014
2026-03-04,151.53,153.25,149.0,152.7,1990579
2026-03-05,151.38,152.46,149.37,149.88,2315083
2026-03-06,148.59,148.59,144.8,147.26,2486599
2026-03-09,144.74,148.22,141.895,147.69,2775318
2026-03-10,147.18,147.83,144.39,145.28,2337264
2026-03-11,144.82,145.16,142.11,142.67,2217485
2026-03-12,141.6,141.6,138.79,139.04,3089251
2026-03-13,140.86,142.935,139.835,140.49,2885608
2026-03-16,141.63,142.125,139.96,142.09,1924635
