date,open,high,low,close,volume
2025-09-02,117.02,118.28,115.9965,118.27,6015871
2025-09-03,117.83,118.62,116.35,117.38,6288650
2025-09-04,117.08,119.675,116.76,118.81,6949291
2025-09-05,118.91,119.78,117.7,117.91,6669126
2025-09-08,117.96,118.88,116.74,118.84,6450670
2025-09-09,118.525,119.05,117.22,117.37,5444265
2025-09-10,116.85,117.51,114.495,115.79,7484866
2025-09-11,115.45,117.165,114.63,117.08,8399064
2025-09-12,116.26,117.01,115.1,115.96,7640875
2025-09-15,116.11,116.75,115.0,115.62,7150935
2025-09-16,115.45,115.85,114.71,115.23,6844852
2025-09-17,115.24,116.66,115.22,116.1,7333899
2025-09-18,115.33,115.78,114.05,114.86,9460509
2025-09-19,114.6,114.6,111.93,113.76,23398420
2025-09-22,111.76,113.63,111.52,112.56,15479830
2025-09-23,112.72,113.62,111.6,112.25,13145050
2025-09-24,112.41,114.1499,112.2,113.43,8755235
2025-09-25,112.71,114.05,112.65,112.99,6365502
2025-09-26,113.13,113.57,112.76,113.47,6145725
2025-09-29,113.47,115.01,113.33,114.78,9304136
2025-09-30,114.53,114.88,113.335,114.5,9303666
2025-10-01,114.08,116.059,112.79,112.95,9736341
2025-10-02,112.975,113.17,110.775,112.14,8695136
2025-10-03,112.035,113.57,111.56,112.47,7148378
2025-10-06,112.69,113.105,111.45,112.75,6141223
2025-10-07,112.63,113.4,111.8,112.53,5409754
2025-10-08,112.805,113.2,111.65,111.89,7074442
2025-10-09,111.82,113.0,110.875,110.99,6502403
2025-10-10,111.53,112.68,109.11,109.19,9635211
2025-10-13,110.39,110.96,109.38,110.27,7435054
2025-10-14,109.65,111.84,109.2,111.17,7897966
2025-10-15,111.47,112.675,111.14,111.71,7012557
2025-10-16,111.79,112.085,108.51,109.88,7531191
2025-10-17,109.74,111.46,109.44,110.67,10090540
2025-10-20,111.03,112.25,110.6,111.96,8047473
2025-10-21,112.25,114.5395,112.04,114.3,8163164
2025-10-22,114.0,114.28,112.98,113.08,7569242
2025-10-23,113.17,113.83,111.9001,113.03,6945407
2025-10-24,113.23,113.65,111.59,111.68,6235183
2025-10-27,111.94,112.6,111.31,112.34,6029584
2025-10-28,111.91,112.48,111.4623,111.65,6839375
2025-10-29,111.18,111.53,110.01,110.24,7097056
2025-10-30,110.13,113.5801,109.55,111.84,8311279
2025-10-31,111.575,113.1,110.53,112.62,8700619
2025-11-03,112.55,112.81,111.03,112.12,8542271
2025-11-04,110.97,111.785,110.64,111.47,7950075
2025-11-05,111.35,111.97,110.6,111.36,5746038
2025-11-06,111.17,111.71,109.18,110.49,10291780
2025-11-07,110.255,111.425,110.04,110.74,8782121
2025-11-10,111.145,112.79,111.03,112.24,9158709
2025-11-11,112.65,114.97,112.42,114.85,9713347
2025-11-12,114.57,117.0888,114.39,116.65,15248740
2025-11-13,108.89,109.36,104.91,107.61,44045360
2025-11-14,107.52,108.73,105.3,105.8,16691360
2025-11-17,105.75,107.67,105.117,105.69,12296420
2025-11-18,105.1,107.08,105.0,106.28,11796190
2025-11-19,106.08,107.59,104.08,104.67,12790000
2025-11-20,105.37,105.8,102.5,102.7,12609880
2025-11-21,103.48,104.78,102.69,104.28,10785420
2025-11-24,104.085,104.335,101.89,101.94,15024850
2025-11-25,102.49,103.915,102.0,103.31,10574460
2025-11-26,103.315,104.2509,102.88,103.43,10130220
2025-11-28,103.3,104.74,103.24,104.47,6525548
2025-12-01,104.92,106.83,104.47,106.77,12628910
2025-12-02,106.525,106.57,104.82,104.83,8548213
2025-12-03,104.9,105.85,104.47,105.74,10177760
2025-12-04,105.84,106.215,104.5101,105.47,11471410
2025-12-05,105.18,106.17,104.56,105.3,10680060
2025-12-08,105.3,108.045,104.83,107.63,13727700
2025-12-09,107.59,107.745,106.55,107.02,8549401
2025-12-10,107.12,109.665,106.58,108.83,11237890
2025-12-11,109.2,111.56,109.11,111.46,13281380
2025-12-12,111.73,113.34,111.15,111.6,13059070
2025-12-15,110.7,111.55,108.55,110.49,14317990
2025-12-16,111.215,112.8499,110.855,111.62,15580200
2025-12-17,111.06,112.13,110.455,110.63,12142520
2025-12-18,110.53,112.8,110.42,111.87,12913870
2025-12-19,112.32,113.478,110.92,111.24,21138380
2025-12-22,111.41,112.8,111.15,112.38,8803331
2025-12-23,112.29,113.31,112.04,113.22,7634453
2025-12-24,112.94,114.53,112.8,114.48,4606746
2025-12-26,114.15,114.74,113.27,113.56,5428886
2025-12-29,113.315,114.49,113.31,114.19,7966017
2025-12-30,114.1,115.28,114.1,114.79,6883851
2025-12-31,114.77,114.89,113.55,113.77,6607973
2026-01-02,113.44,113.44,111.62,111.85,8906211
2026-01-05,111.42,116.03,111.38,114.07,12028970
2026-01-06,113.785,114.7599,113.107,114.57,7388341
2026-01-07,114.46,114.97,112.51,112.91,8296293
2026-01-08,112.545,114.99,112.545,114.17,9778203
2026-01-09,114.31,115.98,113.9,115.88,8935207
2026-01-12,114.63,114.94,112.55,112.82,10833810
2026-01-13,112.84,113.22,111.61,112.98,8945659
2026-01-14,112.81,113.59,112.26,113.53,8951292
2026-01-15,113.71,114.11,112.17,113.41,7958518
2026-01-16,113.2,113.85,111.12,111.2,12049610
2026-01-20,109.66,111.09,108.8,110.34,9818195
2026-01-21,110.57,113.25,110.5,113.19,10041420
2026-01-22,113.165,114.29,112.17,113.21,12437710
2026-01-23,112.685,112.9476,110.55,110.98,10819750
2026-01-26,111.68,112.41,111.13,111.31,8859849
2026-01-27,111.5,111.8,110.03,110.61,8956915
2026-01-28,110.28,111.4299,109.0,109.56,9016629
2026-01-29,109.63,111.67,108.76,111.58,11078960
2026-01-30,111.36,112.945,110.99,112.8,17895220
2026-02-02,104.01,108.61,103.75,104.45,37778500
2026-02-03,104.78,104.99,102.34,104.22,24827090
2026-02-04,104.2,108.6,103.63,107.05,19070370
2026-02-05,107.05,108.33,104.81,104.97,11859530
2026-02-06,106.13,108.9551,105.37,108.7,12105610
2026-02-09,108.69,108.92,106.77,107.13,10515410
2026-02-10,107.6,111.11,107.6,109.96,9815529
2026-02-11,108.93,109.8699,107.795,108.12,9374912
2026-02-12,107.93,108.16,101.02,102.38,25319620
2026-02-13,101.4,105.52,101.2004,105.45,12845330
2026-02-17,106.57,107.28,104.37,105.44,10467370
2026-02-18,105.96,107.73,105.81,107.1,8791935
2026-02-19,107.105,107.77,105.45,106.0,7492923
2026-02-20,105.61,106.195,104.6501,105.58,9043632
2026-02-23,104.98,105.19,102.96,104.41,10626490
2026-02-24,104.45,107.2314,103.98,106.05,13594760
2026-02-25,106.0,106.7199,104.51,105.05,8556478
2026-02-26,105.47,106.77,105.315,105.55,9578521
2026-02-27,104.78,106.34,103.93,106.04,13954010
2026-03-02,104.61,104.6131,102.86,104.33,14178580
2026-03-03,102.84,104.31,102.15,103.3,13608360
2026-03-04,103.17,103.835,102.64,103.04,9672313
2026-03-05,103.1,104.55,101.59,102.41,11761030
2026-03-06,101.39,101.81,99.95,101.54,10448620
2026-03-09,100.55,101.8722,98.45,101.66,11715050
2026-03-10,101.745,102.24,100.24,101.32,7833149
2026-03-11,101.4,101.89,100.4,100.89,8161816
2026-03-12,100.1,100.875,99.37,99.43,10309390
2026-03-13,99.83,100.77,99.16,99.29,9551465
2026-03-16,99.47,99.6871,98.46,98.66,11578530
2026-03-17,99.17,100.71,99.02,100.3,11785560
2026-03-18,99.84,101.02,99.0,99.42,12615140
2026-03-19,99.03,100.775,98.435,99.2,14793760
2026-03-20,99.01,100.025,98.39,99.51,27544220
2026-03-23,100.22,100.6,97.86,97.95,11373010
2026-03-24,97.74,98.05,96.25,96.39,9155717
2026-03-25,96.82,97.18,95.055,95.95,8467460
2026-03-26,95.12,96.4,94.585,94.75,8548801
2026-03-27,94.19,94.19,92.185,92.42,12475880
2026-03-30,92.89,95.185,92.89,94.32,10592640
2026-03-31,95.34,96.885,94.19,96.38,11180160
2026-04-01,97.255,98.36,96.49,96.56,8518600
2026-04-02,96.0,97.1699,95.09,96.61,6379090
2026-04-06,96.5,97.16,96.12,96.28,5882227
2026-04-07,95.795,96.785,95.325,95.78,7913016
2026-04-08,98.1,99.19,97.69,99.18,10820970
2026-04-09,98.66,100.225,97.675,99.79,8918282
2026-04-10,99.84,100.1582,98.815,99.17,6359602
2026-04-13,98.53,101.27,98.53,101.18,6790349
2026-04-14,101.34,103.1,100.9,102.59,9997361
2026-04-15,102.6,103.375,101.79,103.04,7035321
2026-04-16,103.62,104.53,102.78,103.9,8145920
2026-04-17,104.685,106.33,104.685,106.29,10506160
2026-04-20,105.91,107.11,105.91,106.3,6423418
2026-04-21,106.19,106.875,103.965,104.29,7784483
2026-04-22,105.03,106.28,104.23,104.82,6886600
2026-04-23,104.94,105.2,102.55,103.65,6146952
2026-04-24,103.595,103.64,101.97,102.6,5974471
2026-04-27,102.62,103.81,102.06,102.35,6524285
2026-04-28,102.66,103.2899,100.61,101.47,6409294
2026-04-29,100.94,101.48,100.6,101.3,5533717
2026-04-30,100.91,104.12,100.42,103.75,9203503
2026-05-01,104.4,104.8325,102.97,103.08,5956945
