date,open,high,low,close,volume
2025-09-02,46.885,47.94,46.15,47.91,6202100
2025-09-03,47.84,48.37,47.55,47.68,5705620
2025-09-04,47.63,47.8,45.27,47.4,11376120
2025-09-05,47.64,48.78,46.06,46.56,8425624
2025-09-08,46.64,46.79,45.56,46.32,7800782
2025-09-09,46.35,46.505,45.439,45.91,5757480
2025-09-10,45.86,46.14,45.37,45.65,5771675
2025-09-11,45.775,46.32,44.66,45.87,7508450
2025-09-12,45.31,45.44,43.02,43.98,14186460
2025-09-15,43.5,43.61,42.6827,42.83,10876520
2025-09-16,43.15,43.5,42.335,42.875,7609145
2025-09-17,42.9,43.06,42.08,42.64,8495825
2025-09-18,42.86,43.36,42.54,43.3,10252580
2025-09-19,43.56,43.74,42.991,43.45,9093923
2025-09-22,43.29,44.02,42.68,43.84,9810900
2025-09-23,43.99,44.22,43.16,43.27,7839908
2025-09-24,43.42,43.6199,42.5,42.95,9932739
2025-09-25,42.545,42.94,42.04,42.92,7073294
2025-09-26,43.065,43.66,42.285,42.32,8828017
2025-09-29,42.575,42.8,41.44,42.305,10037820
2025-09-30,41.82,41.94,37.13,37.4,44857280
2025-10-01,36.98,38.06,35.05,35.16,33047300
2025-10-02,35.595,36.35,34.795,34.89,31316710
2025-10-03,35.25,36.43,35.12,35.37,22317190
2025-10-06,35.86,36.34,34.925,34.98,17537860
2025-10-07,34.955,35.02,32.78,32.95,29236800
2025-10-08,33.025,34.0,32.41,33.98,26902350
2025-10-09,34.21,35.31,33.78,35.2,27112590
2025-10-10,34.49,34.57,32.61,32.69,31596080
2025-10-13,33.26,33.65,32.49,33.58,15266750
2025-10-14,33.51,34.6,33.27,34.36,13940760
2025-10-15,35.3,35.99,34.99,35.5,15845230
2025-10-16,35.51,35.93,34.8,35.19,12034950
2025-10-17,34.85,35.15,34.04,34.1,11104900
2025-10-20,34.35,34.79,33.525,33.6,13441130
2025-10-21,33.35,33.65,33.1064,33.62,13334690
2025-10-22,34.53,35.15,33.82,34.7,18174940
2025-10-23,34.5,35.26,34.16,34.7,12398830
2025-10-24,35.015,35.0489,32.86,33.0,22562590
2025-10-27,32.915,33.375,32.012,32.96,18139360
2025-10-28,31.825,32.67,29.92,31.16,36673110
2025-10-29,31.11,31.975,30.55,30.65,16425610
2025-10-30,30.3,30.845,29.89,30.14,13789900
2025-10-31,30.165,30.6,29.78,30.59,15357950
2025-11-03,30.76,31.32,30.415,30.57,14778070
2025-11-04,29.465,29.74,28.38,28.61,22291600
2025-11-05,28.94,28.95,27.89,27.92,17147640
2025-11-06,29.0,29.09,27.93,27.98,34632250
2025-11-07,26.79,30.45,26.23,30.4,41991430
2025-11-10,30.515,31.475,30.31,30.54,31353460
2025-11-11,30.27,30.735,29.93,30.495,13289110
2025-11-12,30.84,32.025,30.75,31.51,19200070
2025-11-13,30.895,31.055,29.3,29.69,26775320
2025-11-14,29.135,29.685,28.845,29.58,17293810
2025-11-17,29.15,29.945,28.6,28.82,12452860
2025-11-18,28.45,29.615,28.3,29.37,9264663
2025-11-19,29.48,29.665,28.84,29.02,9752130
2025-11-20,29.21,29.74,28.47,29.0,11121890
2025-11-21,29.57,30.605,29.25,29.99,14841850
2025-11-24,30.13,30.3,29.09,29.44,14622740
2025-11-25,29.36,32.175,29.29,31.67,22283290
2025-11-26,31.73,32.955,31.7,32.2,14174290
2025-11-28,32.25,33.44,32.25,33.16,7700508
2025-12-01,32.81,34.29,32.6101,33.87,14207940
2025-12-02,33.91,34.025,33.39,33.61,10662550
2025-12-03,33.65,34.79,33.61,34.55,11895650
2025-12-04,34.49,35.69,34.03,35.19,19130020
2025-12-05,35.23,35.84,33.73,34.0,19389820
2025-12-08,34.11,35.61,34.0,35.56,12738190
2025-12-09,35.11,35.55,34.54,34.94,8545275
2025-12-10,35.03,35.35,34.25,34.63,6702210
2025-12-11,34.63,35.455,34.625,34.89,6535373
2025-12-12,35.46,36.4,35.24,35.52,11121250
2025-12-15,35.44,35.865,34.55,35.59,8610570
2025-12-16,35.65,35.8,34.225,34.54,8935222
2025-12-17,34.51,35.845,33.89,34.05,12124960
2025-12-18,34.44,35.18,34.06,34.19,9399892
2025-12-19,34.84,34.85,33.695,34.21,12671750
2025-12-22,34.46,35.5,34.45,34.9,8612381
2025-12-23,34.75,34.8,33.68,34.54,8374521
2025-12-24,34.26,34.64,34.18,34.46,2796068
2025-12-26,34.38,35.06,34.31,34.88,5487617
2025-12-29,34.785,34.79,34.23,34.54,6926523
2025-12-30,34.46,35.0,34.36,34.76,5855861
2025-12-31,34.76,35.14,34.43,34.46,6317592
2026-01-02,34.59,35.97,34.42,35.66,10158240
2026-01-05,35.82,36.785,35.51,36.24,7683925
2026-01-06,36.245,36.98,34.865,34.95,10131370
2026-01-07,34.66,35.03,33.97,34.66,13272060
2026-01-08,34.56,36.75,34.05,35.98,12424990
2026-01-09,36.515,36.95,35.07,35.17,9605851
2026-01-12,34.78,35.57,34.38,34.96,8440281
2026-01-13,34.995,35.25,33.995,34.05,9139968
2026-01-14,34.0,34.635,33.715,34.32,11100480
2026-01-15,35.12,36.09,34.72,35.46,12584020
2026-01-16,35.0,35.19,32.47,32.62,28029940
2026-01-20,31.85,33.275,31.15,32.25,17499200
2026-01-21,32.12,32.3,31.31,31.58,11483730
2026-01-22,31.85,32.44,30.7,31.62,17973200
2026-01-23,31.45,31.4995,29.85,29.97,17140560
2026-01-26,29.91,30.96,29.91,30.58,15616350
2026-01-27,30.29,30.82,29.905,30.11,12058660
2026-01-28,30.19,30.935,29.975,30.12,11391800
