date,open,high,low,close,volume
2025-09-02,165.09,165.92,161.685,162.95,1404849
2025-09-03,162.41,163.11,159.22,161.5,1669606
2025-09-04,161.65,163.155,160.57,162.84,1366804
2025-09-05,164.27,165.5945,162.9234,163.24,1352746
2025-09-08,162.0,162.37,159.22,161.21,1879755
2025-09-09,161.0,164.03,160.1,163.98,1893690
2025-09-10,166.59,174.93,166.49,173.89,3004272
2025-09-11,173.74,174.95,173.29,174.67,1583069
2025-09-12,173.75,175.59,173.46,173.5,1341267
2025-09-15,172.34,175.83,172.34,175.04,2199885
2025-09-16,175.05,175.37,172.105,173.86,1590127
2025-09-17,174.1,174.95,170.88,171.15,1730626
2025-09-18,171.58,173.265,170.74,171.36,1012576
2025-09-19,171.56,173.32,170.69,172.08,3146557
2025-09-22,171.17,176.15,169.67,174.69,1837427
2025-09-23,174.59,175.14,172.865,174.12,1019491
2025-09-24,173.39,173.76,171.61,172.0,1308735
2025-09-25,172.0,172.61,170.6501,171.36,1272688
2025-09-26,171.94,172.06,170.45,171.46,785296
2025-09-29,172.69,173.19,169.41,170.11,1277588
2025-09-30,171.27,172.92,169.26,172.88,1516571
2025-10-01,172.53,173.365,170.22,171.45,1346012
2025-10-02,171.82,173.82,170.6075,173.75,1824914
2025-10-03,174.34,178.3,173.89,176.35,1635989
2025-10-06,178.29,178.29,174.51,176.96,1873586
2025-10-07,176.88,177.035,174.14,175.14,853882
2025-10-08,174.77,176.95,173.05,174.2,1471769
2025-10-09,174.41,175.955,173.3,175.21,1190808
2025-10-10,175.22,175.725,168.45,168.49,1551898
2025-10-13,168.865,171.57,168.54,171.56,957754
2025-10-14,170.1,172.315,169.45,171.88,1138654
2025-10-15,173.29,176.86,173.11,175.2,1448040
2025-10-16,173.95,176.2325,172.8,173.96,1318575
2025-10-17,171.78,173.52,170.47,172.73,1321515
2025-10-20,175.74,175.74,171.435,172.92,1705507
2025-10-21,172.435,172.47,168.7175,171.63,1391156
2025-10-22,172.53,173.39,169.77,172.41,1542966
2025-10-23,174.31,176.8,172.0,175.39,2510884
2025-10-24,178.84,182.48,176.065,179.28,2472464
2025-10-27,179.28,179.99,176.37,178.14,2104031
2025-10-28,176.76,177.32,173.78,174.06,1432325
2025-10-29,174.05,174.09,165.975,167.14,2017278
2025-10-30,166.88,172.08,166.29,170.75,2069070
2025-10-31,170.01,172.15,168.805,170.41,1838601
2025-11-03,169.16,172.47,168.36,171.96,1513900
2025-11-04,171.4,171.915,168.16,168.27,1448435
2025-11-05,168.68,168.94,166.43,166.52,1681184
2025-11-06,166.0,169.78,165.0,168.35,1473655
2025-11-07,168.0,170.09,166.01,169.89,1211917
2025-11-10,169.37,170.29,167.63,169.21,1247583
2025-11-11,169.89,170.0,166.535,168.57,1354584
2025-11-12,167.62,167.97,163.82,163.9,2213528
2025-11-13,162.66,163.5,157.64,158.11,2687308
2025-11-14,157.02,159.02,156.0,158.18,2088784
2025-11-17,158.66,159.3,156.87,157.7,1855084
2025-11-18,158.01,160.62,156.87,159.62,2058083
2025-11-19,159.92,160.34,155.54,159.3,1539430
2025-11-20,161.8,164.34,157.44,157.59,2446654
2025-11-21,157.79,158.52,154.825,157.18,2391399
2025-11-24,156.94,159.15,155.32,159.01,4469901
2025-11-25,159.49,159.49,156.52,157.37,1707621
2025-11-26,157.32,160.0515,156.71,158.91,1705141
2025-11-28,158.49,160.5,157.63,160.12,625742
2025-12-01,158.01,158.82,156.1,156.39,1357834
2025-12-02,156.43,157.3,155.8119,156.5,1293706
2025-12-03,157.43,159.88,156.575,159.69,1362340
2025-12-04,159.9,162.505,158.66,161.02,1774266
2025-12-05,161.02,166.0,160.5,164.73,1875291
2025-12-08,165.29,165.4,162.81,163.78,1637191
