date,open,high,low,close,volume
2025-09-02,31.62,32.27,31.25,31.87,1547728
2025-09-03,31.87,32.455,31.47,32.04,1804015
2025-09-04,31.74,32.21,30.8887,32.12,1582951
2025-09-05,32.64,33.5999,32.35,32.76,2987718
2025-09-08,32.82,33.77,32.735,33.31,2319717
2025-09-09,33.3,34.775,33.08,34.32,3017814
2025-09-10,34.99,35.88,34.02,34.19,3089710
2025-09-11,34.15,36.57,33.93,36.56,3090640
2025-09-12,36.78,36.95,35.63,35.69,2988311
2025-09-15,35.86,37.28,35.81,36.98,2838414
2025-09-16,36.92,37.0,35.92,36.33,2534912
2025-09-17,36.45,37.475,35.79,36.25,2524643
2025-09-18,37.0,37.75,36.717,37.21,2826513
2025-09-19,37.34,37.66,36.5,36.57,5546110
2025-09-22,36.43,37.81,35.925,37.71,3419791
2025-09-23,37.64,38.73,36.92,36.96,3624983
2025-09-24,37.06,37.298,35.38,36.32,1332427
2025-09-25,35.52,35.8765,34.87,35.13,1426486
2025-09-26,34.99,35.29,34.69,35.1,2405475
2025-09-29,35.43,35.7775,34.7,35.42,1532414
2025-09-30,35.34,35.46,33.685,34.16,1840816
2025-10-01,33.8,35.935,33.745,35.87,2790564
2025-10-02,36.81,38.86,36.615,38.71,3507800
2025-10-03,38.87,39.2517,37.2841,37.37,2217066
2025-10-06,37.9,40.92,37.54,38.39,3208231
2025-10-07,39.0,39.59,37.74,38.29,3101926
2025-10-08,38.5,39.2612,37.82,37.84,2244655
2025-10-09,38.88,40.5399,38.45,39.54,2577908
2025-10-10,39.8,40.4,37.0905,37.29,2875026
2025-10-13,37.85,40.8,37.54,39.53,3858005
2025-10-14,38.5,42.12,37.5,40.48,4885894
2025-10-15,42.36,44.2,41.12,43.45,5339091
2025-10-16,44.0,44.86,42.14,43.08,4345673
2025-10-17,42.23,42.95,41.291,41.41,2387858
2025-10-20,42.24,42.61,41.0,41.1,2337388
2025-10-21,40.85,41.67,39.6,39.73,2516993
2025-10-22,39.32,39.94,38.25,38.98,2519807
2025-10-23,38.53,40.18,38.53,39.61,1796950
2025-10-24,40.37,40.76,39.22,39.45,1497132
2025-10-27,40.0,40.95,39.71,40.38,1793354
2025-10-28,40.34,41.14,39.705,39.73,1801097
2025-10-29,40.0,40.76,39.15,39.6,2478681
2025-10-30,39.05,39.53,37.835,37.94,1901403
2025-10-31,39.0,41.05,38.84,40.66,3878046
2025-11-03,40.99,41.8,39.9147,41.43,2499040
2025-11-04,40.0,40.19,38.45,38.82,4639783
2025-11-05,45.32,46.68,42.5,45.81,11256320
2025-11-06,48.025,49.615,45.44,47.08,5552648
2025-11-07,46.71,49.51,45.58,49.48,3668074
2025-11-10,50.33,52.2,49.91,51.67,3476487
2025-11-11,51.03,51.75,49.74,50.0,2519812
2025-11-12,50.63,50.85,47.37,48.37,2457296
2025-11-13,47.65,48.63,44.84,45.19,2915586
2025-11-14,43.22,46.83,43.0036,45.84,1872668
2025-11-17,45.64,46.44,43.97,44.55,2130387
2025-11-18,43.39,44.48,41.96,44.01,1932098
2025-11-19,44.3,45.9358,43.87,44.09,1443122
2025-11-20,45.18,46.1,42.84,43.18,1768459
2025-11-21,43.24,44.37,42.01,43.81,1846872
2025-11-24,44.34,45.7,44.12,45.15,1256772
2025-11-25,45.15,45.95,43.665,44.9,1689541
2025-11-26,44.87,46.54,44.15,45.13,1898460
2025-11-28,44.98,45.34,44.12,44.52,818657
2025-12-01,43.82,44.41,42.77,44.37,2081921
2025-12-02,45.3,47.17,44.14,44.62,2384334
2025-12-03,44.46,45.99,43.86,45.89,2387494
2025-12-04,45.73,47.4,45.51,46.25,2162419
2025-12-05,46.36,48.4,45.99,48.3,1856664
2025-12-08,48.91,49.99,48.36,49.49,1572347
2025-12-09,48.99,51.9,48.6601,49.72,2485290
2025-12-10,49.43,51.54,49.15,50.63,1414938
2025-12-11,50.0,50.85,47.9,49.17,1443410
2025-12-12,49.12,49.49,47.5011,47.66,1101266
2025-12-15,47.9,48.3599,45.29,45.78,1903791
2025-12-16,45.0,46.0,44.12,44.44,2155743
2025-12-17,44.52,45.295,43.81,43.9,1602834
2025-12-18,44.6,46.09,44.2,45.9,1370368
2025-12-19,46.05,47.88,45.9,47.52,2326239
2025-12-22,48.4,49.43,47.88,49.21,1244762
2025-12-23,48.62,49.44,47.33,48.93,1013511
2025-12-24,48.93,49.68,48.37,49.17,510214
2025-12-26,49.21,49.68,48.91,49.52,552175
2025-12-29,48.95,49.5,47.85,49.34,1495097
2025-12-30,49.24,49.41,48.2,48.8,1199583
2025-12-31,48.8,48.845,47.93,48.12,969168
