date,open,high,low,close,volume
2025-09-02,291.245,298.4156,287.209,289.98,1463015
2025-09-03,286.44,292.0,277.24,282.515,1735001
2025-09-04,275.13,278.28,267.39,272.7,2477336
2025-09-05,273.25,273.3,263.68,271.18,1825600
2025-09-08,265.83,276.49,264.815,271.28,1493850
2025-09-09,272.16,287.5,256.63,273.49,3373792
2025-09-10,274.1,286.83,272.0,285.91,2055902
2025-09-11,296.22,315.48,291.0,309.34,3794503
2025-09-12,314.25,319.68,300.5,307.91,2173203
2025-09-15,308.0,309.99,284.68,285.11,2130316
2025-09-16,289.5,296.7999,271.0,280.74,2300346
2025-09-17,267.79,281.939,264.85,279.16,2254187
2025-09-18,283.75,291.24,281.64,289.67,1339091
2025-09-19,290.3,291.476,285.46,290.9,1530238
2025-09-22,289.45,310.9197,288.54,309.34,1956269
2025-09-23,305.46,305.485,293.5,299.5,1454280
2025-09-24,302.06,304.2369,293.83,301.17,1348345
2025-09-25,295.58,315.205,294.4501,313.49,1655257
2025-09-26,311.84,327.71,309.79,326.39,1601506
2025-09-29,320.08,336.22,314.68,328.78,1736985
2025-09-30,331.2,332.0,312.09,321.84,1770874
2025-10-01,320.57,322.05,293.03,303.72,2346014
2025-10-02,304.01,313.3,299.0,313.0,1468511
2025-10-03,315.55,330.33,315.34,322.63,1393051
2025-10-06,322.63,330.0,315.48,320.31,1597108
2025-10-07,321.22,323.57,314.0,319.98,812209
2025-10-08,321.55,350.0,320.6,347.27,1591057
2025-10-09,348.0,353.0,332.21,337.19,1269753
2025-10-10,340.45,347.6,323.1073,325.0,988379
2025-10-13,330.16,331.6383,323.0001,330.0,775590
2025-10-14,323.82,336.0,320.63,332.6,801779
2025-10-15,334.03,343.998,333.33,341.08,744867
2025-10-16,340.59,343.25,320.21,330.56,1845225
2025-10-17,326.01,334.29,322.0,324.02,828661
2025-10-20,326.02,328.53,304.23,312.73,1508636
2025-10-21,312.48,325.93,311.35,317.61,967770
2025-10-22,318.95,320.345,301.7439,307.57,850467
2025-10-23,303.76,317.6,303.76,313.45,567803
2025-10-24,318.0,322.09,311.12,312.0,731900
2025-10-27,317.35,318.84,305.16,306.73,980786
2025-10-28,307.1,309.24,293.51,293.88,1039301
2025-10-29,290.0,290.34,272.21,272.76,2332241
2025-10-30,272.59,277.49,262.3,262.82,1217293
