date,open,high,low,close,volume
2025-09-02,136.46,137.0,135.005,136.95,1039425
2025-09-03,136.66,137.29,135.33,135.97,583950
2025-09-04,136.14,137.06,135.045,135.56,797869
2025-09-05,135.5,138.37,135.5,137.87,659996
2025-09-08,136.99,136.99,133.57,134.51,882306
2025-09-09,134.52,137.58,133.735,136.71,714986
2025-09-10,135.81,136.395,131.77,132.26,605135
2025-09-11,133.17,134.48,132.76,133.24,728854
2025-09-12,133.0,133.94,132.08,133.17,481684
2025-09-15,133.17,133.54,130.45,130.95,633324
2025-09-16,131.31,131.31,129.655,130.11,738082
2025-09-17,130.7,131.34,127.545,128.0,1387398
2025-09-18,127.95,130.749,126.95,130.23,704792
2025-09-19,130.22,131.17,129.78,130.16,3137231
2025-09-22,130.06,131.679,129.44,131.15,773830
2025-09-23,131.22,134.01,131.22,132.83,677666
2025-09-24,132.06,134.34,131.32,133.62,530881
2025-09-25,133.42,133.8043,129.73,130.27,591553
2025-09-26,131.06,131.74,130.48,130.8,454526
2025-09-29,130.65,131.8,129.2,130.59,516593
2025-09-30,130.64,133.55,130.09,132.87,642404
2025-10-01,132.74,134.59,132.07,132.87,738751
2025-10-02,132.51,133.5,131.1,132.1,681228
2025-10-03,132.6,133.2179,130.86,131.16,777388
2025-10-06,130.66,131.155,127.88,128.14,753870
2025-10-07,129.41,131.84,129.175,131.04,659338
2025-10-08,131.26,131.26,127.43,127.89,660753
2025-10-09,128.59,128.885,126.31,126.38,686694
2025-10-10,126.88,126.94,123.13,123.99,595281
2025-10-13,124.1,124.6,122.925,123.91,455140
2025-10-14,123.46,126.95,123.095,126.62,738846
2025-10-15,125.49,127.92,124.8708,126.0,814739
2025-10-16,126.0,126.94,124.76,125.25,542220
2025-10-17,125.37,126.27,124.6,125.88,391327
2025-10-20,126.43,128.48,125.655,128.05,489399
2025-10-21,128.09,129.105,127.2807,128.41,372544
2025-10-22,128.45,130.245,128.161,129.08,606933
2025-10-23,128.21,128.36,126.57,128.02,537277
2025-10-24,129.29,130.47,128.48,129.19,699259
2025-10-27,129.17,129.77,128.69,129.55,541992
2025-10-28,129.55,130.7527,128.28,129.61,544296
2025-10-29,129.07,130.82,126.04,126.56,1567537
2025-10-30,124.87,128.3963,117.73,118.75,2541074
2025-10-31,118.34,119.54,115.39,119.02,1373196
2025-11-03,118.0,119.06,115.64,119.05,1364059
2025-11-04,118.81,120.78,118.3245,119.97,1339692
2025-11-05,119.69,121.87,119.245,121.16,936632
2025-11-06,120.99,122.19,120.48,121.53,963066
2025-11-07,121.43,123.79,120.92,123.69,956290
2025-11-10,121.5,121.7775,118.75,120.17,1044811
2025-11-11,120.61,124.1,120.37,122.27,947768
2025-11-12,121.99,125.68,121.97,123.6,919628
2025-11-13,122.67,124.86,122.615,123.05,728985
2025-11-14,123.4,123.4,121.51,121.55,684479
2025-11-17,121.55,121.8,116.72,117.27,939088
2025-11-18,116.75,117.72,115.69,116.56,788396
2025-11-19,116.89,116.89,113.97,115.2,767229
2025-11-20,115.3,116.77,114.1125,115.35,773699
2025-11-21,116.02,121.5,115.78,120.25,1096069
2025-11-24,120.5,122.26,119.04,119.49,4939388
2025-11-25,120.55,121.88,119.53,121.37,716443
2025-11-26,121.33,122.16,119.89,120.1,536757
2025-11-28,120.1,120.5,119.6,119.68,503451
2025-12-01,119.52,120.6,118.665,119.24,831034
2025-12-02,119.13,120.59,118.0,119.18,855569
2025-12-03,119.23,120.37,117.84,118.25,722367
2025-12-04,118.09,118.5,116.39,117.28,660847
2025-12-05,117.54,118.72,117.16,117.39,620142
2025-12-08,117.1,117.9,115.91,117.05,688125
2025-12-09,117.11,117.622,116.0,116.67,573742
2025-12-10,116.95,119.36,116.32,118.68,969423
2025-12-11,119.38,122.61,117.62,120.33,1045590
2025-12-12,121.11,121.75,120.68,121.35,775882
2025-12-15,121.78,122.4,118.52,120.05,1048309
2025-12-16,120.48,120.61,117.665,117.94,820679
