date,open,high,low,close,volume
2025-09-02,120.455,125.89,119.017,125.6,1987203
2025-09-03,125.23,130.95,125.23,130.16,1521549
2025-09-04,133.0,136.71,132.01,133.72,1996340
2025-09-05,134.09,138.775,131.1602,133.97,2400603
2025-09-08,135.63,139.81,133.14,138.0,2355822
2025-09-09,137.13,139.605,135.22,138.83,1523698
2025-09-10,139.1,139.175,131.82,134.44,1903350
2025-09-11,135.0,138.12,133.6313,138.07,1290676
2025-09-12,137.62,140.84,133.87,135.22,1242792
2025-09-15,136.39,144.92,135.3001,144.37,1705659
2025-09-16,145.0,146.8,140.45,143.28,1784131
2025-09-17,145.91,150.99,144.13,146.11,2321342
2025-09-18,147.52,149.4804,144.685,146.67,1730138
2025-09-19,146.38,147.4574,139.5,139.96,2373057
2025-09-22,139.24,139.8,136.5008,137.32,1572690
2025-09-23,138.5,140.71,135.47,136.07,1408049
2025-09-24,135.6,135.6,128.76,128.82,1851993
2025-09-25,127.73,130.74,125.14,130.7,1702394
2025-09-26,128.41,132.46,127.78,129.77,1353860
2025-09-29,130.66,133.79,129.01,131.2,1185142
2025-09-30,131.81,137.51,131.705,132.48,1358077
2025-10-01,131.89,135.29,130.06,135.2,1261226
2025-10-02,135.77,136.75,132.47,135.91,1018368
2025-10-03,136.55,138.2199,133.7985,134.61,1054983
2025-10-06,136.53,140.11,136.34,138.32,1392409
2025-10-07,139.11,141.89,138.25,140.6,964185
2025-10-08,147.75,147.75,142.5,145.07,1423566
2025-10-09,145.07,146.6435,141.51,144.97,788162
2025-10-10,146.51,147.0,129.275,129.69,3102751
2025-10-13,134.0,141.2751,132.62,132.69,1383260
2025-10-14,129.93,135.44,128.34,132.49,1199216
2025-10-15,134.65,139.62,133.465,134.08,1261275
2025-10-16,135.4,141.5,133.7,135.85,1319361
2025-10-17,134.84,139.35,134.001,136.92,1375273
2025-10-20,136.81,137.525,125.89,127.42,2796848
2025-10-21,128.4,129.4999,124.25,127.13,1159343
2025-10-22,127.15,127.43,122.53,123.66,1160825
2025-10-23,124.48,126.1,123.2054,125.02,1125794
2025-10-24,126.64,127.75,122.53,122.81,1004145
2025-10-27,125.44,128.79,124.91,126.18,1122677
2025-10-28,127.0,132.365,124.78,131.7,1518004
2025-10-29,131.35,131.89,126.6,126.99,1045895
2025-10-30,125.29,126.2525,123.03,123.11,890028
2025-10-31,124.72,124.9899,121.94,122.14,1828764
2025-11-03,122.3,123.065,118.7319,120.94,1303721
2025-11-04,117.44,119.29,115.93,118.29,1514768
2025-11-05,115.77,122.36,115.51,117.83,4628264
2025-11-06,89.44,94.99,74.11,76.54,19361050
2025-11-07,75.65,77.208,69.05,73.74,8310989
2025-11-10,75.9,81.0,75.9,79.85,6603789
2025-11-11,79.89,80.6193,77.0,77.97,3078223
2025-11-12,78.0,79.4499,77.19,77.74,2603826
2025-11-13,77.0,78.0,73.875,74.39,2776442
2025-11-14,72.53,76.0,72.01,73.51,2923345
2025-11-17,73.85,76.78,72.42,72.79,3153291
2025-11-18,72.0,73.82,70.56,73.06,1946362
2025-11-19,72.61,73.0,70.35,71.24,2241271
